"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.5614285714286,"Down",80382000,-71285000,9097000,-6645000,-6645000,2452000,-456000,-1111000,-1342000,655000,1996000,1996000,-940000,1056000,1056000,1056000,1056000,18000,18000,50539000,50539000,80600000,71001000,1936000,43915000,202158000,165243000,48858000,27407000,214101000,416259000,44916000,32225000,12691000,7796000,7796000,59001000,73838000,35763000,27641000,8122000,109601000,168602000,107249000,142984000,-2576000,247657000,247657000,416259000,1056000,1056000,1762000,-8604000,-10016000,-15802000,-6048000,-6067000,-6067000,-6585000,23845000,-1471000,22374000,-13000,-13000,-13000,4214000,80127000,-10910000,0.11317,0.0305,0.01314,0.00426,0.00254,-10.33144,3.42635,0.68079,0.19249,0.11435,0.11435,8.70406,26.81722,-1.18138,3,0.0029,-0.03001,19.0102,32.67088
"2","2010_Q3",17.35265625,"Down",96125000,-90358000,5767000,-6621000,-6621000,-854000.000000001,-1927000,-1699000,-1934000,-228000,-2781000,-2781000,1384000,-1397000,-1397000,-1397000,-1397000,44000,44000,54962000,54962000,82201000,76533000,1810000,50039000,213740000,168408000,48114000,26663000,216522000,430262000,36116000,25059000,11057000,15118000,15118000,57691000,90326000,35750000,27620000,8130000,126076000,183767000,107301000,141587000,-2393000,246495000,246495000,430262000,-1397000,-1397000,1686000,2666000,-14615000,-11660000,-5254000,-5253000,-5253000,-5267000,17240000,-286999.999999999,16953000,26000,26000,26000,832000,96783000,-20421000,0.05999,-0.00888000000000001,-0.01453,-0.00567,-0.00325,14.61775,3.70491,0.74552,0.22494,-0.1508,-0.1508,10.37619,26.60784,-2.20434,2,-0.00369,-0.05388,116.27284,-113.27752
"3","2010_Q4",21.2084375,"Up",112770000,-104041000,8729000,-8805000,-8805000,-76000,-2919000,-2781000,-2958000,-138000,-2995000,-2995000,552000,-2443000,-2443000,-2443000,-2443000,37000,37000,75723000,75723000,81645000,72806000,796000,46412000,230211000,170937000,48334000,26883000,219271000,449482000,44325000,31368000,12957000,10091000,10091000,61044000,103736000,37290000,29103000,8187000,141026000,202070000,107499000,142280000,-2367000,247412000,247412000,449482000,-2443000,-2443000,6773000,2902000,-14644000,-7412000,-4217000,-4217000,-4217000,-3796000,12845000,-1644000,11201000,-7000,-7000,-7000,6697000,110364000,-12716000,0.07741,-0.00067,-0.02166,-0.00987,-0.00544,5.20508,3.77123,0.81673,0.24554,-0.26294,-0.26294,12.13755,26.62921,-1.36864,4,-0.00618,-0.03219,16.47409,-1451.67105
"4","2011_Q1",22.7090322580645,"Up",97473000,-91378000,6095000,-7022000,-7022000,-927000,-2381000,-2505000,-2708000,124000,-3308000,-3308000,652000,-2656000,-2656000,-2656000,-2656000,51000,51000,66474000,66474000,80887000,69088000,2163000,45533000,216500000,154274000,44109000,22658000,198383000,414883000,39911000,28463000,11448000,14808000,14808000,63690000,101491000,23410000,14582000,8828000,124901000,188591000,107671000,120477000,-1856000,226292000,226292000,414883000,-2656000,-2656000,3459000,12579000,147999.999999998,13530000,-3059000,-3060000,-3060000,-2893000,-13938000,3315000,-10623000,14000,14000,14000,2532000,110462000,-1031000,0.06253,-0.00951,-0.02725,-0.01174,-0.0064,0.388180000000001,3.39928,0.8334,0.26625,-0.28581,-0.28581,10.48886,24.3508,-0.11094,6,-0.00737,-0.00286,43.60624,-119.10572
"5","2011_Q2",24.0115873015873,"Up",111458000,-96690000,14768000,-7289000,-7289000,7479000,-2731000,-2618000,-2618000,-113000,4748000,4748000,-1816000,2932000,2932000,2932000,2932000,77000,77000,71438000,71438000,93601000,73217000,1994000,54439000,238333000,174895000,46561000,25110000,221456000,459789000,52885000,40332000,12553000,15303000,15303000,75004000,99904000,35402000,26568000,8834000,135306000,210310000,107875000,144060000,-2456000,249479000,249479000,459789000,2932000,2932000,3191000,-6172000,-2306000,-2355000,-3484000,-3555000,-3555000,-3484000,5879000,-50000,5865000,26000,26000,26000,10670000,106720000,6696000,0.1325,0.0671,0.02631,0.01175,0.00638,2.28377,3.1776,0.843,0.23211,0.31513,0.31378,11.97958,26.81417,0.71969,4,0.00749,0.0171,9.99466,14.25899
"6","2011_Q3",26.37203125,"Up",143801000,-127130000,16671000,-5603000,-5603000,11068000,-2836000,-2552000,-2575000,-284000,8232000,8232000,-3255000,4977000,4977000,4977000,4977000,43000,43000,93753000,93753000,74178000,67819000,1566000,59811000,235793000,171661000,40683000,20205000,212344000,448137000,37866000,19478000,18388000,18884000,18884000,136401000,20664000,35785000,26958000,8827000,56449000,192850000,108159000,149435000,-2307000,255287000,255287000,448137000,4977000,4977000,3856000,-1505000,-9767000,-2439000,-5001000,-5025000,-5025000,9293000,-6941000,-1000,-6888000,-34000,-34000,-34000,14924000,100315000,3411000,0.11593,0.07697,0.03461,0.0195,0.01111,0.68535,1.72868,0.75542,0.22385,0.53355,0.53219,15.41606,27.36782,0.36567,5,0.01272,0.00872,6.71884,9.05962999999996
"7","2011_Q4",23.4126984126984,"Down",139265000,-122751000,16514000,-6467000,-6467000,10047000,-3193000,-2243000,-2247000,-950000,6854000,6854000,-3570000,3284000,3284000,3284000,3284000,72000,72000,85181000,85181000,91889000,57201000,2099000,47621000,234343000,152156000,36043000,15565000,188199000,422542000,49529000,27996000,21533000,11095000,11095000,69726000,88656000,25550000,16811000,8739000,114206000,183932000,108287000,131670000,-1347000,238610000,238610000,422542000,3284000,3284000,3656000,5939000,1417000,14296000,-2915000,-2916000,-2916000,-2682000,-11641000,0,-11585000,29000,29000,29000,13703000,97758000,15775000,0.11858,0.07214,0.02358,0.01376,0.00777,4.80359,3.36091,0.77085,0.23136,0.35138,0.35007,14.90103,25.53071,1.68789,7,0.00907,0.04359,7.1288,9.7229
"8","2012_Q1",23.0540322580645,"Down",117144000,-105959000,11185000,-6956000,-6956000,4229000,-1785000,-1794000,-1866000,9000,2444000,2444000,-977000,1467000,1467000,1467000,1467000,182000,182000,69894000,69894000,107169000,49678000,5258000,38029000,226923000,152846000,33604000,13126000,186450000,413373000,38394000,20248000,18146000,8843000,7814000,56309000,86418000,30379000,20588000,9791000,116797000,173106000,109442000,133137000,-2312000,240267000,240267000,413373000,1467000,1467000,3768000,13099000,-15561000,2773000,-4837000,-4837000,-4837000,-2197000,-438000.000000002,-29000.0000000001,-465999.999999998,110000,110000,110000,7997000,95490000,-11424000,0.09548,0.0361,0.01252,0.00611,0.00355,-7.78732,4.02996,0.72047,0.231,0.15683,0.15509,12.52341,25.68602,-1.2213,8,0.00401,-0.0312,11.91797,22.53677
"9","2012_Q2",21.4636507936508,"Down",142175000,-125675000,16500000,-7321000,-7321000,9179000,-1635000,-1599000,-1640000,-36000,7544000,7544000,-2810000,4734000,4734000,4734000,4734000,88000,88000,64872000,64872000,98612000,56350000,4913000,44144000,219922000,153225000,34361000,13883000,187586000,407508000,43023000,21444000,21579000,4364000,4364000,56399000,74643000,30925000,21102000,9823000,105568000,161967000,109876000,137871000,-2206000,245541000,245541000,407508000,4734000,4734000,3287000,-8988000,18656000,17689000,-4433000,-4437000,-4437000,-5433000,-11836000,-514000,-12350000,-94000,-94000,-94000,12466000,83655000,29499000,0.11605,0.06456,0.0333,0.01928,0.01162,6.23131,3.8994,0.65963,0.20528,0.50528,0.50297,15.17505,26.20781,3.14858,7,0.01315,0.08191,6.70359,9.10415
"10","2012_Q3",24.8447619047619,"Up",131041000,-117464000,13577000,-6607000,-6607000,6970000,-1446000,-1480000,-1526000,34000,5524000,5524000,-1920000,3604000,3604000,3604000,3604000,25000,25000,72229000,72229000,120604000,56001000,1798000,48526000,248859000,152612000,33569000,13091000,186181000,435040000,71491000,30686000,40805000,3681000,3681000,136147000,18637000,30307000,20484000,9823000,48944000,185091000,110608000,141475000,-2134000,249949000,249949000,435040000,3604000,3604000,4172000,-3173000,2133999.99999999,6737000,-2621000,-3576000,-3576000,-2621000,-4184000,-32000.0000000001,-4179000,-63000,-63000,-63000,11142000,79612000,12575000,0.10361,0.0531900000000001,0.0274999999999999,0.01442,0.00828,3.48918,1.82787,0.74052,0.183,0.38443,0.38202,13.97771,26.66123,1.34133,5,0.01001,0.03494,7.14297,11.41851
