"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2012_Q2",21.2919047619048,"Down",27385000,-2126000,25259000,-3.5e+07,-29499000,-4140000,-1361000,-9741000,-30000,-9771000,-9771000,-31000,-9802000,-9802000,-9802000,-9833000,130737000,130737000,7179000,7179000,2508000,2508000,140424000,10649000,2014000,2014000,12663000,153087000,11471000,999000,999000,12470000,3000,3000,3000,12473000,191448000,-51076000,242000,140614000,140614000,153087000,-9802000,1361000,7420000,-1752000,-2773000,-367000,-1724000,-2091000,511000,511000,113918000,109054000,109054000,-53000,109001000,-8380000,0,-10468000,0.92237,-0.35571,-0.35907,-0.06993,-0.06423,1.06458,11.26095,0.0887,0,-0.31453,-0.31453,0.87596,4.49778,-0.33484,-0.06993,-0.07444,15.60107,13.42131
"2","2012_Q3",23.2539682539683,"Up",32653000,-2298000,30355000,-32293000,-26296000,-4336000,-1661000,-1938000,22000,-1916000,-1916000,-66000,-1982000,-1982000,-1982000,-1982000,122613000,122613000,10120000,10120000,2630000,2630000,135363000,11632000,6853000,6853000,18485000,153848000,11892000,1276000,1276000,13168000,1999.99999999988,1999.99999999988,1999.99999999988,13170000,193657000,-53058000,79000,140678000,140678000,153848000,-1982000,1661000,2012000,-1358000,333000,-1560000,-5874000,-7434000,251000,251000,-899000,-8e+06,-8e+06,-124000,-8124000,-276999.999999999,0,-3129000,0.92962,-0.05935,-0.0606999999999999,-0.01409,-0.01288,1.57871,10.27969,0.09362,0,-0.0325500000000001,-0.0325500000000001,0.53629,2.31048,-0.0513899999999999,-0.01409,-0.02224,442.64621,63.2678
"3","2012_Q4",21.2285483870968,"Down",36372000,-2501000,33871000,-35822000,-28288000,-5754000,-1780000,-1951000,-15000,-1966000,-1966000,-45000,-2011000,-2011000,-2011000,-2011000,123083000,123083000,10722000,10722000,2896000,2867000,136701000,12623000,7208000,7208000,19831000,156532000,12331000,1243000,1243000,13574000,2000,2000,2000,13576000,197872000,-55068000,152000,142956000,142956000,156532000,-2011000,1780000,2407000,-1464000,712000,-1557000,-784000,-2341000,2062000,2062000,2062000,433000,433000,37000,470000,-171000,0,-3147000,0.93124,-0.05364,-0.05529,-0.01407,-0.01285,1.56489,10.0708,0.09497,0,-0.03276,-0.03276,0.59259,2.32911,-0.05127,-0.01407,-0.02201,719.78363,63.08713
"4","2013_Q1",22.1441666666667,"Up",41157000,-3003000,38154000,-42027000,-33363000,-6243000,-2421000,-3873000,-203000,-4076000,-5338000,20000,-5318000,-5318000,-5318000,-5319000,95124000,95124000,11738000,11738000,4470000,4470000,111332000,14799000,61565000,7024000,76364000,187696000,17258000,2856000,2856000,20114000,1920000,1920000,1920000,22034000,225245000,-60388000,805000,165662000,165662000,187696000,-5318000,2421000,5016000,-490000,1629000,-4040000,-561000,-28726000,851000,851000,-908000.000000002,-28005000,-28005000,46000,-27959000,-1452000,0,-6002000,0.92704,-0.0941,-0.12924,-0.03211,-0.02834,1.12841,5.53505,0.13301,0,-0.08434,-0.08434,0.65258,2.62672,-0.09517,-0.03174,-0.03582,65.5124,24.56081
"5","2013_Q2",28.690625,"Up",46133000,-3340000,42793000,-46672000,-36958000,-7236000,-2478000,-3879000,-201000,-4080000,-4755000,-44000,-4799000,-4799000,-4799000,-4799000,94498000,94498000,12327000,12327000,6880000,6880000,113705000,15772000,57817000,6641000,73589000,187294000,18173000,3086000,3086000,21259000,601000,601000,601000,21860000,231525000,-65187000,-904000,165434000,165434000,187294000,-4799000,2478000,5761000,-3614000,-174000,-943000,-969000,-1912000,1576000,1657000,1576000,-510000,-510000,-116000,-626000,-1401000,0,-5914000,0.9276,-0.08408,-0.10403,-0.02901,-0.02562,1.23234,5.34856,0.13214,0,-0.0753,-0.0753,0.72385,2.59574,-0.09279,-0.0289,-0.03562,67.45039,24.36143
"6","2013_Q3",51.211875,"Up",55023000,-4018000,51005000,-51585000,-40951000,-7997000,-2637000,-580000,-66000,-646000,-646000,-232000,-878000,-878000,-878000,-878000,96795000,96795000,14769000,14769000,6441000,6441000,118005000,19779000,59758000,8364000,79537000,197542000,19618000,2739000,2739000,22357000,688000,688000,688000,23045000,240752000,-66065000,-190000,174497000,174497000,197542000,-878000,2637000,6507000,-2978000,5288000,-4023000,-1785000,-5808000,2835000,2947000,2835000,2315000,2315000,-18000,2297000,2057000,0,-4712000,0.92698,-0.01054,-0.01596,-0.00503,-0.00444,5.36674,5.27821,0.13207,0,-0.0136,-0.0136,0.85207,2.7022,-0.07297,-0.00501,-0.0269,-47.05639,166.88793
"7","2013_Q4",66.21125,"Up",61181000,-4277000,56904000,-58685000,-44661000,-11208000,-2816000,-1781000,-31000,-1812000,-1812000,-510000,-2322000,-2322000,-2322000,-2322000,101214000,101214000,17192000,17192000,6809000,6809000,125215000,25921000,73194000,8608000,99115000,224330000,24879000,2221000,2221000,27100000,799000,799000,799000,27899000,262675000,-68387000,2143000,196431000,196431000,224330000,-2322000,2816000,7986000,-1486000,6994000,-4581000,-1126000,-7764000,4923000,5098000,4923000,4153000,4153000,266000,4419000,1035000,0,-4522000,0.93009,-0.02911,-0.03795,-0.01182,-0.01035,1.94746,4.62048,0.14203,0,-0.03543,-0.03543,0.93363,2.99757,-0.06901,-0.01177,-0.02293,-97.7913,56.82987
"8","2014_Q1",84.5085245901639,"Up",70651000,-4926000,65725000,-67633000,-52307000,-11802000,-3524000,-1908000,-109000,-2017000,-2017000,-52000,-2069000,-2069000,-2069000,-2069000,389764000,389764000,21317000,21317000,5752000,5752000,416833000,30666000,68478000,3553000,99144000,515977000,22368000,2621000,2621000,24989000,4505000,4505000,4505000,29494000,553753000,-70456000,3186000,486483000,486483000,515977000,-2069000,3524000,9533000,-1664000,9324000,-6696000,3353000,-3343000,280073000,280379000,282386000,288367000,288367000,183000,288550000,1616000,0,-6692000,0.93028,-0.02701,-0.02928,-0.00425,-0.00401,3.23441,16.68066,0.06063,0,-0.03006,-0.03006,1.02659,7.06882,-0.09724,-0.00421,-0.01363,-241.19059,204.27883
"9","2014_Q2",65.0665079365079,"Down",76407000,-5077000,71330000,-75934000,-58291000,-13982000,-3661000,-4604000,-2000,-4606000,-4606000,1971000,-2635000,-2635000,-2635000,-2635000,399320000,399320000,21376000,21376000,9087000,9087000,429783000,33298000,70393000,6143000,103691000,533474000,25570000,2184000,2184000,27754000,5784000,5784000,5784000,33538000,569925000,-73091000,3102000,499936000,499936000,533474000,-2635000,3661000,10603000,-2306000,9323000,-4246000,-1989000,-6235000,6374000,6735000,6413000,9501000,9501000,55000,9556000,-943000,0,-9466000,0.93355,-0.06026,-0.03449,-0.00527,-0.00494,3.59241,15.48544,0.06708,0,-0.03702,-0.03702,1.07357,7.02443,-0.133,-0.00521,-0.01872,423.45705,86.73328
"10","2014_Q3",74.5440625,"Up",88787000,-5845000,82942000,-79815000,-61055000,-14726000,-4034000,3127000,-15000,3112000,3112000,-369000,2743000,2743000,2743000,2743000,350815000,290386000,25450000,25450000,7960000,7960000,384225000,37462000,69765000,6498000,168931000,553156000,23301000,2186000,2186000,25487000,6424000,6424000,6424000,31911000,588829000,-70348000,2764000,521245000,521245000,553156000,2743000,4034000,11145000,-7256000,10666000,-2952000,-124961000,-127913000,3825000.00000003,4106000.00000003,8333000.00000003,-108914000,-108914000,-20000,-108934000,7161000,0,-2678000,0.93417,0.03522,0.03089,0.00526,0.00496,-0.976299999999999,15.07533,0.06122,0,0.03825,0.03029,1.23807,7.26839,-0.03734,0.0052,-0.00508,-48.9896700000001,-112.189
