"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","demand_deposits","interest_bearing_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",15.0468253968254,"Down",125787000,87418000,103140000,-15722000,38369000,31049000,6951000,-15095000,110692000,-76361000,-10255000,-66106000,34331000,34331000,34331000,-10876000,23455000,23455000,23455000,23455000,191973000,1922453000,6170878000,6170878000,145113000,18944000,291104000,541151000,9293215000,7147053000,1511080000,5635973000,571711000,327670000,118252000,8164686000,263667000,860398000,4464000,1128529000,1128529000,9293215000,6227000,260818000,-188161000,102339000,10893000,8101000,112959000,131953000,-14817000,-202120000,-41412000,2511000,-255838000,-21546000,-21546000,-21546000,40558000,899381000,-125834000,0.27293,0.18647,0.02078,0.00252,-5.36491,7.2348,0.09678,0.36677,0.36545,1.96696,17.64705,-1.96769,0.2317,0.00412,-0.01354,0.63172,17.44189,20.60552
"2","2010_Q3",13.62734375,"Down",133433000,88486000,103128000,-14642000,44947000,33079000,10013000,-10398000,123035000,-84428000,-10523000,-73905000,38607000,38607000,38607000,-12446000,26161000,26161000,26161000,26161000,186365000,1985283000,6054995000,6054995000,143536000,18062000,291104000,565200000,9244545000,7139394000,1539598000,5599796000,492367000,328030000,142374000,8102165000,253133000,870532000,18715000,1142380000,1142380000,9244545000,6470000,216969000,-221660000,27940000,11102000,-29340000,89960000,71722000,-14825000,-83132000,-7659000,346000,-105270000,-5608000,-5608000,-5608000,45077000,820397000,-153035000,0.28934,0.19606,0.0229,0.00283,-5.84974,7.09236,0.08874,0.40909,0.40761,2.08652,17.86364,-2.39304,0.23182,0.00443,-0.01655,0.56668,14.06553,16.42272
"3","2010_Q4",15.18890625,"Up",131546000,87567000,101101000,-13534000,43979000,33673000,10302000,-12259000,119287000,-84423000,-10709000,-73714000,34864000,34864000,34864000,-9004000,25860000,25860000,25860000,25860000,196136000,2144128000,5998704000,5998704000,143393000,17181000,291104000,626259000,9416905000,7025336000,1709311000,5316025000,633065000,438359000,161353000,8258113000,254288000,881545000,22959000,1158792000,1158792000,9416905000,8016000,329036000,-366171000,-3259000,14024000,-132271000,19724000,-98523000,-14831000,240470000,-114058000,-28000,111553000,9771000,9771000,9771000,42880000,1071424000,-300263000,0.26503,0.19659,0.02232,0.00275,-11.6111,7.12648,0.11378,0.40438,0.40292,2.05701,18.12028,-4.69528,0.23192,0.00432,-0.03189,0.57351,20.4125,25.10578
"4","2011_Q1",15.965,"Up",127184000,88552000,100849000,-12297000,38632000,31959000,6572000,-11794000,115390000,-80437000,-10462000,-69975000,34953000,34953000,34953000,-9793000,25160000,25160000,25160000,25160000,161544000,2318096000,6060242000,6060242000,142289000,16306000,291104000,552548000,9553902000,7044567000,1636625000,5407942000,700138000,537005000,122708000,8404418000,269993000,890917000,-11426000,1149484000,1149484000,9553902000,8197000,383229000,-336828000,79758000,5463000,-265872000,-89971000,-350380000,-14829000,231329000,19231000,299000,236030000,-34592000,-34592000,-34592000,43150000,1237143000,-278422000,0.27482,0.19782,0.02189,0.00263,-11.06606,7.31147,0.12949,0.39343,0.39201,1.9888,17.97473,-4.35375,0.23188,0.00419,-0.02914,0.58939,24.92698,30.77272
"5","2011_Q2",15.7355555555556,"Down",122746000,86375000,97985000,-11610000,36371000,30880000,5484000,-7537000,115209000,-80018000,-10270000,-69748000,35191000,35191000,35191000,-11178000,24013000,24013000,24013000,24013000,193087000,2419758000,5964089000,5964089000,141524000,15532000,291104000,487642000,9514462000,7426274000,1668104000,5758170000,550919000,266255000,110785000,8354233000,260297000,898222000,1710000,1160229000,1160229000,9514462000,7412000,246829000,-178237000,100017000,13286000,-104753000,78999000,-12468000,-14866000,-423604000,381707000,757000,-56006000,31543000,31543000,31543000,42603000,817174000,-111170000,0.2867,0.19563,0.0207,0.00252,-4.62958,7.2005,0.08589,0.3755,0.37414,1.91941,18.14275,-1.73839,0.23246,0.00409,-0.01168,0.61908,14.6489,17.73428
"6","2011_Q3",14.2534375,"Down",134262000,87830000,99402000,-11572000,46432000,32327000,14054000,-8116000,126146000,-81348000,-10780000,-70568000,44798000,44798000,44798000,-13196000,31602000,31602000,31602000,31602000,221853000,2486965000,5994874000,5994874000,148125000,15651000,291104000,535303000,9698451000,7632334000,1806908000,5825426000,539693000,204629000,129025000,8505681000,277299000,911797000,3674000,1192770000,1192770000,9698451000,7642000,201682000,-204576000,36350000,6374000,-22907000,45785000,108148000,-14874000,-102081000,1710999.99999994,-488000,-115732000,28766000,28766000,28766000,52440000,744322000,-132566000,0.33366,0.23538,0.02649,0.00326,-4.19486,7.13103,0.07675,0.49321,0.49165,2.09542,18.61551,-2.06895,0.23214,0.00479,-0.01367,0.47067,9.96318,11.66278
"7","2011_Q4",15.0928571428571,"Up",129952000,85680000,96193000,-10513000,44272000,34222000,10017000,-7978000,121974000,-85481000,-11485000,-73996000,36493000,36493000,36493000,-9525000,26968000,26968000,26968000,26968000,245132000,2547951000,5862776000,5862776000,148836000,14861000,291104000,586451000,9705921000,7569724000,1871040000,5698684000,576672000,211315000,126604000,8484315000,278109000,923891000,19606000,1221606000,1221606000,9705921000,9561000,217617000,-257299000,-3153000,8760000,-43935000,106866000,71691000,-14874000,32301000,-62610000,-76000,-45259000,23279000,23279000,23279000,46054000,787987000,-192960000,0.28082,0.20752,0.02208,0.00278,-7.15515,6.94521,0.08119,0.4213,0.41987,2.03012,19.08402,-3.01443,0.23236,0.00431,-0.01988,0.55154,11.78736,14.87559
"8","2012_Q1",17.0777419354839,"Up",121837000,89058000,98399000,-9341000,32779000,31680000,1110000,-6697000,115140000,-83003000,-11323000,-71680000,32137000,32137000,32137000,-7879000,24258000,24258000,24258000,24258000,202625000,2526698000,5933786000,5933786000,148913000,14076000,291104000,600547000,9727007000,7566363000,2033442000,5532921000,604500000,199323000,141784000,8511970000,279390000,932526000,3121000,1215037000,1215037000,9727007000,9845000,316378000,-310106000,40375000,14037000,23000.0000000149,-86147000,-72087000,-14871000,7771000.00000001,-3361000,-334000,-10795000,-42507000,-42507000,-42507000,41982000,803823000,-246208000,0.26377,0.1991,0.01996,0.00249,-10.14956,7.00552,0.08264,0.37728,0.37623,1.89491,18.89726,-3.82923,0.23129,0.00402,-0.02531,0.61303,14.32038,18.70735
"9","2012_Q2",17.2001587301587,"Up",130729000,86944000,95882000,-8938000,43785000,31682000,11053000,-3099000,127630000,-85774000,-10747000,-75027000,41856000,41856000,41856000,-11536000,30320000,30320000,30320000,30320000,213500000,2647674000,5949068000,5949068000,161982000,18821000,291104000,643143000,9931593000,8090746000,2024290000,6066456000,254878000,193726000,150723000,8690073000,295882000,944101000,1537000,1241520000,1241520000,9931593000,8207000,372970000,-375181000,36316000,3130000,-134931000,77550000,23900000,-14900000,-349548000,315587000,-480000,-49341000,10875000,10875000,10875000,50063000,448604000,-310452000,0.32017,0.23193,0.02442,0.00305,-10.23918,6.99954,0.04517,0.47156,0.47025,2.03321,19.30914,-4.82841,0.23174,0.00455,-0.03126,0.49142,4.69616,5.61697
"10","2012_Q3",17.498253968254,"Up",130208000,86448000,94414000,-7966000,43760000,33734000,10034000,-2322000,127886000,-87959000,-11750000,-76209000,39927000,39927000,39927000,-10578000,29349000,29349000,29349000,29349000,284735000,2640674000,5809050000,5809050000,162571000,19356000,291104000,676631000,9890846000,7995857000,2063261000,5932596000,297669000,190305000,148520000,8632351000,296519000,958322000,3654000,1258495000,1258495000,9890846000,9113000,424446000,-493719000,-30811000,5837000,41761000,121944000,169542000,-15021000,42898000,-94889000.0000001,-484000,-67496000,71235000,71235000,71235000,49040000,487974000,-428264000,0.30664,0.2254,0.02332,0.00297,-14.59212,6.85927,0.04934,0.45312,0.45209,2.01028,19.42991,-6.61197,0.23191,0.00449,-0.0433,0.51181,4.14435,5.09026
