"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.4484126984127,"Up",1.008e+09,-5.98e+08,4.1e+08,-1.72e+08,-1.72e+08,2.38e+08,-4.5e+07,-4.5e+07,1.93e+08,1.93e+08,-7.3e+07,3e+06,1.23e+08,1.21e+08,1.21e+08,1.21e+08,4.16e+08,4.16e+08,5.14e+08,5.14e+08,3.14e+08,2.7e+08,1.244e+09,2.81e+08,6.784e+09,1.97e+09,4.369e+09,4.45e+08,7.065e+09,8.309e+09,5.1e+08,5.1e+08,1.33e+08,3.47e+08,9.9e+08,3.381e+09,8.2e+08,5.83e+08,2.37e+08,4.201e+09,5.191e+09,7.31e+08,-2.035e+09,4.492e+09,-7e+07,3.118e+09,3.118e+09,8.309e+09,1.23e+08,1.21e+08,8.4e+07,5e+06,1e+07,5e+06,-1e+07,4.8e+07,3.9e+07,9e+06,2.6e+08,-4.2e+07,-4.2e+07,7e+06,-3.5e+07,-1.26e+08,-1.26e+08,-1.26e+08,11768180756.6361,-5e+07,2.1e+07,-7.1e+07,5e+06,-1.71e+08,5.4e+07,5.3e+07,5.3e+07,3.22e+08,3.514e+09,4.01e+08,0.40675,0.23611,0.12004,0.03881,0.01456,3.31405,1.25657,1.66485,0.42291,0.19836,0.19681,1.65246,5.11148,0.65738,-45.9349352286826,0.01624,0.05381,9.62112,13.01681
"2","2010_Q3",12.56015625,"Up",1.022e+09,-5.86e+08,4.36e+08,-1.85e+08,-1.85e+08,2.51e+08,-4.6e+07,-4.6e+07,2.05e+08,2.05e+08,-7.8e+07,3e+06,1.3e+08,1.27e+08,1.27e+08,1.27e+08,3.38e+08,3.38e+08,5e+08,5e+08,3.08e+08,2.66e+08,1.146e+09,2.73e+08,6.763e+09,1.941e+09,4.375e+09,4.47e+08,7.036e+09,8.182e+09,4.7e+08,4.7e+08,57999999.9999999,3.18e+08,8.46e+08,3.381e+09,8.34e+08,5.85e+08,2.49e+08,4.215e+09,5.061e+09,7.38e+08,-2.16e+09,4.619e+09,-7.6e+07,3.121e+09,3.121e+09,8.182e+09,1.3e+08,1.27e+08,8.3e+07,1.1e+07,1e+07,4e+06,-3e+06,-5.3e+07,1.9e+07,-7.2e+07,1.71e+08,-4.2e+07,-4.2e+07,7e+06,-4.3e+07,-7.6e+07,-7.6e+07,-76000000.0000001,4245226918.8787,-1.26e+08,9e+06,-1.35e+08,0,-2.02e+08,-74000000.0000001,-7.8e+07,-7.8e+07,3.34e+08,3.439e+09,3.17e+08,0.42661,0.2456,0.12427,0.04069,0.01552,2.49606,1.35461,1.6216,0.42031,0.20957,0.20792,1.68647,5.15017,0.5231,-16.6986321219641,0.01718,0.04287,9.28443,12.35458
"3","2010_Q4",14.09703125,"Up",1.025e+09,-5.89e+08,4.36e+08,-1.85e+08,-1.85e+08,2.51e+08,-4.9e+07,-4.9e+07,2.02e+08,2.02e+08,-7.3e+07,5e+06,1.34e+08,1.32e+08,1.32e+08,1.32e+08,7.43e+08,7.43e+08,5.43e+08,5.43e+08,4.47e+08,3.31e+08,1.733e+09,2.7e+08,6.611e+09,1.911e+09,4.377e+09,3.23e+08,6.881e+09,8.614e+09,5.34e+08,5.34e+08,2.53e+08,3.27e+08,1.114e+09,3.453e+09,8.19e+08,6.17e+08,2.02e+08,4.272e+09,5.386e+09,7.44e+08,-2.198e+09,4.751e+09,-6.9e+07,3.228e+09,3.228e+09,8.614e+09,1.34e+08,1.32e+08,8.5e+07,1.6e+07,9e+06,1.2e+07,-5e+06,-1.2e+07,-4.1e+07,2.9e+07,2.23e+08,-4.5e+07,-4.5e+07,-1.8e+07,-6.4e+07,2.68e+08,2.68e+08,-4.8e+08,7.48e+08,-3.7e+07,1.1e+07,-4.8e+07,-1.3e+07,2.18e+08,3.77e+08,4.05e+08,4.05e+08,3.36e+08,3.706e+09,3.52e+08,0.42537,0.24488,0.12878,0.04089,0.01532,2.66667,1.55566,1.66853,0.43023,0.22059,0.21883,1.7129,5.39439,0.58824,-0.136987045736529,0.01703,0.0454,8.81845,11.80478
"4","2011_Q1",15.3316129032258,"Up",1.078e+09,-6.13e+08,4.65e+08,-1.98e+08,-1.98e+08,2.67e+08,-4.8e+07,-5.8e+07,2.19e+08,1.93e+08,-7.7e+07,3e+06,1.19e+08,1.16e+08,1.16e+08,1.16e+08,5.63e+08,5.63e+08,5.72e+08,5.72e+08,2.82e+08,2.45e+08,1.417e+09,2.67e+08,6.597e+09,1.879e+09,4.377e+09,3.41e+08,6.864e+09,8.281e+09,5.37e+08,5.37e+08,3e+06,3.51e+08,8.91e+08,3.353e+09,8.08e+08,6.27e+08,1.81e+08,4.161e+09,5.052e+09,7.52e+08,-2.34e+09,4.867e+09,-5e+07,3.229e+09,3.229e+09,8.281e+09,1.19e+08,1.16e+08,8.7e+07,8.9e+07,1e+07,1.6e+07,6.3e+07,9000000.00000001,-2.9e+07,3.8e+07,3.04e+08,-4.6e+07,-4.6e+07,7.2e+07,2.6e+07,-3.78e+08,-3.78e+08,-3.78e+08,0,-1.38e+08,2.1e+07,-1.59e+08,0,-5.16e+08,-1.86e+08,-1.8e+08,-1.8e+08,3.54e+08,3.356e+09,3.94e+08,0.43135,0.24768,0.10761,0.03592,0.01401,3.39655,1.59035,1.56457,0.40527,0.19595,0.19385,1.82095,5.45439,0.66554,7,0.01569,0.05329,7.88983,10.46067
"5","2011_Q2",15.601746031746,"Up",1.048e+09,-6.24e+08,4.24e+08,-2.03e+08,-2.03e+08,2.21e+08,-4.5e+07,-4.5e+07,1.76e+08,1.76e+08,-6.4e+07,2e+06,1.14e+08,1.12e+08,1.12e+08,1.12e+08,5.17e+08,5.17e+08,5.28e+08,5.28e+08,3.01e+08,2.61e+08,1.346e+09,2.76e+08,6.635e+09,1.895e+09,4.388e+09,3.52e+08,6.911e+09,8.257e+09,5.94e+08,5.94e+08,3e+06,3.49e+08,9.46e+08,3.352e+09,8.21e+08,6.48e+08,1.73e+08,4.173e+09,5.119e+09,7.55e+08,-2.555e+09,4.979e+09,-4.1e+07,3.138e+09,3.138e+09,8.257e+09,1.14e+08,1.12e+08,8.5e+07,7e+06,1.2e+07,4e+06,-9e+06,7.7e+07,4.8e+07,2.9e+07,2.83e+08,-5.6e+07,-5.6e+07,-6e+06,-1.11e+08,-146062884.785762,-146062884.785762,-608318220.689623,643766824.299186,-2.2e+08,3.2e+07,-2.52e+08,2e+06,-2.18e+08,-4.6e+07,-4.6e+07,-4.6e+07,3.06e+08,3.355e+09,3.91e+08,0.40458,0.21088,0.10687,0.03569,0.01356,3.49107,1.42283,1.63129,0.40632,0.19191,0.18957,1.79575,5.37697,0.66998,7.96232901524551,0.01531,0.05346,9.27451,12.84163
"6","2011_Q3",14.09140625,"Down",1.065e+09,-6.24e+08,4.41e+08,-1.9e+08,-1.9e+08,2.51e+08,-4.8e+07,-5.4e+07,2.03e+08,1.42e+08,-4.9e+07,4e+06,9.7e+07,9e+07,9e+07,9e+07,6.75e+08,6.75e+08,5.47e+08,5.47e+08,3.01e+08,2.59e+08,1.523e+09,2.72e+08,6.601e+09,1.855e+09,4.392e+09,3.54e+08,6.873e+09,8.396e+09,5.18e+08,5.18e+08,3.03e+08,3.33e+08,1.154e+09,3.35e+09,8.06e+08,6.36e+08,1.7e+08,4.156e+09,5.31e+09,7.63e+08,-2.699e+09,5.069e+09,-4.7e+07,3.086e+09,3.086e+09,8.396e+09,9.7e+07,9e+07,8.8e+07,5.7e+07,9e+06,-2e+06,5e+07,-1.07e+08,-2e+07,-8.7e+07,1.35e+08,-4.6e+07,-4.6e+07,1999999.99999999,-43999999.9999999,2.41e+08,2.41e+08,-7.57e+08,9.98e+08,-1.63e+08,1.8e+07,-1.81e+08,-4e+06,73999999.9999999,1.65e+08,1.58e+08,1.58e+08,3.39e+08,3.653e+09,2.35e+08,0.41408,0.23568,0.08451,0.02916,0.01072,2.61111,1.31976,1.72067,0.43509,0.15789,0.15593,1.86842,5.41404,0.41228,6,0.01193,0.03115,8.78466,11.86454
"7","2011_Q4",14.2761904761905,"Up",1.063e+09,-6.31e+08,4.32e+08,-1.89e+08,-1.89e+08,2.43e+08,-4.5e+07,-4.5e+07,1.98e+08,1.74e+08,-5.5e+07,8e+06,1.27e+08,1.27e+08,1.27e+08,1.27e+08,2.81e+08,2.81e+08,5.79e+08,5.79e+08,3.51e+08,3.04e+08,1.211e+09,2.62e+08,6.978e+09,1.95e+09,4.709e+09,3.19e+08,7.24e+09,8.451e+09,7.17e+08,7.17e+08,4e+06,3.21e+08,1.042e+09,3.514e+09,7.43e+08,6.44e+08,9.9e+07,4.257e+09,5.299e+09,7.69e+08,-2.734e+09,5.196e+09,-7.9e+07,3.152e+09,3.152e+09,8.451e+09,1.27e+08,1.27e+08,8.6e+07,6.9e+07,8e+06,3.4e+07,2.7e+07,-1.9e+07,-2.2e+07,3e+06,2.63e+08,-4.2e+07,-4.2e+07,4.2e+07,-4.62e+08,-1.57e+08,-1.57e+08,-3.48e+08,1.91e+08,-3.8e+07,1.3e+07,-5.1e+07,0,-1.95e+08,-3.94e+08,-3.94e+08,-3.94e+08,3.29e+08,3.518e+09,3.23e+08,0.4064,0.2286,0.11947,0.04029,0.01503,2.54331,1.16219,1.68115,0.41628,0.22486,0.22296,1.88208,5.58074,0.57188,5,0.01713,0.04357,9.83891,13.32099
"8","2012_Q1",16.2664516129032,"Up",1.113e+09,-6.25e+08,4.88e+08,-2.13e+08,-2.13e+08,2.75e+08,-4.4e+07,-4.4e+07,2.31e+08,2.31e+08,-8.6e+07,4e+06,1.49e+08,1.43e+08,1.43e+08,1.43e+08,3.37e+08,3.37e+08,6.66e+08,6.66e+08,3.53e+08,3.09e+08,1.356e+09,2.58e+08,6.934e+09,1.881e+09,4.72e+09,3.33e+08,7.192e+09,8.548e+09,8.36e+08,8.36e+08,1.79e+08,3.69e+08,1.384e+09,3.216e+09,6.9e+08,6.17e+08,7.3e+07,3.906e+09,5.29e+09,7.79e+08,-2.782e+09,5.339e+09,-7.8e+07,3.258e+09,3.258e+09,8.548e+09,1.49e+08,1.43e+08,8.6e+07,0,1e+07,-6999999.99999999,-3e+06,2.9e+07,-8.9e+07,1.18e+08,2.64e+08,-4.6e+07,-4.6e+07,0,-46000000.0000001,-1.21e+08,-1.21e+08,-1.21e+08,0,-3.9e+07,1e+07,-4.9e+07,1e+06,-1.59e+08,5.9e+07,55999999.9999999,55999999.9999999,3.61e+08,3.395e+09,4.3e+08,0.43845,0.24708,0.12848,0.04389,0.01673,3.00699,0.97977,1.6237,0.39717,0.25427,0.25105,1.97902,5.79303,0.76458,8,0.01947,0.05856,8.47091,11.12
"9","2012_Q2",17.1088888888889,"Up",1.097e+09,-6.53e+08,4.44e+08,-2.05e+08,-2.05e+08,2.39e+08,-4.3e+07,-4.3e+07,1.96e+08,1.96e+08,-6.7e+07,3e+06,1.32e+08,1.32e+08,1.32e+08,1.32e+08,3.11e+08,3.11e+08,6.5e+08,6.5e+08,3.55e+08,3.17e+08,1.316e+09,2.6e+08,6.908e+09,1.851e+09,4.721e+09,3.36e+08,7.168e+09,8.484e+09,7.99e+08,7.99e+08,1.78e+08,3.76e+08,1.353e+09,3.218e+09,6.98e+08,6.2e+08,7.8e+07,3.916e+09,5.269e+09,7.81e+08,-2.975e+09,5.471e+09,-6.2e+07,3.215e+09,3.215e+09,8.484e+09,1.32e+08,1.32e+08,8.7e+07,6e+06,1.4e+07,-1e+06,-7e+06,9e+06,1.8e+07,-9e+06,2.34e+08,-5.8e+07,-5.8e+07,-14492996.9129926,-5.8e+07,-32469765.310135,-32469765.310135,81712881.3968939,-117311877.015884,-2.08e+08,3.5e+07,-2.43e+08,4e+06,-2.04e+08,-2.8e+07,-2.6e+07,-2.6e+07,3.26e+08,3.396e+09,3.44e+08,0.40474,0.21787,0.12033,0.04106,0.01556,2.60606,0.97265,1.63888,0.40028,0.23792,0.23488,1.97729,5.79488,0.62004,8,0.01806,0.04707,9.46319,12.90795
"10","2012_Q3",17.841746031746,"Up",1.087e+09,-6.26e+08,4.61e+08,-2.04e+08,-2.04e+08,2.57e+08,-3.8e+07,-4.4e+07,2.19e+08,2.19e+08,-6e+07,3e+06,1.62e+08,1.61e+08,1.61e+08,1.61e+08,3.02e+08,3.02e+08,6.06e+08,6.06e+08,3.75e+08,3.36e+08,1.283e+09,2.56e+08,6.877e+09,1.814e+09,4.718e+09,3.45e+08,7.133e+09,8.416e+09,7.15e+08,7.15e+08,1.78e+08,3.42e+08,1.235e+09,3.237e+09,6.91e+08,6.1e+08,8.1e+07,3.928e+09,5.163e+09,7.92e+08,-3.098e+09,5.632e+09,-7.3e+07,3.253e+09,3.253e+09,8.416e+09,1.62e+08,1.61e+08,8.6e+07,1e+06,1.1e+07,-1e+06,-9e+06,-1.03e+08,4.3e+07,-1.46e+08,1.46e+08,-4.3e+07,-4.3e+07,3999999.99999999,-3.9e+07,1.8e+07,1.8e+07,-1.38e+08,1.56e+08,-1.36e+08,1.7e+07,-1.53e+08,3e+06,-1.15e+08,-7999999.99999997,-9e+06,-9e+06,3.43e+08,3.415e+09,2.57e+08,0.4241,0.23643,0.14811,0.04949,0.01913,1.59627,1.03887,1.58715,0.40577,0.29574,0.2923,1.99669,5.97539,0.47208,7,0.02188,0.03492,9.0758,12.11284
