"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"1","2017_Q2",12.5652380952381,"Down",233681000,-162544000,71137000,-68212000,-10137000,-32689000,2925000,-14009000,-14009000,-11084000,-23734000,6e+06,-17734000,-17734000,-17734000,-17734000,-17734000,-17734000,10137000,-246000,-3820000,-11663000,-169000,-1184000,-1353000,12097000,-4836000,7261000,-5755000,-5755000,-5755000,13062000,0,3073000,0.30442,0.01252,-0.07589,-0.17328,-0.49145,-0.49145,6.47585,0.08516
"2","2017_Q3",11.3285714285714,"Down",263386000,-171672000,91714000,-66913000,-9825000,-31861000,24801000,-14091000,-14091000,10710000,2189000,-552000.000000004,1637000,1637000,1637000,1637000,1637000,1637000,9825000,6972999.99999999,-13105000,5330000,-3048000,-704000,-3752000,1081000,-3174000,-2093000,-515000,-515000,-515000,34626000,-2.98023223876953e-08,19025000,0.34821,0.09416,0.00622,11.62187,0.0451099999999999,0.0451100000000001,7.25801,0.52426
"3","2017_Q4",12.8126984126984,"Up",257966000,-172594000,85372000,-68172000,-9632000,-33184000,17200000,-15097000,-15097000,2103000,-5741000,1580000,-4161000,-4161000,-4161000,-4161000,-4161000,-4161000,9632000,6321000,-6467000,5325000,-3835000,-2381000,-6216000,1261000,-853000,408000,-483000,-483000,-483000,26832000,0,14950000,0.33094,0.06668,-0.01613,-3.59289,-0.11449,-0.11449,7.09809,0.41136
"4","2018_Q1",15.3704918032787,"Up",285736000,-183503000,102233000,-75871000,-9665000,-32097000,26362000,-14491000,-14491000,11871000,-50088000,-34325000,-84413000,-84413000,-84413000,-84413000,-84413000,-84413000,9665000,97104000,8757000,31113000,-4394000,-3302000,-7696000,-38774000,-674000,-22313000,1104000,1104000,1104000,36027000,450264000,74715000,0.35779,0.09226,-0.29542,-0.88511,-2.32116,-2.32116,7.85708,2.05449
"5","2018_Q2",17.5321875,"Up",233995000,-162640000,71355000,-66062000,-9330000,-31096000,5293000,-12263000,-12263000,-6970000,-28814000,6196000,-22618000,-22618000,-22618000,-22618000,-22618000,-22618000,9330000,14241000,-9426000,-8473000,-3548000,-2632000,-6180000,64228000,-19092000,45136000,30483000,30483000,30483000,14623000,515547000,-4547000,0.30494,0.02262,-0.09666,0.20103,-0.6197,-0.6197,6.41109,-0.12458
"6","2018_Q3",18.9144444444444,"Up",266966000,-176246000,90720000,-66331000,-9272000,-30536000,24389000,-7317000,-7317000,17072000,12836000,92000,12928000,12928000,12928000,12928000,12928000,12928000,9272000,2387000,793999.999999998,25381000,-6092000,-1788000,-7880000,-1581000.00000001,-59000,-1640000,15861000,15861000,15861000,33661000,514541000,28271000,0.33982,0.09136,0.04843,2.1868,0.35138,0.35138,7.25609,0.7684
"7","2018_Q4",19.3109523809524,"Up",262946000,-175834000,87112000,-68257000,-8950000,-30999000,18855000,-8939000,-8939000,9916000,6809000,-2440000,4369000,4369000,4369000,4369000,4369000,4369000,8950000,5167000,1765000,20251000,-3212000,-2568000,-5780000,-1522000,-726000,-2248000,12223000,12223000,12223000,27805000,511993000,28798000,0.33129,0.07171,0.01662,6.59144,0.11853,0.11853,7.13379,0.7813
"8","2019_Q1",19.8231147540984,"Up",284853000,-188089000,96764000,-69259000,-8903000,-31271000,27505000,-9047000,-9047000,18458000,13549000,-9086000,4463000,4463000,4463000,4463000,4463000,4463000,8903000,11294000,16708000,41368000,-1895000,-3445000,-7318000,-12560000,10214000,-2282000,31768000,31768000,31768000,36408000,510673000,60307000,0.3397,0.09656,0.01567,13.51266,0.12092,0.12092,7.71782,1.63396
"9","2019_Q2",19.3569841269841,"Down",236419000,-165261000,71158000,-70610000,-8773000,-33555000,548000,-8538000,-8538000,-7990000,-10690000,3739000,-6951000,-6951000,-6951000,-6951000,-6951000,-6951000,8773000,8551000,-43173000,-32800000,-5917000,-1429000,-35025000,-3152000,-3626000,-6778000,-74603000,-74603000,-74603000,9321000,499300000,-43508000,0.30098,0.00232,-0.0294,6.25924,-0.18785,-0.18785,6.38936,-1.17583
"10","2019_Q3",18.7771875,"Down",281098000,-183062000,98036000,-71859000,-8760000,-33741000,26177000,-8481000,-8481000,17696000,14449000,-4414000,10035000,10035000,10035000,10035000,10035000,10035000,8760000,17541000,-7074999.99999999,29261000,-7413000,-2101000,-9751000,-1764000,-28000,-1792000,17718000,17718000,17718000,34937000,498310000,24863000,0.34876,0.09312,0.0357,2.47763,0.26902,0.25878,7.53573,0.666529999999999
"11","2019_Q4",23.73484375,"Up",279638000,-186801000,92837000,-71978000,-9373000,-32771000,20859000,-8954000,-8954000,11905000,8276000,-2585000,5691000,5691000,5691000,5691000,5691000,5691000,9373000,-16440000,24860000,23484000,-4751000,-1635000,-10055000,-1904000,-56000,-1711000,11718000,11718000,11718000,30232000,497239000,52926000,0.33199,0.07459,0.02035,9.29995,0.15237,0.14982,7.48696,1.41703
"12","2020_Q1",22.6114516129032,"Down",300891000,-195563000,105328000,-88175000,-9019000,-35157000,17153000,-8285000,-8285000,8868000,18444000,306000,18750000,18750000,18750000,18750000,18750000,18750000,9019000,1676000,9456000,38901000,-5754000,-1573000,-12327000,-2525000.00000001,-427000,-2102000,24472000,24472000,24472000,26172000,498873000,29568000,0.35005,0.05701,0.06231,1.57696,0.50114,0.48711,8.04204,0.79028
"13","2020_Q2",16.8931746031746,"Down",233739000,-166426000,67313000,-76644000,-8831000,-36044000,-9331000,-8269000,-8269000,-17600000,-17600000,1852000,-15748000,-15748000,-15748000,-15748000,-15748000,-15748000,8831000,8903000,-23956000,-21970000,-5931000,-2536000,-8493000,76139000,-4146000,71993000,41530000,41530000,41530000,-5e+05,576428000,-32239000,0.28798,-0.03992,-0.06737,2.04718,-0.41948,-0.41948,6.22616,-0.85876
"14","2020_Q3",18.03265625,"Up",233434000,19213000,252647000,-213944000,-8879000,-8435000,38703000,-8637000,-8637000,30066000,30066000,988000,31054000,31054000,31054000,31054000,31054000,31054000,8879000,5062000,57036000,102031000,-8677000,-779000,-26218000,-59052000,-2896000,-61909000,13904000,13904000,13904000,47582000,544008000,94953000,1.08231,0.1658,0.13303,3.05767,0.81811,0.79003,6.14973,2.5015
"15","2020_Q4",20.50859375,"Up",256637000,-334670000,-78033000,90950000,-8803000,-29728000,12917000,-8012000,-8012000,4905000,4905000,1910000,6815000,6815000,6815000,6815000,6815000,6815000,8803000,5131000,24428000,45177000,-3166000,-129000,-3361000,-23625000,-534000,-24159000,17657000,17657000,17657000,21720000,521391000,41072000,-0.30406,0.05033,0.02656,6.02671,0.1787,0.17643,6.72945,1.07698
"16","2021_Q1",22.9029508196721,"Up",277340000,-185350000,91989999.9999999,-63004000,-8334000,-25803000,28986000,-7527000,-7527000,21459000,21459000,-5388000,16071000,16071000,16071000,16071000,16071000,16071000,8334000,16030000,-10106000,30329000,-2836000,-13000,-7796000,-25500000,5999.99999999977,-25441000,-2908000,-2908000,-2908000,37320000,503097000,29766000,0.33169,0.10451,0.05795,1.85216,0.42116,0.41295,7.26802,0.78005
"17","2021_Q2",24.9342857142857,"Up",237470000,-165217000,72253000,-70399000,-7998000,-31498000,1854000,-7340000,-7340000,-5486000,-5486000,2156000,-3330000,-3330000,-3330000,-3330000,-3330000,-3330000,7998000,1121000,-48155000,-42366000,-5745000,-395000,-25517000,-2249000,-4520000,-6403000,-74286000,-74286000,-74286000,9852000,505390000,-46204000,0.30426,0.00781,-0.01402,13.87508,-0.08702,-0.08702,6.20539,-1.20737
"18","2021_Q3",23.1559375,"Down",280819000,-186987000,93832000,-73905000,-8007000,-32788000,19927000,-7152000,-7152000,12775000,12775000,-2616000,10159000,10159000,10159000,10159000,10159000,10159000,8007000,5467000,9418000.00000001,33051000,-6262000,-475000,-22709000,-4445000,-40000,-4480000,5862000,5862000,5862000,27934000,507502000,33706000,0.33414,0.07096,0.03618,3.31785,0.26547,0.26547,7.33816,0.88078
"19","2021_Q4",18.59359375,"Down",289827000,-191676000,98151000,-72650000,-8159000,-34871000,25501000,-7313000,-7313000,18188000,18188000,2929000,21117000,21117000,21117000,21117000,21117000,21117000,8159000,4303000,-23619000,9960000,-3382000,-839000,-8125000,-1788000,-791000,-2426000,-591000,-591000,-591000,33660000,506979000,3730000,0.33865,0.08799,0.07286,0.17663,0.54778,0.53817,7.51815,0.09676
"20","2022_Q1",18.2598387096774,"Down",312372000,-208703000,103669000,-78947000,-8355000,-36473000,24722000,-7059000,-7059000,17663000,17663000,-3627000,14036000,14036000,14036000,14036000,14036000,14036000,8355000,7557000,5617000,35565000,-4739000,-571000,-46135000,-3429000,104000,-3325000,-13895000,-13895000,-13895000,33077000,517245000,37582000,0.33188,0.07914,0.04493,2.67754,0.35741,0.35762,7.95428,0.95699
"21","2022_Q2",16.2211290322581,"Down",261287000,-187427000,73860000,-76565000,-7955000,-36168000,-2705000,-7385000,-7385000,-10090000,-10090000,2113000,-7977000,-7977000,-7977000,-7977000,-7977000,-7977000,7955000,557000,-8833000,-8298000,-3452000,-450000,-7903000,-4616000,-3452000,-8068000,-24269000,-24269000,-24269000,5250000,514090000,-9148000,0.28268,-0.01035,-0.03053,1.1468,-0.20589,-0.2038,6.74382,-0.23611
"22","2022_Q3",17.72703125,"Up",312033000,-208868000,103165000,-82538000,-8124000,-38970000,20627000,-7524000,-7524000,13103000,13103000,-2986000,10117000,10117000,10117000,10117000,10117000,10117000,8124000,5326000,15676000,39243000,-5752000,-908000,-15149000,-37162000,-26000,-37137000,-13043000,-13043000,-13043000,28751000,480658000,41661000,0.33062,0.06611,0.03242,4.11792,0.25881,0.25775,7.98245,1.06577
