"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",19.156875,"Up",74675000,-48101000,26574000,-17961000,-11177000,-5975000,-5202000,-5121000,-1663000,8613000,-1808000,-2252000,6000,6805000,6805000,-2603000,3876000,3876000,3876000,3876000,223335000,106678000,44950000,18103000,3818000,3818000,290206000,11285000,68895000,27740000,5987000,80180000,370386000,30955000,24919000,13637000,8396000,5241000,44592000,138101000,5866000,5866000,143967000,188559000,227297000,-45359000,-111000,181827000,181827000,370386000,3876000,3876000,2596000,5806000,-3169000,9109000,-812000,-2167000,105000,105000,-42000,-362000,6580000,6580000,6580000,11209000,138101000,9831000,0.35586,0.11534,0.0519,0.02132,0.01046,2.53638,6.50803,1.03702,0.37286,0.10672,0.10532,2.05609,5.00639,0.27068,0.0119,0.03018,-7.60407,-9.89597
"22","2016_Q1",17.7814754098361,"Down",70807000,-43251000,27556000,-23026000,-16240000,-6060000,-10180000,-5122000,-1664000,4530000,-964000,-2415000,3000.00000000003,3566000,3566000,2443000,5506000,5506000,5506000,5506000,228106000,139388000,49432000,16731000,4498000,4498000,298767000,11225000,74371000,30213000,10640000,85596000,384363000,31752000,24938000,17813000,9438000,8375000,49565000,139800000,5551000,5551000,145351000,194916000,229526000,-39853000,-226000,189447000,189447000,384363000,5506000,5506000,2638000,-23000,1408000,9529000,-929000,22945000,691000,691000,-104999.999999999,235999.999999993,32710000,32710000,32710000,7168000,139800000,5204000,0.38917,0.06398,0.07776,0.02906,0.01433,0.94515,6.02778,1.02887,0.36372,0.14732,0.14638,1.8945,5.06882,0.13924,0.01645,0.01554,-12.31948,-19.4936
"23","2016_Q2",15.280625,"Down",91147000,-56313000,34834000,-36872000,-27291000,-11308000,-15983000,-6091000,-3490000,-2038000,-1428000,-2424000,543000,-3466000,-3466000,1119000,-2659000,-2659000,-2659000,-2659000,117630000,67490000,69390000,27650000,7221000,7221000,221891000,19306000,184392000,28076000,10696000,203698000,425589000,46974000,36141000,35666000,16823000,18843000,82640000,141499000,12624000,12624000,154123000,236763000,232071000,-42512000,-733000,188826000,188826000,425589000,-2659000,-2659000,5311000,3865000,1805000,8322000,-1620000,-80781000,721000,721000,-160000,561000,-71898000,-71898000,-71898000,3273000,141499000,2339000,0.38217,-0.02236,-0.02917,-0.01408,-0.00625,-0.87965,2.68503,1.25387,0.33248,-0.07245,-0.07245,2.48364,5.14526,0.06373,-0.00775,0.00682,7.2927,-11.71197
"24","2016_Q3",14.90921875,"Down",90479000,-52865000,37614000,-33708000,-23967000,-12683000,-11284000,-5885000,-3856000,3906000,-2149000,-2474000,-130000,1757000,1757000,-864000,521000,521000.000000001,521000.000000001,521000.000000001,117004000,94705000,68766000,27999000,7314000,7314000,221083000,21599000,177477000,28604000,10777000,199076000,420159000,47404000,36604000,34800000,16855000,17945000,82204000,143260000,13500000,13500000,156760000,238964000,224044000,-41991000,-858000,181195000,181195000,420159000,521000,521000.000000001,6067000,3711000,695000,10994000,-1907000,25918000,-8392000,59000,-1256000,-9648000,27264000,27264000,27215000,9973000,143260000,9625000,0.41572,0.04317,0.00576,0.00287999999999999,0.00124,18.47409,2.68944,1.31882,0.34097,0.01441,0.01441,2.50281,5.01217,0.26624,0.00154,0.02848,2.63271,6.72197
"25","2016_Q4",14.3047619047619,"Down",83350000,-48233000,35117000,-33324000,-24170000,-12818000,-11352000,-5297000,-3857000,1793000,-2865000,-2479000,-587000,-1072000,-1072000,-135000,-1527000,-1527000,-1527000,-1527000,100822000,75147000,66969000,31484000,7847000,7847000,207122000,21676000,173949000,28024000,11287000,195625000,402747000,44369000,33392000,29623000,15243000,14380000,73992000,145021000,15244000,15244000,160265000,234257000,212492000,-43518000,-484000,168490000,168490000,402747000,-1527000,-1527000,5859000,5159000,-9012000,479000,-2291000,-6346000,-13418000,54000,-198000,-13616000,-19483000,-19483000,-19558000,7652000,145021000,-3516000,0.42132,0.02151,-0.01832,-0.00906,-0.00379,2.30255,2.79925,1.39033,0.36008,-0.04273,-0.04273,2.33225,4.71459,-0.09838,-0.00464,-0.01069,5.77614,24.65086
"26","2017_Q1",15.7606451612903,"Up",86126000,-50339000,35787000,-39325000,-30735000,-12235000,-18500000,-4732000,-3858000,-3538000,-1864000,-2519000,73000,-5402000,-5402000,1443000,-4239000,-4239000,-4239000,-4239000,100428000,93706000,67403000,29279000,9595000,9595000,206705000,21162000,180272000,27504000,12565000,201434000,408139000,38221000,30266000,39620000,14662000,24958000,77841000,146827000,20229000,20229000,167056000,244897000,211540000,-47757000,-541000,163242000,163242000,408139000,-4239000,-4239000,6232000,2006000,2002000,6001000,-2144000,15623000,-2950000,127000,-166000,-3116000,18508000,18508000,18559000,2694000,146827000,1109000,0.41552,-0.04108,-0.04922,-0.02597,-0.01039,-0.261620000000001,2.65548,1.50021,0.35975,-0.12084,-0.12084,2.45513,4.65342,0.03161,-0.01283,0.00336,17.22309,-13.11447
"27","2017_Q2",18.4498412698413,"Up",88081000,-50638000,37443000,-38771000,-29081000,-12671000,-16410000,-5832000,-3858000,-1328000,-2069000,-2518000,116000,-3397000,-3397000,1080000,-2654000,-2654000,-2654000,-2654000,109236000,108690000,65501000,32803000,9391000,9391000,216931000,21198000,189005000,40637000,11954000,210203000,427134000,39296000,33586000,45465000,15928000,29537000,84761000,148643000,19582000,19582000,168225000,252986000,213297000,-38730000,-419000,174148000,174148000,427134000,-2654000,-2654000,5883000,2199000,5480000,10908000,-2079000,4028000,96000,96000,-156000,-60000,14876000,14876000,14984000,4555000,148643000,6876000,0.4251,-0.01508,-0.03013,-0.01524,-0.00621,-2.59081,2.55933,1.45271,0.348,-0.07568,-0.07568,2.51172,4.96601,0.19608,-0.00775,0.02008,8.65137,-29.67395
"28","2017_Q3",19.202380952381,"Up",89767000,-52929000,36838000,-33706000,-23271000,-12515000,-10756000,-6725000,-3710000,3132000,-1856000,-2567000,315000,1276000,16308000,-3699000,12233000,12233000,12233000,12233000,130638000,126636000,64492000,31103000,11770000,11770000,238003000,20935000,187053000,38270000,16013000,207988000,445991000,41469000,34721000,46039000,15804000,30235000,87508000,150506000,21766000,21766000,172272000,259780000,213377000,-26497000,-669000,186211000,186211000,445991000,12233000,12233000,5668000,6817000,383000.000000001,25101000,-1634000,-5806000,32000,32000,-2179000,-2147000,17148000,17148000,17946000,8800000,150506000,11248000,0.41037,0.03489,0.13628,0.06569,0.02743,0.91948,2.71979,1.39508,0.33746,0.34749,0.33172,2.54991,5.28948,0.31951,0.03412,0.03138,2.25773,6.34355
"29","2017_Q4",22.4453968253968,"Up",93669000,-55482000,38187000,-33980000,-23974000,-12981000,-10993000,-6296000,-3710000,4207000,-1943000,-2573000,11000,2264000,15565000,-3351000,11805000,11805000,11805000,11805000,151239000,138095000,70190000,39115000,11433000,11433000,271977000,21217000,182204000,35923000,17203000,203421000,475398000,51230000,42399000,47241000,15843000,31398000,98471000,152378000,23471000,23471000,175849000,274320000,215897000,-14692000,-127000,201078000,201078000,475398000,11805000,11805000,5680000,7177000,-1940000,22722000,-2257000,-11592000,17000,17000,-117000,-1e+05,11030000,11030000,11459000,9887000,152378000,9041000,0.40768,0.04491,0.12603,0.05871,0.02483,0.76586,2.762,1.36425,0.32053,0.33398,0.32569,2.65006,5.68885,0.25579,0.03132,0.02399,0.1152,0.27074
"30","2018_Q1",23.5793442622951,"Up",94395000,-55973000,38422000,-36478000,-25859000,-11929000,-13930000,-6908000,-3711000,1944000,-1711000,-2622000,3000,233000,233000,-4711000,-4767000,-4767000,-4767000,-4767000,156003000,132603000,71580000,36302000,1.2e+07,1.2e+07,275885000,21262000,175846000,31581000,18829000,197108000,472993000,46084000,35478000,49445000,17757000,31688000,95529000,154299000,24249000,24249000,178548000,274077000,218574000,-19459000,-199000,198916000,198916000,472993000,-4767000,-4767000,5726000,8781000,-1577000,8163000,-2369000,-13081000,185000,185000,-142000.000000001,43000,-4875000,-4875000,-5492000,7670000,154299000,8435000,0.40703,0.02059,-0.0505,-0.02396,-0.01008,-1.76946,2.88797,1.37785,0.32622,-0.13473,-0.13109,2.66788,5.62195,0.2384,-0.01263,0.02235,-0.22216,-0.876539999999999
"31","2018_Q2",21.8771875,"Down",94888000,-56797000,38091000,-35282000,-25933000,-12497000,-13436000,-6601000,-2748000,2809000,-2038000,-2665000,-226000,771000,10721000,-1771000,8511000,8511000,8511000,8511000,178770000,169509000,69814000,32557000,13076000,13076000,294217000,21087000,178118000,32200000,23407000,199205000,493422000,49410000,42939000,51773000,20232000,31541000,101183000,156230000,33568000,33568000,189798000,290981000,215166000,-12109000,-616000,202441000,202441000,493422000,8511000,8511000,4791000,5867000,11743000,30912000,-2121000,12098000,-5642000,68000,-233000,-5875000,37135000,37135000,36906000,7600000,156230000,18993000,0.40143,0.0296,0.0897,0.04204,0.01725,2.23158,2.90777,1.43736,0.31663,0.24003,0.23348,2.67607,5.70932,0.53565,0.0217,0.04842,-2.96579,-8.02421
"32","2018_Q3",23.2087301587302,"Up",96037000,-56216000,39821000,-35006000,-24514000,-12523000,-11991000,-7599000,-2893000,4815000,-3037000,-3767000,-277000,1778000,-821000.000000002,497000,-853999.999999998,-854000.000000002,-854000.000000002,-854000.000000002,304998000,273972000,70981000,31194000,14482000,14482000,421655000,22405000,166863000,21421000,25773000,189268000,610923000,43703000,36159000,52304000,20683000,31621000,96007000,268980000,36200000,36200000,305180000,401187000,223329000,-12963000,-630000,209736000,209736000,610923000,-853999.999999998,-854000.000000002,5191000,7574000,-5990000,5921000,-3649000,-26529000,-22821000,33000,-31579000,125039000,104431000,104431000,104463000,10006000,268980000,-129999.999999996,0.41464,0.05014,-0.00889,-0.00406999999999998,-0.0014,0.15222,4.39192,1.91282,0.44028,-0.02451,-0.02451,2.75572,6.01825,-0.00373000000000001,-0.00166,-0.00025,-3.59964,-7.48037
"33","2018_Q4",18.0460317460317,"Down",88495000,-52114000,36381000,-34535000,-24465000,-12746000,-11719000,-7177000,-2893000,1846000,-3954000,-5134000,-218000,-2108000,-855000,778000,-522000,-522000,-522000,-522000,301761000,271613000,72426000,31515000,13733000,13733000,419435000,23192000,165420000,21859000,26759000,188612000,608047000,39870000,31556000,58009000,20030000,37979000,97879000,272420000,36195000,36195000,308615000,406494000,215683000,-13485000,-645000,201553000,201553000,608047000,-522000,-522000,5154000,6659000,-31000,11260000,-3114000,-2717000,-10413000,23000,-173000,-10586000,-2043000,-2043000,-2359000,7e+06,272420000,3077000,0.41111,0.02086,-0.0059,-0.00259,-0.00086,-5.89464,4.28524,2.01681,0.44802,-0.0151,-0.0151,2.56055,5.8318,0.08903,-0.00102,0.00603,-4.19157,-15.89437
"34","2019_Q1",13.7370491803279,"Down",32118000,-20533000,11585000,14721000,14282000,93000,14189000,-4164000,4603000,26306000,-3111000,-5160000,49000,23195000,17802000,1108000,13537000,11263000,11263000,11263000,274012000,256500000,78079000,32033000,19373000,19373000,403497000,27023000,173106000,22626000,22510000,200129000,603626000,48706000,39898000,34886000,24264000,10622000,83592000,275905000,38476000,38476000,314381000,397973000,208541000,-2227000,-661000,205653000,205653000,603626000,13537000,11263000,-5350000,10754000,-22361000,-353000,-1515000,-4637000.00000001,-1e+07,-7.27595761418343e-12,10344000,-10083000,-15073000,-15073000,-15113000,20956000,275905000,-4028000,0.3607,0.81904,0.35068,0.05477,0.01866,-0.357630000000001,4.82698,1.93517,0.45708,0.33634,0.31896,0.95912,6.14128,-0.12029,0.02166,-0.00775,0.0903300000000078,0.0719599999999989
"35","2019_Q2",12.2507936507937,"Down",89070000,-53659000,35411000,-42057000,-32131000,-14647000,-17484000,-6886000,-3040000,-6646000,-3774000,-5456000,-399000,-10420000,-10420000,2257000,-8693000,-8693000,-8693000,-8693000,200137000,190296000,73639000,41905000,23768000,23768000,339449000,54794000,257451000,30211000,51088000,312245000,651694000,63517000,32893000,25156000,7917000,17239000,212152000,174892000,65538000,65538000,240430000,452582000,210962000,-10920000,-930000,199112000,199112000,651694000,-8693000,-8693000,6885000,3605000,-7280000,-5483000,-4954000,-60823000,97000,97000,-288000,-191000,-66497000,-66497000,-66204000,239000,298371000,-14252000,0.39756,-0.07462,-0.0976,-0.04366,-0.01334,1.63948,1.60003,2.273,0.45784,-0.26042,-0.26042,2.66828,5.96483,-0.42695,-0.01544,-0.02531,411.02092,-14.78092
"36","2019_Q3",10.7259375,"Down",93236000,-55566000,37670000,-40003000,-28761000,-15868000,-12893000,-7924000,-3318000,-2333000,-4106000,-5555000,193000,-6439000,-8711000,1342000,-7369000,-7369000,-7369000,-7369000,201473000,193684000,75600000,49541000,24555000,24555000,351169000,56920000,251353000,27863000,50131000,308273000,659442000,49599000,40270000,47214000,31889000,15325000,220994000,175916000,69236000,69236000,245152000,466146000,213533000,-18289000,-1948000,193296000,193296000,659442000,-7369000,-7369000,8509000,8477000,-4514000,5103000,-5766000,-1334999.99999999,898000,898000,-1441000,-542999.999999996,3225000.00000001,3225000.00000001,3387999.99999999,6176000,300097000,-5446000,0.40403,-0.0250199999999999,-0.07904,-0.03812,-0.01117,0.73904,1.58904,2.41157,0.45508,-0.21952,-0.21952,2.77744,5.75817,-0.16223,-0.0131,-0.00968,15.9689099999999,-42.27347
"37","2019_Q4",10.59109375,"Down",96597000,-59713000,36884000,-40033000,-28966000,-14683000,-14283000,-7742000,-3325000,-3149000,-3647000,-4987000,232000,-6796000,-10052000,2637000,-7415000,-7415000,-7415000,-7415000,103560000,101634000,83462000,44035000,22196000,22196000,253253000,57127000,252031000,30372000,49574000,309158000,562411000,36993000,36993000,59883000,34939000,24944000,129831000,176378000,65549000,65549000,241927000,371758000,217140000,-25704000,-783000,190653000,190653000,562411000,-7415000,-7415000,8343000,6010000,-3255000,3683000,-6917000,-156000,53000,53000,-94781000,-94728000,-91201000,-91201000,-92050000,5194000,209333000,-7615000,0.38183,-0.0326,-0.07676,-0.03889,-0.01318,1.02697,1.95064,1.94992,0.37221,-0.21927,-0.21927,2.85646,5.63779,-0.22518,-0.01593,-0.01636,20.36446,-33.58939
"38","2020_Q1",8.51096774193548,"Down",42870000,-27342000,15528000,-7629000,-7e+06,-2181000,-4819000,-4441000,3812000,7899000,-4185000,-4098000,-139000,3714000,-1385000,-26690000,-28075000,-55827000,-55827000,-55827000,107404000,107404000,64639000,32472000,33351000,20433000,237866000,55878000,202061000,4437000,45140000,257939000,495805000,33684000,24635000,54672000,32427000,14499000,121475000,177088000,59323000,56515000,236411000,357886000,220825000,-81531000,-1375000,137919000,137919000,495805000,-28075000,-55827000,-425000,28273000,3761000,8241000,-3664000,-3384000,822000,822000,94503000,642000.000000015,5499000,5499000,5769999.99999999,7474000,210207000,34261000,0.36221,0.18425,-1.30224,-0.40478,-0.1126,-0.6137,1.95815,2.5949,0.42397,-1.64618,-1.64618,1.26412,4.06685,1.01026,-0.13702,0.08409,13.75475,13.01469
"39","2020_Q2",6.71761904761905,"Down",73731000,-44626000,29105000,-29313000,-22201000,-10437000,-11764000,-5936000,-1176000,-208000,-4267000,-4077000,-208000,-4475000,-6348000,-240000,-6588000,-14422000,-14422000,-14422000,104071000,104071000,66997000,36079000,23334000,23334000,230481000,54150000,195615000,4357000,47114000,249765000,480246000,31841000,31841000,61647000,33706000,27941000,98978000,198120000,57954000,57954000,256074000,355052000,224391000,-96087000,-3110000,125194000,125194000,480246000,-6588000,-14422000,5398000,4987000,2385000,5941000,-2762000,-3091000,23000,23000,-80000,-7712000,-4862000,-4862000,-3333000,5190000,203610000,5053000,0.39475,-0.00282,-0.1956,-0.1152,-0.03003,-0.35037,2.32861,2.83601,0.42397,-0.42388,-0.42388,2.16703,3.67958,0.14851,-0.03729,0.01307,19.179,-478.55288
"40","2020_Q3",8.14625,"Up",74397000,-46935000,27462000,-31416000,-23653000,-11476000,-12177000,-6573000,-1190000,-3954000,-2960000,-3857000,217000,-6914000,-7344000,-266000,-7610000,-9478000,-9478000,-9478000,107145000,107145000,68387000,31495000,24274000,24274000,231301000,53640000,196591000,4565000,48460000,250231000,481532000,31214000,31214000,66619000,35001000,31618000,103017000,199282000,60255000,60255000,259537000,362554000,226718000,-105565000,-2175000,118978000,118978000,481532000,-7610000,-9478000,5464000,4470000,7008000,8180000,-2978000,-4472000,886000,886000,8595000.00000001,-519000.000000004,3189000,3189000,3074000,1510000,204466000,5806000,0.36913,-0.05315,-0.1274,-0.07966,-0.01968,-0.61258,2.24527,3.04724,0.42462,-0.27668,-0.27668,2.17179,3.4732,0.16949,-0.0247,0.01513,64.45099,-24.6133
"41","2020_Q4",8.76109375,"Up",78512000,-47274000,31238000,-31409000,-23792000,-11830000,-11962000,-6416000,-1201000,-171000,-3348000,-3880000,-52000,-3519000,-3419000,-319000,-3738000,-23680000,-23680000,-23680000,91692000,91692000,67852000,32162000,23520000,23520000,215226000,44576000,182021000,4441000,44169000,226597000,441823000,45475000,36834000,57119000,36003000,21116000,107384000,180646000,54475000,54475000,235121000,342505000,229676000,-129245000,-1113000,99318000,99318000,441823000,-3738000,-23680000,5568000,4536000,6640000,10222000,-3233000,-3527000,0,0,-10072000,-20072000,-13377000,-13377000,-15453000,5397000,185436000,9123000,0.39788,-0.00218,-0.30161,-0.23843,-0.0536,-0.38526,2.00427,3.44857,0.41971,-0.68447,-0.68447,2.2694,2.87079,0.2637,-0.06981,0.02689,17.36965,-548.21053
"42","2021_Q1",11.036393442623,"Up",81947000,-47347000,34600000,-33733000,-25633000,-12459000,-13174000,-6886000,-1214000,867000,-3196000,-3673000,-360000,-2329000,-3485000,264000,-3221000,-8729000,-8729000,-8729000,94624000,94624000,63325000,23663000,32676000,24804000,214288000,41081000,178436000,4889000,41442000,219517000,433805000,48528000,35767000,54400000,32924000,17380000,107245000,182154000,49321000,47548000,231475000,338720000,234044000,-137974000,-985000,95085000,95085000,433805000,-3221000,-8729000,5572000,2505000,-379000,4242000,-2383000,-2604000,1058000,1058000,-71000,986999.999999996,2625000,2625000,2932000,6439000,186471000,3413000,0.42222,0.01058,-0.10652,-0.0918,-0.02012,-0.391,1.99812,3.56229,0.42985,-0.2517,-0.2517,2.36295,2.74178,0.09841,-0.02638,0.01032,14.26417,105.93656
"43","2021_Q2",12.9601587301587,"Up",79674000,-47227000,32447000,-33677000,-25484000,-12462000,-13022000,-6940000,-1253000,-1230000,-4477000,-3849000,-1276000,-5707000,-5707000,-293000,-6e+06,-1948000,-1948000,-1948000,96184000,96184000,64486000,17950000,25193000,25193000,203813000,39944000,176907000,4757000,40658000,216851000,420664000,40153000,28996000,52375000,31904000,20471000,96310000,183923000,44704000,44704000,228627000,324937000,235728000,-139922000,-79000,95727000,95727000,420664000,-6e+06,-1948000,5483000,4845000,-3855000,78000,-3093000,3523000,248000,248000,-2289000,-2041000,1560000,1560000,1560000,4253000,187705000,-2402000,0.40725,-0.01544,-0.02445,-0.02035,-0.00463,1.23306,2.11622,3.39441,0.44621,-0.05591,-0.05591,2.28659,2.7473,-0.06894,-0.00594,-0.00732,21.51916,-74.40732
"44","2021_Q3",11.49984375,"Down",79011000,-45641000,33370000,-34368000,-25245000,-12047000,-13198000,-7729000,-1394000,-998000,-4094000,-3804000,-710000,-5092000,-5092000,-333000,-5425000,-5425000,-5425000,-5425000,101051000,101051000,62293000,17161000,24862000,24862000,205367000,38742000,175080000,4529000,40924000,213822000,419189000,42649000,30518000,53580000,31401000,22179000,99615000,185661000,43601000,43601000,229262000,328877000,236361000,-145347000,-702000,90312000,90312000,419189000,-5425000,-5425000,5636000,5295000,4867000,10373000,-3476000,-3476000,652000,652000,-1728000,-1076000,5821000,5821000,4867000,4638000,189047000,6362000,0.42235,-0.01263,-0.06866,-0.06007,-0.01294,-1.17272,2.06161,3.64156,0.45098,-0.15433,-0.15433,2.2477,2.56919,0.18099,-0.0168,0.0197,18.97283,-88.17234
"45","2021_Q4",9.62734375,"Down",68777000,-40757000,28020000,-34579000,-26014000,-11504842.359658,-14127938.3012842,-7179000,-1386000,-6559000,-3778000,-3830000,-98000,-10337000,-10337000,-205000,-10542000,-11437000,-11437000,-11437000,91114000,91114000,58589000,20180000,23705000,23705000,193588000,37962000,170741000,4230000,39496000,208703000,402291000,41243000,30780000,50719000,29217000,21502000,94879000,187679000,39552000,39552000,227231000,322110000,239402000,-156784000,-2437000,80181000,80181000,402291000,-10542000,-11437000,5967000,5845000,-8408000,-7138000,-3773000,-4668000,0,0,-111000,-111000,-11917000,-11917000,-9937000,-592000,190596000,-12568000,0.4074,-0.09537,-0.16629,-0.14264,-0.02843,1.09889,2.04037,4.01729,0.47378,-0.33258,-0.33258,1.99997,2.33159,-0.36547,-0.03685,-0.0405,-168.04392,-15.16725
"46","2022_Q1",6.62532258064516,"Down",68377000,-40328000,28049000,-32132000,-24154000,-11191599.6834187,-15073124.3735445,-6596000,-1382000,-4083000,-4242000,-3840000,-359000,-8325000,-8925000,-256000,-9181000,-9181000,-9181000,-9181000,79221000,79221000,61544000,18269000,22348000,22348000,181382000,37674000,172525000,4165000,41959000,210199000,391581000,42744000,31815000,45125000,26174000,18951000,90454000,189703000,36022000,36022000,225725000,316179000,242747000,-165965000,-1380000,75402000,75402000,391581000,-9181000,-9181000,5718000,5359000,-9427000,-7531000,-2956000,-2956000,630000,630000,-45000,585000,-9902000,-9902000,-11893000,1635000,192288000,-10492000,0.41021,-0.05971,-0.13427,-0.12176,-0.02345,1.14279,2.00524,4.19324,0.49106,-0.26697,-0.26697,1.98834,2.19262,-0.3051,-0.03023,-0.03455,69.1541300000001,-27.69214
"47","2022_Q2",6.04887096774194,"Down",64726000,-39079000,25647000,-34982000,-26640000,-11478000,-15162000,-7e+06,-1342000,-9335000,-2589000,-1533000,-942000,-11924000,-11924000,-249000,-12173000,-12173000,-12173000,-12173000,59040000,59040000,66049000,19281000,23973000,23973000,168343000,37217000,169233000,3894000,40593000,206450000,374793000,38574000,28954000,44743000,23691000,21052000,85581000,226906000,33717000,33717000,260623000,346204000,178279000,-148499000,-1191000,28589000,28589000,374793000,-12173000,-12173000,5498000,3482000,-12357000,-15550000,-3630000,-3630000,1327928.61175604,1327931.39694199,-1001000,-1001000,-20181000,-20181000,-20181000,-3837000,229170000,-19575000,0.39624,-0.14422,-0.18807,-0.42579,-0.03248,1.60807,1.96706,12.10969,0.61146,-0.34076,-0.34076,1.81189,0.8003,-0.54797,-0.04176,-0.06716,-44.33933,-18.22496
"48","2022_Q3",4.94609375,"Down",72828000,-43816000,29012000,-34351000,-26264000,-12734000,-13530000,-6757000,-1330000,-5339000,-2029000,-1464000,-507000,-7368000,-7368000,-126000,-7494000,-7494000,-7494000,-7494000,47721000,47721000,74802000,22145000,24781000,24781000,169449000,34621000,166968000,3633000,41189000,201589000,371038000,50044000,39863000,39053000,23378000,15675000,90925000,226892000,31401000,31401000,258293000,349218000,180834000,-155993000,-3021000,21820000,21820000,371038000,-7494000,-7494000,5389000,3562000,-11582000,-10125000,-1261000,-1261000,502000,502000,-567000,-65000,-11451000,-11451000,-11319000,50000.0000000019,228720000,-12667000,0.39836,-0.07331,-0.1029,-0.34345,-0.0202,1.69029,1.86361,16.00449,0.61643,-0.20813,-0.20813,2.02266,0.60601,-0.3518,-0.02658,-0.04493,3619.98,-33.90129
