"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",11.8878125,"Up",53746000,-35265000,18481000,-15604000,-8797000,-4985000,-3812000,-5158000,-1649000,2877000,-169000,-122000,-47000,2708000,2708000,-1023000,1685000,1685000,1685000,1685000,24495000,24495000,25501000,12443000,12307000,5449000,74746000,4448000,81200000,33166000,1156000,85648000,160394000,20081000,15882000,10829000,6626000,4203000,33055000,5409000,1990000,1990000,7399000,40454000,203424000,-83419000,-65000,119940000,119940000,160394000,1685000,1685000,2067000,1711000,321000,5784000,-404000,-47241000,333000,333000,-258000,2851000,-38606000,-38606000,-38606000,4944000,7554000,5884000,0.34386,0.05353,0.03135,0.01405,0.01051,3.49199,2.26126,0.33729,0.0471,0.04875,0.04725,1.55488,3.46988,0.17023,0.01301,0.04544,-3.42658,-5.88843
"12","2013_Q3",16.105,"Up",58807000,-38968000,19839000,-15082000,-8302000,-4884000,-3418000,-5296000,-1484000,4757000,-81000,-87000,5999.99999999999,4676000,4676000,-1832000.00000001,2844000,2844000,2844000,2844000,29678000,29678000,27556000,14162000,11606000,4966000,83002000,4421000,78443000,31580000,1469000,82864000,165866000,25026000,20188000,9932000,6698000,3234000,37398000,4689000,2232000,2232000,6921000,44319000,202187000,-80575000,-65000,121547000,121547000,165866000,2844000,2844000,1948000,2553000,681000,8026000,-437000,-437000,806000,806000,-2733000,-2406000,5183000.00000001,5183000.00000001,5183000,6705000,7129000,8781000,0.33736,0.08089,0.04836,0.0234,0.01715,3.08755,2.21942,0.36462,0.04298,0.0817100000000001,0.0793699999999999,1.68947,3.49193,0.25227,0.02173,0.06708,-3.36301,-4.74017
"13","2013_Q4",24.25640625,"Up",63503000,-42508000,20995000,-14963000,-8211000,-4920000,-3291000,-5267000,-1485000,6032000,-77000,-67000,-10000,5955000,5955000,-1748000,4207000,4207000,4207000,4207000,31108000,31108000,30897000,12541000,10689000,4326000,85235000,4426000,75645000,30184000,1490000,80071000,165306000,22523000,17005000,10383000,6699000,3684000,34144000,1131000,2293000,2293000,3424000,37568000,204171000,-76368000,-65000,127738000,127738000,165306000,4207000,4207000,1952000,2528000,-3092000,5595000,-534000,-534000,1212000,1212000,-36000,-3631000,1430000,1430000,1430000,7984000,2369000,6106000,0.33061,0.09499,0.06625,0.03293,0.02545,1.45139,2.49634,0.2941,0.01433,0.11962,0.11619,1.8056,3.63202,0.17361,0.03177,0.04612,-3.59957,-4.76442
"14","2014_Q1",30.4044262295082,"Up",59847000,-39231000,20616000,-15939000,-8943000,-5048000,-3895000,-5331000,-1665000,4677000,-105000,-131000,-16000,4572000,4572000,-1505000,3067000,3067000,3067000,3067000,27733000,19233000,36904000,14968000,12636000,5017000,92241000,5899000,80607000,35131000,923000,87024000,179265000,27102000,20508000,13860000,8251000,5609000,42118000,702000,3298000,3298000,4e+06,46118000,206513000,-73301000,-65000,133147000,133147000,179265000,3067000,3067000,2138000,2406000,-4200000,3411000,-758000,-15964000,1577000,1577000,-29999.9999999998,678000,-11875000,-11875000,-11875000,6815000,1858000,3362000,0.34448,0.07815,0.05125,0.02303,0.01711,1.09619,2.19006,0.34637,0.01036,0.08681,0.08428,1.69385,3.76845,0.09515,0.02218,0.02431,-3.79677,-5.53239
"15","2014_Q2",20.4096825396825,"Down",58981000,-38762000,20219000,-15615000,-8814000,-5177000,-3637000,-5118000,-1683000,4604000,-87000,-101000,14000,4517000,4517000,-1824000,2693000,2693000,2693000,2693000,34174000,22052000,34799000,14959000,12001000,4384000,95933000,5669000,79889000,33464000,3461000,85558000,181491000,24243000,20314000,13554000,8366000,5188000,38991000,476000,4946000,4946000,5422000,44413000,207751000,-70608000,-65000,137078000,137078000,181491000,2693000,2693000,2187000,2682000,-230000,7332000,-1410000,-4514000,502000,502000,-84000,1000,2819000,2819000,2819000,6791000,1670000,6975000,0.34281,0.07806,0.04566,0.01965,0.01484,2.59005,2.46039,0.324,0.0092,0.07571,0.07373,1.65807,3.85354,0.19608,0.01874,0.04854,-4.78633,-7.05995
"16","2014_Q3",18.40078125,"Down",59210000,-38714000,20496000,-15463000,-8813000,-4921000,-3892000,-5016000,-1634000,5033000,-4000,-86000,-9000.00000000001,5029000,5029000,-1751000,3278000,3278000,3278000,3278000,36844000,23296000,38277000,20175000,11825000,4317000,107121000,6795000,76912000,31858000,3742000,83707000,190828000,32932000,28725000,13912000,8405000,5507000,47706000,238000,4482000,4482000,4720000,52426000,205797000,-67330000,-65000,138402000,138402000,190828000,3278000,3278000,2453000,2780000,222000,8733000,-1957000,-3425000,39000,39000,-2929000,-4064000,1244000,1244000,1244000,7486000,1100000,7502000,0.34616,0.085,0.05536,0.02368,0.01718,2.28859,2.24544,0.3788,0.00576,0.09174,0.08988,1.65706,3.87333,0.20995,0.02277,0.0521,-4.77478,-7.10193
"17","2014_Q4",18.5496875,"Up",63225000,-41121000,22104000,-15649000,-9162000,-5162000,-4e+06,-4852000,-1635000,6455000,-34000,-49000,-22000,6421000,6421000,-2400000,4021000,4021000,4021000,4021000,36927000,23964000,45367000,19575000,11111000,3646000,112980000,7433000,74750000,29515000,5532000,85227000,198207000,34781000,29699000,14752000,8450000,6302000,50110000,197000,4341000,4341000,4538000,54648000,206933000,-63309000,-65000,143559000,143559000,198207000,4021000,4021000,2355000,3626000,-4610000,5392000,-1523000,-3984000,0,0,-32000,-740000,668000,668000,668000,8810000,774000,5077000,0.34961,0.1021,0.0636,0.02801,0.02029,1.26262,2.25464,0.38067,0.00391,0.112,0.11009,1.76109,3.99875,0.14142,0.02705,0.03415,-4.10363,-5.60077
"18","2015_Q1",17.9386885245902,"Down",69190000,-44605000,24585000,-15737000,-9231000,-5182000,-4049000,-4868000,-1638000,8848000,-15000,-60000,-51000,8833000,8833000,-2317000,6516000,6516000,6516000,6516000,44361000,34184000,47917000,18666000,5110000,5110000,116054000,10525000,76038000,34822000,3137000,86563000,202617000,29534000,24012000,17471000,10748000,6723000,47005000,-3.72529029846191e-09,4227000,4227000,4227000,51232000,208243000,-56793000,-65000,151385000,151385000,202617000,6516000,6516000,2391000,3186000,-4905000,7188000,-2547000,3272000,177000,177000,-43000.0000000019,-239999.999999993,10220000,10220000,10220000,11239000,0,6104000,0.35533,0.12788,0.09418,0.04304,0.03216,0.93677,2.46897,0.33842,3.46944695195361e-18,0.18135,0.17804,1.92564,4.21321,0.16988,0.04187,0.03923,-3.94706,-5.01368
"19","2015_Q2",18.985873015873,"Up",65429000,-41903000,23526000,-16482000,-10273000,-5498000,-4775000,-4565000,-1644000,7044000,-631000,-648000,-11000,6413000,6413000,-2354000,4059000,4059000,4059000,4059000,184021000,116430000,45072000,16043000,17726000,4200000,262862000,10958000,61086000,18628000,4033000,97325000,360187000,30013000,25934000,15582000,9495000,6087000,45979000,135043000,5598000,5598000,140641000,186620000,226366000,-52734000,-65000,173567000,173567000,360187000,4059000,4059000,2436000,3851000,5982000,16328000,-1264000,-85459000,137000,137000,-36626000,151377000,82246000,82246000,82246000,9480000,135427000,16552000,0.35957,0.10766,0.06204,0.02339,0.01127,4.07785,5.717,1.0752,0.37599,0.11286,0.1107,1.81929,4.82613,0.46024,0.0129,0.05261,-5.12595,-6.89864
"20","2015_Q3",17.10546875,"Down",69808000,-44505000,25303000,-17405000,-10755000,-5847000,-4908000,-4995000,-1655000,7898000,-2341000,-2280000,-18000,5557000,5557000,-2058000,3499000,3499000,3499000,3499000,205082000,100098000,45802000,22572000,15500000,4011000,288956000,11349000,59514000,18740000,3969000,83432000,372388000,38383000,33499000,15238000,9099000,6139000,53718000,136557000,5781000,5781000,142338000,196056000,225632000,-49235000,-65000,176332000,176332000,372388000,3499000,3499000,2538000,4890000,1507000,12434000,-1312000,-25993000,350000,350000,-2486000,-2773000,-16332000,-16332000,-16332000,10436000,136654000,12689000,0.36247,0.11314,0.05012,0.01984,0.0094,3.62646,5.37913,1.11186,0.36697,0.09683,0.0953,1.93192,4.87995,0.35117,0.01098,0.03981,-6.55692,-8.66397
