"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.2606349206349,"Down",1.4921e+10,-1.3948e+10,9.73e+08,-3.54e+08,-3.54e+08,6.19e+08,9.8e+07,-3744330603.81194,9532439293.18151,9.8e+07,7.17e+08,7.17e+08,-2.2e+08,4.97e+08,4.97e+08,-1e+06,4.96e+08,4.96e+08,2.798e+09,2.39e+09,6.6e+09,6.6e+09,7.139e+09,2.618e+09,2.618e+09,1.9155e+10,8.366e+09,1.9506e+10,-1.114e+10,1.137e+09,6.06e+08,1.2706e+10,3.1861e+10,5.812e+09,5.812e+09,3.04e+08,2.54e+08,5e+07,2.431e+09,2.431e+09,8.547e+09,7.573e+09,7.573e+09,1.498e+09,3.16e+08,1.182e+09,9.071e+09,1.7618e+10,5.219e+09,5.219e+09,9.185e+09,-1.97e+08,1.4207e+10,3.6e+07,1.4243e+10,3.1861e+10,4.97e+08,2.09e+08,1.45e+08,2e+07,-3e+06,1.28e+08,1.141e+09,7.13e+08,7.35e+08,-3.07e+08,1.992e+09,-4.9e+08,7e+06,7e+06,-4.97e+08,-4.97e+08,-554046641.135831,4e+06,-4.29e+08,-9e+07,-1.41e+08,3e+06,-2.28e+08,1.335e+09,1.335e+09,1.335e+09,8.28e+08,7.877e+09,1.699e+09,0.06521,0.04149,0.03324,0.03482,0.01557,3.4254,2.24114,1.23696,0.24723,0.77259,0.77019,23.24143,22.12928,2.64642,0.14019,0.02481,0.07194,0.18145,6.13406,8.20517
"2","2010_Q3",21.50453125,"Up",1.5913e+10,-1.486e+10,1.053e+09,-3.58e+08,-3.58e+08,6.95e+08,8.9e+07,-1955665301.90597,4788719646.59075,8.9e+07,7.84e+08,7.84e+08,-2.23e+08,5.61e+08,5.61e+08,6e+06,5.67e+08,5.67e+08,1.634e+09,1.317e+09,7.075e+09,7.075e+09,9.126e+09,2.553e+09,2.553e+09,2.0388e+10,8.636e+09,1.9959e+10,-1.1323e+10,1.161e+09,6.37e+08,1.3141e+10,3.3529e+10,6.832e+09,6.832e+09,4.67e+08,2.21e+08,2.46e+08,2.301e+09,2.301e+09,9.6e+09,7.398e+09,7.398e+09,1.736e+09,5.53e+08,1.183e+09,9.134e+09,1.8734e+10,5.234e+09,5.234e+09,9.686e+09,-1.55e+08,1.4765e+10,3e+07,1.4795e+10,3.3529e+10,5.61e+08,2.22e+08,2.65e+08,1.1e+07,2.05e+08,4.9e+07,-1.66e+09,-4.99e+08,-2.009e+09,8.48e+08,-6.12e+08,-4.27e+08,1.5e+07,1.5e+07,-4.42e+08,-4.42e+08,-5.7e+07,-8e+06,-3.51e+08,-9e+07,-24999999.9999999,4999999.99999999,-1.1e+08,-1.073e+09,-1.073e+09,-1.073e+09,9.17e+08,7.865e+09,-9.47e+08,0.06617,0.04367,0.03563,0.03832,0.01691,-1.67019,2.12375,1.26624,0.23457,0.88043,0.88043,24.70963,22.92702,-1.4705,0.13975,0.02693,-0.03882,0.15873,6.79498,8.96547
"3","2010_Q4",22.584375,"Up",1.5145e+10,-1.4254e+10,8.91e+08,-3.55e+08,-3.55e+08,5.36e+08,-2e+06,-861555100.635324,1956906548.86358,-2e+06,5.34e+08,5.34e+08,-1.18e+08,4.16e+08,4.16e+08,5e+06,4.21e+08,4.21e+08,2.066e+09,1.659e+09,5.876e+09,5.876e+09,8.219e+09,3.039e+09,3.039e+09,1.92e+10,8.642e+09,2.0007e+10,-1.1365e+10,1.14e+09,6.21e+08,1.3126e+10,3.2326e+10,6.406e+09,6.406e+09,5.11e+08,2.66e+08,2.45e+08,2.319e+09,2.319e+09,9.236e+09,6.91e+09,6.91e+09,1.411e+09,4.25e+08,9.86e+08,8.321e+09,1.7557e+10,5.245e+09,5.245e+09,1.0011e+10,-5.12e+08,1.4744e+10,2.5e+07,1.4769e+10,3.2326e+10,4.16e+08,2.42e+08,-6.27e+08,1e+07,-1.12e+08,-5.25e+08,1.364e+09,1.014e+09,7.23e+08,-3.73e+08,1.395e+09,-2.88e+08,3e+06,3e+06,-2.91e+08,-2.91e+08,-2e+06,-1.9e+07,-4.33e+08,-9.6e+07,-4.55e+08,-6.9e+07,-6.2e+08,3.42e+08,3.42e+08,3.42e+08,7.78e+08,7.421e+09,1.972e+09,0.05883,0.03539,0.0278,0.02851,0.01302,4.68409,2.07882,1.18877,0.22957,0.65474,0.65271,23.55365,22.93002,3.06687,0.1493,0.02191,0.08356,0.22803,6.88303,9.99067
"4","2011_Q1",25.4938709677419,"Up",1.5703e+10,-1.4777e+10,9.26e+08,-3.31e+08,-3.31e+08,5.95e+08,-4.5e+07,-2.96e+08,5.61e+08,-3.1e+08,5.5e+08,5.5e+08,-1.05e+08,4.45e+08,4.45e+08,1e+06,4.46e+08,4.46e+08,1.44e+09,1.046e+09,6.122e+09,6.122e+09,7.871e+09,2.961e+09,2.961e+09,1.8394e+10,8.712e+09,2.0004e+10,-1.1292e+10,1.225e+09,7.02e+08,1.3414e+10,3.1808e+10,5.538e+09,5.538e+09,7.18e+08,3.74e+08,3.44e+08,2.577e+09,2.577e+09,8.833e+09,6.83e+09,6.83e+09,1.514e+09,4.39e+08,1.075e+09,8.344e+09,1.7177e+10,5.151e+09,5.151e+09,1.0357e+10,-8.99e+08,1.4609e+10,2.2e+07,1.4631e+10,3.1808e+10,4.45e+08,2.39e+08,1.38e+08,4e+06,-6e+07,1.94e+08,-9.13e+08,-1.768e+09,1.47e+08,7.83e+08,-9.1e+07,-3.67e+08,1e+07,1e+07,-3.77e+08,-3.77e+08,-1.49e+08,7.1e+07,-4.52e+08,-9.6e+07,1.25e+08,1e+06,-7e+07,-6.13e+08,-6.13e+08,-6.13e+08,8.34e+08,7.548e+09,-341000000.000001,0.05897,0.03789,0.0284,0.03048,0.01402,-0.764569999999999,2.08242,1.17401,0.2373,0.69362,0.69362,24.42146,22.72006,-0.530329999999999,0.1493,0.02288,-0.01439,0.21525,7.32374,10.26555
"5","2011_Q2",23.9861904761905,"Down",1.6799e+10,-1.5991e+10,8.08e+08,-3.81e+08,-3.81e+08,4.27e+08,3.5e+07,-9.3e+07,1.25e+08,3e+06,4.62e+08,4.62e+08,-1.2e+08,3.42e+08,3.42e+08,3e+06,3.45e+08,3.45e+08,1.37e+09,8.62e+08,8.174e+09,8.174e+09,9.024e+09,3.518e+09,3.518e+09,2.2086e+10,8.908e+09,2.0545e+10,-1.1637e+10,1.265e+09,7.34e+08,1.395e+10,3.6036e+10,7.025e+09,7.025e+09,2.069e+09,1.721e+09,3.48e+08,3.141e+09,3.141e+09,1.2235e+10,6.834e+09,6.834e+09,1.58e+09,3.95e+08,1.185e+09,8.414e+09,2.0649e+10,5.138e+09,5.138e+09,1.0605e+10,-3.75e+08,1.5368e+10,1.9e+07,1.5387e+10,3.6036e+10,3.42e+08,2.52e+08,-6.66e+08,2.5e+07,-7.3e+07,-6.18e+08,-7.99e+08,-1.685e+09,-1.157e+09,2.043e+09,-8.71e+08,-2.94e+08,4.1e+07,4.1e+07,-3.35e+08,-3.35e+08,-232451727.302401,6e+06,-5.02e+08,-9.6e+07,1.312e+09,4e+06,1.189e+09,-1.84e+08,-1.84e+08,-1.84e+08,6.79e+08,8.903e+09,-2.94e+08,0.0481,0.02542,0.02054,0.02242,0.00957,-0.85217,1.80515,1.34198,0.24706,0.53906,0.53822,26.24844,24.0125,-0.45938,0.15,0.01705,-0.01136,0.27826,11.09426,17.64169
"6","2011_Q3",21.00859375,"Down",2.093e+10,-1.9696e+10,1.234e+09,-4.12e+08,-4.12e+08,8.22e+08,1.76e+08,-7.4e+07,1.38e+08,1.12e+08,9.98e+08,9.98e+08,-2.69e+08,7.29e+08,7.29e+08,3e+06,7.32e+08,7.32e+08,1.159e+09,5.26e+08,1.0625e+10,1.0625e+10,1.2654e+10,3.919e+09,3.919e+09,2.8357e+10,9.194e+09,2.1162e+10,-1.1968e+10,1.261e+09,6.74e+08,1.4253e+10,4.261e+10,8.141e+09,8.141e+09,5.837e+09,5.632e+09,2.05e+08,4.085e+09,4.085e+09,1.8063e+10,6.848e+09,6.848e+09,1.795e+09,5.46e+08,1.249e+09,8.643e+09,2.6706e+10,5.095e+09,5.095e+09,1.1242e+10,-4.51e+08,1.5886e+10,1.8e+07,1.5904e+10,4.261e+10,7.29e+08,2.11e+08,-2.33e+08,1.1e+07,1.99e+08,-4.43e+08,-3.919e+09,9.75e+08,-3.463e+09,-3.071e+09,-3.212e+09,-3.06e+08,4000000.00000001,4000000.00000001,-3.1e+08,-3.1e+08,-1.63e+08,-2.6e+07,-6.39e+08,-9.6e+07,3.665e+09,1e+06,3.515e+09,-3.36e+08,-3.36e+08,-3.36e+08,1.033e+09,1.2685e+10,-2.923e+09,0.05896,0.03927,0.03497,0.04603,0.01718,-3.99317,1.56989,1.6792,0.2977,1.14734,1.14197,32.80564,24.89969,-4.5815,0.15047,0.02725,-0.0962,0.13115,11.15779,14.0219
"7","2011_Q4",20.9631746031746,"Down",2.1902e+10,-2.0868e+10,1.034e+09,-4.07e+08,-4.07e+08,6.27e+08,3.3e+07,-7.3e+07,1.24e+08,-1.8e+07,6.6e+08,6.6e+08,-1.99e+08,4.61e+08,4.61e+08,-1e+06,4.6e+08,4.6e+08,1.623e+09,8.58e+08,1.0428e+10,1.0428e+10,1.3409e+10,3.792e+09,3.792e+09,2.9252e+10,9.315e+09,2.1349e+10,-1.2034e+10,1.287e+09,6.93e+08,1.4511e+10,4.3763e+10,7.703e+09,7.703e+09,5.908e+09,5.732e+09,1.76e+08,3.252e+09,3.252e+09,1.6863e+10,8.35e+09,8.35e+09,1.87e+09,5.17e+08,1.353e+09,1.022e+10,2.7083e+10,5.086e+09,5.086e+09,1.1718e+10,-1.52e+08,1.6652e+10,2.8e+07,1.668e+10,4.3763e+10,4.61e+08,2.07e+08,1.27e+08,2.7e+07,2.1e+07,7.9e+07,1.292e+09,-6.23e+08,8.09e+08,3.92e+08,2.087e+09,-4.43e+08,9988732.15441316,9988732.15441316,-4.43e+08,-4.43e+08,-1.2e+07,-9.4e+07,-2.49e+08,-1.07e+08,-7.46e+08,-4e+07,-1.133e+09,7.05e+08,7.05e+08,7.05e+08,8.34e+08,1.4258e+10,1.882e+09,0.04721,0.02863,0.021,0.02758,0.01051,4.0913,1.73469,1.62368,0.3258,0.71987,0.6735,34.27543,26.05947,2.94523,0.16745,0.01728,0.05736,0.23261,15.14988,20.15152
"8","2012_Q1",22.7827419354839,"Up",2.1045e+10,-1.9821e+10,1.224e+09,-4.11e+08,-4.11e+08,8.13e+08,8.2e+07,-1.06e+08,1.55e+08,3.3e+07,8.95e+08,8.95e+08,-4.09e+08,4.86e+08,4.86e+08,1.3e+07,4.99e+08,4.99e+08,1.354e+09,6.15e+08,4.808e+09,4.808e+09,1.2055e+10,9.287e+09,9.287e+09,2.7504e+10,9.5e+09,2.1728e+10,-1.2228e+10,1.283e+09,6.81e+08,1.4689e+10,4.2193e+10,2.581e+09,2.581e+09,2.053e+09,1.875e+09,1.78e+08,8.584e+09,8.584e+09,1.3218e+10,8.266e+09,8.266e+09,1.871e+09,8.59e+08,1.012e+09,1.0137e+10,2.3355e+10,6.636e+09,6.636e+09,1.1996e+10,1.76e+08,1.8808e+10,3e+07,1.8838e+10,4.2193e+10,4.86e+08,2.07e+08,-2.66e+08,-1.6e+07,3.74e+08,-6.24e+08,-770999999.999999,6.46e+08,3.99e+08,1.99e+08,-3.44e+08,-1.32e+08,2.7e+07,2.7e+07,-1.59e+08,-1.59e+08,-7.4e+07,1.48e+08,-2.85e+08,-9.6e+07,-1.703e+09,3.7e+07,13000000.0000005,-6.16e+08,-6.16e+08,-6.16e+08,1.02e+09,1.0319e+10,5.26e+08,0.05816,0.03863,0.02371,0.02649,0.01183,1.05411,2.0808,1.23978,0.24457,0.76651,0.76651,32.32719,28.89094,0.807990000000001,0.14747,0.01918,0.01695,0.19238,8.78922,11.02706
"9","2012_Q2",23.4925396825397,"Up",2.1155e+10,-2.0147e+10,1.008e+09,-4.02e+08,-4.02e+08,6.06e+08,4.7e+07,-9e+07,1.15e+08,2.2e+07,6.53e+08,5.68e+08,-1.63e+08,4.05e+08,4.05e+08,-6e+06,3.99e+08,3.99e+08,1.826e+09,1.32e+09,1.0336e+10,1.0336e+10,1.1122e+10,3.995e+09,3.995e+09,2.7279e+10,9.655e+09,2.1857e+10,-1.2202e+10,1.006e+09,3.99e+08,1.4169e+10,4.1448e+10,7.371e+09,7.371e+09,2.819e+09,1.17e+09,1.649e+09,4.289e+09,4.289e+09,1.4479e+10,6.678e+09,6.678e+09,1.882e+09,8.36e+08,1.046e+09,8.56e+09,2.3039e+10,6.408e+09,6.408e+09,1.2349e+10,-3.74e+08,1.8383e+10,2.6e+07,1.8409e+10,4.1448e+10,4.05e+08,2.14e+08,-1.84e+08,7e+06,2e+07,-2.11e+08,-1.218e+09,2.17e+09,-6.29e+08,-1.688e+09,-7.83e+08,-3.26e+08,1.5e+07,1.5e+07,-3.41e+08,-3.41e+08,-3.3e+07,-5e+06,-1.63e+08,-1.15e+08,1.065e+09,6e+06,9e+08,-4.6e+07,-4.6e+07,-4.6e+07,8.2e+08,9.497e+09,-5.61e+08,0.04765,0.02865,0.01886,0.02167,0.00963,-1.40602,1.88404,1.25151,0.22913,0.59641,0.59552,31.62182,27.47833,-0.83857,0.1719,0.01726,-0.01883,0.28822,9.35488,12.65842
"10","2012_Q3",20.2750793650794,"Down",2.2675e+10,-2.1862e+10,8.13e+08,-3.94e+08,-3.94e+08,4.19e+08,-3e+06,-9.2e+07,1.06e+08,-1.7e+07,4.16e+08,4.16e+08,-1.23e+08,2.93e+08,2.93e+08,-9e+06,2.84e+08,2.84e+08,1.467e+09,1.291e+09,3.439e+09,3.439e+09,1.2192e+10,9.856e+09,9.856e+09,2.6954e+10,9.812e+09,2.269e+10,-1.2878e+10,1.137e+09,5.34e+08,1.4599e+10,4.1553e+10,2.474e+09,2.474e+09,3.785e+09,2.108e+09,1.677e+09,8.367e+09,8.367e+09,1.4626e+10,6.535e+09,6.535e+09,2.223e+09,7.83e+08,1.44e+09,8.758e+09,2.3384e+10,6.102e+09,6.102e+09,1.2774e+10,-9.07e+08,1.7969e+10,2e+08,1.8169e+10,4.1553e+10,2.93e+08,2.2e+08,3.86e+08,7e+06,-3e+06,3.82e+08,-2.62e+08,-4.55e+08,8.37e+08,-5.3e+07,6.37e+08,-2.75e+08,9e+06,9e+06,-2.84e+08,-2.84e+08,-2e+06,0,-2.5e+07,-1.16e+08,2.9e+07,-8000000.00000001,-1.39e+08,4.73e+08,4.73e+08,4.73e+08,6.39e+08,1.032e+10,2.25e+08,0.03585,0.01848,0.01252,0.01563,0.00683,0.79225,1.84288,1.28703,0.24836,0.4303,0.42965,34.35606,27.22576,0.34091,0.17576,0.01302,0.00733,0.40845,13.85446,21.12888
