"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",18.8809523809524,"Down",544424000,-423573000,120851000,-105013000,-31952000,-73061000,15838000,-32256000,-32653000,-33280000,627000,397000,637199.573175561,-16418000,-5255000,-21673000,7378000,-14295000,-14295000,-14295000,-14295000,93794855.4079109,93794855.407911,82372909.1421864,82372909.1421864,210857491.175834,59934029.5347784,118288870.445234,387025255.725931,3885868802.90971,632305331.08455,109782874.433205,26648024.7354021,313088681.407178,4487182501.09504,4874207756.82097,92863800.2908338,77416915.7748193,15446884.5160145,213554348.793617,291516607.047247,285467136.948015,597934756.131697,2651717618.80198,516008085.14934,180092979.177451,335915105.971889,3167725703.95132,3765660460.08301,1891908536.96916,-28642253.5667739,-753851563.021127,1108547296.7415,1108547296.73796,4874207756.82097,-14295000,75657000,2027000,-16260000,47129000,-21615000,-23102000,-23102000,-848000,-29512000,-51975000,5185000,-1096000,4089000,-757000,-757000,-757000,91495000,0,46242000,0.22198,0.02909,-0.02626,0.0404473202330601,0.0095269613117827,-3.23484,0.695495100410918,3.40282248344229,0.589738273587348,-0.11981,-0.11981,4.56291,9.38519829034219,0.38756,0.0109646202456487,0.0233280580055698,2.20819411168026,-146.972543686223
"2","2010_Q3",14.354375,"Down",582098000,-420226000,161872000,-105002000,-31834000,-73168000,56870000,-33331000,-33450000,-33903000,453000,119000,-1720933.47560815,23539000,-38425000,-14886000,5329000,-9557000,-9557000,-9557000,-9557000,51345000,51345000,79824000,79824000,190688000,53173000,129827000,321857000,3794212000,481975000,109730000,20930000,168586000,4276187000,4598044000,211574000,40432000,171142000,277610000,310933000,299961000,800117000,2323064000,401386000,126547000,274839000,2724450000,3524567000,1894079000,-29187000,-790827000,1073477000,1073477000,4598044000,-9557000,75578000,-2634000,4255000,67642000,-22408000,-22408000,-22408000,-22014000,-6147000,-50569000,-29455000,-1886000,-31341000,-14268000,-14268000,-14268000,132448000,2600674000,108966000,0.27808,0.0977,-0.01642,-0.0089,-0.00208,-11.4017,0.40226,3.28332,0.5656,-0.07983,-0.07983,4.86212,8.96649,0.91017,-0.00234,0.02674,19.24777,44.82731
"3","2010_Q4",19.07921875,"Up",575789000,-437026000,138763000,-108182000,-33231000,-74951000,30581000,-34098000,-32916000,-33357000,441000,272000,-1454000,-3517000,-25217000,-28734000,11821000,-16913000,-16913000,-16913000,-16913000,68961000,68961000,83606000,83606000,176368000,56340000,112340000,328935000,3753707000,455421000,109730000,19516000,147850000,4209128000,4538063000,227035000,31990000,195045000,160704000,319442000,309155000,707181000,2401841000,366271000,114031000,252240000,2768112000,3475293000,1900152000,-29187000,-807740000,1062770000,1062770000,4538063000,-16913000,77195000,-412000,4514000,64384000,-25094000,-25094000,-25094000,-3238000,35611000,7279000,-38594000,-15453000,-54047000,17616000,17616000,17616000,107776000,2562545000,75375000,0.241,0.05311,-0.02937,-0.01591,-0.00373,-4.45663,0.46514,3.27003,0.56468,-0.14047,-0.14047,4.78214,8.8267,0.62602,-0.00424,0.01888,23.13673,81.5403
"4","2011_Q1",24.2970967741935,"Up",578224000,-428010000,150214000,-105853000,-34692000,-71161000,44361000,-32004000,-31384000,-32101000,717000,-620000,0,12357000,-27397000,-15040000,6904000,-8136000,-8136000,-8136000,-8136000,81827000,81827000,88033000,88033000,158249000,63051000,79669000,328109000,3736842000,465519000,109693000,20196000,164289000,4202361000,4530470000,207839000,36302000,171537000,71676000,326843000,318814000,606358000,2498620000,365495000,113956000,251539000,2864115000,3470473000,1905387000,-29187000,-815876000,1059997000,1059997000,4530470000,-8136000,72874000,19416000,-35065000,49089000,-12485000,-23077000,-23077000,-31833000,3078000,-41240000,1132000,3885000,5017000,12866000,12866000,12866000,117235000,2570296000,62781000,0.25979,0.07672,-0.01407,-0.00768,-0.0018,-7.71645,0.54111,3.27404,0.56734,-0.06746,-0.06746,4.79456,8.78936,0.52057,-0.00204,0.01571,21.22633,56.09587
"5","2011_Q2",25.3444444444444,"Up",586920000,-437269000,149651000,-105325000,-33543000,-71782000,44326000,-29853000,-30936000,-31561000,625000,266000,817000,14473000,-37932000,-23459000,11154000,-12305000,-12305000,-12305000,-12305000,36732000,36732000,87841000,87841000,129680000,66652000,47502000,254253000,3716650000,434345000,109553000,20485000,140693000,4177015000,4431268000,215352000,37879000,177473000,171400000,339981000,331980000,726733000,2292887000,358889000,102297000,256592000,2651776000,3378509000,1910170000,-29187000,-828181000,1052759000,1052759000,4431268000,-12305000,74486000,17662000,12823000,92666000,-5442000,-28589000,-28589000,-51330000,55695000,-26677000,-106550000,-4534000,-111084000,-45095000,-45095000,-45095000,118812000,2464287000,115039000,0.25498,0.07552,-0.02097,-0.01169,-0.00278,-9.34896,0.34986,3.2092,0.55611,-0.10187,-0.10187,4.85893,8.71547,0.95237,-0.00317,0.02968,20.4319,54.76594
"6","2011_Q3",17.615,"Down",583299000,-432307000,150992000,-104258000,-33681000,-70577000,46734000,-30195000,-29900000,-30673000,773000,146000,-441000,16539000,-37770000,-21231000,-12728000,-33959000,-33959000,-33959000,-33959000,40126000,40126000,87231000,87231000,126462000,63715000,47221000,253819000,3689030000,430919000,109553000,20125000,143332000,4151945000,4405764000,208331000,33083000,175248000,33936000,333095000,324204000,575362000,2387130000,374643000,114204000,260439000,2761773000,3337135000,1959896000,-29187000,-862140000,1068629000,1068629000,4405764000,-33959000,72587000,29633000,-3575000.00000001,64686000,-33455000,-39340000,-39340000,-3178000,2279999.99999999,-40060000,27126000,-48358000,-21232000,3393999.99999999,3393999.99999999,3393999.99999999,119321000,2421066000,95019000,0.25886,0.08012,-0.05822,-0.03178,-0.00771,-2.79805,0.44115,3.12282,0.54952,-0.28114,-0.28297,4.82895,8.84685,0.78663,-0.00879,0.02459,19.95407,50.94663
"7","2011_Q4",15.1861904761905,"Down",615728000,-449728000,1.66e+08,-102782000,-38711000,-64071000,63218000,-29495000,-29262000,-30433000,1171000,-117000,-116000,33723000,-40246000,-6523000,-513000,-7036000,-7036000,-7036000,-7036000,39195000,39195000,93447000,93447000,140649000,74980000,50143000,273291000,3681280000,453320000,109553000,32414000,156288000,4165150000,4438441000,224623000,40367000,184256000,45363000,337201000,329526000,607187000,2400990000,380878000,115536000,265342000,2781868000,3389055000,1966969000,-46800000,-869176000,1049386000,1049386000,4438441000,-7036000,68381000,9922000,-16617000,54650000,-44874000,-46659000,-46659000,-13800000,4024000,-55473000,20609000,-3104000,-108000,-931000,-931000,-931000,131599000,2446353000,70621000,0.2696,0.10267,-0.01143,-0.0067,-0.00159,-10.03709,0.45009,3.22956,0.55117,-0.05807,-0.05807,5.0819,8.66109,0.58287,-0.00181,0.01822,18.29161,38.0771
"8","2012_Q1",17.9288709677419,"Up",670536000,-464125000,206411000,-104468000,-42392000,-62076000,101943000,-30304000,-31237000,-32206000,969000,1137000,-204000,71639000,-87696000,-16057000,307000.000000002,-15750000,-15750000,-15750000,-15750000,30836000,30836000,98697000,98697000,151342000,93663000,45903000,280875000,3694064000,459401000,109553000,32798000,162914000,4185186000,4466061000,237768000,54134000,183634000,47654000,335528000,327808000,620950000,2415971000,388932000,112736000,276196000,2804903000,3425853000,1972074000,-46800000,-884051000,1040208000,1040208000,4466061000,-15750000,66479000,19241000,-13545000,56425000,-45543000,-45543000,-45543000,-34364000,-2619000,-81689000,16131000,773999.999999993,16905000,-8359000,-8359000,-8359000,168422000,2463625000,109027000,0.30783,0.15203,-0.02349,-0.01514,-0.00353,-6.92235,0.45233,3.29343,0.55163,-0.12999,-0.12999,5.53426,8.58534,0.89985,-0.00405,0.02801,14.4446,23.86421
"9","2012_Q2",17.4157142857143,"Down",682708000,-470214000,212494000,-108317000,-44973000,-63344000,104177000,-31210000,-31198000,-32050000,852000,99000,-111000,72967000,-82581000,-9614000,-930000,-10544000,-10544000,-10544000,-10544000,42113000,42113000,102568000,102568000,152860000,96217000,44867000,297541000,3793384000,451665000,109553000,32216000,153012000,4278568000,4576109000,215772000,39230000,176542000,125316000,346425000,339171000,687513000,2465926000,384854000,112211000,272643000,2850780000,3538293000,1978973000,-46800000,-894389000,1037816000,1037816000,4576109000,-10544000,67817000,7397000,-18977000,45693000,-41533000,-41533000,-41533000,-104984000,5886000,-141392000,109770000,-2794000,106976000,11277000,11277000,11277000,171994000,2591242000,112414000,0.31125,0.15259,-0.01544,-0.01016,-0.0023,-10.66142,0.43278,3.40936,0.56625,-0.08704,-0.08704,5.63546,8.56673,0.92793,-0.00263,0.02801,14.82103,24.46921
"10","2012_Q3",19.5826984126984,"Up",690473000,-474143000,216330000,-109632000,-46071000,-63561000,106698000,-31797000,-31739000,-32431000,692000,-61000.0000000001,3000.00000000003,74901000,-93034000,-18133000,-882000,-19015000,-19015000,-19015000,-19015000,38676000,38676000,106934000,106934000,146972000,89994000,45202000,292582000,3792169000,459909000,109553000,31461000,160113000,4285739000,4578321000,231560000,43105000,188455000,410581000,347953000,341364000,990094000,2174265000,387999000,112259000,275740000,2562264000,3552358000,1986078000,-46800000,-913199000,1025963000,1025963000,4578321000,-19015000,68147000,19550000,14172000,82854000,-50108000,-50433000,-50433000,-5545999.99999999,-7775000,-63068000,-25407000,2184000,-23223000,-3437000,-3437000,-3437000,174845000,2584846000,139791000,0.31331,0.15453,-0.02754,-0.01853,-0.00415,-7.35162,0.29551,3.46246,0.56458,-0.15623,-0.15623,5.67319,8.42971,1.14858,-0.00476,0.03496,14.56244,23.86333
