"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",31.1528571428571,"Up",884768000,-720167000,164601000,-137409000,-137409000,27192000,-1304000,-1312000,8000,25888000,25888000,-10355000,15533000,15533000,15533000,15533000,167882756.790749,167882756.790749,-588251707.635225,-588251707.635225,-2145895257.4705,195194354.265158,173586900.683562,-2371069854.04982,191693517.23295,-24967090.7648901,-191280139.720675,154466661.044386,11846387.9113992,166726426.46806,-2204343427.58176,-3391175966.20172,-2116498668.57469,-1274677297.62703,34436472.3297053,-3356739493.87201,22642981.3119481,3278917874.35034,3252370149.60293,3301560855.66229,-55178638.209725,-2485866917.54325,360503683.722383,-23047473.6376717,-2149164789.37203,-2149164789.37203,-2204343427.58176,15533000,15533000,6650000,2600000,-7300000,17483000,-9679000,-9679000,-2671000,14000,14000,-562000,-3219000,4585000,4585000,4585000,33842000,0,27218000,0.18604,0.03073,0.01756,0.11278501273259,0.0386351315185306,1.75227,21.4287443427322,3.70342256611069,0.147019877589581,0.36138,0.35947,20.58462,-12.6787960732508,0.63324,0.00438755368376862,0.963281353329825,-0.768769329568888,-1.04267725288141
"2","2010_Q3",34.114375,"Up",898217000,-731611000,166606000,-139002000,-139002000,27604000,-1505000,-1516000,11000,26099000,26099000,-10440000,15659000,15659000,15659000,15659000,83172378.3953747,83172378.3953747,-158150353.817612,-158150353.817612,-751746128.73525,111347177.132579,90263450.3417812,-715376927.024909,241011758.616475,124291454.617555,-62970069.8603376,171571330.522193,15690193.9556996,365303213.23403,-350073713.790879,-1360673483.10086,-836173334.287343,-524500148.813517,19731236.1648526,-1340942246.93601,36169990.655974,1650017437.17517,1626214074.80146,1686187427.83114,345245180.895137,-1080532958.77163,396788341.861191,-10843236.8188359,-695318894.686017,-695318894.686017,-350073713.790879,15659000,15659000,6706000,1519000,-15227000,8657000,-6122000,-6316000,-10571000,1789000,1789000,-367000,-9149000,-6808000,-6808000,-6808000,34310000,0,23401000,0.18549,0.03073,0.01743,0.070032506366295,0.0263425657592653,1.49441,10.7740021713661,2.33817628305534,0.0917899387947906,0.36396,0.36151,20.87712,1.56003696337459,0.54391,0.0138437768418843,0.475740676664912,0.394030335215556,0.467551373559293
"3","2010_Q4",36.72703125,"Up",985694000,-803287000,182407000,-148565000,-148565000,33842000,-1361000,-1402000,41000,32481000,32481000,-12992000,19489000,19489000,19489000,19489000,34884792.7984582,34884792.7984582,95122215.3941292,95122215.3941292,60174623.7549166,63441392.3775263,42706816.7805937,253623024.32503,268074586.205492,213899484.872518,13156643.3798875,181784776.840731,18958064.6518999,481974071.07801,735597095.40304,-218282494.366953,-111443778.095781,-106838716.271172,9930745.38828421,-208351748.978669,44765996.8853247,715869145.725057,694174691.600488,760635142.610381,552283393.631712,-234997652.923875,423471447.287064,-4444412.27294529,183313701.771328,183313701.771328,735597095.40304,19489000,19489000,6863000,2777000,-22139000,6990000,-15091000,-15132000,7782000,1948000,1948000,49000,9779000,1637000,1637000,1637000,40705000,0,16467000,0.18505,0.03433,0.01977,0.0428708354554317,0.0184408552530884,0.84494,4.92454739045537,1.47010876101845,0.0589466462649302,0.45066,0.44765,22.79325,10.1096889877915,0.38078,0.0177445922806281,0.176540225554971,0.997510111738518,1.25903379118643
"4","2011_Q1",40.39,"Up",988460000,-805143000,183317000,-157053000,-157053000,26264000,1270000,-1368000,2638000,27534000,27534000,-9894000,17640000,17640000,17640000,17640000,13802000,13802000,217097000,217097000,439702000,42353000,21793000,712954000,279255000,258590000,50201000,186925000,21464000,537845000,1250799000,274272000,205202000,69070000,5033000,279305000,48433000,292614000,272016000,341047000,620352000,189162000,443861000,-1868000,630447000,630447000,1250799000,17640000,17640000,7264000,2903000,5194999.99999999,33002000,-24037000,-87544000,52600000,4730000,4730000,1296000,58626000,4084000,4084000,4119000,33528000,53466000,24580000,0.18546,0.02657,0.01785,0.02798,0.0141,1.39342,2.5526,0.98399,0.04275,0.40566,0.40423,22.73106,14.49803,0.56525,0.01806,0.02517,1.18301,1.5102
"5","2011_Q2",42.5403174603175,"Up",1052967000,-860635000,192332000,-162676000,-162676000,29656000,-1125000,-1178000,53000,28531000,28531000,-11127000,17404000,17404000,17404000,17404000,10706000,10706000,253305000,253305000,536671000,38958000,18398000,839640000,280926000,273096000,61264000,188810000,23022000,554022000,1393662000,355265000,261276000,93989000,5036000,360301000,47173000,196393000,175502000,243566000,603867000,330369000,461265000,-1131000,789795000,789795000,1393662000,17404000,17404000,8355000,2552000,-61215000,-32904000,-7529000,-29371000,58949000,1910000,1910000,-1665000,59194000,-3081000,-3081000,-3096000,38011000,52209000,-19606000,0.18266,0.02816,0.01653,0.02204,0.01249,-1.12652,2.33038,0.76459,0.03746,0.35815,0.35599,21.66866,16.25293,-0.40347,0.01676,-0.01888,1.09187,1.39948
"6","2011_Q3",40.368125,"Down",1114449000,-915817000,198632000,-166690000,-166690000,31942000,-1039000,-1241000,202000,30903000,30703000,-11974000,18729000,18729000,18729000,18729000,17284000,17284000,258979000,258979000,523575000,41088000,20528000,840926000,280003000,273738000,60484000,189397000,23857000,553741000,1394667000,291980000,223867000,68113000,5040000,297020000,45911000,236312000,215254000,282223000,579243000,335665000,479994000,473000,815424000,815424000,1394667000,18729000,18729000,8887000,2473000,-48901000,-18812000,-6675000,-6743999.99999999,29011000,3204000,3204000,-79999.9999999995,32135000,6579000,6579000,6578000,40829000,50951000,-2773000,0.17823,0.02866,0.01681,0.02297,0.01343,-0.14806,2.83121,0.71036,0.03653,0.384,0.38208,22.84924,16.71842,-0.0568500000000001,0.01698,-0.00251,0.82459,1.054
"7","2011_Q4",36.9949206349206,"Down",1203983000,-985439000,218544000,-179638000,-179638000,38906000,31000,-396000,427000,38937000,38937000,-15575000,23362000,23362000,23362000,23362000,24318000,24318000,279650000,279650000,550249000,39619000,19059000,893836000,282859000,275249000,60962000,190504000,23783000,558108000,1451944000,322692000,240487000,82205000,5043000,327735000,44649000,228512000,207036000,273161000,600896000,343473000,503356000,4927000,851048000,851048000,1451944000,23362000,23362000,9656000,1697000,-15831000,18884000,-10170000,-10243000,-6779000,4647000,4647000,599000,-1533000,7108000,7108000,7034000,48562000,49692000,38136000,0.18152,0.03231,0.0194,0.02745,0.01609,1.63239,2.72731,0.70607,0.03422,0.47826,0.47477,24.64754,17.42237,0.78071,0.02069,0.03377,0.52251,0.65219
"8","2012_Q1",44.9390322580645,"Up",1158616000,-943314000,215302000,-179855000,-179855000,35447000,-1113000,-959000,-154000,34334000,28264000,-11086000,17178000,17178000,17178000,17178000,16867000,16867000,257116000,257116000,514506000,56003000,33980000,844492000,285151000,271345000,58336000,191943000,21066000,556496000,1400988000,300974000,217074000,83900000,47447000,348421000,986000,181914000,143363000,182900000,531321000,345521000,520534000,4320000,869667000,869667000,1400988000,17178000,17178000,8398000,23313000,33787000,82676000,-16308000,-16385000,-73744000,401000,401000,-117000,-73460000,-7169000,-7169000,-7451000,43845000,48433000,72410000,0.18583,0.03059,0.01483,0.01975,0.01226,4.21528,2.42377,0.61095,0.03457,0.39381,0.38913,26.56158,19.93735,1.66002,0.01562,0.06583,0.71995,0.89051
"9","2012_Q2",49.9253968253968,"Up",1217428000,-1000315000,217113000,-185713000,-185713000,31400000,-1044000,-903000,-141000,30356000,25011000,-9854000,15157000,15157000,15157000,15157000,17016000,17016000,309541000,309541000,649026000,49203000,27319000,1024786000,281573000,274238000,54132000,193836000,26270000,555811000,1580597000,393188000,300408000,92780000,46272000,439460000,9e+05,253046000,214507000,253946000,693406000,350181000,535691000,1770000,887191000,887191000,1580597000,15157000,15157000,9592000,4493000,-122705000,-93463000,-7524000,-7555000,100228000,1756000,1756000,-748000,101236000,218000,218000,149000,40992000,47172000,-79383000,0.17834,0.02579,0.01245,0.01708,0.00959,-5.23738,2.33192,0.78157,0.02984,0.30843,0.30568,24.77368,18.05362,-1.61538,0.01276,-0.06685,0.73566,0.96038
"10","2012_Q3",55.8884126984127,"Up",1286910000,-1063763000,223147000,-185760000,-185760000,37387000,-1190000,-1163000,-27000,36197000,36323000,-14312000,22011000,22011000,22011000,22011000,26736000,26736000,322818000,322818000,595429000,51512000,29755000,996495000,277733000,272595000,55237000,193576000,23782000,550328000,1546823000,330593000,240534000,90059000,45098000,375691000,813000,258583000,220048000,259396000,635087000,353253000,557702000,1232000,911736000,911736000,1546823000,22011000,22011000,9598000,3025000,1024000.00000003,35658000,-5073000,-7492000,-18899000,752000,752000,-203000,-18350000,9816000,9816000,9720000,46985000,45911000,57248000,0.1734,0.02905,0.0171,0.02414,0.01423,2.60088,2.65243,0.69657,0.02968,0.44657,0.44393,26.10948,18.49776,1.16148,0.0181,0.04707,0.40811,0.51288
"11","2012_Q4",54.3125806451613,"Down",1388023000,-1143492000,244531000,-195857000,-195857000,48674000,-730000,-935000,205000,47944000,47908000,-18876000,29032000,29032000,29032000,29032000,14202000,14202000,336132000,336132000,639753000,45435000,23793000,1035522000,276122000,270833000,53817000,194328000,22688000,546955000,1582477000,357080000,253499000,103581000,43923000,401003000,725000,233068000,194526000,233793000,634796000,358172000,586734000,3226000,947681000,947681000,1582477000,29032000,29032000,9887000,3836000,-19884000,22871000,-7069000,-7948000,-29692000,2093000,2093000,294000,-27305000,-12382000,-12382000,-12534000,58561000,44648000,50484000,0.17617,0.03507,0.02092,0.03063,0.01835,1.73891,2.58233,0.66984,0.02821,0.58885,0.58571,28.15291,19.22157,1.02395,0.02369,0.0412,0.5199,0.62551
"12","2013_Q1",51.895,"Down",1343660000,-1112448000,231212000,-188414000,-188414000,42798000,-1411000,-1018000,-393000,41387000,41541000,-16399000,25142000,25142000,25142000,25142000,16122000,16122000,305177000,305177000,578555000,47007000,21654000,946861000,278455000,268630000,52496000,193741000,22393000,547085000,1493946000,333811000,242179000,91632000,350000,334161000,635000,180434000,144174000,181069000,515230000,365088000,611821000,1807000,978716000,978716000,1493946000,25142000,25142000,10483000,-5682000,71235000,101178000,-11494000,-11462000,-90411000,2970000,2970000,-970000,-88411000,1305000,1305000,1920000,53281000,985000,129421000,0.17208,0.03185,0.01871,0.02569,0.01683,5.1476,2.83355,0.52643,0.00066,0.53121,0.52746,28.38918,20.67855,2.73444,0.02167,0.11156,-0.2841,-0.35368
"13","2013_Q2",51.9075,"Up",1410037000,-1174084000,235953000,-197758000,-197758000,38195000,-5586000,-805000,-4781000,32609000,30980000,-9444000,21536000,21536000,21536000,21536000,8939000,8939000,338577000,338577000,719673000,45963000,20610000,1113152000,276393000,282179000,53060000,203436000,25683000,558572000,1671724000,453377000,349304000,104073000,566000,453943000,940000,213393000,177126000,214333000,668276000,367778000,633357000,2313000,1003448000,1003448000,1671724000,21536000,21536000,10119000,7107000,-94221000,-55459000,-4553000,-13788000,64288000,1165000,1165000,-3194000,62259000,-6988000,-6988000,-7183000,48314000,1506000,-41016000,0.16734,0.02709,0.01527,0.02146,0.01288,-1.90453,2.45218,0.66598,0.000900000000000001,0.43779,0.43432,28.66395,20.3986,-0.83379,0.01768,-0.03367,-0.15385,-0.19461
"14","2013_Q3",60.79203125,"Up",1445703000,-1204030000,241673000,-202693000,-202693000,38980000,-1406000,-1205000,-201000,37574000,37574000,-14954000,22620000,22620000,22620000,22620000,8085000,8085000,358173000,358173000,674046000,56079000,30726000,1096383000,302368000,281355000,51981000,203906000,25468000,583723000,1680106000,410970000,285943000,125027000,357000,411327000,849000,239275000,203015000,240124000,651451000,371127000,655977000,1551000,1028655000,1028655000,1680106000,22620000,22620000,10825000,3858000,-30428000,6875000,-13131000,-13162000,4914000,290000,290000,-123000,5081000,-1206000,-1206000,-854000,49805000,1206000,21200000,0.16717,0.02696,0.01565,0.02199,0.01346,0.93722,2.66548,0.6333,0.00072,0.45893,0.45621,29.33115,20.86987,0.43012,0.01782,0.0167,-0.13812,-0.17648
"15","2013_Q4",70.60453125,"Up",1566217000,-1303220000,262997000,-209140000,-209140000,53857000,-1579000,-1458000,-121000,52278000,52278000,-20657000,31621000,31621000,31621000,31621000,13876000,13876000,364411000,364411000,722675000,58885000,33532000,1159847000,311575000,280033000,50840000,203903000,25290000,591608000,1751455000,443677000,312231000,131446000,361000,444038000,766000.000000001,243852000,205825000,244618000,688656000,374503000,687598000,698000,1062799000,1062799000,1751455000,31621000,31621000,10298000,5092000,-34451000,12560000,-14724000,-14903000,7794000,226000,226000,24000,8044000,5701000,5701000,5791000,64155000,1127000,35637000,0.16792,0.03439,0.02019,0.02975,0.01805,1.127,2.61204,0.64796,0.00064,0.64136,0.63794,31.76717,21.55648,0.72282,0.02418,0.02725,-0.19872,-0.23672
"16","2014_Q1",71.2772131147541,"Up",1642398000,-1357945000,284453000,-228362000,-228362000,56091000,-2807000,-1797000,-1010000,53284000,53284000,-21207000,32077000,32077000,32077000,32077000,11111000,11111000,339590000,339590000,702161000,62356000,38534000,1115218000,338594000,276096000,49540000,201874000,24682000,614690000,1729908000,397248000,283851000,113397000,1019000,398267000,33091000,199404000,157930000,232495000,630762000,380602000,719675000,-1131000,1099146000,1099146000,1729908000,32077000,32077000,11156000,9869000,27253000,80355000,-31778000,-30468000,-55063000,261000,261000,1761000,-53041000,-3154000,-3154000,-2765000,67247000,34110000,83929000,0.17319,0.03415,0.01953,0.02918,0.01854,2.61649,2.80018,0.57387,0.01972,0.65351,0.65062,33.46096,22.39316,1.70991,0.02407,0.06298,0.34201,0.41003
"17","2014_Q2",66.8720634920635,"Down",1602011000,-1330835000,271176000,-223150000,-223150000,48026000,-1753000,-1734000,-19000,46273000,46273000,-18509000,27764000,27764000,27764000,27764000,9357000,9357000,398210000,398210000,838391000,60014000,36192000,1305972000,362298000,293645000,48540000,220480000,24625000,655943000,1961915000,497205000,394668000,102537000,1226000,498431000,33414000,297516000,256042000,330930000,829361000,386541000,747439000,-1426000,1132554000,1132554000,1961915000,27764000,27764000,11238000,4628000,-93294000,-49664000,-33148000,-56121000,103766000,1551000,1551000,-1090000,104227000,-1558000,-1558000,-1754000,59264000,34640000,-48669000,0.16927,0.02998,0.01733,0.02451,0.01415,-1.75295,2.62017,0.73229,0.01766,0.56158,0.55824,32.40379,22.90811,-0.98443,0.01896,-0.03323,0.42662,0.52644
"18","2014_Q3",62.80078125,"Down",1646041000,-1377874000,268167000,-219322000,-219322000,48845000,-2259000,-1657000,-602000,46586000,46586000,-18635000,27951000,27951000,27951000,27951000,14575000,14575000,406943000,406943000,764694000,80673000,56851000,1266885000,394147000,289949000,56372000,209216000,24361000,684096000,1950981000,447925000,334867000,113058000,1202000,449127000,33128000,309532000,268058000,342660000,791787000,390552000,775390000,-6748000,1159194000,1159194000,1950981000,27951000,27951000,11760000,5255000,-31127000,13839000,-43070000,-43102000,34406000,141000,141000,-159000,34388000,5125000,5125000,5218000,60605000,34330000,5042999.99999999,0.16292,0.02967,0.01698,0.02411,0.01433,0.18042,2.82077,0.68305,0.0176,0.56336,0.56044,33.17628,23.36378,0.10164,0.0186,0.00336,0.32596,0.40444
"19","2014_Q4",70.69578125,"Up",1781729000,-1483600000,298129000,-235514000,-235514000,62615000,-1962000,-2179000,217000,60653000,60653000,-24261000,36392000,36392000,36392000,36392000,16577000,16577000,420943000,420943000,831516000,71122000,47300000,1340158000,409170000,288572000,55026000,209761000,23785000,697742000,2037900000,461889000,348367000,113522000,1125000,463014000,32894000,341200000,296617000,374094000,837108000,394614000,811782000,-5604000,1200792000,1200792000,2037900000,36392000,36392000,12429000,8439000,-42082000,15178000,-25666000,-25693000,11957000,433000,433000,-1000,12389000,1874000,1874000,2002000,75044000,34019000,31557000,0.16733,0.03514,0.02043,0.03031,0.01786,0.86714,2.89442,0.69713,0.01669,0.73319,0.72885,35.89663,24.19244,0.63578,0.02309,0.02002,0.23242,0.27856
"20","2015_Q1",78.3760655737705,"Up",1764666000,-1474493000,290173000,-238871000,-238871000,51302000,2594000,-1675000,4269000,53896000,53896000,-20521000,33375000,33375000,33375000,33375000,16116000,16116000,441528000,441528000,834722000,77582000,45064000,1369948000,483960000,434983000,134989000,274548000,25446000,918943000,2288891000,514507000,377548000,136959000,990000,515497000,32510000,497520000,446525000,530030000,1045527000,403373000,845157000,-5166000,1243364000,1243364000,2288891000,33375000,33375000,13331000,-4463000,40822000,83065000,-39335000,-227877000,145692000,90000.0000000001,90000.0000000001,-1429000,144353000,-459000,-459000,-461000,64633000,33500000,86641000,0.16444,0.02907,0.01891,0.02684,0.01458,2.59599,2.65753,0.84089,0.01464,0.67127,0.66733,35.49279,25.00782,1.74261,0.01881,0.04883,0.26896,0.33886
"21","2015_Q2",67.7404761904762,"Down",1992476000,-1673480000,318996000,-260048000,-260048000,58948000,-3778000,-3162000,-616000,55170000,54615000,-21573000,33042000,33042000,33042000,33042000,17564000,17564000,489758000,489758000,984411000,80549000,41979000,1572282000,501176000,436608000,132737000,273916000,29955000,937784000,2510066000,600448000,469375000,131073000,10967000,611415000,169766000,448984000,397989000,618750000,1230165000,409428000,878199000,-7726000,1279901000,1279901000,2510066000,33042000,33042000,14158000,168000,-146111000,-98743000,-27372000,-38106000,139120000,523000,523000,-1384000,138259000,1410000,1410000,1448000,73106000,180733000,-78804000,0.1601,0.02959,0.01658,0.02582,0.01316,-2.38496,2.57155,0.96114,0.072,0.66231,0.65935,39.93818,25.65497,-1.57959,0.0173,-0.04127,2.23195,2.76802
"22","2015_Q3",51.3728125,"Down",2016546000,-1717347000,299199000,-249448000,-249448000,49751000,-3480000,-3485000,5000,46271000,46023000,-18179000,27844000,27844000,27844000,27844000,27474000,27474000,493873000,493873000,922246000,111522000,72952000,1555115000,528674000,427101000,129847000,267723000,29531000,955775000,2510890000,568251000,430227000,138024000,11090000,579341000,179289000,446634000,395639000,625923000,1205264000,416627000,906043000,-17044000,1305626000,1305626000,2510890000,27844000,27844000,15499000,3128000,-627000,45844000,-27951000,-28204000,-10856000,2679000,2679000,982000,-7195000,10445000,10445000,9910000,65250000,190379000,54851000,0.14837,0.02467,0.01381,0.02133,0.01109,1.96994,2.68428,0.92313,0.07582,0.5566,0.55381,40.31076,26.09947,1.09647,0.01433,0.02824,2.49663,3.27441
"23","2015_Q4",46.82828125,"Down",2114643000,-1788729000,325914000,-256942000,-256942000,68972000,599000,-3797000,4396000,69571000,69571000,-27821000,41750000,41750000,41750000,41750000,23940000,23940000,510692000,510692000,947697000,93540000,54970000,1575869000,556526000,425926000,128206000,268529000,29191000,982452000,2558321000,564893000,440276000,124617000,11566000,576459000,177246000,451588000,391548000,628834000,1205293000,419124000,947793000,-13889000,1353028000,1353028000,2558321000,41750000,41750000,17549000,10174000,-22767000,46706000,-42285000,-42315000,-7520000,95000,95000,-1079000,-8504000,-4113000,-4113000,-3534000,86521000,188812000,49290000,0.15412,0.03262,0.01974,0.03086,0.01632,1.1806,2.73371,0.89081,0.0738,0.83368,0.82923,42.22614,27.01787,0.98424,0.02094,0.02473,1.90557,2.39042
"24","2016_Q1",36.9170491803279,"Down",2061313000,-1744907000,316406000,-251317000,-251317000,65089000,-5529000,-3698000,-1831000,59560000,59560000,-23462000,36098000,36098000,36098000,36098000,17380000,17380000,474494000,474494000,975194000,79309000,46976000,1546377000,572452000,422165000,125830000,266640000,29695000,994617000,2540994000,516327000,390134000,126193000,11613000,527940000,172949000,459017000,393373000,631966000,1159906000,421085000,979446000,-19443000,1381088000,1381088000,2540994000,36098000,36098000,16594000,16032000,-13667000,55057000,-30500000,-33444000,-28083000,118000,118000,-168000,-28133000,-6520000,-6520000,-6560000,81683000,184562000,60978000,0.1535,0.03158,0.01751,0.02614,0.01421,1.68923,2.92908,0.83985,0.07263,0.72065,0.71723,41.15136,27.57158,1.21734,0.01783,0.03012,2.04672,2.56851
"25","2016_Q2",38.4003125,"Up",2076649000,-1762712000,313937000,-257224000,-257224000,56713000,-3769000,-3596000,-173000,52944000,50135000,-20004000,30131000,30131000,30131000,30131000,12293000,12293000,491221000,491221000,1082979000,73112000,40779000,1659605000,566522000,424058000,123990000,266660000,33408000,990580000,2650185000,635675000,495648000,140027000,11632000,647307000,171871000,410540000,345557000,582411000,1229718000,426817000,1014022000,-20372000,1420467000,1420467000,2650185000,30131000,30131000,16704000,8858000,-50201000,5492000,-7588000,-7605000,-2747000,921000,921000,-1162000,-2988000,-5101000,-5101000,-5087000,73417000,183503000,35632000,0.15117,0.02731,0.01451,0.02121,0.01137,1.18257,2.56386,0.86571,0.06924,0.60029,0.59887,41.37245,28.29954,0.70989,0.01496,0.01769,2.33202,3.01888
