"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q1",13.4949180327869,"Down",2592248000,-2219059000,373189000,-316598000,-316598000,56591000,-3725000,-3965000,240000,52866000,43279000,-13384000,29895000,29895000,29895000,29895000,23315000,23315000,579702000,579702000,1135775000,50122000,50122000,1788914000,571146000,604412000,193209000,362495000,48708000,1175558000,2964472000,686783000,517125000,169658000,12441000,699224000,31487000,387806000,343422000,419293000,1118517000,484133000,1400232000,-14179000,1845955000,1845955000,2964472000,29895000,29895000,21649000,16849000,71921000,140314000,-15009000,-14735999.9999999,-122085000,-1621000,373000,-41000.0000000019,-123747000,1831000.00000003,1830999.99999997,1556999.99999997,78240000,43927999.9999999,148536000,0.14396,0.02183,0.01153,0.01619,0.01008,4.96859,2.55843,0.60593,0.01482,0.5928,0.58734,51.4029,36.6043,2.94539,0.01313,0.06521,0.26346,0.36425
"37","2019_Q2",11.5007936507936,"Down",2868156000,-2455825000,412331000,-363165000,-363165000,49166000,-7622000,-7525000,-97000,41544000,-25616000,4255000,-21361000,-19291000,-19294000,-19294000,53910000,53910000,1114015000,1114015000,2405017000,917099000,158967000,4490041000,1543952000,2553620000,1278205000,707950000,145138000,4097572000,8587613000,1961782000,1485783000,475999000,730401000,2832793000,1924221000,2000283000,1542485000,3924504000,6757297000,489617000,1381215000,-14655000,1831946000,1830316000,8587613000,-21361000,-19291000,24793000,13373000,-118124000,-107020000,133148000,-2140880000,2912847000,118000,118000,-63435000,2849530000,601630000,601630000,601581000,73959000,2654622000,84728000,0.14376,0.01714,-0.00673,-0.01054,-0.00225,-4.39142,1.58502,3.69187,0.30912,-0.38143,-0.38143,56.70197,36.21663,1.67503,-0.00298,0.01306,35.16424,52.89655
"38","2019_Q3",9.54875,"Down",6149206000,-5387423000,761783000,-751922000,-751922000,9861000.00000001,-57883000,-58707000,824000,-48022000,-455112000,91809000,-363303000,-341896000,-341725000,-341725000,49515000,49515000,1094874000,1094874000,2242724000,279552000,119659000,3666665000,1658010000,2073609000,1054222000,481095000,122644000,3731619000,7398284000,1901470000,1452643000,448827000,143614000,2179065000,124599000,3611252000,3312418000,3735851000,5914916000,496028000,1039490000,-25863000,1485424000,1483368000,7398284000,-363303000,-341896000,73200000,335933000,55445000,132886000,-45011000,-8401000.00000048,-689209000,0,2.3283064365387e-10,-4225000,-693434000,-568949000,-569203000,-571022000,83061000,268213000,1686000,0.12388,0.0016,-0.05557,-0.23037,-0.04619,-0.00493000000000077,1.68268,3.98749,0.03625,-6.72488,-6.72488,121.01163,29.232,0.0331800000000002,-0.06372,0.00031,2.63298,22.17808
"39","2019_Q4",8.063125,"Down",5962620000,-5174070000,788550000,-737681000,-737681000,50869000,-55875000,-54917000,-958000,-5006000,24747000,8027000,32774000,57144000,57092000,57092000,37861000,37861000,1049273000,1049273000,2214950000,333019000,185498000,3635103000,1648156000,2043962000,1071898000,471843000,107078000,3692118000,7327221000,1852363000,1472250000,380113000,133676000,2102149000,122936000,3571924000,3318941000,3694860000,5797009000,503250000,1096582000,-43385000,1532216000,1530212000,7327221000,32774000,57144000,71787000,-30771000,-67372000,51324000,-55816000,-50471000,-18780000,1471000,1471000,1820000,-15489000,-14636000,-14636000,-12994000,122656000,256612000,-8559000,0.13225,0.00853,0.00957,0.03731,0.00779,-0.14992,1.72923,3.78837,0.03502,1.12284,1.12024,117.26822,30.13445,-0.16833,0.01065,-0.0016,1.78345,4.30028
"40","2020_Q1",7.93,"Down",7361018000,-6103682000,1257336000,-1123232000,-1123232000,134104000,-58620000,-59851000,1231000,75484000,114981000,-45091000,69890000,19042999.9999999,18927000.0000001,18927000.0000001,44468000,44468000,1067012000,1067012000,2190681000,256768000,235774000,3558929000,1896164000,1719242000,1089846000,442256000,107921000,3615406000,7174335000,1981325000,1532310000,449015000,112103000,2108945000,2819050000,742035000,502957000,3561085000,5670030000,531336000,1108890000,-108953000,1507042000,1504305000,7174335000,69890000,19043000,78220000,-15534999.9999999,154051000,207810000,-81321000,-59248000,-165858000,22411000,22411000,-1160000,-144607000,3955000.00000012,4209000,4435000,212324000,2931153000,330145000,0.17081,0.01822,0.00257,0.01258,0.00264,17.44307,1.68754,3.7692,0.40856,0.3589,0.35189,139.58241,28.5771,6.26033,0.00366,0.06377,13.59566,21.52572
"41","2020_Q2",14.9984126984127,"Up",6296612000,-5389401000,907211000,-883688000,-883688000,23523000,-49309000,-49709000,4e+05,-25786000,-454389000,66955000,-387434000,-383408000,-383927000,-383927000,39758000,39758000,1136924000,1136924000,2324979000,348346000,192463000,3850007000,1494309000,2619203000,999586000,19791000,1157166000,4113512000,7963519000,2017638000,1606470000,411168000,34458000,2280301000,3051238000,1508740000,1285740000,4559978000,6840279000,533499000,728979000,-111691000,1126556000,1123240000,7963519000,-387434000,-383408000,75141000,380415000,-202503000,-134869000,-43379000,-23881000,156240000,1735000,1735000,-1879000,156096000,-2654000,-2654000,-2664000,98664000,3085696000,-214173000,0.14408,0.00374,-0.06097,-0.3418,-0.04821,0.55785,1.68838,6.08978,0.38748,-7.21491,-7.21491,118.32845,21.17069,-4.02482,-0.06715,-0.03746,30.87183,129.48765
"42","2020_Q3",18.97765625,"Up",6431382000,-5514057000,917325000,-862732000,-862732000,54593000,-47616000,-48836000,1220000,6977000,-26791999.9999999,12808000,-13984000,-30060000.0000001,-30710000,-30710000,40064000,40064000,1074941000,1074941000,2134905000,369543000,224174000,3619453000,1470704000,2592269000,978170000,19734000,1170416000,4062973000,7682426000,1872755000,1462843000,409912000,32218000,2159049000,2917131000,1507152000,1299814000,4424283000,6583332000,536442000,698269000,-108420000,1102060000,1099094000,7682426000,-13984000,-30060000.0000001,69219000,64916000.0000001,48959999.9999999,173951000,-35419000,-33804000,-140348000,292000,292000,-391000,-140447000,-3e+05,-300000.000000004,-271000,123812000,2949349000,124545000,0.14263,0.00849,-0.00477999999999999,-0.02794,-0.004,-4.05552,1.67641,5.98978,0.38391,-0.57377,-0.57377,120.16109,20.5904,2.32694,-0.00553,0.02242,23.4976,53.29044
"43","2020_Q4",16.73609375,"Down",7031718000,-5981486000,1050232000,-911007000,-911007000,139225000,-45427000,-47269000,1842000,93798000,91648000,2799000,94447000,90369000,88131000,88131000,56425000,56425000,1232612000,1232612000,2025694000,408741000,279886000,3723472000,1534270000,2443031000,956717000,19148000,1078220000,3977301000,7700773000,2169925000,1716263000,453662000,33440000,2477566000,2541657000,1513590000,1312607000,4055247000,6532813000,559291000,786400000,-151645000,1169815000,1167960000,7700773000,94447000,90369000,69642000,63576000,186833000,413197000,-18355000,-15345000,-383499000,3635000,3635000,-1270000,-381134000,16718000,16718000,16409000,208867000,2575097000,374546000,0.14936,0.0198,0.01253,0.07546,0.01144,4.24988,1.50287,5.59335,0.33439,1.64059,1.64059,130.89816,21.77656,6.97232,0.01677,0.07125,12.05874,18.09066
"44","2021_Q1",27.8518032786885,"Up",6799288000,-5785056000,1014232000,-894573000,-894573000,119659000,-45648000,-46186000,538000,74011000,47533000,8438000,55971000,54099000,52506000,52506000,4.7e+07,4.7e+07,1.12e+09,1.12e+09,2.282e+09,2.56e+08,2.53e+08,3.705e+09,1.701e+09,2.181e+09,9.7e+08,2e+07,1.079e+09,3.882e+09,7.587e+09,2.146e+09,1.634e+09,5.12e+08,8.3e+07,2.37e+09,2.427e+09,1.648e+09,1.354e+09,4.075e+09,6.445e+09,5.7e+08,8.38e+08,-2.39e+08,1.145e+09,1.142e+09,7.587e+09,55971000,72099000,67998000,-25907000,-90290000,4720999.99999994,71153000,72030000,-93393000,8338000,8338000,-2460000,-87515000,-10764000,-10764000,-11474000,187657000,2.51e+09,160082000,0.14917,0.0176,0.00772,0.04598,0.00692,3.04883,1.56329,5.64361,0.33083,0.96065,0.96065,124.39922,20.94883,2.92885,0.00991,0.0302,13.12501,20.58349
"45","2021_Q2",36.3704761904762,"Up",6.684e+09,-5.714e+09,9.7e+08,-9.04e+08,-9.04e+08,6.6e+07,-6.8e+07,-6.9e+07,1e+06,-2e+06,-1e+06,1e+06,0,0,-1e+06,-1e+06,49046000,49046000,1165946000,1165946000,2446604000,278898000,273211000,3940494000,1662659000,2180444000,946581000,19671000,1104854000,3843103000,7783597000,2193328000,1729786000,463542000,25712000,2374224000,2620587000,1640927000,1366214000,4261514000,6635738000,572738000,827353000,-225722000,1150138000,1147859000,7783597000,49819486.1163892,64103660.2548268,7.7e+07,3.2e+07,-1.64e+08,-5.8e+07,-3.7e+07,-3.5e+07,1.15e+08,8485125.10253114,8485344.99666933,-2e+07,9.5e+07,2e+06,2e+06,2e+06,1.43e+08,2646299000,-5.9e+07,0.14512,0.00987,-0.00015,-0.000870000000000003,-0.000129999999999999,59,1.6597,5.78097,0.33998,-0.01813,-0.01813,121.1506,20.84679,-1.0694,-0.00018,-0.01086,18.16261,39.35232
"46","2021_Q3",35.39625,"Down",6.9e+09,-5.905e+09,9.95e+08,-8.7e+08,-8.7e+08,1.25e+08,-4.9e+07,-5.1e+07,2e+06,7.6e+07,7.5e+07,-1.7e+07,5.8e+07,6.1e+07,5.9e+07,5.9e+07,40496000,40496000,1136135000,1136135000,2228772000,243288000,238572000,3648691000,1671755000,2169694000,928053000,20084000,1112387000,3841449000,7490140000,2112126000,1618288000,493838000,24840000,2293638000,2374250000,1593186000,1338100000,3967436000,6261074000,581664000,886313000,-213529000,1230217000,1229066000,7490140000,5.8e+07,6.1e+07,6.7e+07,7e+06,1.3e+08,2.65e+08,-1.4e+07,-1.5e+07,-2.56e+08,4903571.29130545,4903781.231388,-2e+06,-2.58e+08,-8e+06,-8e+06,-8e+06,1.92e+08,2399090000,3.25e+08,0.1442,0.01812,0.00855,0.048,0.00788,5.50847,1.59079,5.09417,0.3203,1.04865,0.93551,122.63832,21.86547,5.77644,0.0113,0.06224,12.28434,18.86875
"47","2021_Q4",48.32421875,"Up",6.631e+09,-5.661e+09,9.7e+08,-8.68e+08,-8.68e+08,1.02e+08,-4.3e+07,-4.4e+07,1e+06,5.9e+07,6.6e+07,-1.6e+07,5e+07,5e+07,4.8e+07,4.8e+07,39495000,39495000,1106578000,1106578000,2293877000,145847000,140948000,3585797000,1715034000,2219993000,909590000,20495000,1183146000,3935027000,7520824000,2095374000,1599995000,495379000,23700000,2264914000,2314215000,1640633000,1403691000,3954848000,6219762000,588894000,934871000,-197092000,1302442000,1301062000,7520824000,5e+07,5e+07,6.6e+07,5e+06,1e+07,1.29e+08,-5.7e+07,-6.1e+07,-6.3e+07,1204731.83442703,1204826.85041267,-6e+06,-6.9e+07,-1e+06,-1e+06,-1e+06,1.68e+08,2337915000,1.37e+08,0.14628,0.01538,0.00724,0.03689,0.00638,2.85417,1.58319,4.78053,0.31086,0.8615,0.81192,119.01215,23.37603,2.45885,0.00909,0.02595,13.68107,22.53353
"48","2022_Q1",40.9056451612903,"Down",6.735e+09,-5.731e+09,1.004e+09,-9.51e+08,-9.51e+08,5.3e+07,-3.6e+07,-4e+07,4e+06,1.7e+07,4.3e+07,-2e+06,4.1e+07,4.4e+07,4.3e+07,4.3e+07,4.1e+07,4.1e+07,1.103e+09,1.103e+09,2.247e+09,1.59e+08,1.57e+08,3.55e+09,1.784e+09,2.191e+09,8.91e+08,2e+07,1.221e+09,3.975e+09,7.525e+09,2.228e+09,1.644e+09,5.84e+08,1.2e+08,2.487e+09,2.175e+09,1.349e+09,1.296e+09,3.524e+09,6.011e+09,6e+08,9.78e+08,-3.9e+07,1.515e+09,1.514e+09,7.525e+09,4.1e+07,3.8e+07,7.5e+07,-1.7e+07,1.77e+08,2.78e+08,-1.2e+08,-1.26e+08,-1.49e+08,999999.999999996,999999.999999993,-4e+06,-1.52e+08,0,0,1e+06,1.28e+08,2.295e+09,1.87e+08,0.14907,0.00787,0.00638,0.0284,0.00571,4.34884,1.42742,3.97028,0.30498,0.77176,0.72735,120.87873,27.19098,3.35625,0.00834,0.03625,17.60938,42.5283
"49","2022_Q2",42.0125806451613,"Up",6.997e+09,-5.955e+09,1.042e+09,-9.32e+08,-9.32e+08,1.1e+08,-4.1e+07,-4e+07,-1e+06,6.9e+07,7.6e+07,1e+06,7.7e+07,7.7e+07,7.6e+07,7.6e+07,4.6e+07,4.6e+07,1.249e+09,1.249e+09,2.537e+09,1.87e+08,1.87e+08,4.019e+09,1.769e+09,2.211e+09,8.73e+08,2e+07,1.269e+09,3.98e+09,7.999e+09,2.428e+09,1.896e+09,5.32e+08,1.21e+08,2.691e+09,2.376e+09,1.345e+09,1.294e+09,3.721e+09,6.412e+09,5.83e+08,1.054e+09,-2.4e+07,1.589e+09,1.587e+09,7.999e+09,7.7e+07,29047287.7874414,6.9e+07,1.9e+07,-2.46e+08,-8.1e+07,-5.5e+07,-8.1e+07,1.97e+08,5e+06,5e+06,-3.5e+07,1.67e+08,5e+06,5e+06,5e+06,1.79e+08,2.497e+09,-1.23e+08,0.14892,0.01572,0.01086,0.04789,0.0095,-1.61842,1.4935,4.04033,0.31216,1.33333,1.24386,122.75439,27.87719,-2.15789,0.014,-0.02266,13.69274,22.28182
"50","2022_Q3",42.595,"Up",7.416e+09,-6.341e+09,1.075e+09,-9.44e+08,-9.44e+08,1.31e+08,-4.2e+07,-4.4e+07,2e+06,8.9e+07,9.3e+07,-2.5e+07,6.8e+07,6.8e+07,6.6e+07,6.6e+07,4.5e+07,4.5e+07,1.241e+09,1.241e+09,2.426e+09,1.52e+08,1.52e+08,3.864e+09,1.764e+09,2.173e+09,8.55e+08,2e+07,1.256e+09,3.937e+09,7.801e+09,2.288e+09,1.737e+09,5.51e+08,1.22e+08,2.555e+09,2.309e+09,1.254e+09,1.233e+09,3.563e+09,6.118e+09,5.97e+08,1.12e+09,-9e+06,1.684e+09,1.683e+09,7.801e+09,6.8e+07,25117113.3623241,6.9e+07,3.2e+07,-4.5e+07,1.24e+08,-4.8e+07,-4.8e+07,-76000000.0000001,4e+06,4e+06,-4e+06,-7.6e+07,0,0,0,2e+08,2.431e+09,1.32e+08,0.14496,0.01766,0.0089,0.03922,0.00846,2,1.51233,3.63518,0.31163,1.15789,1.0802,130.10526,29.54386,2.31579,0.0123,0.02459,11.93,18.21374
