"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",33.418125,"Up",128781000,-31358000,97423000,-89107000,-8256000,-7366000,-73485000,8316000,156000,9000,147000,8472000,-884000,7588000,-2047000,5541000,5541000,5541000,5541000,-14379416.8263657,-58839299.5790836,4868122.76376763,1532078.18520693,10422152.7068496,-3547816.65971725,2442936.8294584,330196763.93212,17479948.5365558,4673000,12806948.5365558,360253760.420918,362696697.250377,22933529.5821205,-8641073.76412307,31574603.3462436,22933529.5821205,81000113.0516108,57491794.8723128,81000117.673254,103933647.255374,185866286.544724,72896763.4502779,258763049.995002,258763049.995002,362696697.250377,5541000,7366000,3539000,-502000,15944000,-17223000,-19874000,1029000,1029000,428000,1457000,-2473000,-2473000,-2473000,15682000,0,4000,0.7565,0.06457,0.04303,-0.0194379850672407,-0.01259219583129,0.00072,0.797075827155488,0.422876752607573,7.70720957121662e-09,0.20437,0.19701,4.74979,9.66470929485795,0.00015,-0.0155379809334329,-0.179261481660875,-2.19522984092308,-7.57109200241324
"2","2011_Q1",35.2467741935484,"Up",132896000,-32949000,99947000,-91360000,-8941000,-7751000,-74668000,8587000,129000,8000,121000,8716000,-140000,8576000,-1639000,6937000,6937000,6937000,6937000,53192000,31518000,10041000,4323000,15165000,3481000,82721000,330108000,16251000,4673000,11578000,347364000,430085000,64085000,19218000,44867000,64085000,78174000,54197000,78174000,142259000,198723000,89103000,287826000,287826000,430085000,6937000,7751000,2200000,16207000,33095000,-20289000,-23756000,2995000,2995000,-735000,2260000,11599000,11599000,11599000,16338000,0,13895000,0.75207,0.06461,0.0522,0.0241,0.01613,2.00303,1.2908,0.49425,0,0.25443,0.24054,4.87423,10.55661,0.50963,0.01895,0.03796,-3.25572,-6.19448
"3","2011_Q2",44.9579365079365,"Up",144862000,-35720000,109142000,-98647000,-9918000,-7947000,-80782000,10495000,242000,4000,238000,10737000,-385000,10352000,-3157000,7195000,7195000,7195000,7195000,68674472.2754552,50791516.5263612,11148125.7454108,5717807.27159769,15150115.7643835,3949355.55323908,100690521.056847,337646495.35596,16141100.4878147,4673000,11468100.4878147,353971246.526361,454661767.583208,71478740.1392932,24671107.9213744,46807632.2179188,71478740.1392932,80061295.6494631,54874235.0425624,80061294.1089153,151540034.248208,204603654.485092,98518078.8499074,303121733.334999,303121733.334999,454661767.583208,7195000,7947000,2902000,-10294000,7750000,-15237000,-12662000,2126000,2126000,1174000,3300000,-1612000,-1612000,-1612000,18442000,0,-3932000,0.75342,0.07245,0.04967,0.0340418283557469,0.02282489861043,-0.54649,1.4373597242815,0.498643582464142,-2.56906985707221e-09,0.26234,0.24951,5.28192,11.0148877350473,-0.14337,0.0268226603111443,0.082797160553625,-3.28232671969231,-5.27569516586225
"4","2011_Q3",45.27671875,"Up",152887000,-37886000,115001000,-103095000,-9794000,-8256000,-85045000,11906000,125000,29000,96000,12031000,-689000,11342000,-3174000,8168000,8168000,8168000,8168000,55570000,31910000,10501000,6140000,13500000,1717000,85711000,350907000,16616000,4673000,11943000,372499000,458210000,62341000,18809000,43532000,62341000,84874000,57928000,84874000,147215000,206529000,104466000,310995000,310995000,458210000,8168000,8256000,2161000,16716000,35301000,-26150000,-33695000,2137000,2137000,-1739000,398000,2004000,2004000,2004000,20162000,-1.11022302462516e-16,13902000,0.7522,0.07787,0.05343,0.02626,0.01783,1.70201,1.37487,0.47337,0,0.29543,0.27968,5.52977,11.24837,0.50282,0.02063,0.03512,-2.75617,-4.66739
"5","2011_Q4",46.8001587301587,"Up",151424000,-37382000,114042000,-104186000,-9378000,-8644000,-86164000,9856000,97000,40000,57000,9953000,-1274000,8679000,-2343000,6336000,6336000,6336000,6336000,40301000,11925000,10917000,6089000,14581000,1886000,71888000,369341000,16979000,4673000,12306000,395397000,467285000,57945000,15068000,42877000,57945000,90576000,61432000,90576000,148521000,207962000,110802000,318764000,318764000,467285000,6336000,8644000,2779000,163000,17922000,-27975000,-36762000,127000,127000,-1272000,-1145000,-19985000,-19985000,-19985000,18500000,0,-6969000,0.75313,0.06509,0.04184,0.01988,0.01356,-1.09991,1.24062,0.46593,0,0.2287,0.21671,5.46558,11.50565,-0.25154,0.01548,-0.01702,-2.17843,-4.08898
"6","2012_Q1",47.7527419354839,"Up",171770000,-41707000,130063000,-116857000,-10862000,-9228000,-96767000,13206000,187000,16000,171000,13393000,-114000,13279000,-3408000,9871000,9871000,9871000,9871000,45396000,22391000,14539000,5963000,21101000,7902000,86999000,390591000,16750000,4673000,12077000,415080000,502079000,74168000,23757000,50411000,74168000,95462000,63901000,95462000,169630000,211776000,120673000,332449000,332449000,502079000,9871000,9228000,3330000,-2453000,19976000,-21881000,-15145000,707000,707000,4928000,5635000,10466000,10466000,10466000,22434000,0,1508000,0.75719,0.07688,0.05747,0.02969,0.01966,0.15277,1.173,0.51024,-1.65436122510606e-24,0.35578,0.33697,6.19103,11.9823,0.0543500000000001,0.02307,0.00352000000000001,-2.02354,-3.43753
"7","2012_Q2",42.742380952381,"Down",167604000,-41191000,126413000,-114596000,-10713000,-9526000,-94357000,11817000,378000,45000,333000,12195000,-54000,12141000,-3526000,8615000,8615000,8615000,8615000,42988000,22889000,16063000,5448000,19491000,6447000,83990000,399802000,17609000,4673000,12936000,429303000,513293000,68980000,21034000,47946000,68980000,101060000,67826000,101060000,170040000,213965000,129288000,343253000,343253000,513293000,8615000,9526000,2957000,429000,21527000,-18027000,-19247000,663000,663000,-2445000,-1782000,498000,498000,498000,21343000,0,7271000,0.75424,0.07051,0.0514,0.0251,0.01678,0.84399,1.2176,0.49538,0,0.30869,0.29697,6.00559,12.29945,0.26053,0.01939,0.01636,-2.01415,-3.63781
"8","2012_Q3",39.8534920634921,"Down",180696000,-45049000,135647000,-122627000,-11181000,-10060000,-101386000,13020000,166000,69000,97000,13186000,-458000,12728000,-3761000,8967000,8967000,8967000,8967000,33459000,10952000,14632000,5995000,20412000,6228000,74498000,420246000,18267000,4673000,13594000,450680000,525178000,66168000,19012000,47156000,66168000,105091000,69058000,105091000,171259000,215664000,138255000,353919000,353919000,525178000,8967000,10060000,2806000,4455000,26288000,-38065000,-40233000,299000,299000,1709000,2008000,-11937000,-11937000,-11937000,23080000,1.4210854715202e-14,-6769000,0.75069,0.07205,0.04962,0.02534,0.01707,-0.75488,1.12589,0.48389,0,0.32041,0.30944,6.45666,12.64629,-0.24187,0.01954,-0.01475,-1.4497,-2.56982
"9","2012_Q4",34.5966129032258,"Down",175220000,-43230000,131990000,-123137000,-10445000,-10562000,-102130000,8853000,254000,56000,198000,9107000,0,9107000,-2268000,6839000,6839000,6839000,6839000,38551000,19384000,8327000,6066000,21271000,6211000,74215000,439118000,18872000,4673000,14199000,469025000,543240000,73227000,21436000,51791000,73227000,107747000,70056000,107747000,180974000,217172000,145094000,362266000,362266000,543240000,6839000,10562000,1909000,10803000,30113000,-29680000,-24865000,357000,357000,2827000,3184000,8432000,8432000,8432000,19415000,0,2806000,0.75328,0.05053,0.03903,0.01888,0.01259,0.41029,1.01349,0.49956,0,0.24408,0.23922,6.25361,12.9293,0.10015,0.01455,0.00597,-1.98563,-4.35457
"10","2013_Q1",31.5625,"Down",184805000,-46166000,138639000,-129948000,-12792000,-11199000,-105957000,8691000,196000,52000,144000,8887000,-207000,8680000,-1692000,6988000,6988000,6988000,6988000,33390000,15074000,18929000,6061000,16985000,8619000,75365000,457499000,19123000,4673000,14450000,484156000,559521000,82484000,25665000,56819000,82484000,105203000,71711000,105203000,187687000,219752000,152082000,371834000,371834000,559521000,6988000,11199000,3437000,-11221000,10403000,-19670000,-14499000,567000,567000,-781000,-214000,-4310000,-4310000,-4310000,19890000,0,-9309000,0.75019,0.04703,0.03781,0.01879,0.01249,-1.33214,0.91369,0.50476,0,0.24901,0.24221,6.58536,13.24997,-0.33172,0.01465,-0.01951,-1.67873,-3.84191
