"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",77.3438095238095,"Up",-4683310.27339142,-3535000,-1589000,-1946000,-3535000,-1359000,-1359000,-4894000,1690000,-3204000,-3204000,-3204000,-3204000,-3204000,78565203.0517316,94439625.5535378,-2045866.60266418,-2045866.60266418,76519336.3600734,-73926.1249092428,25505.0618038921,25505.0618038716,-46180.3991990318,76473155.9608743,1635864.86608254,-3597916.86589763,5233781.73198017,7328862.7518847,35001064.2407303,1015567.39196763,1015482.64403846,36016631.6326979,43345494.3845826,104381291.96631,-71228995.4084091,33127661.5762918,33127661.5762918,76473155.9608743,-3204000,117000,-124000,1836000,-1375000,-32000,-2405000,-2437000,35208000,35208000,33963000,30151000,30151000,30151000,-3418000,0,-131.099792326427,-141.51372856038,-1.0627982209067,0.080551745547178,17.344112432914,5.32287289629908,0.714084431509816,-97.58623,-97.58623,-4.70726050396465,69.6757600076219,0.119921183914503,10.4789849626728,10.0778168257478
"2","2011_Q3",74.0875,"Down",-1127436.75779714,-4660000,-1631000,-3029000,-4620000,-155000,-155000,-4775000,11999.9999999998,-4763000,-4763000,-4763000,-4763000,-4763000,37802000,18760000,1206000,1206000,39008000,1670000,309000,309000,1979000,40987000,3626000,1847000,1779000,3777000,8733000,62000,62000,8795000,12572000,104947000,-76530000,28415000,28415000,40987000,-4763000,115000,615000,382000,-3651000,-205000,-16088000,-16293000,-211000,-211000,5498000,-14446000,-14446000,-14446000,-4505000,8733000,-49.1593141088091,-52.6251661867933,-0.16762,-0.11621,10.32777,0.44244,0.21307,-6.32598000000002,-6.32598000000002,-1.13106683465488,37.73937,-0.128,6.45261,6.29199
"3","2011_Q4",56.1850793650794,"Down",408000,-5813000,-1866000,-3947000,-5405000,-377000,-377000,-5782000,20000,-5762000,-5762000,-5762000,-5762000,-5762000,32020000,1825000,2061000,2061000,34081000,2229000,393000,393000,2622000,36703000,4311000,2626000,1685000,5095000,8196000,57000,57000,8253000,13348000,105644000,-82292000,23355000,23355000,36703000,-5762000,116000,825000,551000,-4270000,-1540000,-11271000,-12811000,146000,146000,146000,-16935000,-16935000,-16935000,-5289000,8877000,-13.24755,-14.12255,-0.24671,-0.15699,6.68911,0.57153,0.24186,-5.86014,-5.86014,0.41495,23.75279,-0.17845,4.37569,4.28178
"4","2012_Q1",60.1667741935484,"Up",624000,-6416000,-1714000,-4702000,-5792000,-418000,-418000,-6210000,-162000,-6372000,-6372000,-6372000,-6372000,-6372000,35785000,7794000,2361000,2361000,38146000,2306000,383000,383000,2689000,40835000,4041000,1530000,2511000,7845000,15275000,247000,247000,15522000,23367000,106132000,-88664000,17468000,17468000,40835000,-6372000,165000,819000,-603000,-5991000,-242000,122000,1962000,-3000.00000000047,-3000.00000000047,9998000,5969000,5969000,5969000,-5627000,19079000,-9.28205,-10.21154,-0.36478,-0.15604,4.86246,1.3377,0.46722,-6.50312,-6.50312,0.63684,17.82744,-0.17318,2.9689,2.88432
"5","2012_Q2",66.8279365079365,"Up",329000,-6875000,-2104000,-4771000,-6546000,-594000,-594000,-7140000,75000,-7065000,-7065000,-7065000,-7065000,-7065000,27571000,4469000,3499000,3499000,31070000,2545000,375000,375000,2920000,33990000,3267000,1135000,2132000,8949000,13496000,514000,514000,14010000,22959000,106762000,-95729000,11031000,11031000,33990000,-7065000,164000,782000,-1642000,-7761000,-403000,4750000,4347000,89000,89000,89000,-3325000,-3325000,-3325000,-6382000,19178000,-19.89666,-21.47416,-0.64047,-0.20786,3.4719,2.08132,0.56422,-7.20643,-7.20643,0.33559,11.25183,-0.22996,1.3151,1.28216
"6","2012_Q3",62.407619047619,"Down",224000,-7170000,-1776000,-5394000,-6946000,-598000,-598000,-7544000,350000,-7194000,-7194000,-7194000,-7194000,-7194000,31933000,7542000,1757000,1757000,33690000,2617000,337000,337000,2954000,36644000,3680000,1197000,2483000,10693000,12322000,6001000,6001000,18323000,29016000,110554000,-102923000,7628000,7628000,36644000,-7194000,172000,467000,2216000,-4339000,-282000,-1397000,-1679000,9091000,9091000,9091000,3073000,3073000,3073000,-6774000,19335000,-31.00893,-32.11607,-0.9431,-0.19632,3.15066,3.80388,0.52764,-6.97711,-6.97711,0.21725,7.39802,-0.21824,1.85976,1.81371
"7","2012_Q4",70.5725806451613,"Up",166000,-8358000,-1410000,-6948000,-8192000,-573000,-573000,-8765000,183000,-8582000,-8582000,-8582000,-8582000,-8582000,23375000,3721000,1922000,1922000,25297000,2524000,330000,330000,2854000,28151000,5001000,2858000,2143000,12227000,10456000,5795000,5795000,16251000,28478000,111177000,-111505000,-326999.999999998,-326999.999999998,28151000,-8582000,131000,652000,1116000,-6683000,-38000,4646000,4608000,60000,60000,-1746000,-3821000,-3821000,-3821000,-8061000,17682000,-49.3494,-51.6988,26.24465,-0.30486,2.06895,-87.08869,0.62811,-7.57577,-7.57577,0.14654,-0.288660000000001,-0.37071,0.70624,0.69495
"8","2013_Q1",101.145,"Up",1675000,-9704000,-1909000,-7795000,-8029000,-518000,-518000,-8547000,-1975000,-10522000,-10522000,-10522000,-10522000,-10522000,59763000,47932000,2003000,2003000,61766000,2485000,269000,269000,2754000,64520000,6888000,2235000,4653000,14331000,8530000,7812000,7812000,16342000,30673000,155873000,-122027000,33847000,33847000,64520000,-10522000,138000,2758000,1827000,-5799000,-103000,7782000,7679000,44180000,44180000,42331000,44211000,44211000,44211000,-7891000,15973000,-4.79342999999999,-6.28178999999999,-0.31087,-0.16308,4.30996,0.90623,0.24757,-8.21618,-8.21618,1.30794,26.42966,-0.18257,5.54936,5.45398
"9","2013_Q2",142.625,"Up",940000,-11509000,-2191000,-9318000,-10569000,-454000,-454000,-11023000,-1739000,-12762000,-12762000,-12762000,-12762000,-12762000,48198000,37079000,2136000,2136000,50334000,2396000,255000,255000,2651000,52985000,7320000,3941000,3379000,14983000,6542000,9537000,9537000,16079000,31062000,156713000,-134789000,21923000,21923000,52985000,-12762000,141000,2629000,320000,-9672000,-52000,680000,628000,84000,84000,-1809000,-10853000,-10853000,-10853000,-10428000,14205000,-11.24362,-13.5766,-0.582130000000002,-0.24086,3.35941,1.41687,0.26809,-6.8736,-6.8736,0.50628,11.80771,-0.27947,3.25978,3.21629
"10","2013_Q3",218.225,"Up",407000,-8178000,-2070000,-6108000,-7771000,-403000,-403000,-8174000,-9273000,-17447000,-17447000,-17447000,-17447000,-17447000,33874000,21919000,1352000,1352000,35226000,2349000,252000,252000,5571000,40797000,4226000,1298000,2928000,12121000,4495000,18140000,18140000,22635000,34756000,158278000,-152236000,6041000,6041000,40797000,-17447000,147000,10222000,-2346000,-9424000,-101000,-3857000,-3958000,148999.999999993,148999.999999993,-1778000,-15160000,-15160000,-15160000,-7624000,12390000,-19.09337,-42.86732,-2.8881,-0.42765,2.9062,5.75335,0.3037,-9.36413,-9.36413,0.21844,3.24232,-0.47707,2.81794,2.76464
