"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","fed_funds_sold_repos","short_long_term_investments","trading_securities","investment_securities_available_for_sale","investment_securities_held_to_maturity","other_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","property_plant_equipment_net","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","securities_sold_under_repo","trading_account_liabilities","short_term_borrowings","long_term_debt","derivatives_hedging_liabilities","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","gain_on_sale_of_securities_loans","deferred_income_taxes","change_in_working_capital","trading_assets_liabilities","accrued_interest_payable","other_operating_assets_liabilities","net_cash_from_operating_activities","net_change_in_investments","decrease_in_investments","decrease_in_htm_investments","decrease_in_afs_investments","increase_in_investments","increase_in_htm_investments","increase_in_afs_investments","net_change_in_loans_interbank","net_change_in_customer_loans","net_change_in_interbank_assets","net_change_in_other_loans","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","net_change_in_interbank_transfers","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",14.2369841269841,"Up",3.1969e+10,1.3749e+10,1.9879e+10,-6.13e+09,1.822e+10,7.195e+09,-9.805e+09,2.2164e+10,-1.7254e+10,-5.17e+08,-1.6737e+10,4.91e+09,4.91e+09,4.389e+09,-1.207e+09,3.182e+09,3.182e+09,3.182e+09,-3.48e+08,2.834e+09,1.44794e+11,1.97038e+11,1.97038e+11,6.20211e+11,2.06018e+11,3.1602e+11,3.4e+08,9.7833e+10,9.29207e+11,-4.6835e+10,9.76042e+11,1.5147e+10,1.5147e+10,8.6305e+10,8.3636e+10,2.50814e+11,2.3387e+12,9.76102e+11,7.15018e+11,2.61084e+11,4.38539e+11,2.70601e+11,8.2532e+10,8.5406e+10,5.11653e+11,4.6927e+10,1.35656e+11,2.108877e+12,1.7964e+10,1.49048e+11,6.7811e+10,-5e+09,2.29823e+11,2.29823e+11,2.3387e+12,3.182e+09,1.012e+09,9.805e+09,2e+06,-7.34e+08,7.36e+08,9.875e+09,6.77e+09,6.115e+09,-3.01e+09,2.3876e+10,-4.2186e+10,1.869e+10,1.869e+10,49682353.8534652,-6.0876e+10,-6.4899e+10,4.023e+09,4.1764e+10,1.299e+10,-7.105e+09,3.5879e+10,5.691e+09,5.807e+09,-4.5e+08,9.691e+09,-6.255e+09,1.5416e+10,5.3e+08,-2.275e+10,2.328e+10,2217224642.77494,2217188006.0515,-1.5509e+10,3.4e+07,-6.234e+09,2.3449e+10,2.3449e+10,6e+06,2.3455e+10,5.922e+09,9.50192e+11,0.15359,0.08865,0.01233,0.00121,9.17609,0.40629,0.3088,0.28325,3.48342,23.08469,0.04903,0.0014,0.15879,136.00101,164.03218
"2","2010_Q3",11.63859375,"Down",2.9153e+10,1.29e+10,1.9119e+10,-6.219e+09,1.6253e+10,7.175e+09,-8.105e+09,2.1048e+10,-1.6745e+10,-6.44e+08,-1.6101e+10,4.303e+09,4.303e+09,3.795e+09,-6.72e+08,3.123e+09,3.123e+09,3.123e+09,-3.4e+08,2.783e+09,1.51034e+11,2.47667e+11,2.47667e+11,6.16625e+11,1.97376e+11,3.14765e+11,4.35e+08,1.04049e+11,9.10922e+11,-4.5255e+10,9.56177e+11,1.4536e+10,1.4536e+10,8.5801e+10,8.6466e+10,2.40031e+11,2.363878e+12,9.74467e+11,7.09688e+11,2.64779e+11,4.70551e+11,3.07211e+11,8.9982e+10,7.3358e+10,4.90083e+11,6.2789e+10,1.32814e+11,2.130704e+12,1.7993e+10,1.49175e+11,7.0497e+10,-4.491e+09,2.33174e+11,2.33174e+11,2.363878e+12,3.123e+09,9.86e+08,8.105e+09,4.91e+08,-3.7e+07,5.28e+08,2.77e+09,2.5338e+10,-3.597e+09,-1.8971e+10,1.5475e+10,-1.7596e+10,1.7771e+10,1.7768e+10,3e+06,-3.5367e+10,-3.4805e+10,-5.62e+08,-1.296e+10,6.667e+09,-5.0629e+10,3.1002e+10,4.021e+09,-2.588e+10,-4.4e+08,1.8795e+10,-1.2048e+10,3.661e+10,-5.767e+09,-2.1407e+10,1.564e+10,739074880.924981,739062668.683832,-1.635e+09,-2.1e+07,1.6699e+10,6.294e+09,6.294e+09,-5.4e+07,6.24e+09,5.289e+09,9.60634e+11,0.1476,0.09546,0.01194,0.00118,9.13783,0.40638,0.27934,0.27729,2.92617,21.59831,0.04416,0.00136,0.1581,153.07241,188.1478
"3","2010_Q4",10.43,"Down",2.67e+10,1.2435e+10,1.8209e+10,-5.774e+09,1.4265e+10,5.585e+09,-5.396e+09,2.1304e+10,-1.6395e+10,-6.51e+08,-1.5744e+10,4.909e+09,4.909e+09,-5.912e+09,-1.387e+09,-7.299e+09,-7.299e+09,-7.299e+09,-3.48e+08,-7.647e+09,1.31116e+11,2.71818e+11,2.71818e+11,6.34187e+11,2.07695e+11,3.22424e+11,4.38e+08,1.0363e+11,8.90329e+11,-4.3581e+10,9.3391e+11,1.432e+10,1.432e+10,7.5602e+10,7.8599e+10,2.33287e+11,2.33966e+12,9.77322e+11,7.05353e+11,2.71969e+11,4.51433e+11,2.96605e+11,9.001e+10,6.4818e+10,4.78858e+11,6.1656e+10,1.39896e+11,2.109165e+12,1.8104e+10,1.49563e+11,6.2515e+10,3.13e+08,2.30495e+11,2.30495e+11,2.33966e+12,-7.299e+09,9.64e+08,5.396e+09,1.1347e+10,-8.83e+08,1.83e+09,2.7624e+10,-1.3995e+10,4.208e+09,3.7411e+10,3.8032e+10,-2.0388e+10,1.6374e+10,1.6374e+10,0,-3.6762e+10,-3.8534e+10,1.772e+09,-1.0951e+10,-7.361e+09,-2.4151e+10,2.0561e+10,-6.103e+09,-3.6882e+10,-4.49e+08,-4.1432e+10,-8.539e+09,-1.0606e+10,-2.2287e+10,-3.4891e+10,1.2604e+10,0,0,2.0634e+10,-9e+06,-2.1256e+10,-2.0106e+10,-2.0106e+10,1.88e+08,-1.9918e+10,5.873e+09,9.30291e+11,0.18386,-0.2864,-0.03318,-0.00327,9.15059,0.39762,-0.76651,-0.76651,2.67633,21.28945,0.04501,-0.00308,-0.05872,136.07611,162.79792
"4","2011_Q1",12.1209677419355,"Up",2.2398e+10,1.2439e+10,1.829e+10,-5.851e+09,9.959e+09,4.519e+09,-5.129e+09,1.7269e+10,-1.8494e+10,-8.83e+08,-1.7611e+10,-1.225e+09,-1.225e+09,-3.595e+09,2.351e+09,-1.244e+09,-1.244e+09,-1.244e+09,-3.21e+08,-1.565e+09,1.08427e+11,2.09616e+11,2.09616e+11,6.32158e+11,1.94671e+11,3.37627e+11,4.27e+08,9.9433e+10,8.98555e+11,-4.1885e+10,9.4044e+11,1.4306e+10,1.4306e+10,7.3861e+10,8.5704e+10,2.32359e+11,2.264909e+12,1.01043e+12,7.19129e+11,2.91301e+11,3.77306e+11,2.45359e+11,7.1985e+10,5.9962e+10,4.48431e+11,5.5914e+10,1.4458e+11,2.036661e+12,1.6562e+10,1.50905e+11,6.0849e+10,-67999999.9999995,2.28248e+11,2.28248e+11,2.264909e+12,-1.244e+09,9.5e+08,5.129e+09,-1.376e+09,-8.72e+08,-2.486e+09,1.699e+09,2.662e+09,7.343e+09,-8306000000.00002,5.158e+09,-5.0364e+10,1.8044e+10,1.8036e+10,8e+06,-6.8408e+10,-6.0921e+10,-7.487e+09,6.8007e+10,-1.4846e+10,6.2202e+10,2.0651e+10,-2.258e+09,2.6608e+10,-4.23e+08,-8.7282e+10,-4.856e+09,-5.1246e+10,-3.118e+10,-3.1871e+10,6.91e+08,0,0,3.3108e+10,5.4e+07,-5.4543e+10,-2.2777e+10,-2.2777e+10,88000000.0000001,-2.2689e+10,-2.75e+08,8.25737e+11,-0.05469,-0.06987,-0.00686,-0.00069,8.92302,0.36458,-0.1558,-0.17116,2.22972,21.07334,0.04211,-5e-04,-0.27029,-2608.4,-585.55918
"5","2011_Q2",10.1220634920635,"Down",2.6877e+10,1.2179e+10,1.7922e+10,-5.743e+09,1.4698e+10,5.28e+09,-3.814e+09,2.3063e+10,-2.0081e+10,-6.46e+08,-1.9435e+10,2.982e+09,2.982e+09,2.78e+09,-7.31e+08,2.049e+09,2.049e+09,2.049e+09,-3.1e+08,1.739e+09,84063804798.8655,203541815333.724,203541815333.724,641920018702.773,187374108758.997,353863965324.938,5461769596.36993,95220175022.4687,903617695505.018,-39593375818.3615,943211071323.38,14044585438.5177,14044585438.5177,73515585882.3222,97176548970.991,222689136231.606,2250159259564.97,1036483137987.6,729465445561.718,307017692425.881,353053517151.014,236631369290.69,65596988758.2308,50825159102.0927,428550647424.098,53897474552.4658,149846524631.554,2021831301746.73,17026392392.421,151632744153.413,60059309189.8002,-390487917.394507,228327957818.239,228327957818.239,2250159259564.97,2.049e+09,8.92e+08,3.814e+09,-2.54e+08,-5.46e+08,2.92e+08,-7.077e+09,7.75e+09,-1.6827e+10,2e+09,-5.76e+08,-3.038e+09,1.7715e+10,1.7715e+10,0,-2.0753e+10,-2.3479e+10,2.726e+09,-1.1234e+10,1.326e+09,-2.444e+10,1.188e+10,7.7e+07,-1.3968e+10,-4.15e+08,-5.812e+09,-1.638e+09,1.5162e+10,-1.9336e+10,-2.7957e+10,8.621e+09,0,0,9.745e+09,3.9e+07,3.557e+09,-1.0987e+10,-1.0987e+10,1.02e+08,-1.0885e+10,3.874e+09,0,0.11095,0.0647,0.0230605723810585,0.00230612852366715,8.85565161132014,0.348359130979235,0.17259,0.1708,2.66746,20.9479650175884,0.04119,0.00248883460674656,0.23864,-3017.42972979507,-681.678120227377
"6","2011_Q3",7.0128125,"Down",1.3236e+10,1.1246e+10,1.7048e+10,-5.802e+09,1.99e+09,7.235e+09,-3.255e+09,9.981e+09,-2.0094e+10,-7.66e+08,-1.9328e+10,-1.0113e+10,-1.0113e+10,-1.2875e+10,4.049e+09,-8.826e+09,-8.826e+09,-8.826e+09,-3.01e+08,-9.127e+09,70041102419.2238,240145324667.32,240145324667.32,649684724364.046,185626713336.011,355370344619.616,14955149126.5992,93732517281.8205,900875810630.509,-37095051286.8294,937970861917.338,13684355832.7673,13684355832.7673,72258798819.5952,101461086892.054,204324056334.733,2261763856763.83,1045991963563.41,728210055774.888,317781907788.52,362639779523.313,253792538714.125,68755515842.9803,40091724966.2079,417031119617.22,55655206594.39,150889858046.858,2032207927345.19,18762527864.546,152209400283.103,58950718677.3225,-366717406.333383,229555929418.638,229555929418.638,2261763856763.83,-8.826e+09,8.77e+08,3.255e+09,-2.006e+09,-8.99e+08,-3.71e+09,5.8479e+10,-3.034e+09,2.6383e+10,3.513e+10,5.1779e+10,-2.1937e+10,1.1014e+10,1.1014e+10,0,-3.2951e+10,-3.6367e+10,3.416e+09,2.0461e+10,-9.473e+09,-1125000000.00002,3.1059e+10,-3.9e+08,-1.436e+09,-4.03e+08,-4.6326e+10,-7.692e+09,-2.1e+10,-1.7634e+10,-2.5972e+10,8.338e+09,2.38418579101562e-07,0,1.8233e+10,0,-2.8496e+10,2.1847e+10,2.1847e+10,1.38e+08,2.1985e+10,-9.236e+09,-0.0001220703125,-0.76405,-0.68956,0.0333283834890978,0.00338949558250576,8.8534383067304,0.345684948536212,-0.90412,-0.90412,1.31115,20.899549418869,0.03992,0.00357092127267494,-0.04415,-1370.14162226436,-238.725816024026
"7","2011_Q4",5.06539682539683,"Down",2.8453e+10,1.049e+10,1.5853e+10,-5.363e+09,1.7963e+10,9.417e+09,-3.407e+09,2.5046e+10,-1.7437e+10,-9.37e+08,-1.65e+10,7.609e+09,7.609e+09,7.433e+09,-1.201e+09,6.232e+09,6.232e+09,6.232e+09,-3.43e+08,5.889e+09,8.2865e+10,2.49998e+11,2.49998e+11,6.24497e+11,1.76398e+11,3.24267e+11,2.6458e+10,9.7374e+10,8.97449e+11,-3.5082e+10,9.32531e+11,1.3552e+10,1.3552e+10,7.0832e+10,8.9302e+10,1.82369e+11,2.219628e+12,1.041353e+12,7.13519e+11,3.27834e+11,3.50011e+11,2.48116e+11,6.8026e+10,3.3869e+10,3.98965e+11,5.9304e+10,1.39743e+11,1.989376e+12,1.948e+10,1.53801e+11,5.9043e+10,-2.072e+09,2.30252e+11,2.30252e+11,2.219628e+12,6.232e+09,8.71e+08,3.407e+09,-2.99e+08,-7.37e+08,4.38e+08,-2.1569e+10,3.872e+09,-1.278e+10,-1.2661e+10,-1.1358e+10,-2.9909e+10,1.2496e+10,1.2452e+10,4.4e+07,-4.2405e+10,-1.8198e+10,-2.4207e+10,1.5734e+10,3.334e+09,-1.4817e+10,2.7217e+10,-6.11e+08,-6.194e+09,-4.45e+08,-2.6109e+10,-1.6763e+10,8.595e+09,-1.7941e+10,-2.3918e+10,5.977e+09,5e+09,5e+09,2.945e+09,6e+06,-1.8603e+10,-3.6155e+10,-3.6155e+10,-5.07e+08,-3.6662e+10,8.48e+09,7.48976e+11,0.26742,0.20697,0.02558,0.00265,8.63999,0.33743,0.58213,0.56277,2.81259,20.83492,0.04399,0.00285,0.07556,78.5508300000001,87.5425199999999
"8","2012_Q1",6.79693548387097,"Up",2.4888e+10,1.0701e+10,1.5413e+10,-4.712e+09,1.4187e+10,4.935e+09,-2.934e+09,2.1954e+10,-1.884e+10,-1.032e+09,-1.7808e+10,3.114e+09,3.114e+09,2.432e+09,-441000000.000001,1.991e+09,1.991e+09,1.991e+09,-4.07e+08,1.584e+09,1.20102e+11,2.11183e+11,2.11183e+11,5.79762e+11,1.69319e+11,2.76151e+11,3.5265e+10,9.9027e+10,8.92417e+11,-3.3783e+10,9.262e+11,1.3637e+10,1.3637e+10,6.9967e+10,6.6999e+10,1.66958e+11,2.129046e+12,1.033041e+12,6.93974e+11,3.39067e+11,3.1107e+11,2.14864e+11,6.0508e+10,3.5698e+10,3.72265e+11,5.952e+10,1.23049e+11,1.898945e+12,1.8397e+10,1.56621e+11,6.052e+10,-5.437e+09,2.30101e+11,2.30101e+11,2.129046e+12,1.991e+09,2.891e+09,2.934e+09,1.38962e+11,1.4067e+11,1.031e+09,-1.22175e+11,1.6893e+10,-1.49e+10,-6e+09,2.4603e+10,-2.2765e+10,1.6109e+10,1.5551e+10,5.58e+08,-3.8874e+10,-2.1492e+10,-1.7382e+10,8.9947e+10,7.677e+09,3.8815e+10,4.3455e+10,2.9e+07,7.4027e+10,-4.75e+08,-5.2325e+10,1.829e+09,-3.3252e+10,-2.0902e+10,-2.3967e+10,3.065e+09,0,9.5367431640625e-07,-8.312e+09,-1.86264514923096e-09,-6.1112e+10,3.7518e+10,3.7518e+10,-2.81e+08,3.7237e+10,6.005e+09,6.83335e+11,0.12512,0.0636500000000001,0.00688,0.00074,8.25266,0.32096,0.15403,0.15411,2.42021,20.58694,0.04619,0.00097,0.29987,93.794,180.87123
"9","2012_Q2",6.79539682539683,"Down",2.2278e+10,1.0846e+10,1.5461e+10,-4.615e+09,1.1432e+10,2.927e+09,-2.418e+09,1.986e+10,-1.9141e+10,-7.83e+08,-1.8358e+10,7.19e+08,7.19e+08,7.19e+08,-6.6e+07,6.53e+08,6.53e+08,6.53e+08,-3.25e+08,3.28e+08,1.28792e+11,2.25784e+11,2.25784e+11,6.2055e+11,2.09775e+11,2.9704e+11,3.4205e+10,7.953e+10,8.70083e+11,-3.2211e+10,9.02294e+11,1.3104e+10,1.3104e+10,6.9976e+10,7.4358e+10,1.71106e+11,2.181449e+12,1.041311e+12,6.95856e+11,3.45455e+11,3.68159e+11,2.58491e+11,7.0414e+10,3.9254e+10,3.54912e+11,4.9172e+10,1.35396e+11,1.94895e+12,1.8788e+10,1.57973e+11,6.0734e+10,-4.996e+09,2.32499e+11,2.32499e+11,2.181449e+12,6.53e+08,9.48e+08,2.418e+09,1.2411e+10,9.292e+09,-1.95e+08,-3.2033e+10,-2.7168e+10,1.215e+10,-6.499e+09,-1.5603e+10,-4.4601e+10,1.6776e+10,1.5804e+10,9.72e+08,-6.1377e+10,-6.6902e+10,5.525e+09,3.2518e+10,2.0537e+10,-1.4601e+10,2.6582e+10,-1.6e+08,-1.1406e+10,-4.83e+08,2.6638e+10,3.506e+09,4.3627e+10,-2.0495e+10,-3.077e+10,1.0275e+10,6.87e+08,6.87e+08,8.27e+09,2.7e+07,3.5139e+10,8.13e+09,8.13e+09,5.6e+08,8.69e+09,1.667e+09,7.23071e+11,0.03227,0.01472,0.00141,0.00015,8.38262,0.33146,0.03079,0.03048,2.09156,20.06419,0.04535,0.00037,1.47256,356.4961,826.53547
"10","2012_Q3",6.91714285714286,"Up",2.1968e+10,9.548e+09,1.3992e+10,-4.444e+09,1.242e+10,4.642e+09,-1.773e+09,2.0195e+10,-1.7048e+10,-9.22e+08,-1.6126e+10,3.147e+09,3.147e+09,3.147e+09,-6.84e+08,2.463e+09,2.463e+09,2.463e+09,-3.65e+08,2.098e+09,1.23717e+11,2.26116e+11,2.26116e+11,6.22231e+11,2.04725e+11,3.00049e+11,3.5168e+10,8.2289e+10,8.62027e+11,-3.0288e+10,8.92315e+11,1.2653e+10,1.2653e+10,6.9976e+10,7.1458e+10,1.65341e+11,2.160854e+12,1.035225e+12,6.85046e+11,3.50179e+11,4.02391e+11,2.85914e+11,7.7458e+10,3.9019e+10,3.01848e+11,5.1515e+10,1.339e+11,1.924879e+12,1.8762e+10,1.58001e+11,6.2712e+10,-3.5e+09,2.35975e+11,2.35975e+11,2.160854e+12,2.463e+09,1.657e+09,1.773e+09,1.2383e+10,1.1967e+10,3.54e+08,-1402999999.99999,1.5504e+10,-2.315e+09,-2.232e+09,1.6873e+10,-1.9838e+10,1.7432e+10,1.5953e+10,1.479e+09,-3.727e+10,-3.2791e+10,-4.479e+09,2.6702e+10,9.316e+09,-331999999.999992,1.7718e+10,-7.8e+07,9249999999.99998,-4.83e+08,-2.3823e+10,-7.88e+08,2.7423e+10,-5.0458e+10,-5.4364e+10,3.906e+09,-25999999.9999998,-26000000.0000002,-6.086e+09,4.5e+07,-3.0373e+10,-4.25e+09,-4.25e+09,-8.25e+08,-5.075e+09,4.804e+09,7.04239e+11,0.14325,0.0955,0.00889,0.00097,8.15713,0.32591,0.1947,0.17115,2.03866,20.15768,0.04482,0.00119,0.230220000000001,120.84138,184.46838
