"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q4",7.29375,"Down",37547000,-3652000,33895000,-38347000,-29594000,-21878000,-7716000,-5512000,-3241000,-4452000,-23000,-28000,-4475000,-4475000,-136000,-4611000,-4611000,-4611000,-4611000,-113219026.29197,-113219026.29197,25034378.076872,25034378.076872,-3528709.49107295,-2183143.45706694,-1345566.03399461,-91713357.706171,53646632.0620175,96785004.2441123,32555156.1293783,53269999.9944252,10959848.1203528,150431636.307867,58718278.6016961,22022737.7786088,21221216.8193601,801520.959248733,60591414.565891,-510295.48078737,1734310.93719038,-2244606.41797775,23130683.2322034,83722097.7980944,60126664.2668839,-158570260.481428,-25003819.1963982,-25003819.1963982,58718278.6016961,-4611000,-4611000,2832000,4386000,-2360000,247000,-2188000,-2188000,-2188000,-1960000,25000,25000,-428000,4597000,2884000,2884000,2884000,-1620000,0,-6032000,0.90274,-0.11857,-0.12281,-0.0456369363646981,-0.0183827419598401,1.30818,-6.45672914984369,0.632164264055987,0.0934009951738891,-0.07707,-0.07707,0.6276,-2.04472207365203,-0.10083,-0.0376375600379053,-0.136106256021883,-11.3425783096159,-6.77703442156581
"2","2014_Q1",8.98049180327869,"Up",40145000,-4208000,35937000,-43237000,-34092000,-23893000,-10199000,-6751000,-2394000,-7300000,-150000,-149000,-7450000,-7450000,-170000,-7620000,-7620000,-7620000,-7620000,43819000,43819000,18803000,18803000,6954000,3550000,3404000,69576000,15238000,89936000,31834000,53270000,4832000,105174000,174750000,26175000,9804000,16371000,30939000,1338000,1791000,-453000,1338000,32277000,275809000,-162560000,142473000,142473000,174750000,-7620000,-7620000,2394000,5269000,1922000,1965000,-2896000,-2896000,-2896000,-2703000,28920000,29920000,-551000,28369000,27631000,27631000,27631000,-4906000,0,-5710000,0.89518,-0.18184,-0.18981,-0.05348,-0.04361,0.74934,2.24881,0.22655,0,-0.12727,-0.12727,0.67051,1.89152,-0.09537,-0.05299,-0.0397,8.93172,6.0026
"3","2014_Q2",10.7444444444444,"Up",43930000,-3720000,40210000,-49728000,-39284000,-27767000,-11517000,-7330000,-3114000,-9518000,-153000,-153000,-9671000,-9671000,-250000,-9921000,-9921000,-9921000,-9921000,105017342.097323,105017342.097323,20001957.3077093,20001957.3077093,10611819.8303577,6290297.81902231,4321522.01133154,135631119.23539,7217539.31266084,85898915.2519626,30969697.9568739,53270000.0018583,1659217.29321575,93116454.5640443,228747573.799435,28543504.0737971,7035927.72687997,21507576.3469171,24181611.8113697,2277681.82692912,1932229.68760321,345452.139325916,-3145894.41073446,21035717.4006352,373885945.244372,-173353496.506191,207711856.398799,207711856.398799,228747573.799435,-9921000,-9921000,2919000,7139000,-2420000,-2283000,-2565000,-2565000,-2215000,1196000,557000,557000,-714000,-157000,-1244000,-1244000,-1244000,-6599000,0,-11334000,0.91532,-0.21666,-0.22584,-0.0635493545451006,-0.0574565860133866,1.14243,5.2022855499479,0.107518578648004,-0.0210569983912964,-0.16507,-0.16507,0.73092,3.27154235788401,-0.18858,-0.0645199799873649,-0.037184581326039,12.8706744365386,9.09915980718861
"4","2014_Q3",16.66640625,"Up",50497000,-4138000,46359000,-61215000,-49730000,-33292000,-16438000,-8513000,-2972000,-14856000,-111000,-121000,-14967000,-14967000,-67000.0000000001,-15034000,-15034000,-15034000,-15034000,111845000,111845000,24829000,24829000,10022000,6866000,3156000,146696000,17104000,83793000,30005000,53270000,518000,100897000,247593000,30246000,9229000,21017000,30246000,2625000,2104000,521000,2625000,32871000,402237000,-187515000,214722000,214722000,247593000,-15034000,-15034000,2956000,9934000,-2003000,-4147000,-2575000,-2575000,-2575000,-2635000,1203000,1203000,79849000,76052000,69270000,69270000,69270000,-11900000,4.65661287307739e-10,-16411000,0.91805,-0.2942,-0.29772,-0.07002,-0.06072,1.09159,4.8501,0.15309,-1.38777878078145e-17,-0.22179,-0.22179,0.74497,3.16774,-0.24211,-0.06917,-0.07551,9.39874,7.52861
"5","2014_Q4",19.59640625,"Up",56751000,-4666000,52085000,-65613000,-51317000,-36399000,-14918000,-10908000,-3388000,-13528000,8000,-12000,-13520000,-13520000,-120000,-13640000,-13640000,-13640000,-13640000,112999000,112999000,28953000,28953000,8446000,6239000,2207000,150398000,28688000,82681000,28984000,53270000,427000,111369000,261767000,33424000,12350000,21074000,38424000,2696000,2223000,473000,8666000,47090000,415832000,-201155000,214677000,214677000,261767000,-13640000,-13640000,3359000,13279000,-1472000,1526000,-7549000,-7549000,-7534000,-5549000,69851000,69851000,-69674000,5177000,1154000,1154000,1154000,-10169000,5970000,-19070000,0.91778,-0.23837,-0.24035,-0.06354,-0.05211,1.39809,3.91417,0.21935,0.02281,-0.17742,-0.17742,0.73818,2.79236,-0.24805,-0.06107,-0.08538,10.52503,7.91166
"6","2015_Q1",18.6416393442623,"Down",55471000,-4989000,50482000,-60085000,-46534000,-31111000,-15423000,-9812000,-3739000,-9603000,-28000,-35000,-9631000,-9631000,-203000,-9834000,-9834000,-9834000,-9834000,147539000,147539000,28748000,28748000,8233000,5193000,3040000,184520000,30731000,81701000,27949000,53270000,482000,112432000,296952000,38854000,12826000,26028000,38854000,2807000,2245000,562000,8900000,47754000,460187000,-210989000,249198000,249198000,296952000,-9834000,-9834000,3745000,10181000,3916000,8008000,-3207000,-3207000,-3207000,-2835000,34892000,34892000,-525000,29367000,34540000,34540000,34540000,-5858000,6093000,-4946000,0.91006,-0.17312,-0.17728,-0.03946,-0.03312,0.50295,4.74906,0.19163,0.02052,-0.12514,-0.12514,0.7059,3.17118,-0.06294,-0.0381,-0.01916,24.14578,14.72936
"7","2015_Q2",14.4009523809524,"Down",58554000,-5791000,52763000,-64163000,-50478000,-31709000,-18769000,-9760000,-3925000,-11400000,-14000,-25000,-11414000,-11414000,-209000,-11623000,-11623000,-11623000,-11623000,143069000,143069000,28939000,28939000,5666000,4585000,1081000,177674000,56127000,80872000,26914000,53270000,688000,136999000,314673000,34302000,12339000,21963000,34302000,3074000,2448000,626000,29628000,63930000,473355000,-222612000,250743000,250743000,314673000,-11623000,-11623000,3897000,9602000,-5033000,-3157000,-5174000,-5174000,-5174000,-5174000,3893000,3893000,-17000,3861000,-4470000,-4470000,-4470000,-7503000,26554000,-17501000,0.9011,-0.19469,-0.1985,-0.04635,-0.03694,1.50572,5.1797,0.25496,0.08439,-0.14446,-0.14446,0.72773,3.11633,-0.21751,-0.04146,-0.06242,15.52912,10.22061
"8","2015_Q3",7.0975,"Down",65291000,-5927000,59364000,-73962000,-58864000,-40457000,-18407000,-10979000,-4119000,-14598000,-91000,-94000,-14689000,-14689000,-50000,-14739000,-14739000,-14739000,-14739000,125969000,125969000,30627000,30627000,11639000,8533000,3106000,168235000,60362000,79842000,25881000,53270000,691000,140204000,308439000,32589000,12683000,19906000,32589000,3068000,2496000,572000,29603000,62192000,483598000,-237351000,246247000,246247000,308439000,-14739000,-14739000,4123000,8986000,-7670000,-9300000,-8858000,-8858000,-8858000,-8858000,1313000,1313000,-248000,1057999.99999999,-17100000,-17100000,-17100000,-10475000,26535000,-26953000,0.90922,-0.22358,-0.22574,-0.05985,-0.04779,1.82869,5.16232,0.25256,0.08603,-0.17972,-0.17972,0.79612,3.00257,-0.32865,-0.05343,-0.09771,9.49251,6.81148
"9","2015_Q4",7.37265625,"Up",72405000,-5952000,66453000,-77253000,-60436000,-43969000,-16467000,-12340000,-4477000,-10800000,-132000,-132000,-10932000,-10932000,-173000,-11105000,-11105000,-11105000,-11105000,123706000,123706000,37392000,37392000,6924000,5076000,1848000,168022000,67978000,79107000,24848000,53270000,989000,147085000,315107000,41840000,22733000,19107000,41840000,3206000,2660000,546000,30226000,72066000,491497000,-248456000,243041000,243041000,315107000,-11105000,-11105000,4454000,7972000,1424000,2745000,-5594000,-5594000,-5594000,-5594000,360000,360000,204000,586000,-2263000,-2263000,-2263000,-6346000,27020000,-10343000,0.9178,-0.14916,-0.15337,-0.04569,-0.03524,0.93138,4.01582,0.29652,0.08575,-0.13474,-0.13474,0.87852,2.94892,-0.1255,-0.04064,-0.03785,15.23574,8.95241
"10","2016_Q1",6.03540983606557,"Down",63588000,-5987000,57601000,-84785000,-64718000,-34867000,-29851000,-14942000,-5125000,-27184000,-86000,-85000,-27270000,-27270000,-174000,-27444000,-27444000,-27444000,-27444000,112371000,112371000,33761000,33761000,6827000,6048000,779000,152959000,71390000,78025000,23815000,53270000,940000,149415000,302374000,39104000,18880000,20224000,39104000,3591000,2413000,1178000,30578000,69682000,508592000,-275900000,232692000,232692000,302374000,-27444000,-27444000,4793000,18337000,2657000,-1657000,-10210000,-10210000,-10210000,-10210000,762000,762000,-225000,532000,-11335000,-11335000,-11335000,-22391000,26987000,-29770000,0.90585,-0.4275,-0.43159,-0.11794,-0.09076,1.08475,3.91159,0.29946,0.08925,-0.33159,-0.33159,0.76829,2.81144,-0.35969,-0.10424,-0.11308,3.81332,3.14097
