"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",9.21444444444444,"Down",332884000,294917000,399119000,-104202000,37967000,7860000,24312000,-1787000,331097000,-166943000,-166943000,164154000,164154000,164154000,-60197000,103957000,103957000,103957000,103957000,984296000,3692328000,37392020000,-154450000,37546470000,379304000,2436131000,3940431000,48824564000,28726546000,28726546000,1.5e+09,11713452000,237215000,42177213000,6050869000,4890000,6045979000,149425000,-56059000,6647351000,6647351000,48824564000,103957000,8197000,-4008000,24521000,237432000,370099000,-13671000,105378000,175980000,267687000,-82967000,-4.6e+08,-161357000,-211340000,426446000,426446000,426446000,172351000,13213452000,456309000,0.49313,0.31229,0.01564,0.00213,4.3894,6.34497,0.27063,0.21368,0.21368,0.68423,12.62916,0.93792,0.17053,0.00383,0.00935,0.79809,70.95495,74.49807
"30","2017_Q3",8.85634920634921,"Down",356112000,287769000,399075000,-111306000,68343000,8151000,42286000,-11645000,344467000,-163765000,-163765000,180702000,180702000,180702000,-65447000,115255000,115255000,115255000,107048000,1129846000,3171117000,37096356000,-154683000,37251039000,380322000,2436131000,4133862000,48347658000,28893565000,28893565000,4.5e+08,11913526000,355789000,41612880000,6060332000,4891000,6055441000,173409000,-1301000,6734778000,6734778000,48347658000,115255000,7988000,-6261000,-20106000,69480000,166356000,-8977000,599221000,163980000,754224000,-91271000,-8.5e+08,167019000,-775030000,145550000,145550000,145550000,188690000,12363526000,314640000,0.50743,0.3006,0.01589,0.00221,2.93924,6.17881,0.25572,0.21968,0.21968,0.73081,12.78906,0.6457,0.1873,0.0041,0.00651,0.85262,59.53511,62.16688
"31","2017_Q4",9.20333333333333,"Up",303245000,276343000,393675000,-117332000,26902000,7972000,18930000,-44585000,258660000,-162234000,-162234000,96426000,96426000,178452000,-67984000,110468000,110468000,110468000,102261000,3277427000,3031026000,37347281000,-158918000,37506199000,375482000,2436131000,1990544000,48457891000,28893197000,28893197000,4.5e+08,11913602000,441438000,41698237000,6068704000,4891000,6063813000,192607000,-4367000,6759654000,6759654000,48457891000,110468000,8938000,44585000,-108952000,723354000,778393000,-4074000,129583000,1335661000,1461170000,-91270000,0,-368000,-91982000,2147581000,2147581000,2147581000,105364000,12363602000,892628000,0.31798,0.33722,0.01513,0.00211,8.72892,6.16869,0.25514,0.20986,0.20986,0.62232,12.84033,1.83186,0.18731,0.00399,0.01842,0.89252,86.23605,94.22951
"32","2018_Q1",9.95868852459016,"Up",296317000,270974000,390370000,-119396000,25343000,7776000,17567000,-2926000,293391000,-148484000,-148484000,144907000,144907000,144907000,-8386000.00000001,136521000,136521000,136521000,128314000,2528169000,3531427000,38229925000,-158046000,38387971000,368655000,2436131000,2029888000,49124195000,29102163000,29102163000,4.5e+08,12463679000,312977000,42328819000,6077450000,4891000,6072559000,237868000,-15167000,6795376000,6795376000,49124195000,136521000,7888000,2926000,40230000,-175703000,11862000.0000001,-1061000,-548783000,-871181000,-1421341000,-91260000,5.5e+08,208966000,660221000,-749258000,-749258000,-749258000,152795000,12913679000,-15583000,0.48903,0.43303,0.01888,0.00261,-0.121440000000002,6.22906,0.26288,0.26336,0.26336,0.60818,12.91521,-0.0319799999999999,0.18731,0.00447,-0.000319999999999994,0.71122,67.97022,71.67017
"33","2018_Q2",8.7815625,"Down",293155000,270298000,404325000,-134027000,22857000,7327000,15530000,-9571000,283584000,-139107000,-139107000,144477000,144477000,144477000,-37925000,106552000,106552000,106552000,98345000,2680772000,3424021000,38728283000,-161140000,38889423000,364312000,2436131000,2021355000,49654874000,29235434000,29235434000,4.5e+08,12893759000,294964000,42874157000,6078659000,4904000,6073755000,255777000,-55782000,6780717000,6780717000,49654874000,106552000,8382000,9571000,10856000,12908000,148269000,-4039000,22359000,-491706000,-465773000,-91449000,4.3e+08,133271000,470107000,152603000,152603000,152603000,152859000,13343759000,199653000,0.49283,0.33547,0.0145,0.00198,2.03013,6.32295,0.26873,0.20147,0.20147,0.60056,12.86081,0.40901,0.18734,0.00382,0.00402,0.92988,69.75701,73.80404
"34","2018_Q3",8.13063492063492,"Down",286661000,263955000,417332000,-153377000,22706000,7492000,15214000,-4714000,281947000,-138142000,-138142000,143805000,143805000,143805000,-36451000,107354000,107354000,107354000,99147000,2204397000,4154649000,39287173000,-160652000,39447825000,359725000,2436131000,2027095000,50469170000,29555845000,29555845000,2e+08,13593839000,330134000,43679818000,6087298000,4904000,6082394000,271559000,-71588000,6789352000,6789352000,50469170000,107354000,8167000,4714000,9205000,68982000.0000001,198422000,-3580000,-822919000,-528510000,-1353343000,-91572000,4.5e+08,320411000,678546000,-476375000,-476375000,-476375000,151972000,13793839000,253825000,0.50166,0.34587,0.0146,0.00196,2.56009,6.43358,0.27331,0.20295,0.20295,0.58678,12.86815,0.51957,0.18744,0.00378,0.00503,0.9236,76.26038,80.59137
"35","2018_Q4",7.36555555555556,"Down",272428000,249506000,425144000,-175638000,22922000,7237000,15685000,-1201000,271227000,-134433000,-134433000,136794000,136794000,136794000,-30022000,106772000,106772000,106772000,98565000,1731754000,4796007000,39678616000,-159655000,39838271000,352518000,2436131000,2251628000,51246654000,30319284000,30319284000,2e+08,13640422000,292933000,44452639000,6096653000,4904000,6091749000,286763000,-91064000,6794015000,6794015000,51246654000,106772000,7839000,1201000,39121000,-281773000,-126840000,-632000,-677853000,-386736000,-1063754000,-91568000,46500000,763439000,717951000,-472643000,-472643000,-472643000,144633000,13840422000,-107750000,0.50213,0.3618,0.01451,0.00192,-1.09319,6.54291,0.27007,0.20178,0.20178,0.55771,12.87914,-0.22058,0.18746,0.00371,-0.0021,0.92901,83.71995,88.51754
"36","2019_Q1",8.81950819672131,"Up",270309000,247236000,442872000,-195636000,23073000,7709000,15364000,-2770000,267539000,-134946000,-134946000,132593000,132593000,132593000,-30854000,101739000,101739000,101739000,93532000,1474955000,5644071000,40006088000,-159820000,40165908000,346179000,2436131000,1991952000,51899376000,30764430000,30764430000,5e+08,13707866000,271845000,45244141000,6104844000,4904000,6099940000,297202000,-87653000,6655235000,6655235000,51899376000,101739000,7935000,2770000,-3713000.00000001,211773000,320504000,-1596000,-874199000,-267136000,-1137596000,-91300000,367268000,445146000,560293000,-256799000,-256799000,-256799000,140528000,14207866000,381559000,0.49052,0.34602,0.01405,0.0018,4.07945,6.79828,0.27376,0.19325,0.19325,0.55849,12.71154,0.78834,0.18864,0.00356,0.00735,0.97614,90.60764,96.03004
"37","2019_Q2",8.38634920634921,"Down",266110000,241325000,446174000,-204849000,24785000,7228000,17557000,1222000,267332000,-138767000,-138767000,128565000,128565000,128565000,-30988000,97577000,97577000,97577000,89370000,990019000,5756772000,40369383000,-156636000,40526019000,332721000,2426379000,2255772000,52131046000,31601125000,31601125000,8e+08,12457910000,642941000,45501976000,6097696000,4904000,6092792000,307232000,-56970000,6629070000,6629070000,52131046000,97577000,6950000,-1222000,6517000,48615000,158437000,1946000,-68688000,-303440000,-367553000,-87547000,-950180000,836695000,-275820000,-484936000,-484936000,-484936000,135515000,13257910000,217064000,0.48313,0.33584,0.01348,0.00171,2.42882,6.86401,0.25432,0.19199,0.19199,0.57167,13.16072,0.46631,0.18807,0.00339,0.00416,0.9796,90.52792,95.4217
"38","2019_Q3",9.0996875,"Up",255287000,237690000,453752000,-216062000,17597000,7487000,10110000,-1844000,253443000,-123052000,-123052000,130391000,130391000,130391000,-33145000,97246000,97246000,97246000,89039000,1228295000,5770731000,40725589000,-151112000,40876701000,327788000,2426379000,2297471000,52776253000,32332526000,32332526000,8e+08,12282138000,686911000,46101575000,6104378000,4904000,6099474000,316921000,-28915000,6674678000,6674678000,52776253000,97246000,6821000,1844000,23612000,-28985000,100538000,-1888000,3186000,-331365000,-330067000,-87557000,-1.76e+08,731401000,467805000,238276000,238276000,238276000,137212000,13082138000,139484000,0.51076,0.34878,0.01334,0.00169,1.56655,6.90694,0.24788,0.19134,0.19122,0.54859,13.26276,0.29974,0.18815,0.00335,0.00264,0.98336,86.39072,90.90998
