"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2016_Q1",5.34196721311475,"Down",79293000,-33195000,46098000,-96298000,-19987000,-1994000,-74317000,-50200000,-86000,-86000,-50286000,-63110000,19415000,-43695000,-43695000,-43695000,-43695000,95465000,95465000,6194000,6194000,25510000,61220000,27729000,188389000,13356000,86743000,4051000,64073000,12748000,100099000,288488000,69164000,9500000,59664000,69164000,3322000,3322000,3322000,72486000,210741000,10887000,-5626000,216002000,216002000,288488000,-43695000,-43695000,1994000,82365000,-36718000,3946000,-1941000,-2497000,-4438000,-1000,-1000,-8000,-5e+05,-5e+05,-223000,-723000,-48206000,0,-106280000,0.58136,-0.63309,-0.55106,-0.20229,-0.15146,2.43231,2.7238,0.33558,0,-1.45523,-1.45523,2.64079,7.19378,-3.53957,-0.19923,-0.48458,1.98036,1.90169
"22","2016_Q2",6.3153125,"Up",65875000,-26883000,38992000,-44046000,-19528000,-1672000,-22846000,-5054000,60000,60000,-4994000.00000001,-7351000,2154000,-5196999.99999999,-5196999.99999999,-5196999.99999999,-5196999.99999999,85452000,85452000,6039000,6039000,27454000,60659000,27168000,179604000,13485000,89757000,3704000,63529000,14499000,103242000,282846000,67089000,10094000,56995000,67089000,3334000,3334000,3334000,70423000,213116000,5690000,-6383000,212423000,212423000,282846000,-5196999.99999999,-5197000,1672000,3754000,-8526999.99999999,-8298000,-1428000,-29000.0000000005,-1457000,65755.3000194528,-157.429384053134,-48000,-9803000,-9803000,-210000,-10013000,-3382000,0,-15491000,0.59191,-0.07672,-0.0788899999999999,-0.02447,-0.01837,2.98076,2.6771,0.33152,0,-0.17045,-0.17045,2.1605,6.96682,-0.50806,-0.02409,-0.0718,25.26671,16.9078
"23","2016_Q3",9.2365625,"Up",86878000,-39927000,46951000,-45953000,-19614000,-1660000,-24679000,998000,391000,391000,1389000,-1117000,267000,-850000,-850000,-850000,-850000,117528000,117528000,7193000,7193000,32186000,19819000,18461000,176726000,13495000,96834000,3319000,64421000,15264000,110329000,287055000,68256000,8782000,59474000,68256000,3221000,3221000,3221000,71477000,215701000,4840000,-4963000,215578000,215578000,287055000,-850000,-850000,1660000,667000,31520000,32997000,-1295000,-6000,-1301000,-5.82076609134674e-11,4.54747350886464e-13,-165000,31531000,31531000,545000,32076000,2658000,0,32616000,0.54042,0.01149,-0.00978,-0.00394,-0.00296,-38.37176,2.58916,0.33156,0,-0.02778,-0.02778,2.83962,7.0462,1.06606,-0.00388,0.14907,-44.2167,-117.76353
"24","2016_Q4",9.55126984126984,"Up",85188000,-39292000,45896000,-43165000,-19009000,-1616000,-22540000,2731000,-209000,-209000,2522000,-141000.000000002,17000.0000000019,-124000,-124000,-124000,-124000,134513000,134513000,10355000,10355000,27610000,12434000,11229000,184912000,14376000,60821000,2650000,45134000,12016000,75197000,260109000,85488000,9732000,75756000,85488000,12010000,12010000,12010000,97498000,220221000,-49039000,-8571000,162611000,162611000,260109000,-124000,-124000.000000004,1616000,3785000,8660000,13937000,-1864000,-11000.0000000001,-1875000,0,0,75000,12137000,12137000,2e+05,12337000,4347000,-2.22044604925031e-16,11126000,0.53876,0.03206,-0.00145999999999998,-0.000759999999999998,-0.00048,-89.72581,2.16302,0.59958,-4.13590306276514e-25,-0.0040399999999999,-0.00404000000000013,2.77246,5.2922,0.3621,-0.000710000000000001,0.06372,-30.94387,-49.25412
"25","2017_Q1",8.77741935483871,"Down",78513000,-37025000,41488000,-63067000,-19136000,-1554000,-42377000,-21579000,975000,975000,-20604000,-24292000,-29463000,-53755000,-53755000,-53755000,-53755000,134513000,134513000,10355000,10355000,27610000,12434000,11229000,184912000,14376000,60821000,2650000,45134000,12016000,75197000,260109000,85488000,9732000,75756000,85488000,12010000,12010000,12010000,97498000,220221000,-49039000,-8571000,162611000,162611000,260109000,-53755000,-53755000,1554000,52368000,7035000,7202000,-1503000,-16000,-1519000,9000,9000,-82000,5601000,5601000,-953000,4648000,-20025000,0,14970000,0.52842,-0.27485,-0.68466,-0.33057,-0.20666,-0.27849,2.16302,0.59958,0,-1.74867,-1.74867,2.55406,5.2898,0.48698,-0.30784,0.08573,6.71725,6.23351
"26","2017_Q4",5.44698412698413,"Down",65519000,-30413000,35106000,-38027000,-17023000,-1365000,-19639000,-2921000.00000001,189000,189000,-2732000,-8574000,-41000,-8614999.99999999,-8615000,-8615000,-8615000,94348000,94348000,11598000,11598000,20736000,12240000,12240000,138922000,16793000,59514000,427000,45388000,12737000,76307000,215229000,70756000,13099000,57657000,70756000,11837000,11837000,11837000,82593000,227293000,-88226000,-6431000,132636000,132636000,215229000,-8614999.99999999,-8615000,1365000,6063000,1274000,87000,-2251000,-37000,-2288000,14000,14000,14000,-2187000,-2187000,12000,-2175000,-1556000,0,-2492000,0.53581,-0.0445800000000001,-0.13149,-0.06495,-0.04003,0.289259999999997,1.9634,0.6227,0,-0.27362,-0.27362,2.08092,4.21259,-0.0791500000000001,-0.05963,-0.01725,60.63496,32.2999
"27","2018_Q1",6.3155737704918,"Up",61365000,-28979000,32386000,-39758000,-16800000,-1568000,-21390000,-7372000,71000,71000,-7301000,-14509000,542000,-13967000,-13967000,-13967000,-13967000,94348000,94348000,11598000,11598000,20736000,12240000,12240000,138922000,16793000,59514000,427000,45388000,12737000,76307000,215229000,70756000,13099000,57657000,70756000,11837000,11837000,11837000,82593000,227293000,-88226000,-6431000,132636000,132636000,215229000,-13967000,-13967000,1568000,5288000,-10276000,-17387000,-1595000,-41000,-1636000,-1000,-1000,-1199000,-20222000,-20222000,635000,-19587000,-5804000,0,-18217000,0.52776,-0.12013,-0.22761,-0.1053,-0.06489,1.30429,1.9634,0.6227,0,-0.44335,-0.44335,1.94789,4.21022,-0.57826,-0.09668,-0.12609,16.25569,12.79816
"28","2018_Q2",6.08625,"Down",61143000,-27631000,33512000,-40054000,-19284000,-1211000,-19559000,-6542000,515000,515000,-6027000,-6027000,4815000,-1212000,-1212000,-1212000,-1212000,100330433.311251,102307576.62681,8762464.98295726,8762464.98295726,15066056.4686395,10687541.5476458,10670211.6880007,134846496.310494,16173389.5915434,60849873.7268282,1035802.69759797,46633614.6602078,12151246.8326594,77023263.3183716,211869759.628866,68992509.8678927,16379301.3947823,52613208.4731105,69123449.7588416,9105305.80058739,9105305.80058739,9105305.8020691,78228755.5609107,228034057.637213,-88072953.9608813,-6320119.03463869,133641004.067955,133641004.067955,211869759.628866,-1212000,-1212000,1211000,-2120000,5617000,3496000,-948000,-17999.9999999999,-966000,0,0,2.3283064365387e-10,2530000,2530000,-112000,2418000,-5331000,0,-5477000,0.54809,-0.107,-0.01982,-0.109620511698993,-0.0684158811293108,4.51898,1.94814858033567,0.585491892169987,4.60657507620828e-12,-0.0380200000000001,-0.0380200000000001,1.91812,4.22175459380604,-0.17182,-0.101767821140556,-0.0295722377799423,-9.12547443231977,2.26104237453327
"29","2018_Q3",6.88492063492064,"Up",60097000,-28727000,31370000,-27919000,-12279000,-1144000,-14496000,3451000,214000,214000,3665000,-5276000,-379000,-5655000,-5655000,-5655000,-5655000,99677000,99677000,6146000,6146000,10099000,9058000,9058000,124980000,15859000,59276000,411000,45656000,12246000,75135000,200115000,65295000,18974000,46321000,65295000,6683000,6683000,6683000,71978000,229879000,-95294000,-6448000,128137000,128137000,200115000,-5655000,-5655000,1144000,1534000,6003000,3026000,30000,-1000,29000,12000,12000,12000,3067000,3067000,-156000,2911000,4595000,0,11007000,0.52199,0.05742,-0.0941,-0.04413,-0.02826,-1.94642,1.91408,0.56173,0,-0.17687,-0.17687,1.87963,4.00769,0.34426,-0.04194,0.08164,-21.69249,-28.88351
"30","2018_Q4",6.17698412698413,"Down",50569000,-19489000,31080000,-29832000,-15149000,-1020000,-13663000,1248000,47000,46999.9999999999,1295000,-3093000,-612000,-3705000,-3705000,-3705000,-3705000,93411000,83411000,5856000,5856000,12797000,9124000,9124000,121188000,15952000,60300000,397000,45316000,13624000,76252000,197440000,65632000,16264000,49368000,65632000,6487000,6487000,6487000,72119000,231356000,-98840000,-7195000,125321000,125321000,197440000,-3705000,-3705000,1020000,1790000,-4035000,-4930000,-951000,-10004000,-10955000,0,0,0,-15885000,-15885000,-381000,-16266000,2268000,0,-2106000,0.61461,0.02468,-0.07327,-0.02956,-0.01877,0.56842,1.84648,0.57547,0,-0.1154,-0.1154,1.57514,3.90355,-0.0656,-0.02811,-0.01598,-41.18651,-74.84856
"31","2019_Q1",7.48803278688525,"Up",52705000,-24240000,28465000,-48350000,-32199000,-1224000,-14927000,-19885000,9000,9000,-19876000,-6547000,5504000,-1043000,-1043000,-1043000,-1043000,78448000,58448000,4870000,4870000,10122000,9543000,9543000,102983000,16610000,82239000,7366000,59819000,14124000,98849000,201832000,66329000,13859000,52470000,68471000,3707000,3707000,3707000,72178000,236148000,-100045000,-6449000,129654000,129654000,201832000,-1043000,-1043000,1224000,-3149000,1995000,-973000,-1477000,-10012000,-25162000,392000,392000,392000,-25743000,-25743000,780000,-24963000,-18661000,0,-23647000,0.54008,-0.37729,-0.01979,-0.00804,-0.00517,22.6721,1.50404,0.5567,1.0097419586829e-28,-0.03216,-0.03216,1.62528,3.99818,-0.72921,-0.00782,-0.17732,4.20385,3.94508000000002
"32","2019_Q2",6.36730158730159,"Down",54053000,-24956000,29097000,-34172000,-20239000,-1204000,-12729000,-5075000,319000,319000,-4756000,-4756000,-266000,-5022000,-5022000,-5022000,-5022000,68513000,38513000,6089000,6089000,10504000,8515000,6999000,93621000,17274000,81961000,7035000,59724000,14272000,99235000,192856000,59990000,10369000,49621000,62766000,3591000,3591000,3591000,66357000,237712000,-104337000,-6876000,126499000,126499000,192856000,-5022000,-5022000,1204000,1703000,-5961000,-8076000,-1551000,-10005000,-11556000,8000,8000,7999.99999999988,-19624000,-19624000,-311000,-19935000,-3871000,0,-11117000,0.5383,-0.09389,-0.09291,-0.0397,-0.02604,2.21366,1.49159,0.52457,0,-0.15307,-0.15307,1.64755,3.85572,-0.33885,-0.0386,-0.08546,17.69904,13.5001
"33","2019_Q3",6.9078125,"Up",56800000,-24807000,31993000,-36478000,-20534000,-1165000,-14779000,-4485000,451000,451000,-4034000,-4034000,-328000,-4362000,-4362000,-4362000,-4362000,63922000,33922000,6175000,6175000,13050000,10348000,8574000,93495000,17876000,81738000,6708000,59690000,14451000,99614000,193109000,60703000,11126000,49577000,63801000,4843000,4843000,4843000,68644000,239839000,-108696000,-6678000,124465000,124465000,193109000,-4362000,-4362000,1165000,3992000,-4307000,-3512000,-1414000,-9000,-1423000,116000,116000,116000,-4819000,-4819000,228000,-4591000,-3320000,0,-8713000,0.56326,-0.07896,-0.0768,-0.03505,-0.02259,1.99748,1.46542,0.55151,0,-0.13224,-0.13224,1.72196,3.77331,-0.26415,-0.03373,-0.06738,19.25361,14.2524
"34","2019_Q4",6.42875,"Down",56882000,-25337000,31545000,-36106000,-20724000,-1206000,-14176000,-4561000,454000,454000,-4107000,-4107000,-542000,-4649000,-4649000,-4649000,-4649000,66414000,36414000,5742000,5742000,8891000,9802000,8129000,90849000,18589000,81230000,6377000,59685000,14299000,99819000,190668000,64346000,13289000,51057000,67531000,2024000,2024000,2024000,69555000,241394000,-113348000,-6933000,121113000,121113000,190668000,-4649000,-4649000,1206000,2028000,5778000,4363000,-1707000,-6000.00000000093,-1713000,5000,5000,4999.99999999994,2655000,2655000,-163000,2492000,-3355000,0,1258000,0.55457,-0.08018,-0.08173,-0.03839,-0.02438,-0.2706,1.34529,0.5743,0,-0.14018,-0.14018,1.71516,3.6519,0.0379300000000001,-0.03775,0.01022,19.79553,14.56128
"35","2020_Q1",4.76129032258065,"Down",58790000,-27314000,31476000,-36761000,-9455000,-1516000,-25790000,-5285000,224000,224000,-5061000,-5163000,-64000,-5227000,-5227000,-5227000,-5227000,66497000,36497000,6704000,6704000,5843000,10881000,8350000,89925000,18846000,78512000,6043000,59467000,12136000,97358000,187283000,65773000,15051000,50722000,68822000,2286000,2286000,2286000,71108000,242720000,-118572000,-7973000,116175000,116175000,187283000,-5227000,-5227000,1516000,2915000,1779000,983000,-1042000,20000,-1022000,461000,461000,417000,378000,378000,-295000,83000,-3769000,0,-2968000,0.5354,-0.0899,-0.08891,-0.04499,-0.02791,0.56782,1.30663,0.61208,0,-0.157,-0.157,1.7658,3.48939,-0.08915,-0.04412,-0.02505,17.64314,12.58221
"36","2020_Q2",5.30365079365079,"Up",49504000,-24176000,25328000,-30318000,-17312000,-1572000,-11434000,-4990000,252000,252000,-4738000,-4738000,-458000,-5196000,-5196000,-5196000,-5196000,49183000,24183000,5949000,5949000,5808000,9583000,6975000,70523000,18695000,89978000,5727000,59728000,23672000,108673000,179196000,49679000,9714000,39965000,57261000,9498000,9498000,9498000,66759000,243345000,-123768000,-7140000,112437000,112437000,179196000,-5196000,-5196000,1572000,1348000,-16327000,-18603000,-1318000,7533000,6215000,2000,2000,-504000,-12892000,-12892000,578000,-12314000,-3418000,0,-20605000,0.51164,-0.1008,-0.10496,-0.04621,-0.029,3.96555,1.23161,0.59375,0,-0.1549,-0.1549,1.47574,3.3518,-0.61425,-0.04261,-0.16898,14.38941,9.85631
"37","2020_Q3",6.58203125,"Up",52824000,-26619000,26205000,-30657000,-17506000,-1577000,-11574000,-4452000,257000,257000,-4195000,-4195000,-43000,-4238000,-4238000,-4238000,-4238000,51816000,41816000,5972000,5972000,8491000,9567000,6168000,75846000,18940000,87286000,5417000,59530000,21503000,106226000,182072000,57746000,19166000,38580000,65341000,8619000,8619000,8619000,73960000,244561000,-128006000,-8443000,108112000,108112000,182072000,-4238000,-4238000,1577000,1525000,7602000,6466000,-1528000,15021000,13493000,31999.9999999999,32000.0000000001,-1237000,18722000,18722000,-1089000,17633000,-2875000,0,3242000,0.49608,-0.08428,-0.08023,-0.0392,-0.02328,-0.76498,1.16077,0.68411,-9.86076131526265e-32,-0.12604,-0.12604,1.571,3.21528,0.09642,-0.03631,0.02777,18.02296,11.63881
"38","2020_Q4",11.25515625,"Up",47722000,-22494000,25228000,-25030000,-13629000,-1567000,-9834000,198000,224000,224000,422000,422000,-209000,213000,213000,213000,213000,72729000,72729000,5159000,5159000,7415000,9627000,6546000,94930000,18500000,85434000,5086000,59587000,19940000,103934000,198864000,73084000,29002000,44082000,80236000,8390000,8390000,8390000,88626000,246050000,-127793000,-8019000,110238000,110238000,198864000,213000,213000,1567000,1442000,18116000,21338000,-768000,9999000,9231000,2000,2000,-13000,30556000,30556000,357000,30913000,1765000,0,19322000,0.52865,0.00415000000000001,0.00446000000000001,0.00193,0.00107,90.71362,1.18313,0.80395,0,0.00631999999999999,0.00631999999999999,1.41627,3.27159,0.57343,0.0018,0.16288,-41.20623,-367.31818
"39","2021_Q1",18.097868852459,"Up",55890000,-22727000,33163000,-27616000,-16348000,-1574000,-9694000,5547000,191000,191000,5738000,5538000,-91000,5447000,5447000,5447000,5447000,76036000,76036000,5322000,5322000,5607000,7614000,5962000,94579000,17843000,84212000,4758000,59839000,18809000,102055000,196634000,67251000,21957000,45294000,74324000,10495000,10495000,10495000,84819000,247926000,-122346000,-9782000,111815000,111815000,196634000,5447000,3328083.5262107,1574000,2122000,-1866000,7277000,-572000,246000,-326000,-3908000,75000,-3912000,3039000,3039000,268000,3307000,7121000,0,4774000,0.59336,0.09925,0.09746,0.04871,0.0277,0.87645,1.27252,0.75857,3.08148791101958e-33,0.16219,0.16219,1.66419,3.32943,0.14215,0.04453,0.03903,-10.67771,-13.70759
"40","2021_Q2",22.0034920634921,"Up",55751000,-22573000,33178000,-28552000,-16104000,-1871000,-10577000,4626000,185000,185000,4811000,4811000,-297000,4514000,4514000,4514000,4514000,77844000,77844000,4801000,4801000,9931000,8295000,6853000,100871000,17697000,86686000,4427000,60126000,21341000,104383000,205254000,69908000,25258000,44650000,77293000,12898000,12898000,12898000,90191000,250036000,-117832000,-8886000,115063000,115063000,205254000,4514000,4514000,1871000,2275000,-2622000,6038000,-1354000,508000,-846000.000000001,-3906000,197000,-3973000,1219000,1219000,589000,1808000,6497000,0,2818000,0.59511,0.08298,0.08097,0.03923,0.02199,0.624279999999993,1.30505,0.78384,0,0.13606,0.1293,1.68042,3.46817,0.08494,0.03528,0.02202,-11.98153,-16.8275
"41","2021_Q3",22.78015625,"Up",61787000,-26385000,35402000,-29763000,-15816000,-1670000,-12277000,5639000,29000,29000,5668000,5668000,-407000,5261000,5261000,5261000,5261000,87613000,87613000,5731000,5731000,13124000,8437000,6843000,114905000,17341000,85337000,4110000,59986000,20464000,102678000,217583000,90183000,36904000,53279000,98413000,12232000,12232000,12232000,110645000,249901000,-112572000,-8763000,106938000,106938000,217583000,5261000,5261000,1670000,2201000,16145000,25277000,-1050000,316000,-734000,-11886000,154000,-15038000,9505000,9505000,264000,9769000,7309000,0,22811000,0.57297,0.09127,0.08515,0.0492,0.02418,4.33587,1.16758,1.03466,0,0.1571,0.15067,1.84505,3.19333,0.68117,0.04415,0.19142,-11.987,-15.53697
"42","2021_Q4",22.27375,"Down",69666000,-28543000,41123000,-32530000,-17337000,-1705000,-13488000,8593000,254000,-214000,8847000,8847000,-429000.000000001,8418000,8418000,8418000,8418000,112666000,112666000,5470000,5470000,13799000,7570000,5970000,139505000,17003000,81895000,3777000,60023000,17333000,98898000,238403000,101400000,39748000,61652000,109998000,11844000,11844000,11844000,121842000,251083000,-104154000,-8740000,116561000,116561000,238403000,8418000,8418000,1705000,3107000,9726000,22956000,-1039000,3519000,2480000,2000,2000,-358999.999999998,25077000,25077000,-23999.9999999999,25053000,10298000,0,19414000,0.59029,0.12335,0.12083,0.07222,0.03531,2.30625,1.26825,1.04531,0,0.25255,0.2411,2.09004,3.49693,0.58244,0.06556,0.15119,-10.94057,-13.11137
"43","2022_Q1",18.0720967741935,"Down",70327000,-30177000,40150000,-31840000,-17316000,-1723000,-12801000,8310000,-57000,411000,8253000,8253000,24503000,32756000,32756000,32756000,32756000,106335000,106335000,5866000,5866000,12468000,7173000,5460000,131842000,17634000,106100000,3453000,59872000,18953000,123734000,255576000,100299000,40611000,59688000,109173000,11388000,11388000,11388000,120561000,252052000,-71398000,-9011000,135015000,135015000,255576000,32756000,16637267.4626481,1723000,-23280000,-53000,11146000,-1976000,30000,-1946000,-14908000,92000,-15243000,-6043000,-6043000,-288000,-6331000,10033000,0,-16499000,0.5709,0.11816,0.46577,0.24261,0.12817,-0.50369,1.20764,0.89295,0,0.97804,0.92115,2.09985,4.03133,-0.49263,0.22374,-0.1127,-10.59852,-12.79603
"44","2022_Q2",14.7167741935484,"Down",66707000,-27762000,38945000,-34462000,-18274000,-2302000,-13886000,4483000,131000,131000,4614000,4614000,-1012000,3602000,3602000,3602000,3602000,91321000,91321000,7797000,7797000,13225000,8142000,6465000,120485000,18164000,148229000,19187000,88727000,21098000,166393000,286878000,115954000,31957000,83997000,125021000,24778000,24778000,24778000,149799000,253572000,-67660000,-9142000,137079000,137079000,286878000,3602000,32428052.3879444,2302000,3059000,-7092000,1871000,-1964000,6000.00000000047,-13021000,-2963000,787630.679502198,-3841000,-14991000,-14991000,-23000,-15014000,6785000,8.07793566946316e-28,-1259000,0.58382,0.0672,0.054,0.02628,0.01256,-0.34953,0.96372,1.09279,0,0.10755,0.10129,1.99177,4.09296,-0.03759,0.02225,-0.00778,-13.45925,-20.37051
"45","2022_Q3",17.594375,"Up",68276000,-28968000,39308000,-34825000,-18327000,-2604000,-13894000,4483000,46000,46000,4529000,13029000,-1059000,11970000,11970000,11970000,11970000,84264000,84264000,6606000,6606000,13079000,8223000,6508000,112172000,18243000,146404000,18209000,89691000,19996000,164647000,276819000,123213000,41029000,82184000,132586000,11244000,11244000,11244000,143830000,254716000,-55690000,-9311000,132989000,132989000,276819000,11970000,58299604.7758888,2604000,-5810000,3992000,12756000,-1599000,-6000,-1706000,-17035000,2439892.0385066,-18108000,-7058000,-7058000,1000,-7057000,7087000,0,10539000,0.57572,0.06566,0.17532,0.09001,0.04324,0.88045,0.84603,1.08152,0,0.36304,0.34329,2.07074,4.03343,0.31964,0.08299,0.07307,-11.88994,-18.79634
