"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",31.80234375,"Down",130324000,-49946000,80378000,-46411000,-21812000,-1980000,-22619000,33967000,-96000,-96000,33871000,21522000,-8824000,12698000,12698000,12698000,12698000,57198000,57198000,18224000,18224000,25181000,28078000,28078000,128681000,10331000,251935000,34089000,210207000,7639000,262266000,390947000,82681000,10763000,71918000,82681000,27768000,27768000,27768000,110449000,195574000,85772000,-848000,280498000,280498000,390947000,12698000,12698000,4387000,2578000,-9040000,10623000,-624000,-14000,-638000,295000,295000,666000,10651000,10651000,655000,11306000,38354000,0,37514000,0.61676,0.26064,0.09743,0.04527,0.03248,2.95432,1.55636,0.39376,0,0.40233,0.39274,4.12922,8.88737,1.1886,0.04119,0.12169,-1.49132,-1.68393
"12","2013_Q4",25.16484375,"Down",124199000,-49977000,74222000,-44296000,-20227000,-1985000,-22084000,29926000,-56000,-56000,29870000,18814000,-7526000,11288000,11288000,11288000,11288000,63327000,63327000,22821000,22821000,27710000,23489000,23489000,137347000,10289000,248121000,31097000,209357000,7667000,258410000,395757000,73298000,12281000,61017000,73298000,27520000,27520000,27520000,100818000,200090000,97060000,-2211000,294939000,294939000,395757000,11288000,11288000,4391000,7062000,-16332000,6409000,-1388000,-21000.0000000019,-1409000,890000,890000,1588000,6588000.00000001,6588000.00000001,-459000,6129000,34317000,9.31322574615479e-10,24123000,0.59761,0.24095,0.09089,0.03827,0.02852,2.13705,1.87382,0.34183,0,0.35664,0.34689,3.92401,9.31846,0.76215,0.03501,0.07481,-1.84535,-2.11612
"13","2014_Q1",24.3168852459016,"Down",129128000,-52449000,76679000,-50289000,-22785000,-4157000,-23347000,26390000,-68000,-68000,26322000,17138000,-6729000,10409000,10409000,10409000,10409000,95109000,95109000,24050000,24050000,29261000,16045000,16045000,164465000,10380000,246499000,28205000,211711000,6583000,256879000,421344000,85176000,16539000,68637000,85176000,21289000,21289000,21289000,106465000,206892000,107469000,518000,314879000,314879000,421344000,10409000,10409000,4399000,-6251000,21361000,29918000,-1554000,-11000,-1565000,1138000,1138000,3652000,32005000,32005000,-223000,31782000,30789000,0,57325000,0.59382,0.20437,0.08061,0.03306,0.0247,5.50725,1.93088,0.33811,0,0.32761,0.31829,4.06416,9.91046,1.80424,0.03096,0.17052,-3.08906,-3.60398
"14","2014_Q2",16.2874603174603,"Down",121948000,-47710000,74238000,-49858000,-22138000,-2004000,-25716000,24380000,-21000,-21000,24359000,11822000,-4729000,7093000,7093000,7093000,7093000,101491000,101491000,28567000,28567000,35771000,15490000,15490000,181319000,11620000,243640000,25232000,211562000,6846000,255260000,436579000,86944000,20589000,66355000,86944000,21182000,21182000,21182000,108126000,213902000,114562000,-11000,328453000,328453000,436579000,7093000,7093000,4411000,1011000,-7573000,4942000,-2678000,714097.715369409,-2678000,468999.999999999,469000,3351000,5615000,5615000,767000,6382000,28791000,0,23269000,0.60877,0.19992,0.05816,0.0216,0.01625,3.28056,2.08547,0.3292,0,0.22067,0.21719,3.79391,10.21847,0.72392,0.02029,0.06655,-3.52509,-4.16288
"15","2014_Q3",14.35390625,"Down",128329000,-54273000,74056000,-54022000,-22894000,-1973000,-29155000,20034000,-79000,-79000,19955000,9384000,-3753000,5631000,5631000,5631000,5631000,101766000,101766000,27055000,27055000,71640000,25129000,25129000,225590000,12448000,240287000,22223000,210824000,7240000,252735000,478325000,123034000,21897000,101137000,123034000,20813000,20813000,20813000,143847000,218986000,120193000,-1644000,334478000,334478000,478325000,5631000,5631000,4244000,2642000,-8402000,4115000,-2272000,437283.321174345,-2272000,-1295000,1762000,-881000,962000,962000,-687000,275000,24278000,0,17357000,0.57708,0.15611,0.04388,0.01684,0.01177,3.0824,1.83356,0.43006,0,0.17471,0.17422,3.98154,10.37752,0.53852,0.01585,0.04885,-4.1917,-5.07966
"16","2014_Q4",10.89015625,"Down",126965000,-54537000,72428000,-33237000,-22454000,-1927000,-8856000,39191000,-197000,-197000,38994000,28391000,-10018000,18373000,18373000,18373000,18373000,56948000,56948000,24307000,24307000,69389000,19376000,19376000,170020000,12601000,239018000,19472000,212458000,7088000,251619000,421639000,101571000,15764000,85807000,101571000,1811000,1811000,1811000,103382000,223967000,138566000,594000,318257000,318257000,421639000,18373000,18373000,4277000,-15716000,-10896000,-3962000,-1544000,-38999.9999999991,-1583000,-40041000,1775000,-39781000,-45326000,-45326000,508000,-44818000,43468000,-7.27595761418343e-12,41046000,0.57046,0.30868,0.14471,0.05773,0.04358,2.23404,1.6739,0.32484,-1.35525271560688e-20,0.59388,0.59388,4.10393,10.28713,1.32674,0.0574,0.12824,-1.31011,-1.45309
"17","2015_Q1",8.99245901639344,"Down",118419000,-55139000,63280000,-61413000,-23893000,-10691000,-26829000,1867000,-73000,-73000,1794000,450000,-1157000,-707000,-707000,-707000,-707000,62598000,62598000,21688000,21688000,78478000,21933000,21933000,184697000,12283000,234738000,17099000,209656000,1823000,247021000,431718000,106762000,15994000,90768000,106762000,7973000,7973000,7973000,114735000,204732000,115702000,-3451000,316983000,316983000,431718000,-707000,-707000,3663000,3723000,82000,6761000,-1045000,-102000,-1147000,140000,140000,389000,6003000,6003000,-353000,5650000,5530000,0,5724000,0.53437,0.01577,-0.00597,-0.00223,-0.00164,-8.09618,1.72999,0.36196,0,-0.02383,-0.02383,3.99198,10.68569,0.19296,-0.00218,0.01761,-11.31971,-33.52866
"18","2015_Q2",9.84365079365079,"Up",125143000,-54315000,70828000,-145021000,-19913000,-1992000,-123116000,-74193000,-38000,-38000,-74231000,-85034000,20918000,-64116000,-64116000,-64116000,-64116000,74222000,74222000,27719000,27719000,62888000,21166000,21166000,185995000,12414000,157012000,4262000,122640000,1805000,169426000,355421000,94162000,15135000,79027000,94162000,7512000,7512000,7512000,101674000,207568000,51586000,-5407000,253747000,253747000,355421000,-64116000,-64116000,3203000,76605000,-2628000,13064000,-1612000,-3000.00000000001,-1615000,71000,70999.9999999999,234000,11683000,11683000,-58999.9999999999,11624000,-70990000,0,-96148000,0.56598,-0.59287,-0.51234,-0.25268,-0.18039,1.49959,1.97527,0.40069,8.470329472543e-22,-2.14247,-2.14247,4.18171,8.47907,-3.21283,-0.24541,-0.36802,1.04553,1.00039000000001
"19","2015_Q3",8.3015625,"Down",102943000,-42661000,60282000,-48913000,-22172000,-1994000,-24747000,11369000,-39000,-39000,11330000,3772000,-2391000,1381000,1381000,1381000,1381000,86231000,86231000,14525000,14525000,51695000,20453000,20453000,172904000,14327000,155974000,3812000,121835000,2022000,170301000,343205000,79500000,15686000,63814000,79500000,6986000,6986000,6986000,86486000,210316000,52967000,-6564000,256719000,256719000,343205000,1381000,1381000,1994000,1577000,10928000,15880000,-3483000,-6000,-3489000,36000,36000,-62000,12329000,12329000,-320000,12009000,13363000,0,23199000,0.58559,0.11044,0.01342,0.00538,0.00402,16.7987,2.17489,0.33689,0,0.04605,0.04605,3.43277,8.56063,0.7736,0.00524,0.08797,-6.45297,-7.58475
"20","2015_Q4",7.5165625,"Down",89746000,-35838000,53908000,-48770000,-20731000,-3255000,-24784000,5138000,-8000,-8000,5130000,-14000,1629000,1615000,1614999.99999999,1614999.99999999,1614999.99999999,96188000,96188000,10041000,10041000,40672000,26446000,26446000,173347000,13021000,156428000,3365000,122361000,2397000,169449000,342796000,74249000,17117000,57132000,74249000,6749000,6749000,6749000,80998000,213508000,54582000,-6292000,261798000,261798000,342796000,1615000,1614999.99999999,2044000,1525000,5417000,10601000,-276000.000000001,-2999.99999999988,-279000,0,0,-96000,10226000,10226000,-269000,9957000,7182000.00000001,2.8421709430404e-14,10694000,0.60067,0.05725,0.018,0.00616999999999999,0.00471,6.62167,2.33467,0.30939,0,0.0538100000000002,0.0538100000000002,2.99042,8.72337,0.35633,0.00600999999999999,0.03982,-13.39293,-18.7209
