"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.00890625,"Up",84971000,-21443000,63528000,-45369000,-32980000,-26987000,-5993000,-12389000,18159000,112000,514000,-402000,18271000,18271000,-4254000,14017000,14017000,14017000,14017000,444178253.822847,-472546.711258352,444650800.534105,50913872.8116619,50913872.8116619,5451250.61248355,17236226.6074523,-4414110.37874657,517779603.854444,6615853.59565249,-108941200.81513,20512527.5515607,22166353.7584587,-1615548.27488631,-81812819.6679165,435966784.186528,55787612.2946734,11434384.6553522,44363287.9479963,113979314.57881,113979314.57881,169766926.873484,76775743.6528302,82893773.3449612,-6118029.69213103,76775743.6528302,246542670.526314,226595819.499914,-22809557.8653182,-11367265.4279208,189424113.660214,189424113.660214,435966784.186528,14017000,1391000,4130000,12655000,32193000,-671000,-84268000,-84943000,11351000,11351000,539000,11890000,-40860000,-40860000,-39296000,19550000,0,35788000,0.74764,0.21371,0.16496,0.1372124233526,0.0606753927069731,2.55319,2.69490944252507,1.32525597452761,5.13857784013011e-23,0.01799,0.01799,0.10905,0.268231196168091,0.04593,0.0993704197662499,0.21638755703444,-1.17186637714125,0.387484426821773
"2","2011_Q1",3.97854838709677,"Up",93599000,-24223000,69376000,-48678000,-35876000,-30481000,-5395000,-12802000,20698000,384000,634000,-250000,21082000,21082000,-4941000,16141000,16141000,16141000,16141000,313510000,66859000,246651000,72336000,72336000,13517000,20795000,8849000,420158000,7056000,73950000,44258000,37443000,6815000,125264000,545422000,48734000,12761000,35973000,169648000,169648000,218382000,94586000,82983000,11603000,94586000,312968000,251995000,-18727000,2181000,232454000,232454000,545422000,16141000,1463000,3294000,10526000,31424000,-876000,-48098000,-48908000,5218000,5218000,1590000,6808000,-10676000,-10676000,-10280000,22161000,0,36752000,0.7412,0.22113,0.17245,0.06944,0.02959,2.27693,1.92396,1.34637,0,0.02185,0.02185,0.12668,0.3146,0.04974,0.04935,0.11238,-14.14692,-15.14687
"3","2011_Q2",4.57222222222222,"Up",93266000,-23416000,69850000,-52405000,-37984000,-32718000,-5266000,-14421000,17445000,698000,793000,-95000,18143000,18143000,-4556000,13587000,13587000,13587000,13587000,296448832.059051,86007432.2370861,210441399.821965,76033542.3961127,76033542.3961127,15134416.4625055,24284007.7975159,12052953.4595822,411900798.715185,7214048.80144917,134110400.27171,50091740.8161464,40265215.4138471,9813766.09162877,191416189.889305,603316988.604491,49402129.2351089,13097788.4482159,36300987.3506679,190603228.47373,190603228.47373,240005357.708839,100891668.78239,81631908.8850129,19259759.897377,100891668.78239,340897026.491229,266900976.833362,-7003980.7115606,5518005.14264027,262419962.113262,262419962.113262,603316988.604491,13587000,1678000,5216000,19695000,40176000,-694000,-57831000,-46934000,6960000,6960000,1115000,8075000,1317000,1317000,2122000,19123000,0,42680000,0.74893,0.18705,0.14568,0.0472733588824668,0.0202148690976756,3.14124,1.72289518582498,1.29771717515746,-1.71285928004337e-23,0.01808,0.01669,0.1241,0.348077934610636,0.05679,0.03380319341125,0.0857124809885199,-17.9962987076196,-19.7413289756073
"4","2011_Q3",4.0834375,"Down",103023000,-26558000,76465000,-57686000,-41744000,-35896000,-5848000,-15942000,18779000,656000,863000,-207000,19435000,19435000,-4941000,14494000,14494000,14494000,14494000,342020000,78019000,264001000,72212000,72212000,13650000,26530000,10139000,454412000,7339000,126478000,47006000,37443000,9563000,180823000,635235000,53839000,13207000,40632000,192450000,192450000,246289000,101426000,80749000,20677000,101426000,347715000,277977000,9354000,3184000,287520000,287520000,635235000,14494000,1658000,3524000,14392000,34068000,-756000,-93565000,-32953000,4259000,4259000,3376000,7635000,8750000,8750000,9038000,20437000,-6.3108872417681e-30,39014000,0.74221,0.18228,0.14069,0.05041,0.02282,2.69173,1.84504,1.20936,0,0.01904,0.01769,0.13531,0.37763,0.05124,0.03726,0.10031,-16.73533,-18.2129
"5","2011_Q4",4.37984126984127,"Up",116426000,-31139000,85287000,-59127000,-42293000,-36934000,-5359000,-16834000,26160000,964000,904000,60000,27124000,27124000,-9207000,17917000,17917000,17917000,17917000,389166000,66630000,322536000,75835000,75835000,12968000,25957000,9258000,503926000,7485000,113801000,45775000,37443000,8332000,167061000,670987000,58740000,15342000,43398000,192927000,192927000,251667000,102453000,82199000,20254000,102453000,354120000,292595000,27271000,-4000,316867000,316867000,670987000,17917000,1778000,4200000,12144000,36039000,-1335000,-51615000,-52950000,2799000,2799000,4773000,7572000,-9339000,-9339000,-11389000,27938000,0,47954000,0.73254,0.22469,0.15389,0.05654,0.0267,2.67645,2.00235,1.11757,0,0.02338,0.02186,0.1519,0.41343,0.06257,0.04273,0.11436,-13.92963,-14.87638
"6","2012_Q1",4.99177419354839,"Up",120861000,-32485000,88376000,-61856000,-45476000,-39984000,-5492000,-16380000,26520000,851000,963000,-112000,27371000,27371000,-10877000,16494000,16494000,16494000,16494000,390273000,71990000,318283000,95522000,95522000,16249000,21526000,13948000,523570000,7966000,148414000,54797000,46523000,8274000,211177000,734747000,59936000,19768000,40168000,206928000,206928000,266864000,109529000,87905000,21624000,109529000,376393000,317182000,43765000,402000,358354000,358354000,734747000,16494000,1875000,-1217000,5407000,22559000,-839000,42432000,-33989000,5950000,5950000,10565000,16515000,5085000,5085000,5360000,28395000,1.0097419586829e-28,43840000,0.73122,0.21943,0.13647,0.04603,0.02245,2.65794,1.96194,1.05034,-2.35098870164458e-38,0.02136,0.02006,0.15651,0.46404,0.05677,0.03525,0.0937,-13.74443,-14.71618
"7","2012_Q2",4.83761904761905,"Down",117247000,-31043000,86204000,-67489000,-47822000,-42036000,-5786000,-19667000,18715000,1014000,1085000,-71000,19729000,19729000,-5556000,14173000,14173000,14173000,14173000,428070000,74783000,353287000,84759000,84759000,17959000,20712000,13749000,551500000,9560000,172236000,55148000,46523000,8625000,236944000,788444000,54403000,13764000,40639000,216558000,216558000,270961000,119156000,98014000,21142000,119156000,390117000,341254000,57938000,2130000,398327000,398327000,788444000,14173000,2082000,8200000,24063000,48518000,-1624000,-60125000,-62299000,13551000,13551000,2320000,15871000,2090000,2090000,2793000,20797000,0,48792000,0.73523,0.15962,0.12088,0.03558,0.01798,3.4426,2.03535,0.97939,0,0.01817,0.0171,0.15031,0.51064,0.06255,0.02739,0.09429,-20.58326,-22.8731
"8","2012_Q3",4.96793650793651,"Up",128962000,-37127000,91835000,-70884000,-50496000,-44259000,-6237000,-20388000,20951000,1276000,1202000,74000,22227000,22227000,-8277000,13950000,13950000,13950000,13950000,401629000,81226000,320403000,95351000,95351000,20828000,26703000,19640000,544511000,10247000,242769000,53718000,46003000,7715000,306734000,851245000,68467000,24101000,44366000,226510000,226510000,294977000,129624000,104858000,24766000,129624000,424601000,356597000,71888000,1154000,426644000,426644000,851245000,13950000,2995000,8299000,19041000,44285000,-2231000,-41403000,-43634000,4099000,4099000,2838000,6937000,7588000,7588000,6443000,23946000,-8.07793566946316e-28,49033000,0.71211,0.16246,0.10817,0.0327,0.01639,3.51491,1.84594,0.99521,-1.88079096131566e-37,0.01772,0.0168,0.16379,0.54186,0.06227,0.02508,0.08815,-16.77228,-19.16992
"9","2012_Q4",4.105,"Down",136268000,-37808000,98460000,-72691000,-52193000,-44743000,-7450000,-20498000,25769000,1001000,1319000,-318000,26770000,26770000,-9564000,17206000,17206000,17206000,17206000,374646000,75466000,299180000,89843000,89843000,26182000,23981000,16893000,514652000,26020000,315657000,56939000,50393000,6546000,398616000,913268000,68132000,23160000,44972000,230562000,230562000,298694000,136105000,109516000,26589000,136105000,434799000,388793000,89094000,3577000,478469000,478469000,913268000,17206000,2999000,8713000,11852000,40770000,-16428000,-52919000,-69546000,18356000,18356000,4453000,22809000,-5967000,-5967000,-5760000,28768000,0,33756000,0.72255,0.18911,0.12627,0.03596,0.01884,1.96187,1.72301,0.90873,0,0.02167,0.02066,0.17166,0.60274,0.04252,0.028,0.05493,-13.02301,-14.53863
"10","2013_Q1",4.48683333333333,"Up",151162000,-41442000,109720000,-74680000,-54155000,-48117000,-6038000,-20525000,35040000,1230000,1400000,-170000,36270000,36270000,-14763000,21507000,21507000,21507000,21507000,413694000,122975000,290719000,107642000,107642000,21060000,26878000,13215000,569274000,25638000,325892000,54693000,48525000,4051000,406223000,975497000,72036000,20816000,47438000,247268000,247268000,319304000,145259000,115917000,29342000,145259000,464563000,400237000,110601000,3091000,510934000,510934000,975497000,21507000,3488000,7252000,18046000,50293000,-1800000,-4932000.00000001,-7231999.99999999,2081000,2081000,2458000,4539000,47600000,47600000,47509000,38528000,-1.29246970711411e-26,69537000,0.72584,0.2318,0.14228,0.04209,0.02205,3.23323,1.78286,0.90924,0,0.02688,0.02577,0.1889,0.63848,0.0869,0.03278,0.10597,-10.73749,-11.80634
