"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",12.43265625,"Up",11648000,-5926000,5722000,-4535000,-4061000,1187000,26000,1000,25000,1213000,1213000,-373000,840000,840000,3000,843000,843000,-1768546.99385586,-1768546.99385586,9877169.64337391,9877169.64337391,3065127.47655605,6318824.50653886,6318824.50653886,17492574.632613,5673744.60609959,6282230.2837279,3526000,-145533.057710902,2901763.3414388,11955974.8898275,29448549.5224404,7716758.24034809,38650.1064178472,7678108.47660805,3451022.46542776,3451022.46542776,11167780.7057758,2301053.04869028,942248.899658767,1358804.14903152,2301053.04869028,13468833.7544661,10910000,-1000,5766226.86442456,-816623.373011684,15858603.4914129,121112.276561431,15979715.7679743,29448549.5224404,840000,153000,6e+05,59000,1652000,-4000,-4000,298000,298000,298000,1340000,0,1768000,0.49124,0.10191,0.07237,0.103464856341183,0.057131353536444,2.09727,0.301980700403105,0.770259312183137,0,0.08353,0.08353,1.15418,1.57140083603652,0.17519,0.0887982108941854,0.138873626542788,0.126613621747224,0.0173366239021925
"2","2011_Q1",10.4011290322581,"Down",12821000,-6198000,6623000,-3889000,-3273000,2734000,-13000,7000,-20000,2721000,2721000,-733000,1988000,1988000,-2000,1986000,1986000,2209000,2209000,7314000,7314000,6016000,644000,644000,16183000,5784000,5091000,3526000,859000,706000,10875000,27058000,4914000,856000,4058000,1769000,1769000,6683000,2109000,1217000,892000,2109000,8792000,10910000,-1000,7750000,-519000,18140000,126000,18266000,27058000,1988000,169000,553000,2792000,5502000,-69000,-69000,1286000,1286000,1286000,2903000,0,6359000,0.51657,0.21324,0.1549,0.10873,0.0734,3.20191,2.42152,0.48133,0,0.19679,0.19679,1.27041,1.79746,0.6301,0.09747,0.3121,-0.76094,-0.80797
"3","2011_Q2",10.7079365079365,"Up",11498000,-5544000,5954000,-4690000,-4102000,1264000,30000,2000,28000,1294000,1294000,-482000,812000,812000,7000,819000,819000,2721265.66461862,2721265.66461862,6930943.4522087,6930943.4522087,6910207.50781465,-637774.835512953,-637774.835512953,15924641.789129,5725585.13130014,4834839.90542403,3526000,1076261.01923697,232578.886187066,10560425.0367242,26485066.8258532,3530330.58655064,1116199.96452738,2414130.50779732,1458825.84485741,1458825.84485741,4989156.43140805,2003898.98376991,1225917.03344708,777981.950322827,2003898.98376991,6993055.41517795,10910000,-1000,8878174.37852515,-418708.875662772,19368465.5028624,123545.907812856,19492011.4106752,26485066.8258532,812000,160000,-1235000,-797000,-1060000,-115131.900186243,-115131.900186242,-1060000,-1060000,-1060000,1424000,0,5304451.54806501,0.51783,0.10993,0.07123,0.085116714552939,0.061676215487852,3.12383905823041,3.2348472665323,0.361983562605621,0,0.08115,0.08115,1.13932,1.91918888798783,0.525608737858382,0.0775580963686049,0.246073791152404,-0.953047040582408,-0.998792207967397
"4","2011_Q3",10.41046875,"Down",13387000,-6570000,6817000,-5015000,-4367000,1802000,28000,4000,24000,1830000,1830000,-671000,1159000,1159000,6000,1165000,1165000,1802000,1802000,7771000,7771000,6651000,470999.999999999,470999.999999999,16695000,5570000,5144000,3526000,866000,752000,10714000,27409000,3269000,1069000,2200000,1865000,1865000,5134000,1949000,1103000,846000,1949000,7083000,10910000,-1000,9734000,-435000,20208000,118000,20326000,27409000,1159000,159000,17000,-637000,698000,-86000,-86000,612000,612000,612000,1961000,0,1909000,0.50923,0.13461,0.08702,0.05732,0.0425,1.63863,3.25185,0.34847,0,0.11544,0.11544,1.3265,2.00238,0.18916,0.0523,0.0856999999999999,-0.91892,-1
"5","2011_Q4",10.1707936507937,"Down",13690000,-6734000,6956000,-5592000,-4974000,1364000,-11000,1000,-12000,1353000,1353000,-399000,954000,954000,1000,955000,955000,1362000,1362000,8787000,8787000,6209000,1739000,1739000,18097000,5395000,5652000,3526000,630000,1496000,11047000,29144000,3706000,952000,2754000,2309000,2309000,6015000,1908000,997000,911000,1908000,7923000,10910000,-1000,10689000,-490000,21108000,113000,21221000,29144000,954000,163000,550000,-2074000,-407000,1000,1000,-406000,-406000,-406000,1527000,0,-147000,0.50811,0.09963,0.06976,0.045,0.03277,-0.15393,3.00865,0.37336,0,0.09463,0.09463,1.35652,2.09156,-0.01457,0.04129,-0.00636,-0.89194,-0.99853
"6","2012_Q1",11.6482258064516,"Up",15618000,-7628000,7990000,-5711000,-5097000,2279000,-15000,1000,-16000,2264000,2264000,-555000,1709000,1709000,-1000,1708000,1708000,3476000,3476000,9052000,9052000,6465000,1240000,1240000,20233000,5270000,5988000,3526000,714000,1748000,11258000,31491000,4587000,1019000,3568000,2143000,2143000,6730000,1844000,1037000,807000,1844000,8574000,10910000,-1000,12397000,-502000,22804000,113000,22917000,31491000,1709000,169000,574000,-261000,2191000,-46000,-46000,2145000,2145000,2145000,2448000,0,2696000,0.51159,0.14592,0.10936,0.07453,0.05424,1.57845,3.00639,0.37413,0,0.16924,0.16924,1.54756,2.25961,0.26714,0.06898,0.10888,-1.41993,-1.52523
"7","2012_Q2",9.42952380952381,"Down",14548000,-7093000,7455000,-6157000,-5522000,1298000,62000,3000,59000,1360000,6060000,-2137000,3923000,3923000,-3000,3920000,3920000,8520000,8520000,9085000,9085000,6870000,912000,912000,25387000,5158000,6024000,3526000,766000,1732000,11182000,36569000,6205000,1386000,4819000,1709000,1709000,7914000,1745000,1060000,685000,1745000,9659000,10910000,-1000,16317000,-436000,26790000,120000,26910000,36569000,3923000,164000,-493000,1424000,5018000,-38000,-38000,4980000,4980000,4980000,1462000,0,4985000,0.51244,0.08922,0.26945,0.14567,0.10719,1.27168,3.20786,0.35894,0,0.38843,0.38843,1.44154,2.65458,0.49396,0.1368,0.17397,-5.82763,-6.56394
"8","2012_Q3",8.49539682539683,"Down",14256000,-7169000,7087000,-6352000,-5757000,735000,-9000,5000,-14000,726000,726000,-255000,471000,471000,6000,477000,477000,8037000,8037000,9157000,9157000,6633000,1041000,1041000,24868000,5055000,6309000,3526000,755000,2028000,11364000,36232000,4903000,1221000,3682000,2287000,2287000,7190000,1715000,987000,728000,1715000,8905000,10910000,-1000,16794000,-487000,27216000,111000,27327000,36232000,471000,160000,617000,-1624000,-375999.999999999,-67000,-67000,-442999.999999999,-442999.999999999,-442999.999999999,895000,0,-540999.999999999,0.49712,0.05156,0.03346,0.01746,0.01317,-1.13417,3.45869,0.32587,0,0.0472700000000001,0.0472700000000001,1.4126,2.69679,-0.05361,0.01642,-0.01863,-8.97989,-10.93469
"9","2012_Q4",9.73645161290323,"Up",16786000,-8096000,8690000,-6137000,-5437000,2553000,55000,10000,45000,2608000,2608000,-9e+05,1708000,1708000,-3000,1705000,1705000,9206000,9206000,11124000,11124000,6425000,1662000,1662000,28417000,4935000,6122000,3526000,645000,1951000,11057000,39474000,6094000,1498000,4596000,2581000,2581000,8675000,1693000,978000,715000,1693000,10368000,10910000,-1000,18499000,-420000,28988000,118000,29106000,39474000,1708000,131000,472000,-1165000,1146000,-4000,-4000,1142000,1142000,1142000,2684000,0,2415000,0.51769,0.15209,0.10157,0.05858,0.04319,1.41642,3.27573,0.35622,0,0.16895,0.16895,1.6633,2.87237,0.2393,0.05536,0.07841,-3.42996,-3.60595
"10","2013_Q1",12.1625,"Up",18426000,-8728000,9698000,-8237000,-7570000,1461000,10000,7000,3000,1471000,1471000,-754000,717000,717000,57000,774000,774000,939000,938999.999999999,12134000,12134000,7128000,1503000,1503000,21704000,4824000,6141000,3526000,750000,1865000,10965000,32669000,6992000,2737000,4255000,4538000,4538000,11530000,1397000,614000,783000,1397000,12927000,10910000,-1000,9181000,-410000,19680000,62000,19742000,32669000,717000,133000,704000,-44000,1510000,-21000,-21000,-8279000,-8279000,-8279000,1594000,0,2283000,0.52632,0.07929,0.04201,0.03921,0.02369,2.94961,1.88239,0.6548,0,0.07669,0.07669,1.8258,1.95006,0.22622,0.51403,0.108,-0.58908,-0.642710000000001
