"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",20.5790476190476,"Down",6436000,-3113000,3323000,-1034000,-939000,-95000,2289000,19000,19000,2308000,2308000,-781000,1527000,1527000,1527000,1527000,139088511.596478,10671046.1669928,-4974070.24112814,-4974070.24112814,-13957463.9312395,-4584563.01162449,115572414.412486,-5450880.75953532,-384532828.878771,-58894307.6887121,-325638521.190059,-389983709.638306,-274411295.225821,7356207.5966128,-9871548.3598696,17227755.9564824,-36271044.2437881,-89053615.9471059,-80442044.0677386,-264929293.728135,-301200337.971923,-1543478.8405102,48898045.9485981,-20580828.7404163,26773738.3676716,26773738.3676716,-274426599.604252,-3333958.63607615,-1443364.51541232,614913.759211117,25621368.1385233,21458958.7462459,-4024940.17651416,-485425893.529342,34442820.969201,-1955041.51374896,-1955041.51374896,523957277.802849,59990343.019753,59990343.019753,807950.414764174,60798293.4345172,-3600534.23913585,0,19490501.3690316,0.51631,0.35566,0.23726,0.237858359263461,0.277299963920871,21.5065261198382,101.575197188606,-7.64755248454617,-2.56072898532367,0.42055,0.41824,1.77251,6.98980408591014,5.40368590297121,-9.50970904392402,1.01920808762783,0.998199533951938,-23.1914011074018,-130.556585018425,-157.234129399867
"2","2010_Q3",19.84984375,"Down",6276000,-3009000,3267000,-1072000,-977000,-95000,2195000,16000,16000,2211000,2211000,-744000,1467000,1467000,1467000,1467000,79459206.1847881,6005157.9557295,-1332504.12860167,-1332504.12860167,-5603514.09666109,-2088033.60619973,70435154.3533256,1793396.92824783,-193886642.068678,-27287564.1006465,-166599077.968031,-192093245.14043,-121658090.787104,3193444.05152682,-5139559.12526379,8333003.17679061,-19128023.596687,-44899661.8384565,-40667756.8361272,-134522356.655005,-153650380.251692,-788522.048272106,43139357.8392523,-10367241.9948887,31983593.7960915,31983593.7960915,-121666786.455601,227013.787974616,-255454.838470772,153304.586403706,7151456.04617443,7276319.58208198,-1879313.39217139,-133713964.509781,10910606.9897337,-541347.171249655,-541347.171249655,143271092.60095,16833447.673251,16833447.673251,254983.471588058,17088431.1448391,904155.253621385,1.16415321826935e-10,7192500.45634388,0.52055,0.34975,0.23375,0.127225124940513,0.153143314091131,7.05144870661273,58.918107833923,-3.89525132509129,-1.29958479217262,0.40402,0.40181,1.72845,8.64754684581874,1.99319863432374,-3.01217968130801,0.597882313401509,0.512705751441033,-7.33859036913394,-69.6452820098265,-83.0579130132626
"3","2010_Q4",22.01328125,"Up",6200000,-2865000,3335000,-1079000,-977000,-102000,2256000,31000,31000,2287000,2287000,-777000,1510000,1510000,1510000,1510000,40727202.3192955,3965309.23339856,1329185.95177437,1329185.95177437,-113692.786247907,-512512.602324897,41430182.8824971,6333773.84809294,-67544115.7757542,-5902211.53774243,-61641904.2380117,-61210341.9276612,-19780159.0451641,1548291.51932256,-1781459.67197392,3329751.19129648,-6638508.84875763,-16057873.1894212,-14576658.8135477,-48674758.745627,-55313267.5943847,-240695.76810204,40010009.1897196,-4240215.74808326,35529097.6735343,35529097.6735343,-19784169.9208503,1511000,150000,6000,152000,1819000,-658000,-153000,-854000,5000,5000,-1272000,394000,394000,25000,419000,2406000,0,2677000,0.5379,0.36387,0.24355,0.0653481718526923,0.0764799927841742,1.77285,30.3940629377211,-1.39730549690923,-0.465109297064734,0.41759,0.41586,1.7146,9.75461881718203,0.74032,0.23617,0.316454617525566,0.219370906790388,0.56556,-30.0853720036849,-35.1428523799735
"4","2011_Q1",21.5212903225806,"Down",6209000,-2924000,3285000,-1103000,-998000,-105000,2182000,61000,38000,2243000,2234000,-724000,1510000,1510000,1510000,1510000,18536000,3818000,3164000,3164000,3097000,346000,25143000,8750000,7346000,7191000,155000,16096000,41239000,1688000,398000,1290000,1903000,634000,634000,1543000,3446000,143000,38924000,-1275000,37792000,37792000,41238000,1509000,158000,22000,-20000,1669000,-114000,2686000,-4323000,45000,45000,-4381000.00000001,-26000,-26000,-7000,-32999.9999999991,2340000,1124000,2930000,0.52907,0.35143,0.2432,0.03996,0.03662,1.9404,13.2123,0.09118,0.02726,0.41701,0.41449,1.71472,10.4369,0.80917,1.19387,0.14748,0.07408,2.86291,-7.44103,-7.97984
"5","2011_Q2",22.3430158730159,"Up",6793000,-3083000,3710000,-1552000,-1451000,-101000,2158000,-15000,-15000,2143000,2143000,-806000,1337000,1337000,1337000,1337000,8529099.22690149,4829730.25553381,4324938.01607521,4324938.01607521,4613564.26208264,691504.200774966,18159105.7058343,9621825.38396902,43634955.2585847,13921320.5125808,29713634.7460039,53256780.6425537,71415886.348388,2879819.49355915,1594069.89065797,1285749.60290117,7202002.94958588,8338207.72980706,7766969.6045159,25060419.5818757,32262422.5314616,405565.256034013,39295330.2700935,-546844.750638914,39154050.7754886,39154050.7754886,71416473.3069501,1336000,265000,22000,1140000,2763000,-24000,-26453000,-3041995.63141646,36000,36000,26848000,3158000,3158000,30000,3188000,2423000,0,4345000,0.54615,0.31768,0.19682,0.0387931093824359,0.0228733357386086,3.24981,4.58205652075962,0.815100165636412,0.262085599021578,0.36934,0.36812,1.87652,10.8202703942727,1.20028,0.839856449182495,0.0635134608248114,0.0327180310698708,1.94838226929129,2.72356900122832,3.94023162665783
"6","2011_Q3",20.97265625,"Down",10377000,-4117000,6260000,-3026000,-2879000,-147000,3234000,-281000,-281000,2953000,2953000,-970000,1983000,1983000,1983000,1983000,6350000,6267000,4965000,4965000,5021000,728000,17064000,9529000,54174000,16218000,37956000,63703000,80767000,4391000,2002000,2389000,9964000,10217000,9625000,30807000,40771000,590000,40538000,-1131000,39997000,39997000,80768000,1983000,856000,-145000,-1011000,1683000,-141000,-140999.999999996,-850999.999999999,339000,339000,-2294000,-752000,-752000,11000,-741000,4090000,26163000,3908000,0.60326,0.31165,0.1911,0.04958,0.02455,1.97075,1.71257,1.01935,0.32393,0.54688,0.54403,2.86183,11.03061,1.07777,0.23469,0.03711,0.05117,0.42915,4.84425,6.12647
"7","2011_Q4",21.7733333333333,"Up",10784000,-4266000,6518000,-2980000,-2842000,-138000,3538000,-265000,-265000,3273000,3273000,-1036000,2237000,2237000,2237000,2237000,7098000,7040000,5027000,5027000,4963000,655000,17743000,9065000,52250000,15970000,36280000,61315000,79058000,5024000,1701000,3323000,10494000,9662000,9202000,28198000,38692000,687000,41920000,-2241000,40366000,40366000,79058000,2237000,839000,-174000,510000,3412000,-39000,-39000,-854000,67000,67000,-2535000,838000,838000,-64000,774000,4377000,24006000,5884000,0.60441,0.32808,0.20744,0.05542,0.0283,2.63031,1.69078,0.95853,0.30365,0.61524,0.61389,2.9659,11.10176,1.61826,0.23487,0.04175,0.07948,0.38176,3.86292,4.77897
"8","2012_Q1",24.5072580645161,"Up",9906000,-3994000,5912000,-3e+06,-2868000,-132000,2912000,-201000,571000,2711000,2712000,-854000,1858000,1858000,1858000,1858000,6598000,6534000,4734000,4734000,5005000,678000,17015000,8805000,50569000,15120000,35449000,59374000,76389000,4201000,925000,3276000,9631000,9759000,9237000,26001000,35632000,757000,42904000,-2906000,40755000,40755000,76387000,1858000,813000,-86000,923000,3508000,-53000,-53000,-1728000,43000,43000,-3941000,-486000,-486000,-18000,-504000,3725000,21672000,5449000,0.59681,0.29396,0.18756,0.04559,0.02432,2.93272,1.76669,0.8743,0.28371,0.51016,0.50779,2.71993,11.19028,1.49616,0.47446,0.04968,0.07548,0.93003,4.04671,5.17651
"9","2012_Q2",26.9277777777778,"Up",11206000,-4467000,6739000,-2624000,-2478000,-146000,4115000,-178000,-178000,3937000,3937000,-1148000,2789000,2789000,2789000,2789000,8239000,8159000,6065000,6065000,4835000,854000,19993000,8813000,51162000,15348000,35814000,59975000,79968000,6318000,1245000,5073000,11803000,9593000,9088000,23635000,35438000,1418000,44816000,-1704000,44530000,44530000,79968000,2789000,820000,-224000,49000,3434000,-62000,-62000,0,585000,585000,-1824000,1548000,1548000,76000,1624000,4935000,19527000,6070000,0.60137,0.36721,0.24888,0.06263,0.03488,2.17641,1.69389,0.79582,0.24419,0.76432,0.75891,3.07098,12.20334,1.66347,0,0.03787,0.08242,0,2.28734,2.74313
"10","2012_Q3",28.3609523809524,"Up",10024000,-3954000,6070000,-2519000,-2372000,-147000,3551000,-122000,-122000,3429000,3429000,-1029000,2400000,2400000,2400000,2400000,7984000,7913000,5089000,5089000,4834000,744000,18651000,8532000,49697000,15194000,34503000,58229000,76880000,5343000,1352000,3991000,10749000,9428000,8933000,20582000,31331000,1873000,46332000,-2657000,45548000,45548000,76879000,2401000,819000,-158000,41000,3103000,-72000,-72000,-878000,393000,393000,-3198000,-167000,-167000,-79000,-246000,4370000,16560000,5368000,0.60555,0.35425,0.23943,0.05269,0.03122,2.23667,1.73514,0.68787,0.2154,0.65253,0.64673,2.72539,12.3839,1.45949,0.23872,0.04582,0.07504,0.36583,1.96247,2.41509
