"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",9.04375,"Up",7218000,-3522000,3696000,-10334000,-6708000,-3626000,-6638000,-495000,-486000,-489000,3000,-9000,-7133000,-5495000,-5495000,-5495000,-5495000,-7806000,10755000,10755000,107046348.268207,4779000,4779000,5627000,2533000,2533000,23694000,3028000,3768000,3768000,6796000,30490000,8416000,2727000,5689000,1696000,1086000,610000,12787000,15047000,4686000,489000,4197000,19733000,32520000,341819502.89877,-110305000,-88239.736330534,-2030000,-2030000,30490000,-5495000,437000,-1302000,1128000,-5232000,-118000,-240533288.241512,-118000,51000,51000,4311000,-1039000,-1039000,-1039000,-6201000,17722000,0.51205,-0.91965,-1.08146,3.84532,-0.25602,1.85298,-16.0197,0.58124,-13.7188,-13.7188,12.68541,-193.85764,-0.38306,-1.12353,-1.04956
"2","2013_Q4",12.37671875,"Up",8389000,-3784000,4605000,-11772000,-7988000,-3784000,-7167000,-533000,-516000,-538000,22000,-17000,-7700000,-7700000,-7700000,-7700000,-7700000,-7700000,52214000,19292000,32922000,6792000,6792000,5716000,2820000,2820000,67542000,3223000,528000,528000,3751000,71293000,9293000,2874000,6419000,1790000,1192000,598000,15488000,13808000,2106000,604000,1502000,15914000,31402000,157891000,-118005000,5000,39891000,39891000,71293000,-7700000,459000,502000,-502000,-7241000,-246000,-33006000,-33252000,5000.00000000745,5000.00000000745,49030000,8537000,8537000,8537000,-6708000,18213000,0.54893,-0.85433,-0.91787,-0.193030000000001,-0.108,4.36092,0.787199999999999,0.25547,-0.521330000000001,-0.521330000000001,0.56798,2.70080999999999,-0.12789,5.06872,4.7441
"3","2014_Q1",19.0460655737705,"Up",10120000,-4821000,5299000,-13600000,-9090000,-4510000,-8301000,-526000,-490000,-530000,40000,-36000,-8827000,-8827000,-8827000,-8827000,-8827000,-8827000,42656000,9941000,32715000,8331000,8331000,6750000,2999000,2999000,60736000,3065000,571000,571000,3636000,64372000,10442000,3354000,7088000,2052000,1462000,590000,18630000,12157000,2116000,803000,1313000,14273000,32903000,158279000,-126832000,22000,31469000,31469000,64372000,-8827000,630000,-313000,-1353000,-9863000,-259000,831000.000000015,551000,47383000,47383000,-39000,-9351000,-9351000,-9351000,-7671000,18293000,0.52362,-0.82026,-0.87223,-0.2805,-0.13712,3.26012,1.04557,0.28418,-0.60064,-0.60064,0.68862,2.14133,-0.17015,3.17599,2.93495
"4","2014_Q2",15.7555555555556,"Down",8751000,-4325000,4426000,-15406000,-10674000,-4732000,-10980000,-442000,-472000,-536000,64000,30000,-11422000,-11422000,-11422000,-11422000,-11422000,-11422000,85810000,28973000,56837000,7429000,7429000,7522000,3567000,3567000,104328000,3118000,347000,347000,3465000,107793000,8056000,2619000,5437000,1897000,1292000,605000,16725000,10533000,1924000,756000,1168000,12457000,29182000,216856000,-138254000,9000,78611000,78611000,107793000,-11422000,396000,1003000,-3035000,-13058000,-446000,-23960000,-24347000,57566000,57566000,56437000,19032000,19032000,19032000,-10584000,17305000,0.50577,-1.25471,-1.30522,-0.1453,-0.10596,6.23785,0.37122,0.16054,-0.67518,-0.67518,0.51729,4.64686,-0.11674,6.47251,6.23907
"5","2014_Q3",12.36984375,"Down",10881000,-4860000,6021000,-18154000,-12880000,-5274000,-12133000,-1955000,-1940000,-2015000,75000,-15000,-14088000,-14088000,-14088000,-14088000,-14088000,-14088000,79589000,21186000,58403000,9074000,9074000,6407000,4070000,4070000,99140000,5050000,867000,867000,5917000,105057000,9753000,2715000,7038000,4317000,3601000,716000,14230000,20208000,4765000,3774000,991000,24973000,39203000,218189000,-152342000,7000,65854000,65854000,105057000,-14088000,349000,1551000,4567000,-7621000,-790000,-1715000,-2505000,168000,168000,2339000,-7787000,-7787000,-7787000,-11784000,20368000,0.55335,-1.11506,-1.29473,-0.21393,-0.1341,6.96697,0.5953,0.19388,-0.83277,-0.83277,0.6432,3.89277,-0.15484,5.02554,4.88099
"6","2014_Q4",12.17046875,"Down",12343000,-5271000,7072000,-18476000,-12515000,-5961000,-11404000,-744000,-632000,-697000,65000,-112000,-12148000,-12148000,-12148000,-12148000,-12148000,-12148000,67500000,18826000,48674000,15266000,15266000,5790000,4353000,4353000,92909000,5746000,878000,878000,6624000,99533000,9921000,2166000,7755000,5232000,4425000,807000,15404000,20497000,7952000,7168000,784000,28449000,43853000,220192000,-164491000,-21000,55680000,55680000,99533000,-12148000,370000,1635000,-2360000,-12503000,-48000,9579000,9531000,669000,669000,612000,-2360000,-2360000,-2360000,-11034000,20748000,0.57296,-0.92392,-0.9842,-0.21818,-0.12205,6.03149,0.78759,0.20845,-0.6859,-0.6859,0.69691,3.14381,-0.14397,4.23709,4.09961
"7","2015_Q1",12.2686885245902,"Up",15618000,-6693000,8925000,-20431000,-14994000,-5437000,-11506000,-874000,-824000,-892000,68000,-50000,-12380000,-12380000,-12380000,-12380000,-12380000,-12380000,72225000,17223000,55002000,12436000,12436000,5444000,5114000,5114000,95219000,6366000,483000,483000,6849000,102068000,13783000,3380000,10403000,4774000,4627000,147000,18808000,29995000,8452000,7135000,1317000,38447000,57255000,221726000,-176870000,-43000,44813000,44813000,102068000,-12380000,475000,1051000,5975000,-4879000,-616000,-6338000,-6954000,241000,241000,10178000,-1655000,-1655000,-1603000,-11031000,30246000,0.57146,-0.73671,-0.79268,-0.27626,-0.12129,5.06269,1.27764,0.29633,-0.67936,-0.67936,0.85705,2.45915,-0.14824,3.80555,3.64844
"8","2015_Q2",13.3615873015873,"Up",11593000,-5340000,6253000,-20041000,-14125000,-5916000,-13788000,-1106000,-917000,-984000,67000,-189000,-14894000,-14894000,-14894000,-14894000,-14894000,-14894000,55508000,14348000,41160000,10465000,10465000,7887000,5402000,5402000,79262000,6875000,1e+06,1e+06,7875000,87137000,11151000,4553000,6598000,4425000,4001000,424000,15847000,30903000,8448000,7098000,1350000,39351000,55198000,223722000,-191764000,-19000,31939000,31939000,87137000,-14894000,485000,1340000,-3651000,-16720000,-632000,13779000,13147000,746000,746000,678000,-2895000,-2895000,-2875000,-13303000,31174000,0.53938,-1.18934,-1.28474,-0.46633,-0.17093,5.0017,1.72823,0.35776,-0.81344,-0.81344,0.63315,1.74435,-0.20813,1.82921,1.76487
"9","2015_Q3",15.66875,"Up",13066000,-5871000,7195000,-18621000,-12823000,-5798000,-11426000,-978000,-945000,-1001000,56000,-33000,-12404000,-12404000,-12404000,-12404000,-12404000,-12404000,52521000,15737000,36784000,13217000,13217000,9410000,6310000,6310000,81458000,7229000,1103000,1103000,8332000,89790000,9673000,2386000,7287000,5975000,5678000,297000,15919000,31106000,8801000,6806000,1995000,39907000,55826000,238161000,-204168000,-29000,33964000,33964000,89790000,-12404000,622000,1712000,-4475000,-14545000,-912000,4301000,3389000,12788000,12788000,12584000,1428000,1428000,1389000,-10804000,31377000,0.55067,-0.87448,-0.94933,-0.36521,-0.13814,5.11703,1.64368,0.34945,-0.6586,-0.6586,0.69375,1.80333,-0.1673,1.95705,1.85052
"10","2015_Q4",14.71296875,"Down",15693000,-6289000,9404000,-17848000,-12036000,-5812000,-8444000,-1023000,-964000,-1022000,58000,-59000,-9467000,-9467000,-9467000,-9467000,-9467000,-9467000,45361000,16635000,28726000,12903000,12903000,11699000,4602000,4602000,74565000,7371000,1068000,1068000,8439000,83004000,9909000,2561000,7348000,5837000,5635000,202000,16005000,31326000,8487000,6214000,2273000,39813000,55818000,240825000,-213635000,-4000,27186000,27186000,83004000,-9467000,313000,1986000,-329000,-7497000,-283000,7948000,7665000,816000,816000,748000,916000,916000,898000,-8131000,31585000,0.59925,-0.53807,-0.60326,-0.34823,-0.11405,4.65886,2.05319,0.38052,-0.48694,-0.48694,0.80717,1.39831,-0.14076,1.69426,1.63145
