"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q2",14.4480952380952,"Down",16831000,-8740000,8091000,-4038000,-3737000,-395000,4053000,-333000,-243000,61000,3720000,3720000,-100000.000000001,3620000,3620000,-1183000,2437000,2437000,9238000,9238000,5116000,5116000,2126000,24662000,1292000,23370000,41142000,17067000,17389000,11608000,1078000,34456000,75598000,2695000,2695000,3154000,16527000,11011000,22376000,11649000,1317000,855000,12966000,35342000,174629000,-675000,-157218000,16683000,23573000,40256000,75598000,3620000,982000,35000,-758000,3879000,-229000,-249000,-968000,-1295000,-2263000,1367000,1367000,1367000,5035000,14803000,4148000,0.48072,0.24081,0.14479,0.06054,0.03224,1.70209,1.83867,0.87793,0.19581,0.40766,0.39912,2.81549,2.79073,0.69388,0.04323,0.07358,1.10526,1.37306
"12","2014_Q3",11.86078125,"Down",17609000,-9712000,7897000,-4602000,-4352000,-374000,3295000,-177000,-237000,60000,3118000,3118000,-70000,3048000,3048000,-905000,2143000,2143000,9425000,9425000,5419000,5419000,2562000,26117000,1901000,24216000,43523000,16538000,17024000,11271000,1050000,33562000,77085000,2941000,2941000,3048000,17222000,11497000,23211000,10530000,1287000,825000,11817000,35028000,174771000,-675000,-155075000,18979000,23078000,42057000,77085000,3048000,972000,3641000,-4753000,2908000,-106000,-106000,-1214000,-1401000,-2615000,187000,187000,187000,4267000,13578000,-522000,0.44846,0.18712,0.1217,0.05095,0.0278,-0.24358,1.8751,0.83287,0.17614,0.35681,0.34942,2.9319,3.16001,-0.08691,0.03765,-0.00917,0.97328,1.26039
"13","2014_Q4",11.2596875,"Down",17041000,-9446000,7595000,-5275000,-3935000,-359000,2320000,-107000,-202000,57000,2213000,2213000,-65000,2148000,2148000,-409000,1739000,1739000,9589000,9589000,4474000,4474000,2510000,26770000,1708000,25062000,43343000,16045000,16759000,11043000,1013000,32804000,76147000,2863000,2863000,2967000,16357000,11484000,22187000,9404000,1126000,664000,10530000,32717000,175024000,-675000,-153336000,20972000,22458000,43430000,76147000,2148000,933000,4475000,-4947000,2609000,-212000,-212000,-1205000,-1028000,-2233000,164000,164000,164000,3253000,12371000,-1841000,0.44569,0.13614,0.10205,0.04004,0.02284,-1.05865,1.95353,0.75333,0.16246,0.28877,0.28276,2.82979,3.48256,-0.30571,0.03055,-0.03234,0.85521,1.19914
"14","2015_Q1",11.7486885245902,"Up",17024477,-7959342,9065135,-6430466,-6560645,-632821,2634669,-637212,-202541,60928,1997457,1997457,2583312,4580769,4580769,-503639,4077130,4077130,9951736,9951736,4450125,4450125,2443536,25976393,1011358,24965035,42821790,15029729,18938324,10508843,922096,33968053,76789843,2481997,2481997,2890816,15550278,10819316,20923091,8481830,1478330,894340,9960160,30883251,175285113,-675390,-149259286,25311609,20594984,45906593,76789844,4580769,930205,-7678475,6181925,4014424,-287908,-287409,-997136,-2366870,-3364006,363009,363009,363009,3564874,11372646,6875579,0.53248,0.15476,0.23949,0.08881,0.05309,1.68638,2.04663,0.67274,0.1481,0.67577,0.66184,2.82176,4.19533,1.13961,0.06939,0.11702,0.39859,0.53931
"15","2015_Q2",11.4074603174603,"Down",17985000,-10066000,7919000,-4481000,-3578000,-397000,3438000,-142000,-204000,62000,3296000,3296000,-39999.9999999995,3256000,3256000,-721000,2535000,2535000,10662000,10662000,5276000,5276000,2422000,27273000,669000,26604000,45633000,14489000,18645000,10233000,905000,33134000,78767000,2805000,2805000,2892000,16333000,11037000,22030000,7559000,1075000,491000,8634000,30664000,175414000,-675000,-146724000,27978000,20125000,48103000,78767000,3256000,888000,-225000,-1027000,2892000,-72000,-72000,-919000,-1191000,-2110000,710000,710000,710000,4326000,10451000,3267000,0.44031,0.19116,0.14095,0.0527,0.03218,1.28876,2.0714,0.63747,0.13268,0.41901,0.41033,2.97273,4.62446,0.54,0.04251,0.05479,-0.04877,-0.0613700000000001
"16","2015_Q3",10.4103125,"Down",17092000,-9037000,8055000,-4457000,-3825000,-359000,3598000,-114000,-172000,60000,3484000,3484000,-29000,3455000,3455000,-797000,2658000,2658000,11674000,11674000,5088000,5088000,2363000,27656000,823000,26833000,46781000,13951000,18308000,9933000,868000,32259000,79040000,2397000,2397000,2894000,15564000,10512000,20855000,6935000,1030000,446000,7965000,28820000,175414000,-675000,-144066000,30638000,19582000,50220000,79040000,3455000,888000,1159000,-2481000,3021000,-50000,-50000,-620000,-1339000,-1959000,1012000,1012000,1012000,4486000,9829000,1984000,0.47127,0.21051,0.15551,0.05293,0.03363,0.74643,2.24316,0.57387,0.12435,0.43927,0.43017,2.82466,5.0633,0.32788,0.04352,0.03248,-0.41128,-0.51278
"17","2015_Q4",16.53171875,"Up",17096000,-9603000,7493000,-4826000,-3705000,-360000,2667000,-118000,-169000,51000,2549000,2549000,-30000,2519000,2519000,-5e+05,2019000,2019000,7828000,7828000,4101000,4101000,2286000,28860000,855000,28005000,43075000,13454000,18013000,9653000,853000,31467000,74542000,2304000,2304000,2896000,15064000,10832000,20264000,6311000,972000,388000,7283000,27547000,175414000,-675000,-142047000,32659000,14336000,46995000,74542000,2519000,889000,735000,-1510000,2633000,-111000,-111000,-621000,-5747000,-6368000,-3846000,-3846000,-3846000,3556000,9207000,1965000,0.43829,0.156,0.1181,0.04296,0.02709,0.97325,2.12569,0.58617,0.12351,0.33372,0.3268,2.82579,5.39818,0.32479,0.03531,0.03437,0.3878,0.51706
"18","2016_Q1",15.5227868852459,"Down",16877996,-8184416,8693580,-5496703,-6340305,-696398,3196877,291985,-157095,52270,3488862,3488862,2711521,6200383,6200383,-501732,5698651,5698651,9448798,9448798,3790981,3790981,2191849,28189185,860040,27329145,43620813,12901195,19970069,8950160,829505,32871264,76492077,1782442,1782442,2490146,14520064,10332663,18792652,5699302,1216610,706118,6915912,25708564,175448262,-675390,-136348635,38392742,12390771,50783513,76492077,6200383,879470,-1690394,-662542,4726917,-37842,-37842,-621068,-2446945,-3068013,1621062,1621062,1621062,4076347,8189448,664442,0.51508,0.18941,0.33764,0.11221,0.0745,0.1166,2.32116,0.50624,0.10706,0.94169,0.92248,2.78905,6.34431,0.1098,0.09468,0.01104,-0.30894,-0.39393
"19","2016_Q2",16.5059375,"Up",17611000,-9367000,8244000,-4629000,-4193000,-436000,3615000,-1e+05,-150000,50000,3515000,3515000,-50000.0000000005,3465000,3465000,-603000,2862000,2862000,10973000,10973000,4681000,4681000,2296000,28983000,775000,28208000,46933000,12439000,19655000,8647000,818000,32094000,79027000,1595000,1595000,2478000,15642000,10928000,19715000,5088000,1228000,718000,6316000,26031000,175449000,-675000,-133487000,41257000,11739000,52996000,79027000,3465000,829000,418000,-1248000,3464000,-64000,-64000,-621000,-1255000,-1876000,1524000,1524000,1524000,4444000,7566000,3182000,0.46812,0.20527,0.16251,0.054,0.03622,1.11181,2.38057,0.49119,0.09574,0.47306,0.46326,2.91091,6.81934,0.52595,0.04632,0.0515,-0.76665,-0.94246
"20","2016_Q3",21.15109375,"Up",18368000,-9862000,8506000,-4281000,-3868000,-413000,4225000,-80999.9999999999,-139000,57000,4144000,4144000,-40000,4104000,4104000,-611000,3493000,3493000,12954000,12954000,4617000,4617000,2259000,28913000,767000,28146000,48743000,12277000,19402000,8348000,864000,31679000,80422000,1291000,1291000,2467000,15244000,10544000,19002000,4475000,1301000,791000,5776000,24778000,175449000,-675000,-129994000,44752000,10892000,55644000,80422000,4104000,848000,154000,-658000,4448000,-387000,-387000,-622000,-1458000,-2080000,1981000,1981000,1981000,5073000,6942000,4068000,0.46309,0.23002,0.19017,0.06277,0.04343,1.16461,2.56515,0.4453,0.08632,0.57726,9.1201,3.03553,7.3958,0.67229,0.05467,0.06367,-1.1851,-1.42296
