"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2016_Q4",19.3747619047619,"Down",18620000,-10065000,8555000,-4458000,-4064000,-394000,4097000,-70000,-127000,57000,4027000,4027000,-145000,3882000,3882000,-877000,3005000,3005000,13147000,13147000,4356000,4356000,2234000,31170000,834000,30336000,50907000,11877000,19228000,8066000,972000,31105000,82012000,1345000,1345000,2455000,14782000,10432000,18582000,3863000,1465000,955000,5328000,23910000,175449000,-675000,-126989000,47759000,10343000,58102000,82012000,3882000,830000,-760000,-1564000,2388000,-148000,-148000,-622000,-1425000,-2047000,193000,193000,193000,4927000,6318000,3360000,0.45945,0.22003,0.16139,0.05172,0.03664,1.11814,2.73959,0.41152,0.07704,0.49669,7.84595,3.07769,7.89405,0.55537,0.04561,0.051,-1.38604,-1.66683
"22","2017_Q1",18.8524193548387,"Down",18769210,-9576898,9192312,-6773696,-6384850,-388846,2418616,403630,153807,60263,2822246,2822246,4522271,7344517,7344517,-979892,6364625,6364625,8528309,8528309,4370155,4370155,2074300,30586809,759042,29827767,45559573,14512706,24815327,7719358,731451,39328033,84887606,1254485,1254485,2447693,16911069,12232155,20613247,2059236,1438816,957037,3498052,24111299,173703011,-675390,-120624010,52379732,8396575,60776307,84887606,7344517,790289,-4080498,2263061,6317369,-226288,-4449855,-1809903,-4676100,-6486003,-4618489,-4618489,-4618489,3208905,4506929,723407,0.48975,0.12886,0.3391,0.10472,0.07498,0.11366,2.21021,0.39672,0.05309,1.05156,0.35818,3.10103,8.65413,0.11952,0.09539,0.01084,-1.25319,-1.66268
"23","2017_Q2",22.9468253968254,"Up",18734000,-9504000,9230000,-4477000,-4065000,-412000,4753000,-53000,-98000,48000,4700000,4700000,-2e+05,4500000,4500000,-929000,3571000,3571000,7994000,7994000,4694000,4694000,2214000,32061000,722000,31339000,46963000,14563000,24614000,7456000,794000,39177000,86140000,1304000,1304000,2436000,14531000,9595000,18271000,661000,1521000,1039000,2182000,20453000,175949000,-675000,-117053000,58199000,7488000,65687000,86140000,4500000,856000,2055000,-4057000,3354000,-642000,-642000,-1409000,-1837000,-3246000,-534000,-534000,-534000,5609000,3097000,1110000,0.49269,0.25371,0.19062,0.05436,0.04146,0.31084,2.57036,0.31137,0.03595,0.58493,0.57292,3.06863,9.53301,0.18182,0.05079,0.01579,-0.87306,-1.0303
"24","2017_Q3",28.2404761904762,"Up",18404000,-9365000,9039000,-4431000,-4070000,-361000,4608000,-27000,-76000,49000,4581000,4581000,353000,4934000,4934000,-693000,4241000,4241000,7692000,7692000,4385000,4385000,2735000,33634000,926000,32708000,48446000,14914000,24926000,7202000,560000,39840000,88286000,1470000,1470000,1674000,14128000,9376000,17272000,411000,1593000,1111000,2004000,19276000,175971000,-675000,-112812000,62464000,6546000,69010000,88286000,4934000,863000,-812999.999999999,-1683000,3301000,-961000,-961000,-1009000,-1635000,-2644000,-304000,-304000,-304000,5471000,2085000,2474000,0.49114,0.25038,0.23044,0.06145,0.04804,0.58335,2.80489,0.27932,0.02362,0.6887,0.67467,2.98863,10.14355,0.40175,0.05835,0.03404,-1.02486,-1.2168
"25","2017_Q4",27.6484126984127,"Down",20008000,-9191000,10817000,-4814000,-4482000,-332000,6003000,-20000,-70000,48000,5983000,5983000,1140000,7123000,7123000,-1222000,5901000,5901000,7750000,7750000,3644000,3644000,2670000,36775000,1059000,35716000,50839000,15292000,25693000,6920000,509000,40985000,91824000,1183000,1183000,727000,12541000,8554000,14451000,348000,1600000,1118000,1948000,16399000,176762000,-675000,-106911000,69157000,6268000,75425000,91824000,7123000,868000,-1096000,-4124000,2771000,-293000,-293000,-1008000,-1412000,-2420000,58000,58000,58000,6871000,1075000,1314000,0.54063,0.30003,0.29493,0.07824,0.06426,0.22267,3.51803,0.21742,0.01171,0.95702,0.93756,3.24489,11.21586,0.2131,0.07556,0.01682,-0.97147,-1.11194
"26","2018_Q1",24.9491803278689,"Down",20890586,-9992425,10898161,-7166081,-6790411,-375670,3732080,320284,272299,48141,4052364,4052364,3069434,7121798,7121798,-1214177,5907621,5907621,10140000,10140000,4322000,4322000,1624000,37328000,1294000,36034000,53414000,16462000,28887000,6645000,453000,45349000,98763000,1423000,1423000,180000,12633000,7991000,14236000,337000,1280000,948000,1617000,15853000,179132000,-675000,-101003000,77437000,5473000,82910000,98763000,7121798,946564,-735895,48796.9999999995,7381264,-1110314,-2423083,-556745,-2010124,-2566869,2391312,2391312,2391312,4678644,517000,547693,0.52168,0.17865,0.28279,0.07125,0.05982,0.09271,3.75204,0.19121,0.00523,0.95018,0.9313,3.36002,12.45489,0.08809,0.06974,0.00647,-2.05679,-2.57845
"27","2018_Q2",27.87921875,"Up",19334000,-10119000,9215000,-4430000,-4081000,-349000,4785000,1000,-43000,46000,4786000,4786000,-185000,4601000,4601000,-882000,3719000,3719000,11339000,11339000,4604000,4604000,1688000,38443000,1229000,37214000,56074000,16478000,28670000,6365000,458000,45148000,101222000,1606000,1606000,138000,12120000,7466000,13864000,329000,1255000,923000,1584000,15448000,179132000,-675000,-97283000,81159000,4615000,85774000,101222000,4601000,959000,-164000,-1656000,3740000,-695000,-695000,-48000,-1798000,-1846000,1199000,1199000,1199000,5744000,467000,3578000,0.47662,0.24749,0.19236,0.04336,0.03674,0.96209,4.04458,0.1801,0.00461,0.59154,0.57973,3.07523,12.90902,0.56911,0.0425,0.04089,-1.89276,-2.2721
"28","2018_Q3",26.1636507936508,"Down",20168000,-10665000,9503000,-3692000,-3286000,-406000,5811000,4000,-49000,58000,5815000,5815000,-575000,5240000,5240000,-1051000,4189000,4189000,14194000,14194000,4282000,4282000,1696000,40074000,1368000,38706000,60246000,16986000,27951000,6076000,603000,44937000,105183000,1365000,1365000,95000,12135000,7615000,13595000,323000,1270000,938000,1593000,15188000,179131000,-675000,-93095000,85348000,4646000,89994000,105182000,5240000,998000,-401000,-697000,5140000,-1218000,-1218000,-47000,-1020000,-1067000,2855000,2855000,2855000,6809000,418000,5469000,0.47119,0.28813,0.20771,0.04655,0.03983,1.30556,4.43148,0.16877,0.00397,0.6663,0.653,3.20789,13.57531,0.86989,0.04569,0.05965,-2.0232,-2.37068
"29","2018_Q4",22.5425396825397,"Down",20978000,-10541000,10437000,-6035000,-5532000,-503000,4402000,21000,-46000,75000,4423000,4423000,-160000,4263000,4263000,-782000,3481000,3481000,15414000,15414000,3615000,3615000,1637000,40505000,1529000,38976000,61171000,17015000,28316000,5813000,1231000,45331000,106502000,1259000,1259000,52000,11031000,7263000,12342000,315000,1281000,949000,1596000,13938000,179132000,-675000,-89614000,88832000,3732000,92564000,106502000,4263000,992000,1262000,-2796000,3721000,-756000,-756000,-50000,-1695000,-1745000,1220000,1220000,1220000,5394000,367000,2002000,0.49752,0.20984,0.16594,0.03761,0.03268,0.57512,4.95633,0.15058,0.00345,0.55368,0.54263,3.33673,14.12947,0.31843,0.03695,0.02125,-2.78958,-3.41822
"30","2019_Q1",21.7049180327869,"Down",21035994,-10625770,10410224,-5724013,-5226266,-497747,4686211,72224,-22074,83569,4758435,4758435,6589750,11348185,11348185,-1506383,9841802,9841802,19634000,19634000,3814000,3814000,1431000,42186000,1350000,40836000,67065000,16492000,34754000,5602000,2478000,51246000,118311000,1300000,1300000,39000,13228000,9036000,14567000,306000,1203000,964000,1509000,16076000,179133000,-675000,-79773000,98676000,3559000,102235000,118311000,11348185,950851,-6782007,621294,6138323,-217777,-276051,-20151,-1622000,-1642151,4220121,4220121,4220121,5637062,345000,-549171,0.49488,0.22277,0.46786,0.09627,0.08319,-0.0558,4.6039,0.15725,0.00292,1.56491,1.53417,3.34487,15.69015,-0.08732,0.09483,-0.00529,-3.42182,-4.11612
"31","2019_Q2",20.4519047619048,"Down",20705000,-10472000,10233000,-4696000,-4259000,-437000,5537000,83000,-25000,108000,5620000,5620000,-1128000,4492000,4492000,-1174000,3318000,3318000,21187000,21187000,4259000,4259000,1649000,43514000,1583000,41931000,70609000,16264000,33367000,5378000,2443000,49631000,120240000,1510000,1510000,39000,10237000,5856000,11786000,298000,1214000,975000,1512000,13298000,181087000,-675000,-76454000,103949000,2993000,106942000,120240000,4492000,922000,3163000,-4808000,3769000,-469000,-469000,-7000,-1740000,-1747000,1553000,1553000,1553000,6459000,337000,2310000,0.49423,0.26742,0.16025,0.03103,0.02759,0.6962,5.99092,0.12435,0.0028,0.52301,0.51267,3.26371,16.3854,0.36412,0.03058,0.02129,-3.22805,-3.76558
"32","2019_Q3",22.9709375,"Up",21225000,-11084000,10141000,-4160000,-3610000,-550000,5981000,97000,-25000,122000,6078000,6078000,-1213000,4865000,4865000,-1312000,3553000,3553000,23287000,23287000,3866000,3866000,1657000,44814000,1129000,43685000,73624000,17344000,31898000,5160000,2405000,49242000,122866000,1294000,1294000,39000,10297000,6270000,11630000,290000,1090000,851000,1380000,13010000,181087000,-675000,-72902000,107501000,2355000,109856000,122866000,4865000,952000,540000.000000003,-485000,5872000,-1814000,-1814000,-8000,-1950000,-1958000,2100000,2100000,2100000,6933000,329000,5847000,0.47779,0.28179,0.1674,0.03234,0.02892,1.64565,6.33052,0.11843,0.00268,0.55882,0.5478,3.33831,16.90799,0.91963,0.03193,0.05255,-3.31141,-3.83849
"33","2019_Q4",20.03234375,"Down",22779000,-11185000,11594000,-4986000,-4605000,-381000,6608000,78000,-28000,106000,6686000,6686000,-1485000,5201000,5201000,-1338000,3863000,3863000,24780000,24780000,3739000,3739000,1810000,48483000,1647000,46836000,78812000,17440000,30340000,4959000,2407000,47780000,126592000,1631000,1631000,40000,9611000,5834000,11282000,282000,1087000,848000,1369000,12651000,181087000,-675000,-69039000,111373000,2568000,113941000,126592000,5201000,978000,1053000,-3740000,3492000,-874000,-874000,1000,-1125000,-1124000,1494000,1494000,1494000,7586000,322000,4457000,0.50898,0.29009,0.16959,0.0339,0.03052,1.15377,6.98564,0.11103,0.00254,0.60768,0.59568,3.58329,17.51974,0.70112,0.03349,0.03864,-3.2241,-3.70127
"34","2020_Q1",18.4708064516129,"Down",22483887,-11243593,11240294,-7232102,-6787755,-444347,4008192,127002,-20636,146573,4135194,4135194,1820480,5955674,5955674,-1372543,4583131,4583131,28976829,13882013,3736662,3736662,1798166,50577065,1512917,48464148,85088722,16985617,31485871,4755675,1807052,48471488,133560210,1861227,1861227,40530,12188182,8376067,14089939,273112,1085056,841789,1358168,15448107,181087193,-675390,-64455456,115956378,2155725,118112103,133560210,5955674,984491,-2462937,1838220,6315448,-326849,-15421665,-7512,-1785000,-1792512,-10898729,-10898729,-10898729,4992683,313642,4683574,0.49993,0.17827,0.20384,0.0388,0.03432,1.02192,6.03897,0.13079,0.00235,0.72091,0.7069,3.53664,18.23955,0.73671,0.03835,0.03919,-5.74104,-7.15115
"35","2020_Q2",20.4434920634921,"Up",21747000,-11495000,10252000,-4766000,-4294000,-472000,5486000,127000,-21000,148000,5613000,5613000,-1107000,4506000,4506000,-1207000,3299000,3097000,29007000,13794000,3855000,3855000,1791000,52384000,2230000,49554000,87037000,18643000,61200000,4553000,32728000,79843000,166880000,1516000,1516000,41000,12359000,8617000,13916000,266000,29844000,29601000,30110000,44026000,183077000,-675000,-61157000,121245000,1608000,122853000,166879000,4506000,995000,3575000,-4833000,4243000,-2449000,-2568000,-8000,-1755000,-1763000,-88000,-88000,-88000,6481000,307000,306000,0.47142,0.25226,0.14241,0.02521,0.01856,0.0988100000000002,6.25446,0.35836,0.00184,0.4815,0.4721,3.38106,18.85028,0.04757,0.02024,0.002,-4.42833,-5.2315
"36","2020_Q3",24.09984375,"Up",21450000,-11682000,9768000,-4747000,-4164000,-583000,5021000,120000,-19000,139000,5141000,5141000,-932000,4209000,4209000,-1106000,3103000,3013000,30687000,15393000,4188000,4188000,1751000,53375000,2176000,50599000,90001000,20121000,59234000,4336000,31791000,81676000,171677000,1285000,1285000,34000,13603000,9598000,14922000,2497000,29175000,28932000,31672000,46594000,183076000,-675000,-58053000,124348000,734000,125082000,171676000,4209000,1008000,909000,-182000.000000001,5944000,-2269000,-2349000,-16000,-1980000,-1996000,1599000,1599000,1599000,6029000,2531000,4510000,0.45538,0.23408,0.14047,0.02409,0.01755,1.49685,6.03143,0.37251,0.01474,0.46728,0.45818,3.32661,19.28474,0.69944,0.01922,0.02876,-4.67009,-5.60765
"37","2020_Q4",19.55828125,"Down",21687000,-11304000,10383000,-7768000,-7233000,-535000,2615000,110000,-17000,126000,2725000,2725000,-810000,1915000,1915000,-653000,1262000,1204000,31051000,31019000,3862000,3862000,1775000,54674000,1798000,51676000,91362000,21258000,56394000,4162000,29790000,79818000,171180000,1687000,1687000,33999.9999999999,13169000,9257000,14890000,2343000,28360000,28117000,30703000,45593000,183076000,-675000,-56792000,125609000,-23000,125586000,171179000,1915000,998000,4203000,-3371000,3745000,-1883000,13300000,-9000,-1410000,-1419000,15626000,15626000,15626000,3613000,2377000,-831000,0.47877,0.12058,0.05552,0.00959,0.00703,-0.690199999999999,6.1358,0.36304,0.01389,0.18678,0.18315,3.36441,19.48635,-0.12892,0.0077,-0.00532,-7.93634,-10.9652
"38","2021_Q1",18.894262295082,"Down",20806462,-8815825,11990637,-11461721,-11026345,-435376,528916,141595,-17321,89145,670511,670511,404222,1074733,1074733,-498528,576205,926205,36834226,36802342,38653237,38653237,1648770,18753299,1757499,16324615,95889532,21364034,60275743,4109129,33371460,84369848,180259380,1965259,1965259,4213644,12484525,12484525,18663428,3521021,31832715,31598609,35353736,54017164,183077535,-675390,-56215251,126186963,55253,126242216,180259380,1074733,907648,2123189,2365193,6470763,-921997,-960586.999999996,693153,-420000,273153,5783329,5783329,5783329,1436564,7734665,2475538,0.57629,0.02542,0.04452,0.00734,0.00514,2.67278,5.13783,0.42789,0.04291,0.14362,0.14087,3.22638,19.56734,0.38387,0.00559,0.01493,-20.25636,-55.01736
"39","2021_Q2",17.8542857142857,"Down",20979000,-10266000,10713000,-6563000,-6163000,-4e+05,4150000,-50000,-22000,112000,4100000,4100000,-849000,3251000,3251000,-743000,2508000,2394000,40356555.7638097,39298675.2418408,32510774.6891449,32510774.6891449,1659692.43595056,25121662.5228249,1523102.79313427,23431827.9346437,99648685.4117301,21361117.80293,59127772.4322685,4035865.58184725,33343597.6069293,83302076.4996996,182950761.91143,2241450.35263836,2241450.35263836,3605734.91584179,13328877.6670043,14280200.4272499,19176062.9354844,3500803.94234572,31802908.7911011,31570751.5835346,35303712.7334468,54479775.6689313,184079650.468153,-675324.711428365,-54258146.8573812,129145901.016467,-674664.058884005,128471236.957583,182951012.626514,3251000,968000,4030000,-4467000,3782000,-415000,-435000,54000,-1440000,-1386000,1961000,1961000,1961000,5118000,0,1085000,0.51065,0.19782,0.11411,0.012682891013408,0.00901065183338376,0.45322,5.18526032449222,0.42449127182416,0.0391770192839178,0.37134,0.36411,3.25407,20.0840285823545,0.1683,0.00989165962818768,0.0238658453461226,-15.8951625761814,-41.4711762011374
"40","2021_Q3",16.95828125,"Down",21164000,-11217000,9947000,-4965000,-4541000,-424000,4982000,59000,-16000,75000,5041000,5041000,-1113000,3928000,3928000,-817000,3111000,2971000,40611000,40579000,4243000,4243000,1844000,54898000,1302000,53596000,101596000,21683000,56275000,4014000,31428000,80552000,182148000,2198000,2198000,221999.999999998,14503000,14503000,16923000,3308000,30041000,29807000,33349000,50272000,185102000,-675000,-50596000,133831000,-1955000,131876000,182148000,3928000,1041000,4704000,-3903000,5770000,-1728000,-1798000,-26000,-2130000,-2156000,1816000,1816000,1816000,6023000,3530000,1505000,0.47,0.2354,0.14038,0.02253,0.01631,0.50656,6.00343,0.38121,0.01938,0.45955,0.45063,3.27363,20.70085,0.23279,0.01796,0.00909999999999999,-6.15657,-7.44298999999997
"41","2021_Q4",16.05984375,"Down",23090000,-12435000,10655000,-6533000,-6114000,-419000,4122000,189000,-19000,64000,4311000,4311000,-12000,4299000,4299000,-431000,3868000,3694000,40841000,40809000,4350000,4350000,1971000,56412000,1330000,55082000,103574000,22133000,56755000,4090000,31298000,81678000,185252000,1776000,1776000,193000,15122000,15122000,17091000,3488000,29878000,29644000,33366000,50457000,185101000,-675000,-46728000,137699000,-2904000,134795000,185252000,4299000,1091000,1649000,-3451000,3588000,-799000,-1940000,-38000,-1380000,-1418000,230000,230000,230000,5213000,3681000,975000,0.46146,0.17852,0.15998,0.0274,0.01994,0.26394,6.06015,0.37432,0.01987,0.56354,0.55275,3.5225,21.00656,0.14874,0.02194,0.00579,-7.12833,-9.01504
"42","2022_Q1",16.7425806451613,"Up",24696765,-12538127,12158638,-8315023,-7922044,-392979,3843615,369716,-191665,60931,4213331,4213331,-2017520,2195811,2195811,-1475223,720588,1148588,44492588,44460411,35485275,35485275,1663419,26942202,1227463,25714739,108583484,21850139,56192626,4037599,31926789,80922711,189506195,1866035,1866035,4539031,16444877,16444877,22849943,760254,30525873,30287557,31286127,54136070,185101702,-675390,-46007663,138418649,-3048524,135370125,189506195,2195811,981687,1540680,1229823,5948001,-591091,-646597,-30335,-1620000,-1650335,3651069,3651069,3651069,4825302,5299285,7481554,0.49232,0.15563,0.04651,0.00848,0.00606,6.5137,4.75202,0.39991,0.02796,0.17701,0.17358,3.80594,21.33128,1.15296,0.00671,0.0437,-8.12246,-10.19699
"43","2022_Q2",16.8143548387097,"Up",23730000,-12513000,11217000,-5476000,-5090000,-386000,5741000,857000,-17000,63000,6598000,6598000,-1416000,5182000,5182000,-1295000,3887000,3712000,43437000,43405000,4650000,4650000,1835000,59465000,1416000,58049000,109387000,21971000,54262000,3957000,31272000,78842000,188229000,1133000,1133000,35000,15079000,15064000,16247000,2735000,29775000,29537000,32510000,48757000,185101000,-675000,-42121000,142306000,-2834000,139472000,188229000,5182000,1169000,1644000,-6754000,1241000,-1180000,-1209000,-7000,-1080000,-1087000,-1055000,-1055000,-1055000,6910000,2770000,392000,0.47269,0.24193,0.15643,0.02661,0.01972,0.1056,6.73275,0.34958,0.01472,0.57204,0.56098,3.65696,21.93019,0.0604099999999999,0.02158,0.00228,-5.88524,-7.08361
"44","2022_Q3",14.60515625,"Down",24479000,-12856000,11623000,-5140000,-4770000,-370000,6483000,84000,-23000,60000,6567000,6567000,-1430000,5137000,5137000,-1117000,4020000,4020000,44883000,44851000,4166000,4166000,2099000,60453000,1249000,59204000,111601000,21819000,57994000,3855000,36348000,82129000,193730000,775000,775000,38999.9999999991,12910000,12895000,13724000,2470000,35094000,34856000,37564000,51288000,184531000,-675000,-38101000,145756000,-3314000,142442000,193730000,5137000,1189000,2558000,-4330000,4554000,-926000,-935000,-6000,-2167000,-2173000,1446000,1446000,1446000,7672000,2509000,3846000,0.47482,0.26484,0.16422,0.02822,0.02075,0.95672,8.13181,0.36006,0.01295,0.61796,0.60608,3.76294,22.40564,0.59121,0.02233,0.02136,-5.5232,-6.53617
