"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",10.8813114754098,"Down",156848000,-3268000,153580000,-66517000,-53997000,-1074000,-52923000,-13226000,706000,87063000,-15738000,-19029000,3291000,71325000,71325000,-22910000,48415000,35739000,-146000,35593000,35593000,99795000,88173000,65851000,65851000,39049000,39049000,204695000,48067000,1601061000,276408000,1292775000,31878000,1704697000,1909392000,144323000,25767000,118556000,169321000,169321000,353644000,1176871000,94159000,34947000,59212000,1271030000,1624674000,405019000,10612000,-136820000,278811000,5907000,284718000,1909392000,48415000,-706000,47730000,32213000,127652000,-5330000,520000,-574320000,0,-596697000,268672000,-177996000,-189935000,-4435000,-194370000,86357000,1216871000,136150000,0.97916,0.55508,0.22693,0.12501,0.01864,3.82519,0.57882,5.70626,0.63731,0.17111,0.15942,0.75402,1.34034,0.65452,0.0223,0.08532,12.93556,12.83066
"2","2016_Q2",12.4915625,"Up",260401000,-43768000,216633000,-182447000,-148528000,-39024000,-109504000,-21440000,-12479000,34186000,-16820000,-20404000,3584000,17366000,17366000,-6758000,10608000,7218999.99999999,-67000,7152000.00000001,7152000.00000001,147520000,135898000,68975000,68975000,40395000,40395000,256890000,50807000,1602332000,271017000,1301880000,29435000,1707994000,1964884000,151245000,28827000,122418000,191553000,191553000,382798000,1167897000,100683000,35472000,65211000,1268580000,1651378000,419101000,17764000,-129330000,307535000,5971000,313506000,1964884000,10608000,12479000,19287000,42073000,84447000,-5650000,3750000,-2356000,-7253439.5663123,-16633000,-26633000,55458000,47909000,-184000,47725000,46665000,1207897000,89846000,0.83192,0.13128,0.02747,0.02281,0.00364,12.56236,0.67109,5.26745,0.61474,0.02879,0.02668,1.04813,1.23784,0.36163,0.00441,0.05539,22.72318,31.01787
"3","2016_Q3",15.1959375,"Up",275309000,-46978000,228331000,-150831000,-119108000,-35345000,-83763000,-19653000,-12070000,77500000,-25847000,-20618000,-5229000,51653000,51653000,-14884000,36769000,34101000,-23000,34078000,34078000,173993000,173993000,61593000,61593000,45331000,45331000,280917000,56715000,1603680000,265135000,1306843000,31702000,1715750000,1996667000,117696000,8882000,108814000,191661000,191661000,309357000,1214788000,107407000,35621000,71786000,1322195000,1631552000,441687000,51842000,-133824000,359705000,5410000,365115000,1996667000,36769000,12070000,12939000,-25842000,35936000,-13307000,850000,-741000,8671000.00000001,-7674000,997000,36192000,39440000,-1345000,38095000,89570000,1214788000,65305000,0.82936,0.2815,0.12378,0.09333,0.01707,1.91634,0.90807,4.4686,0.60841,0.1367,0.12717,1.10435,1.44288,0.26196,0.0202,0.0387,11.61991,13.42961
"4","2016_Q4",16.8465079365079,"Up",287530000,-50770000,236760000,-145822000,-117903000,-30014000,-87889000,-17345000,-10574000,90938000,-14816000,-20850000,6034000,76122000,76122000,-19973000,56149000,56704000,-294000,56410000,56410000,231154000,231154000,67575000,67575000,67786000,67786000,366515000,67280000,1602726000,261524000,1311626000,29576000,1725361000,2091876000,165845000,20224000,145621000,196678000,196678000,362523000,1215546000,62172000,35438000,26734000,1277718000,1640241000,470598000,108252000,-132803000,446047000,5588000,451635000,2091876000,56149000,10574000,1032000,7336000,75091000,-18026000,-5e+05,-18526000,21575000,-23830000,-2255000,54310000,54498000,2663000,57161000,101512000,1215546000,110795000,0.82343,0.31627,0.19619,0.1249,0.02697,1.9641,1.01101,3.63178,0.58108,0.22281,0.20891,1.13569,1.76181,0.43762,0.03262,0.06407,9.6973,10.82487
"5","2017_Q1",16.2601612903226,"Down",294870000,-54132000,240738000,-127813000,-98599000,-30636000,-67963000,-19679000,-9535000,112925000,-16850000,-20327000,3477000,96075000,96075000,-21260000,74815000,73989000,-178000,73811000,73811000,253651000,253651000,63853000,63853000,172890000,39618000,490394000,62954000,1439975000,217682000,1206447000,10560000,1558284000,2048678000,116077000,7357000,108720000,198182000,161124000,314259000,1176493000,55342000,25339000,30003000,1231835000,1546094000,490843000,182063000,-176384000,496522000,6062000,502584000,2048678000,74815000,9535000,-5180000,-15089000,64081000,-9115000,3769000,-5576000,9132000,-2435000,-33303000,25202000,29394000,-6897000,22497000,122460000,1176493000,119516000,0.81642,0.38297,0.25032,0.14686,0.03603,1.61922,1.56048,3.07629,0.57427,0.28926,0.27057,1.15557,1.94583,0.46837,0.04256,0.06891,7.53586,8.17217
"6","2017_Q2",17.4385714285714,"Up",298764000,-58848000,239916000,-181045000,-151033000,-43910000,-107123000,-22020000,-7992000,58871000,-24928000,-18950000,-5978000,33943000,33943000,-9388000,24555000,20064000,-11000,20053000,20053000,436187000,436187000,72668000,72668000,47223000,47223000,556078000,61729000,1459157000,221109000,1220188000,17860000,1573947000,2130025000,151895000,28971000,122924000,172947000,172947000,324842000,1177241000,64166000,26880000,37286000,1241407000,1566249000,512798000,202116000,-157088000,557826000,5950000,563776000,2130025000,24555000,7992000,22754000,34692000,89993000,-5745000,-4.65661287307739e-10,90609000,7111000,-2080999.99999999,5030000,185632000,179100000,3440000,182540000,66863000,1177241000,105198000,0.80303,0.19705,0.06712,0.03557,0.00941,5.246,1.71184,2.77814,0.55269,0.07832,0.0687,1.16685,2.17863,0.41086,0.01111,0.05828,11.08317,12.58776
"7","2017_Q3",19.1614285714286,"Up",309572000,-62665000,246907000,-163932000,-131584000,-43871000,-87713000,-24061000,-8287000,82975000,-28622000,-19072000,-9550000,54353000,54353000,-2809000,51544000,51473000,-43000,51430000,51430000,492705000,492705000,76622000,76622000,52433000,52433000,621760000,64744000,1470001000,224517000,1229911000,15573000,1592893000,2214653000,168385000,11337000,157048000,173406000,173406000,341791000,1177989000,46149000,22440000,23709000,1224138000,1565929000,530756000,253546000,-141959000,642343000,6381000,648724000,2214653000,51544000,8287000,19266000,-15862000,63235000,-9047000,-5076000,-14333000,32292000,-26340000,5952000,54854000,54854000,1669000,56523000,91262000,1177989000,69162000,0.79758,0.26803,0.16613,0.07928,0.02322,1.34478,1.81912,2.41386,0.53191,0.19859,0.16762,1.19538,2.48035,0.26706,0.02746,0.03693,7.50897,8.25892
"8","2017_Q4",26.6607936507937,"Up",343418000,-72044000,271374000,-180366000,-144810000,-49940000,-94870000,-27008000,-8548000,91008000,-29473000,-19548000,-9925000,61535000,61535000,226236000,287771000,287686000,2000.00000000006,287688000,287688000,157576000,157576000,108659000,108659000,45847000,45847000,312082000,62934000,1738350000,230670000,1250113000,12018000,1863443000,2175525000,144312000,18311000,126001000,196568000,196568000,340880000,1253998000,52647000,29297000,23350000,1306645000,1647525000,89303000,541234000,-108484000,522053000,5947000,5.28e+08,2175525000,287771000,8548000,-207214000,-12677000,76428000,-6846000,-3959000,-10805000,18302000,-498860000,-405558000,-339935000,-339935000,4814000,-335121000,99556000,1253998000,-146203000,0.79021,0.26501,0.83772,0.54486,0.13224,-0.508200000000001,0.91552,3.12031,0.57641,1.07552,0.98167,1.28387,1.95169,-0.54658,0.15681,-0.07969,11.01312,12.04753
"9","2018_Q1",36.755737704918,"Up",378907000,-85942000,292965000,-165302000,-127987000,-42083000,-85904000,-28061000,-9254000,127663000,-25369000,-19995000,-5374000,102294000,102294000,-110187000,-7893000,-8896000,-127000,-9023000,-9023000,272624000,272624000,116751000,116751000,55369000,55369000,444744000,61620000,1612645000,230345000,1247644000,11457000,1685402000,2130146000,120678000,10112000,110566000,198095000,198095000,318773000,1252696000,51372000,28478000,22894000,1304068000,1622841000,81356000,532211000,-112318000,501249000,6056000,507305000,2130146000,-7893000,9254000,143428000,-53354000,91435000,-7195000,60192000,52717000,1737000,-35703000,-29138000,115014000,115014000,17000,115031000,136917000,1252696000,186555000,0.77318,0.33692,-0.02381,-0.01779,-0.00424,-20.6755,1.39517,3.19895,0.58808,-0.03298,-0.03085,1.38514,1.83237,0.68197,-0.00498,0.10299,7.15815,7.67702
"10","2018_Q2",39.8846875,"Up",407367000,-93944000,313423000,-201190000,-160932000,-42761000,-118171000,-31869000,-8389000,112233000,-25027000,-17806000,-7221000,87206000,87206000,12471999.9999999,99678000,99678000.0000001,57999.9999999995,99736000,99736000,287510000,287510000,125968000,125968000,66242000,66242000,479720000,58604000,1652091000,235678000,1266369000,10894000,1721843000,2201563000,136920000,16545000,120375000,216115000,216115000,353035000,1253442000,50579000,29866000,20713000,1304021000,1657056000,26216000,631947000,-81921000,538305000,6202000,544507000,2201563000,99678000,8389000,8888000,5323000.00000001,122278000,-5045000,38000.0000000149,-5007000,-32465000,-72404000,-104869000,12402000,12402000,2489000,14891000,120622000,1253442000,108428000,0.76939,0.27551,0.24483,0.18317,0.0453,1.08714999999999,1.35885,3.04322,0.56934,0.36232,0.33453,1.47988,1.95555,0.3939,0.05395,0.05866,8.00793,8.60649
