"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",17.8666666666667,"Up",945529000,-840558000,104971000,-65198000,-27269000,-37929000,39773000,-15270000,-18586000,301000,24503000,24503000,-4800000,19703000,19703000,19703000,19703000,20150000,20150000,235900000,235900000,503869000,45115000,805034000,3040258000,3768942000,-728684000,943611000,42329000,807742000,79180000,4053212000,4858246000,406962000,307219000,19502000,80241000,770000,407732000,1897337000,122847000,27425000,95422000,2020184000,2427916000,2423394000,6936000,2430330000,2430330000,4858246000,19703000,37929000,-1957000,-18426000,37249000,-12355000,-11259000,-11259000,-44667000,-57022000,-73392000,51862000,-75000,-21605000,-41378000,-41378000,-478000,-41856000,77702000,1898107000,51721000,0.11102,0.04206,0.02084,0.00811,0.00406,2.62503,1.97442,0.99901,0.3907,0.25297,0.25297,12.1399,31.20365,0.66406,0.9423,0.02091,0.01162,3.72491,24.16871,47.21688
"2","2010_Q3",18.3175,"Up",1124941000,-962531000,162410000,-60380000,-22195000,-38185000,102030000,-1972000,-18890000,14816000,100058000,100058000,-635999.999999999,99422000,99422000,99422000,99422000,34554000,34554000,283969000,283969000,577905000,45348000,941776000,3089143000,3849441000,-760298000,950952000,49131000,812172000,81023000,4108890000,5050666000,387123000,294194000,14194000,78735000,770000,387893000,1845506000,122359000,28485000,93874000,1967865000,2355758000,2694874000,34000,2694908000,2694908000,5050666000,99422000,38185000,-17614000,-143589000,-23596000,-12131000,-10003000,-10003000,-38256000,-93256000,-73392000,-37140000,-357999.999999998,129407000,12555000,12555000,1849000,14404000,140215000,1846276000,-14869000,0.14437,0.0907,0.08838,0.03689,0.01968,-0.14955,2.42793,0.87415,0.36555,1.27651,1.27651,14.44342,34.60064,-0.19091,0.9423,0.03706,-0.00318999999999999,0.73819,12.92103,17.75676
"3","2010_Q4",20.906875,"Up",1138379000,-982690000,155689000,-65399000,-26860000,-38539000,90290000,-18364000,-20583000,-235000,71926000,71926000,-3616000,68310000,68310000,68310000,68310000,85866000,85866000,297556000,297556000,501520000,47031000,931973000,3144762000,3942945000,-798183000,1045914000,47017000,812172000,178152000,4259475000,5191448000,383674000,272218000,16980000,94476000,770000,384444000,1989737000,127032000,29616000,97416000,2116769000,2501213000,2684291000,5944000,2690235000,2690235000,5191448000,68310000,38539000,-1869000,62200000,167180000,-13841000,-13665000,-13665000,-60108000,-72114000,-78754000,40103000,-3235000,-42025000,53041000,53041000,-1729000,51312000,128829000,1990507000,180804000,0.13676,0.07931,0.06001,0.02539,0.01316,2.64682,2.42421,0.92974,0.38342,0.87705,0.87705,14.61595,34.54064,2.32139,1.01114,0.03059,0.03761,1.15289,14.78426,21.09471
"4","2011_Q1",21.92,"Up",1194212000,-1050682000,143530000,-73066000,-33917000,-39149000,70464000,-16240000,-20221000,1052000,54224000,54224000,-2689000,51535000,51535000,51535000,51535000,181121000,181121000,302053000,302053000,413537000,42796000,939507000,3187457000,4021319000,-833862000,1189826000,43033000,813270000,325385000,4446886000,5386393000,392397000,282382000,12011000,98004000,832000.000000002,393229000,2136248000,154216000,29565000,124651000,2290464000,2683693000,2656200000,46500000,2702700000,2702700000,5386393000,51535000,39149000,-1965000,92948000,181667000,-15704000,-15635000,-15635000,-62737000,-77823000,-79616000,65658000,4457000,-9510999.99999997,94333000,94333000,922000,95255000,109613000,2137080000,189546000,0.12019,0.059,0.04315,0.01907,0.00957,3.67801,2.38921,0.99297,0.39676,0.66167,0.66167,15.3328,34.70068,2.43363,1.02221,0.02626,0.03795,1.54489,17.84422,27.75827
"5","2011_Q2",21.0266666666667,"Down",1234616000,-1112606000,122010000,-66279000,-25983000,-40296000,55731000,-23568000,-20457000,-5499000,32163000,32163000,-3647000,28516000,28516000,28502000,28502000,70437000,70437000,397252000,397252000,598830000,64605000,1131124000,3260252000,4134010000,-873758000,1204776000,60369000,843294000,293430000,4534096000,5665220000,460518000,359046000,12645000,88827000,832000,461350000,2361464000,163823000,34404000,129419000,2525287000,2986637000,2605086000,57931000,2663017000,2678583000,5665220000,28516000,40296000,-1711000,-232899000,-165798000,-8008000,-7372000,-7372000,-65816000,-126401000,-79616000,261286000,-1144000,180526000,-111673000,-111673000,989000,-110684000,96027000,2362296000,-141233000,0.09882,0.04514,0.02309,0.01064,0.00503,-4.9552,2.45177,1.11501,0.41698,0.36594,0.36594,15.85156,34.19118,-1.81333,1.02221,0.02077,-0.02714,2.79335,23.86682,41.12359
"6","2011_Q3",19.73,"Down",1589184000,-1404074000,185110000,-67759000,-26119000,-41640000,117351000,-19579000,-20622000,-967000,97772000,97772000,-5167000,92605000,92605000,92599000,92599000,128876000,128876000,457410000,457410000,667908000,61162000,1315356000,3361852000,4274702000,-912850000,1152228000,46305000,848949000,246798000,4581352000,5896708000,629343000,509190000,15619000,104534000,255984000,885327000,2186260000,166155000,36407000,129748000,2352415000,3237742000,2618069000,26152000,2644221000,2658966000,5896708000,92605000,41640000,2214000,31163000,167622000,-18145000,-13201000,-13201000,-70005000,-135732000,-79616000,98485000,7445000,26314000,58204000,58204000,235000,58439000,158991000,2442244000,177176000,0.11648,0.07384,0.05827,0.03483,0.0157,1.91337,1.48573,1.21767,0.41417,1.1889,1.1889,20.40395,33.94985,2.27481,1.02221,0.03269,0.03364,0.85979,14.55031,19.71324
"7","2011_Q4",18.6784126984127,"Down",1824350000,-1671224000,153126000,-60149000,-17731000,-42418000,92977000,-18199000,-21565000,767000,74778000,74778000,-4497000,70281000,70281000,70158000,70158000,59214000,59214000,467912000,467912000,603683000,69101000,1199910000,3385436000,4328975000,-943539000,1195599000,42499000,846526000,296903000,4648238000,5848148000,627414000,461038000,19458000,146918000,355645000,983059000,2170010000,170030000,35917000,134113000,2340040000,3323099000,2610279000,-97912000,2512367000,2525049000,5848148000,70281000,42418000,2039000,-14691000,100047000,-15104000,-12235000,-12235000,-75329000,-90522000,-81339000,-822000,5616000,-74962000,-65437000,-65437000,-4225000,-69662000,135395000,2525655000,110097000,0.08393,0.05096,0.03846,0.02778,0.012,1.56927,1.22059,1.31605,0.43187,0.90078,0.90078,23.42331,32.25695,1.41356,1.04433,0.02902,0.02109,1.15937,18.21663,26.52743
"8","2012_Q1",20.316935483871,"Up",1609479000,-1494019000,115460000,-70636000,-33217000,-37419000,44824000,-12308000,-18895000,2126000,32516000,32516000,-5244000,27272000,30199000,30202000,30202000,17497000,17497000,547808000,547808000,587785000,47833000,1200923000,3430468000,4413305000,-982837000,1183112000,38923000,846717000,288331000,4680267000,5881190000,578841000,454326000,16677000,107838000,364959000,943800000,1928071000,144984000,35437000,109547000,2073055000,3016855000,2879608000,-27407000,2852201000,2864335000,5881190000,30199000,43932000,-32508000,-49026000,-7403000,-303393000,-302852000,-302852000,211150000,-90599000,-81475000,-211350000,31966000,54843000,-43159000,-43159000,1442000,-41717000,88756000,2293030000,-258419000,0.07174,0.02785,0.01877,0.01054,0.00514,-8.55635,1.27243,1.05325,0.38989,0.38777,0.38777,20.66453,36.62016,-3.31791,1.04608,0.02106,-0.04874,2.69767,25.63808,50.76595
"9","2012_Q2",18.9068253968254,"Down",1609405000,-1479644000,129761000,-70742000,-27167000,-43575000,59019000,-17624000,-21377000,1367000,41395000,41395000,-3443000,37952000,26254000,26351000,26351000,37696000,37696000,495982000,495982000,774008000,60710000,1368396000,3499629000,4526182000,-1026553000,1146330000,36900000,849040000,249911000,4715032000,6083428000,661316000,528376000,17634000,115306000,831374000,1492690000,1690038000,136482000,36670000,99812000,1826520000,3319210000,2816614000,-65552000,2751062000,2764218000,6083428000,26254000,44681000,-4090000,-76458000,-9613000,-6899000,-6805000,-6805000,-93315000,-100214000,-89076000,247582000,-28586000,129920000,20093000,20093000,106000,20199000,103700000,2521412000,23786000,0.08063,0.03667,0.01637,0.00953,0.00433,0.90266,0.91673,1.20078,0.41447,0.33833,0.33833,20.66358,35.32161,0.30539,1.14367,0.02129,0.00439,3.38037,23.95097,42.08333
"10","2012_Q3",18.6701587301587,"Down",1767748000,-1662556000,105192000,-67060000,-23134000,-43926000,38132000,-23282000,-22847000,-2816000,14850000,-228190000,-16276000,-244466000,-246810000,-246737000,-246737000,34147000,34147000,487565000,487565000,253610000,728783000,1504105000,3079431000,4058542000,-979111000,1065874000,28226000,822701000,214947000,4213493000,5717598000,605054000,423227000,16852000,164975000,517880000,1122934000,2106988000,66559000,31596000,34963000,2173547000,3296481000,2480777000,-72508000,2408269000,2421117000,5717598000,-246810000,45576000,242595000,370000,41731000,-8104999.99999994,-5913000.00000006,-5913000.00000006,-105106000,-82205000,-89076000,101746000,22500000,35170000,-5304000.00000001,-5304000.00000001,1755000,-3548999.99999999,83708000,2624868000,92249000,0.05951,0.02157,-0.13958,-0.10191,-0.04315,-0.37388,1.33944,1.36155,0.45909,-3.16792,-3.16792,22.69659,30.9204,1.18441,1.14367,-0.03084,0.01804,-0.361020000000002,30.9495,67.94086
