"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",6.04828125,"Up",22001000,-6069000,15932000,-16357000,-12551000,-2088000,-1718000,-425000,79000,79000,-346000,-346000,-266000,-612000,-612000,-612000,-612000,111211264.001381,60559704.1646288,13194430.785162,13194430.785162,4302391.76485086,2389453.87887509,128708086.551394,6520349.16715565,111741775.69911,9408853.74241232,92472842.1136267,9873183.80741828,-13103.9643474469,45599101.1329237,174307187.684317,3377696.71385882,3191427.56288981,4219332.40622638,665206.718251992,4042903.43201103,6340987.91330866,5764020.75927319,6340987.91242912,10383891.3444401,238239993.093513,-35348726.6536985,-39439119.1248338,471149.024895955,163923296.339877,163923296.339877,174307187.684317,-612000,1718000,1445000,5198000,7749000,-763000,-2179000,-2942000,390000,90000,480000,5287000,5287000,5287000,1293000,0,5994000,0.72415,-0.01932,-0.02782,-0.0235158388027664,-0.0208107626408359,-9.79412,10.5790123560061,0.0671345288229286,-5.05816556506892e-12,-0.01416,-0.01416,0.50918,3.18409055840976,0.13872,-0.0231100423629951,-0.124863465558953,-48.1214196291221,-105.693758287722
"2","2011_Q1",7.57806451612903,"Up",26892000,-6213000,20679000,-17125000,-13335000,-2038000,-1752000,3554000,-94000,-94000,3460000,3460000,-2136000,1324000,1324000,1324000,1324000,50134000,32584000,24678000,24678000,1750000,1021000,76562000,6235000,110961000,10469000,92382000,7985000,125000,117196000,193758000,8133000,3797000,4110000,6653000,14786000,5112000,4970000,5112000,19898000,246123000,-35343000,-36925000,5000,173860000,173860000,193758000,1324000,1752000,2364000,-1155000,4285000,-764000,43279000,39354000,-34991000,126000,-34865000,8774000,8774000,8774000,5306000,0,5523000,0.76896,0.13216,0.04923,0.00762,0.00683,4.17145,5.17801,0.11445,0,0.03096,0.03096,0.62874,4.0649,0.12913,0.0074,0.03086,-9.44855,-14.10636
"3","2011_Q2",7.74809523809524,"Up",22566000,-6483000,16083000,-16103000,-12430000,-1946000,-1727000,-20000,6000,6000,-14000,-14000,-61000,-75000,-75000,-75000,-75000,28708078.6662065,21897431.9451237,29008189.7382793,29008189.7382793,1457952.74504971,939098.707041637,59174221.1495355,6604800.27761478,110680574.766963,10658548.7525292,92400135.9621244,7430772.06419391,191117.988115816,142698966.289025,201873187.438561,9739767.76204706,4078024.1457034,4468139.19792454,9022264.42724933,18762032.1893297,4563004.02889711,4601493.08024227,4563004.02919029,23325036.21852,249756418.968829,-35341091.1154338,-35747043.6250554,-120133.008298652,178548151.220041,178548151.220041,201873187.438561,-75000,1727000,1625000,-2599000,678000,-1162000,1516000,354000,560000,403000,963000,1995000,1995000,1995000,1707000,0,-1993000,0.71271,-0.00089,-0.00332,0.0153044462675888,0.013617754213612,26.57333,3.20770921466464,0.130628490392357,1.68605518835631e-12,-0.00198,-0.00198,0.59478,4.52905064719675,-0.05253,0.014941680787665,0.0673911551863177,0.597067376374033,9.21427859590718
"4","2011_Q3",6.465,"Down",28102000,-6962000,21140000,-17169000,-13642000,-1870000,-1657000,3971000,6000,6000,3977000,3593000,-1775000,1818000,1818000,1818000,1818000,32291000,21817000,28961000,28961000,2399000,1550000,63651000,7289000,110567000,10208000,92470000,7675000,214000,139950000,203601000,9403000,4066000,4894000,9050000,18453000,4494000,4494000,4494000,22947000,251249000,-35343000,-35182000,-70000,180654000,180654000,203601000,1818000,1657000,2284000,924000,6683000,-1195000,-16858000,-20059000,546000.000000004,68000,614000.000000004,-12762000,-12762000,-12762000,5628000,2.71050543121376e-20,7132000,0.75226,0.14131,0.06469,0.01006,0.00892999999999999,3.92299,3.44936,0.12702,0,0.04743,0.04152,0.73312,4.71288,0.18606,0.00981999999999999,0.03852,-5.73756000000001,-8.1317
"5","2011_Q4",6.20873015873016,"Down",25892000,-7035000,18857000,-16808000,-13287000,-1874000,-1647000,2049000,20000,20000,2069000,2069000,-1106000,963000,963000,963000,963000,46449000,25301000,27100000,27100000,3245000,2e+06,76794000,7836000,109978000,9336000,92528000,7907000,207000,127658000,204452000,8480000,3662000,4818000,7948000,16428000,4471000,4471000,4471000,20899000,253181000,-35343000,-34221000,-64000,183553000,183553000,204452000,963000,1647000,1080000,-479000,3211000,-1239000,1276000,-6000,42000,237000,279000,3484000,3484000,3484000,3696000,0,3084000,0.72829,0.07914,0.03719,0.00525,0.00471,3.20249,4.67458,0.11386,0,0.02501,0.02407,0.67233,4.76625,0.08008,0.00512,0.0164,-12.56737,-22.66911
"6","2012_Q1",6.94096774193548,"Up",28938000,-6658000,22280000,-17609000,-13907000,-1998000,-1704000,4671000,25000,25000,4696000,4696000,-2713000,1983000,1983000,1983000,1983000,56470000,25786000,26272000,26272000,3069000,1782000,85811000,7942000,108683000,8277000,92519000,7683000,204000,123376000,209187000,8125000,2941000,3897000,7015000,15140000,4372000,4372000,4372000,19512000,257504000,-35343000,-32236000,-250000,189675000,189675000,209187000,1983000,1704000,351000,1248000,5286000,-885000,-6775000,-7660000,1669000,1346000,3015000,640999.999999998,640999.999999998,485000.000000002,6375000,4.33680868994202e-19,9451000,0.76992,0.16141,0.06853,0.01045,0.00948,4.76601,5.66783,0.10287,1.61558713389263e-27,0.0504,0.04892,0.73552,4.82099,0.24022,0.01022,0.0487,-8.85804,-12.08949
"7","2012_Q2",6.14,"Down",23714000,-6805000,16909000,-16371000,-12812000,-1855000,-1704000,538000,25000,25000,563000,563000,-198000,365000,365000,365000,365000,53079000,24682000,29612000,29612000,4535000,3252000,87226000,8658000,109774000,7395000,92524000,9502000,353000,126191000,213417000,7571000,3531000,4040000,7564000,15135000,6365000,4305000,6365000,21500000,259251000,-35343000,-31870000,-121000,191917000,191917000,213417000,365000,1704000,1692000,-5255000,-1494000,-1481000,960000,-521000,497000,198000,695000,-1320000,-1320000,-1104000,2242000,0,-4296000,0.71304,0.02269,0.01539,0.0019,0.00171,-11.76986,5.7632,0.11203,0,0.00916,0.00893,0.5949,4.8145,-0.10777,0.00184,-0.02167,-23.67484,-98.65985
"8","2012_Q3",5.05031746031746,"Down",26369000,-7102000,19267000,-15772000,-12205000,-1881000,-1686000,3495000,22000,22000,3517000,3517000,-1552000,1965000,1965000,1965000,1965000,55034000,28368000,28900000,28900000,4137000,2851000,88071000,8745000,108782000,6492000,92520000,9463000,307000,129043000,217114000,7996000,3659000,3987000,7611000,15607000,6360000,4300000,6360000,21967000,260601000,-35343000,-29906000,-205000,195147000,195147000,217114000,1965000,1686000,1379000,1759000,6789000,-896000,-2340000,-3236000,262000,66000,328000,3881000,3881000,3686000,5181000,3.46944695195361e-18,7596000,0.73067,0.13254,0.07452,0.01007,0.00905,3.86565,5.64304,0.11257,0,0.0489,0.04798,0.65619,4.85621,0.18903,0.00975,0.0377,-10.62227,-15.74649
"9","2012_Q4",5.16758064516129,"Up",24549000,-7200000,17349000,-16127000,-12516000,-1919000,-1692000,1222000,38000,38000,1260000,1260000,-588000,672000,672000,672000,672000,57303000,41702000,25939000,25939000,3366000,2264000,86608000,8705000,108047000,5698000,92525000,9546000,278000,132010000,218618000,7129000,2741000,4094000,8038000,15167000,6190000,4226000,6190000,21357000,262137000,-35523000,-29234000,-119000,197261000,197261000,218618000,672000,1692000,1661000,3015000,7040000,-805000,7128000,6323000,-174000,110000,-64000,13299000,13299000,13334000,2914000,0,5712000,0.70671,0.04978,0.02737,0.00341,0.00307,8.5,5.71029,0.10827,0,0.01666,0.01644,0.60874,4.89148,0.14164,0.0033,0.02808,-19.66472,-46.8928
"10","2013_Q1",4.926,"Down",25359000,-6707000,18652000,-15711000,-12297000,-1866000,-1548000,2941000,-72000,-72000,2869000,2869000,-1847000,1022000,1022000,1022000,1022000,55019000,48409000,24185000,24185000,2289000,1427000,81493000,8817000,108561000,7043000,93792000,7457000,269000,138699000,220192000,8861000,2907000,4768000,5985000,14846000,6032000,5330000,6032000,20878000,263472000,-35810000,-28212000,-136000,199314000,199314000,220192000,1022000,1548000,2098000,1633000,6301000,-968000,2833000,748000,-286000,-21000,-307000,6742000,6742000,6707000,4489000,1.11022302462516e-16,7001000,0.73552,0.11597,0.0403,0.00513,0.00464,6.85029,5.48922,0.10475,-4.13590306276514e-25,0.02525,0.02495,0.62662,4.92505,0.17299,0.00498,0.03409,-12.2564,-18.70758
