"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",32.1685714285714,"Down",3.713e+09,1.615e+09,6.17e+08,1.481e+09,2.1e+07,1.46e+09,-1.308e+09,-3.42e+08,-1.037e+09,1.026e+09,-1.3e+08,-1.3e+08,8.96e+08,8.96e+08,-2.73e+08,6.23e+08,6.23e+08,-2.03e+08,4.2e+08,4.2e+08,4.7502e+10,1.35e+08,1e+10,1.109e+09,1.7109e+10,7.5855e+10,3.8109e+10,6.62e+08,9.611e+09,5.48e+09,5.3862e+10,3.749e+09,1.4085e+10,-7.5e+07,1.7546e+10,4.447e+09,2.1993e+10,7.5855e+10,6.23e+08,1.74e+08,-5.03e+08,2.94e+08,-2.12e+08,-1.785e+09,1.586e+09,-4.11e+08,-1.92e+08,1.24e+08,1.46e+08,-1.4e+07,6.4e+07,-5.3e+07,-5.3e+07,-2e+06,-5.5e+07,9.611e+09,0.27633,0.11312,0.0191,0.00554,2.44905,0.1267,0.99526,0.99291,8.79858,41.5782,0.45498,0.00814,0.45714,9.23587
"2","2010_Q3",33.764375,"Up",3.486e+09,1.608e+09,5.26e+08,1.352e+09,1.1e+07,1.341e+09,-1.147e+09,-3.45e+08,-1.064e+09,9.3e+08,-1.27e+08,-1.27e+08,8.03e+08,8.03e+08,-2.62e+08,5.41e+08,5.41e+08,-1.75e+08,3.66e+08,3.66e+08,4.771e+10,9.1e+07,9.765e+09,1.095e+09,1.6398e+10,7.5059e+10,3.766e+10,3.08e+08,9.056e+09,5.308e+09,5.2332e+10,3.753e+09,1.4426e+10,2.95e+08,1.8205e+10,4.522e+09,2.2727e+10,7.5059e+10,5.41e+08,2.85e+08,-3.2e+08,5.06e+08,-2.61e+08,6.27e+08,-1.07e+08,2.59e+08,-1.64e+08,-5.55e+08,-7.8e+07,-1.2e+07,-8.09e+08,-4.4e+07,-4.4e+07,0,-4.4e+07,9.056e+09,0.26678,0.10499,0.0161,0.00488,2.30264,0.12065,0.8756,0.87351,8.33971,43.55263,0.39234,0.00709,0.44809,9.63978
"3","2010_Q4",35.96828125,"Up",3.701e+09,1.645e+09,6.54e+08,1.402e+09,6.2e+07,1.34e+09,-1.343e+09,-3.51e+08,-1.622e+09,3.85e+08,-1.27e+08,-1.27e+08,2.58e+08,2.58e+08,-8.4e+07,1.74e+08,1.53e+08,-1.17e+08,3.6e+07,3.6e+07,4.8842e+10,1.32e+08,1.1091e+10,1.096e+09,1.566e+10,7.6821e+10,3.7584e+10,1.525e+09,9.476e+09,4.737e+09,5.3322e+10,3.762e+09,1.4433e+10,1.017e+09,1.8859e+10,4.64e+09,2.3499e+10,7.6821e+10,1.53e+08,1.93e+08,-1.62e+08,9.5e+07,-1.97e+08,4.54e+08,-6.06e+08,-2.74e+08,-1.2e+08,4.17e+08,-7.7e+07,-2e+06,2.18e+08,3.9e+07,3.9e+07,2e+06,4.1e+07,9.476e+09,0.10403,0.00973,0.00153,0.00047,2.26912,0.12335,0.08592,0.08583,8.83272,45.00847,0.28639,0.00207,3.33333,24.27013
"4","2011_Q1",38.71,"Up",3.715e+09,1.647e+09,7.11e+08,1.357e+09,-3.8e+07,1.395e+09,-1.187e+09,-1.3e+08,-1.32e+09,1.078e+09,-1.33e+08,-1.33e+08,9.45e+08,9.45e+08,-2.75e+08,6.7e+08,6.71e+08,-2.04e+08,4.67e+08,4.67e+08,4.8907e+10,1.2e+08,1.0142e+10,1.079e+09,1.6029e+10,7.6277e+10,3.759e+10,1.247e+09,9.477e+09,4.857e+09,5.3171e+10,3.671e+09,1.4564e+10,2.3e+08,1.845e+10,4.656e+09,2.3106e+10,7.6277e+10,6.91e+08,-5.64e+08,-1.884e+09,-9.42e+08,-2.47e+08,8.5e+07,1.251e+09,1.09e+09,-1.21e+08,1.19209289550781e-07,-4.4e+07,4e+06,-1.61e+08,-1.3e+07,-1.3e+07,1e+06,-1.2e+07,9.477e+09,0.29017,0.12571,0.02021,0.00612,2.30118,0.12424,1.12295,1.12079,8.93308,44.36483,0.29096,0.00784,0.2591,8.67996
"5","2011_Q2",38.942380952381,"Up",3.668e+09,1.615e+09,6.61e+08,1.392e+09,2.3e+07,1.369e+09,-1.364e+09,-2.97e+08,-1.099e+09,9.08e+08,-1.51e+08,-1.51e+08,7.57e+08,7.57e+08,-1.95e+08,5.62e+08,5.62e+08,-1.83e+08,3.79e+08,3.79e+08,4.8632e+10,1.23e+08,1.0182e+10,1.098e+09,1.5932e+10,7.5967e+10,3.768e+10,4.19e+08,9.493e+09,4.93e+09,5.2522e+10,3.675e+09,1.4919e+10,2.94e+08,1.8686e+10,4.759e+09,2.3445e+10,7.5967e+10,5.62e+08,1.49e+08,4.18e+08,1.129e+09,-1.5e+08,-5.28e+08,-1.38e+08,-8.16e+08,-1.24e+08,-9e+06,-1.78e+08,-1e+06,-3.12e+08,1e+06,1e+06,2e+06,3e+06,9.493e+09,0.24755,0.10333,0.01617,0.00499,2.24022,0.12496,0.9179,0.91584,8.88351,45.25551,0.30031,0.00666,0.32718,10.31938
"6","2011_Q3",35.0953125,"Down",3.542e+09,1.595e+09,5.19e+08,1.428e+09,1.9e+07,1.409e+09,-1.367e+09,-2.86e+08,-1.212e+09,6.77e+08,-1.29e+08,-1.29e+08,5.48e+08,5.48e+08,-1.44e+08,4.04e+08,4.04e+08,-1.54e+08,2.5e+08,2.5e+08,4.8884e+10,1.48e+08,1.0133e+10,1.106e+09,1.5798e+10,7.6069e+10,3.7792e+10,1.196e+09,9.169e+09,4.429e+09,5.2586e+10,3.657e+09,1.5145e+10,5.81e+08,1.8953e+10,4.53e+09,2.3483e+10,7.6069e+10,4.04e+08,2.75e+08,-8.92e+08,-2.13e+08,-1.5e+08,3.86e+08,9.53e+08,1.189e+09,-1.23e+08,-3.23e+08,-6.8e+07,-4.37e+08,-9.51e+08,2.5e+07,2.5e+07,0,2.5e+07,9.169e+09,0.19113,0.07058,0.01065,0.00329,2.23932,0.12054,0.61308,0.61168,8.68606,46.47849,0.30163,0.00498,0.492,13.32496
"7","2011_Q4",35.0874603174603,"Down",3.438e+09,1.732e+09,3.33e+08,1.373e+09,-2.7e+07,1.4e+09,-1.4e+09,-2.97e+08,-1.176e+09,5.65e+08,-1.26e+08,-1.26e+08,4.39e+08,4.39e+08,-1.23e+08,3.16e+08,3.16e+08,-1.54e+08,1.62e+08,1.62e+08,4.9625e+10,1.28e+08,1.0109e+10,7.83e+08,1.566e+10,7.6305e+10,3.7851e+10,1.369e+09,9.232e+09,4.288e+09,5.274e+10,3.662e+09,1.5282e+10,7.35e+08,1.8974e+10,4.591e+09,2.3565e+10,7.6305e+10,3.16e+08,5.3e+08,2.62e+08,1.108e+09,-2.02e+08,-2.46e+08,-2.78e+08,-7.26e+08,-1.26e+08,5.3e+07,-2.78e+08,-4.8e+07,-3.99e+08,-1.7e+07,-1.7e+07,-3e+06,-2e+07,9.232e+09,0.16434,0.04712,0.00687,0.00212,2.23806,0.12099,0.40407,0.40338,8.57528,47.32615,0.31428,0.00384,0.77778,16.11327
"8","2012_Q1",35.9912903225806,"Up",3.481e+09,1.661e+09,5.5e+08,1.27e+09,-6.7e+07,1.337e+09,-1.358e+09,-2.96e+08,-1.229e+09,5.98e+08,-1.16e+08,-1.16e+08,4.82e+08,4.82e+08,-7e+07,4.12e+08,4.12e+08,-1.41e+08,2.71e+08,2.71e+08,4.9028e+10,1.29e+08,9.259e+09,5.52e+08,1.63e+10,7.5268e+10,3.7554e+10,7.84e+08,9.001e+09,4.726e+09,5.2065e+10,3.498e+09,1.489e+10,3.84e+08,1.8772e+10,4.431e+09,2.3203e+10,7.5268e+10,4.12e+08,-5.73e+08,1.269e+09,1.941e+09,-8.33e+08,-1.028e+09,3.11e+08,-1.55e+09,-1.27e+08,-2.32e+08,-3.2e+07,-5.96046447753906e-08,-3.91e+08,3.72529029846191e-09,3.72529029846191e-09,1e+06,1e+06,9.001e+09,0.17179,0.07785,0.01168,0.0036,2.24389,0.11959,0.68345,0.6824,8.77888,47.34187,0.32029,0.00534,0.46863,14.83612
"9","2012_Q2",37.1690476190476,"Up",3.744e+09,1.649e+09,7.26e+08,1.369e+09,3.2e+07,1.337e+09,-1.381e+09,-2.95e+08,-1.216e+09,8.52e+08,-1.11e+08,-1.11e+08,7.41e+08,7.41e+08,-2.22e+08,5.19e+08,5.19e+08,-1.52e+08,3.67e+08,3.67e+08,5.0958e+10,9.9e+07,9.409e+09,5.76e+08,1.6198e+10,7.724e+10,3.7714e+10,1.857e+09,9.042e+09,4.506e+09,5.3119e+10,3.542e+09,1.5232e+10,6.54e+08,1.9428e+10,4.693e+09,2.4121e+10,7.724e+10,5.19e+08,2.55e+08,-4.46e+08,3.28e+08,-2.38e+08,-2.23e+08,-5.2e+07,-5.13e+08,-1.33e+08,3.9e+07,2.5e+08,-2e+06,1.54e+08,-3.1e+07,-3.1e+07,1e+06,-3e+07,9.042e+09,0.22756,0.09802,0.01521,0.00475,2.20219,0.11706,0.92497,0.92341,9.4362,48.9654,0.33521,0.00663,0.3624,10.49648
"10","2012_Q3",38.098253968254,"Up",3.388e+09,1.668e+09,3.86e+08,1.334e+09,2e+07,1.314e+09,-1.348e+09,-3.09e+08,-1.406e+09,3.25e+08,-1.11e+08,-1.11e+08,2.14e+08,2.14e+08,-1.6e+07,1.98e+08,1.98e+08,-1.42e+08,5.6e+07,5.6e+07,5.1075e+10,1.36e+08,9.145e+09,5.84e+08,1.6388e+10,7.7328e+10,3.8004e+10,1.347e+09,9.136e+09,4.6e+09,5.3087e+10,3.547e+09,1.5263e+10,7.46e+08,1.9505e+10,4.736e+09,2.4241e+10,7.7328e+10,1.98e+08,4.01e+08,1.79e+08,7.78e+08,-6.31e+08,-4.3e+07,29000000.0000001,-6.45e+08,-1.33e+08,90000000.0000001,-50000000.0000001,-2e+06,-9.5e+07,3.8e+07,3.8e+07,-1e+06,3.7e+07,9.136e+09,0.09593,0.01653,0.00231,0.000720000000000001,2.18997,0.11815,0.14127,0.141,8.54671,49.20411,0.33551,0.00249,2.375,27.69231
