"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",14.35796875,"Up",150950000,-131086000,19864000,-14593000,-14533000,5271000,-3357000,-4418000,1914000,1752000,-610000,1142000,1142000,1142000,1142000,-20068807.6661343,-20068807.6661343,65661486.4944193,65661486.4944193,52204798.4233373,10029366.3325936,10029366.3325936,107826843.584216,41508803.0825042,422764.3298639,1562335.74669577,1947907.67317007,41931567.4123681,149758410.996584,99056384.572184,41581344.7994917,57475039.7726923,99056384.5722161,36362723.6688974,10287042.0659558,9086742.37195705,1200299.69399873,46649765.7348531,145706150.307069,214590588.289093,-808992.68508601,-184203514.944023,-25509795.1437411,4068285.51624353,4052260.68951477,149758410.996584,1142000,2665000,1303000,-13804000,-8694000,-2981000,-2788000,-11482000,-11482000,2894000,-8588000,7936000,0,-8239000,0.13159,0.03492,0.00757,-84.2817759353944,0.119894839435853,-7.21454,1.1277448942816,-6649.02937627968,0.446087735183211,0.04177,0.04066,5.52121,0.153876646141716,-0.30135,0.173620187313448,0.241581477705936,17.1488510501476,29.3030976620268
"2","2011_Q1",16.5282258064516,"Up",158073000,-137788000,20285000,-14759000,-14699000,5526000,-3016000,-3995000,2510000,2352000,1624000,3976000,3976000,3976000,3976000,42591000,42591000,91101000,91101000,66622000,11109000,11109000,211423000,59321000,15463000,3848000,11615000,74784000,286207000,95346000,61216000,34130000,95346000,164987000,25986000,23343000,2643000,190973000,286319000,215771000,-2851000,-193359000,-19673000,-112000,-112000,286207000,3976000,2722000,152000,-638000,6212000,-4313000,-4658000,-149000.000000015,-149000.000000015,-1043000,-1192000,8248000,164987000,1673000,0.12833,0.03496,0.02515,-35.5,0.01389,0.420769999999998,2.21743,-2556.41964,0.57646,0.15148,0.14729,6.02252,-0.00427,0.0637400000000001,0.02083,0.00877,14.83948,22.14911
"3","2011_Q2",15.7004761904762,"Down",182509000,-157793000,24716000,-16290000,-16194000,8426000,-3987000,-3981000,4439000,4129000,-852000,3277000,3277000,3277000,3277000,73690769.2220448,73690769.2220448,114243504.50186,114243504.50186,70994150.5255542,11077627.8891355,11077627.8891355,270006052.138595,68062648.9724986,22175578.556712,5595971.41776808,16009697.4422766,90238227.5292106,360244279.667805,101774955.142605,72713968.4001694,29060986.7424359,101774955.142595,229115008.777034,28520819.3113481,25570585.8760143,2950233.43533375,257635828.088382,359410783.230977,216676303.903636,-3229669.10497133,-195590745.018659,-17025484.9520863,830404.827918822,833496.436828409,360244279.667805,3277000,2901000,1451000,-20297000,-12668000,-3013000,-11798000,-24466000,-24466000,367000,-24099000,11327000,0,-11131000,0.13542,0.04617,0.01796,-9.97560718820185,-0.0179466131452845,-3.3967,2.63255170190613,-546.065076240108,0.63179825493893,0.11803,0.11626,6.57335,0.0285061179527614,-0.4009,-0.0252575624378159,-0.0468363259019788,12.9051104832841,17.4386132793244
"4","2011_Q3",9.043125,"Down",206776000,-179100000,27676000,-16117000,-16023000,11559000,-5062000,-5068000,6497000,-1183000,-986000,-2169000,-2169000,-2169000,-2169000,84174000,84174000,131955000,131955000,70670000,10435000,10435000,297234000,71269000,23706000,6779000,16927000,94975000,392209000,112268000,78167000,34101000,112268000,2.5e+08,24829000,22157000,2672000,274829000,387097000,217469000,-2851000,-192251000,-17255000,5112000,5112000,392209000,-2169000,3238000,9095000,-9491000,673000,-7571000,-7485000,65407000,65407000,275000,65682000,14797000,2.5e+08,-1279000,0.13385,0.0559,-0.01049,-0.424300000000002,-0.00553000000000001,0.589669999999998,2.64754,75.7231999999995,0.63742,-0.07811,-0.07685,7.44683,0.1841,-0.04606,-0.00774999999999997,-0.00457000000000002,11.20673,14.34605
"5","2011_Q4",9.81873015873016,"Up",216909000,-187087000,29822000,-16275000,-16210000,13547000,-5332000,-5332000,8215000,8215000,-839000,7376000,7376000,7376000,7376000,85318000,85318000,138007000,138007000,71784000,8989000,8989000,304098000,73021000,23674000,7360000,16314000,96695000,400793000,117770000,77767000,40003000,117770000,2.5e+08,23496000,21011000,2485000,273496000,391266000,218323000,-2851000,-184875000,-21070000,9527000,9527000,400793000,7376000,3316000,803000,-1158000,10337000,-3914000,-6680000,3546000,3546000,-2402000,1144000,16863000,2.5e+08,12630000,0.13749,0.06245,0.03401,0.77422,0.0184,1.71231,2.58213,41.06917,0.62376,0.26562,0.26202,7.81119,0.34308,0.45482,0.02606,0.04463,9.76588,12.15634
"6","2012_Q1",11.7787096774194,"Up",225828000,-192450000,33378000,-17185000,-17094000,16193000,-5542000,-5189000,10651000,10524000,-418000,10106000,10106000,10121000,10121000,87955000,87955000,130297000,130297000,79423000,7470000,7470000,305145000,76672000,25067000,7315000,15915000,101739000,406884000,113199000,74239000,38960000,113199000,2.5e+08,30910000,28013000,2897000,280910000,394109000,219397000,-4059000,-174754000,-27818000,12766000,12775000,406884000,10106000,3121000,1762000,-5537000,9452000,-6764000,-6413000,1861000,1861000,776000,2637000,19314000,2.5e+08,7431000,0.1478,0.07171,0.04482,0.79225,0.02487,0.73422,2.69565,30.85002,0.61443,0.36029,0.35891,8.03916,0.45445,0.26453,0.03446,0.0253,8.39003,10.0071
"7","2012_Q2",9.65809523809524,"Down",236990000,-200212000,36778000,-18275000,-18183000,18503000,-5307000,-5307000,13196000,13196000,-1204000,11992000,11992000,12005000,12005000,90854000,90854000,147473000,147473000,85803000,13147000,13147000,337277000,77354000,22463000,7249000,15214000,99817000,437094000,129379000,90977000,38402000,129379000,2.5e+08,29914000,27253000,2661000,279914000,409293000,220596000,-4059000,-162749000,-25983000,27805000,27801000,437094000,11992000,3082000,-181000,-9174000,5719000,-2873000,-3149000,2570000,2570000,329000,2899000,21585000,2.5e+08,10742000,0.15519,0.07808,0.05066,0.43182,0.02747,0.89479,2.60689,14.72224,0.57196,0.42615,0.42311,8.41255,0.98701,0.38131,0.03901,0.03491,7.37299,8.60109
"8","2012_Q3",8.33444444444445,"Down",242745000,-205289000,37456000,-18453000,-18361000,19003000,-5205000,-5205000,13798000,13798000,-645000.000000001,13153000,13153000,13155000,13155000,87571000,87571000,157210000,157210000,90154000,12699000,12699000,347634000,78143000,22429000,7129000,15300000,100572000,448206000,129319000,95312000,34007000,129319000,2.5e+08,28947000,26500000,2447000,278947000,408266000,221744000,-4059000,-149594000,-28145000,39946000,39940000,448206000,13153000,3300000,2025000,-15503000,2975000,-3890000,-4594000,-1619000,-1619000,-1664000,-3283000,22303000,2.5e+08,3555000,0.1543,0.07828,0.05419,0.32937,0.02935,0.27024,2.68819,10.22198,0.55778,0.46697,0.46329,8.61684,1.41798,0.12619,0.04125,0.01115,7.28283,8.54755
"9","2012_Q4",7.67483870967742,"Down",204824000,-178419000,26405000,-17536000,-17445000,8869000,-5342000,-5342000,3527000,3527000,26946000,30473000,30473000,30501000,30501000,99543000,99543000,131155000,131155000,90684000,8268000,8268000,329650000,81128000,52297000,7065000,14988000,133425000,463075000,110713000,72378000,38335000,110713000,2.5e+08,28292000,26166000,2126000,278292000,389005000,222893000,-4072000,-119093000,-25709000,74019000,74070000,463075000,30473000,3618000,-28751000,10271000,15611000,-6245000,-6246000,9365000,9365000,2607000,11972000,12487000,2.5e+08,-10433000,0.12892,0.0433,0.14891,0.41179,0.06587,-0.34205,2.97752,5.25186,0.53987,1.08271,1.07164,7.27074,2.62749,-0.37035,0.08656,-0.02961,12.04909,16.96437
"10","2013_Q1",8.12616666666667,"Up",173357000,-157458000,15899000,-18178000,-17960000,-2279000,-5160000,-5091000,-7439000,-7439000,1851000,-5588000,-5588000,-5584000,-5584000,68369000,68369000,114573000,114573000,88481000,6446000,6446000,277869000,83304000,78492000,23001000,14509000,161796000,439665000,90932000,58063000,32869000,90932000,2.5e+08,32425000,28273000,4152000,282425000,373357000,224112000,-5264000,-124677000,-27885000,66286000,66308000,439665000,-5588000,4067000,1298000,-33000,-256000.000000002,-4190000,-28770000,-30204000,-30204000,-970000,-31174000,1788000,2.5e+08,-4286000,0.09171,-0.01315,-0.03221,-0.08421,-0.0127,0.76755,3.05579,5.63065,0.56861,-0.19657,-0.19605,6.10262,2.33344,-0.15088,-0.01601,-0.01229,101.58333,-79.69767
