"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",55.1574603174603,"Up",6.508e+09,-5.612e+09,8.96e+08,9.38e+08,-5.9e+07,-8.7e+07,2.8e+07,8.79e+08,8.79e+08,-3.6e+08,5.19e+08,5.33e+08,5.33e+08,5.33e+08,3.288e+09,3.288e+09,6.61e+09,6.61e+09,2.476e+09,1.545e+09,7.06e+08,1.3919e+10,4.436e+09,1.7932e+10,9.938e+09,3.625e+09,3.922e+09,2.2368e+10,3.6287e+10,3.892e+09,2.247e+09,1.645e+09,7.68e+09,7.68e+09,1.1572e+10,5.053e+09,1.5634e+10,1.2512e+10,1.1184e+10,3.122e+09,2.0687e+10,3.2259e+10,3.69e+08,1.2267e+10,-8.608e+09,4.028e+09,4.028e+09,3.6287e+10,5.33e+08,1.99e+08,1.62e+08,7.55e+08,1.649e+09,-9.2e+07,8.4e+07,-8e+06,-2.38e+08,-4.92e+08,-122516865.57052,-7.3e+08,9.11e+08,9.11e+08,8.97e+08,1.137e+09,5.053e+09,2.16e+09,0.13768,0.14413,0.0819,0.13232,0.01469,4.05253,1.20282,8.00869,0.13925,1.42704,1.41117,17.42436,10.78447,5.78313,0.63722,74.9414383854129,0.0312,0.0874,0.44653,1.55233,1.88166
"2","2010_Q3",49.67890625,"Down",7.004e+09,-5.962e+09,1.042e+09,1.115e+09,-1.05e+08,-8.6e+07,-1.9e+07,1.01e+09,1.01e+09,-2.96e+08,7.14e+08,8.24e+08,8.24e+08,8.24e+08,3.599e+09,2.722e+09,6.383e+09,6.383e+09,2.36e+09,1.87e+09,4.09e+08,1.4212e+10,4.381e+09,1.7646e+10,9.797e+09,3.614e+09,3.889e+09,2.2027e+10,3.6239e+10,3.969e+09,2.271e+09,1.698e+09,7.89e+09,7.89e+09,1.1859e+10,5.019e+09,1.5627e+10,1.2504e+10,1.1194e+10,3.123e+09,2.0646e+10,3.2505e+10,3.6e+08,1.1988e+10,-8.614e+09,3.734e+09,3.734e+09,3.6239e+10,8.24e+08,2.01e+08,-1.42e+08,3.42e+08,1.225e+09,-1.31e+08,-6.65e+08,-7.96e+08,-2.33e+08,-7.1e+08,-4.7e+07,-9.9e+08,-5.61e+08,-5.61e+08,-5.66e+08,1.316e+09,5.019e+09,1.823e+09,0.14877,0.15919,0.11765,0.22067,0.02274,2.21238,1.19841,8.70514,0.1385,2.24096,2.21684,19.04814,10.15502,4.95785,0.63367,37.8354338055535,0.04336,0.07477,0.28277,1.07903,1.27354
"3","2010_Q4",48.2540625,"Down",6.754e+09,-5.783e+09,9.71e+08,1.059e+09,-4.8e+07,-8.5e+07,3.7e+07,1.011e+09,8.33e+08,-2.73e+08,5.6e+08,5.6e+08,5.6e+08,5.6e+08,3.423e+09,2.656e+09,6.275e+09,6.275e+09,2.093e+09,2.148e+09,4.13e+08,1.3939e+10,4.347e+09,1.7265e+10,9.588e+09,3.339e+09,4.009e+09,2.1612e+10,3.5551e+10,4.242e+09,2.352e+09,1.89e+09,7.396e+09,7.396e+09,1.1638e+10,5.019e+09,1.4976e+10,1.1798e+10,1.0506e+10,3.178e+09,1.9995e+10,3.1633e+10,3.58e+08,1.215e+10,-8.59e+09,3.918e+09,3.918e+09,3.5551e+10,5.6e+08,2.13e+08,5.16e+08,-7.76e+08,5.13e+08,-1.71e+08,1.08e+08,-6.3e+07,-2.29e+08,-3.07e+08,0,-5.36e+08,-8.6e+07,-8.6e+07,-6.6e+07,1.272e+09,5.019e+09,5.98e+08,0.14377,0.1568,0.08291,0.14293,0.01575,1.06786,1.19771,8.07376,0.14118,1.55512,1.53888,18.7559,10.88031,1.66065,0.63593,15.6882876770826,0.03299,0.02501,0.40893,1.25472,1.50708
"4","2011_Q1",55.0074193548387,"Up",7.732e+09,-6.577e+09,1.155e+09,1.213e+09,-1.15e+08,-8.7e+07,-2.8e+07,1.098e+09,1.056e+09,-2.35e+08,8.21e+08,9.61e+08,9.61e+08,9.61e+08,2.777e+09,2.261e+09,5.692e+09,5.692e+09,2.363e+09,2.061e+09,5.18e+08,1.2893e+10,4.554e+09,1.7666e+10,9.605e+09,3.485e+09,4.576e+09,2.222e+10,3.5113e+10,3.497e+09,1.627e+09,1.87e+09,7.904e+09,7.904e+09,1.1401e+10,5.019e+09,1.5196e+10,1.182e+10,1.0607e+10,3.376e+09,2.0215e+10,3.1616e+10,3.46e+08,1.2161e+10,-9.01e+09,3.497e+09,3.497e+09,3.5113e+10,9.61e+08,4.39e+08,36999999.9999999,-1.023e+09,4.14e+08,-6.8e+08,3.24e+08,-5.04e+08,-2.69e+08,-8.52e+08,1.9e+07,-3.04e+08,-3.94e+08,-3.94e+08,-3.95e+08,1.652e+09,5.019e+09,1.84e+08,0.14938,0.15688,0.12429,0.27481,0.02737,0.19147,1.13087,9.04089,0.14294,2.70323,2.67019,21.74965,9.83685,0.51758,0.75668,5,0.05187,0.00776,0.27992,1.35714,1.84831
"5","2011_Q2",55.6003174603175,"Up",6.574e+09,-5.76e+09,8.14e+08,8.64e+08,-6.6e+07,-8.5e+07,1.9e+07,7.98e+08,7.98e+08,-2.42e+08,5.56e+08,5.3e+08,5.3e+08,5.3e+08,3.861e+09,3.357e+09,6.583e+09,6.583e+09,2.277e+09,2.022e+09,4.89e+08,1.4743e+10,4.461e+09,1.7473e+10,9.609e+09,3.412e+09,4.452e+09,2.1934e+10,3.6677e+10,4.182e+09,2.374e+09,1.808e+09,8.248e+09,8.248e+09,1.243e+10,5.023e+09,1.5433e+10,1.2053e+10,1.0826e+10,3.38e+09,2.0456e+10,3.2886e+10,3.45e+08,1.2274e+10,-8.828e+09,3.791e+09,3.791e+09,3.6677e+10,5.3e+08,2.46e+08,3.9e+07,9.04e+08,1.719e+09,-1.3e+08,3.2e+07,-9.8e+07,-2.66e+08,-2.71e+08,1.2e+07,-5.25e+08,1.096e+09,1.096e+09,1.096e+09,1.11e+09,5.023e+09,2.126e+09,0.12382,0.13143,0.08062,0.1398,0.01445,4.01132,1.18608,8.67476,0.13695,1.5208,1.50312,18.8637,10.87805,6.10043,0.76327,2.27057077430581,0.03283,0.08768,0.50189,1.04685,1.34491
"6","2011_Q3",52.873125,"Down",6.936e+09,-5.933e+09,1.003e+09,1.09e+09,-7.5e+07,-8.4e+07,9e+06,1.015e+09,9.18e+08,-1.7e+08,7.48e+08,7.42e+08,7.42e+08,7.42e+08,3.522e+09,3.268e+09,6.547e+09,6.547e+09,2.226e+09,1.659e+09,5.19e+08,1.3954e+10,4.421e+09,1.7343e+10,9.615e+09,3.268e+09,4.46e+09,2.1764e+10,3.5718e+10,4.038e+09,2.219e+09,1.819e+09,8.018e+09,8.018e+09,1.2056e+10,5.031e+09,1.5343e+10,1.196e+10,1.072e+10,3.383e+09,2.0374e+10,3.243e+10,3.33e+08,1.1626e+10,-8.671e+09,3.288e+09,3.288e+09,3.5718e+10,7.42e+08,2.46e+08,4.8e+07,-1.42e+08,8.94e+08,-1.98e+08,4.64e+08,2.66e+08,-2.58e+08,-9.82e+08,-9e+06,-1.249e+09,-89000000.0000002,-89000000.0000002,-88999999.9999998,1.336e+09,5.031e+09,1.166e+09,0.14461,0.15715,0.10698,0.22567,0.02077,1.57143,1.15743,9.86314,0.14085,2.16516,2.1408,20.23928,9.5944,3.40239,0.75285,4,0.04226,0.04928,0.34771,1.12949,1.3844
"7","2011_Q4",55.0842857142857,"Up",7.542e+09,-6.507e+09,1.035e+09,1.08e+09,-9.2e+07,-8.9e+07,-3e+06,9.88e+08,9.49e+08,-2.84e+08,6.65e+08,7e+08,7e+08,7e+08,4.567e+09,4.564e+09,6.523e+09,6.523e+09,1.789e+09,1.79e+09,6.06e+08,1.4669e+10,4.428e+09,1.709e+10,9.606e+09,3.096e+09,4.388e+09,2.1518e+10,3.6187e+10,4.128e+09,2.328e+09,1.8e+09,7.516e+09,7.516e+09,1.2144e+10,6.538e+09,1.4562e+10,1.1233e+10,9.979e+09,3.329e+09,2.11e+10,3.3244e+10,3.21e+08,1.1189e+10,-8.567e+09,2.943e+09,2.943e+09,3.6187e+10,7e+08,2.47e+08,-5e+06,-3.91e+08,5.51e+08,-2.41e+08,2.84e+08,4.3e+07,-2.46e+08,-9.83e+08,-4.9e+07,7.02e+08,1.296e+09,1.296e+09,1.296e+09,1.327e+09,7.038e+09,9.79e+08,0.13723,0.1432,0.09281,0.23785,0.01934,1.39857,1.20792,11.29596,0.19449,2.12121,2.09769,22.85455,8.91818,2.96667,0.74545,6,0.03854,0.03989,0.35143,1.86209,2.28796
"8","2012_Q1",62.6303225806452,"Up",7.359e+09,-6.331e+09,1.028e+09,1.122e+09,-1.56e+08,-9.6e+07,-6e+07,9.66e+08,9.66e+08,-2.68e+08,6.98e+08,6.83e+08,6.83e+08,6.83e+08,3.582e+09,3.582e+09,6.064e+09,6.064e+09,2.481e+09,1.967e+09,6.28e+08,1.4094e+10,4.611e+09,1.9203e+10,1.0148e+10,4.388e+09,4.667e+09,2.3814e+10,3.7908e+10,3.933e+09,2.269e+09,1.664e+09,8.197e+09,8.197e+09,1.213e+10,6.46e+09,1.8317e+10,1.4776e+10,1.3502e+10,3.541e+09,2.4777e+10,3.6907e+10,3.21e+08,1.1937e+10,-1.1257e+10,1.001e+09,1.001e+09,3.7908e+10,6.83e+08,2.69e+08,1.2e+08,1.7e+07,1.089e+09,-4.18e+08,4.3e+07,-9.99e+08,-3.25e+08,-1.13e+08,-2e+06,-1.072e+09,-9.82e+08,-9.82e+08,-9.82e+08,1.391e+09,6.46e+09,1.258e+09,0.13969,0.15247,0.09281,0.68232,0.01802,1.84187,1.16191,36.87013,0.17041,2.11849,2.0906,22.82568,3.10484,3.90199,1.00806,5,0.0391,0.0488,0.47584,2.06902,2.56506
"9","2012_Q2",63.4087301587302,"Up",7.231e+09,-6.222e+09,1.009e+09,1.044e+09,-9.3e+07,-9.6e+07,3e+06,9.51e+08,9.51e+08,-2.83e+08,6.68e+08,6.68e+08,6.68e+08,6.68e+08,3.518e+09,3.518e+09,6.72e+09,6.72e+09,2.38e+09,1.943e+09,6.11e+08,1.4561e+10,4.53e+09,1.9249e+10,1.017e+10,4.29e+09,4.789e+09,2.3779e+10,3.834e+10,4.008e+09,2.384e+09,1.624e+09,8.203e+09,8.203e+09,1.2211e+10,6.472e+09,1.8084e+10,1.4471e+10,1.319e+10,3.613e+09,2.4556e+10,3.6767e+10,3.26e+08,1.2277e+10,-1.103e+10,1.573e+09,1.573e+09,3.834e+10,6.68e+08,2.31e+08,4.1e+07,-4.82e+08,4.58e+08,-1.31e+08,-1.8e+07,-1.49e+08,-3.27e+08,-8.3e+07,3.7e+07,-3.73e+08,-6.4e+07,-6.4e+07,-6.4e+07,1.275e+09,6.472e+09,9.45e+08,0.13954,0.14438,0.09238,0.42467,0.01742,1.41467,1.19245,23.37381,0.16881,2.06109,2.03287,22.31102,4.85344,2.91577,1.00895,7,0.03808,0.03617,0.48952,2.31686,2.8295
"10","2012_Q3",67.1471428571429,"Up",7.428e+09,-6.256e+09,1.172e+09,1.192e+09,-7.5e+07,-9.6e+07,2.1e+07,1.117e+09,1.117e+09,-3.36e+08,7.81e+08,7.81e+08,7.81e+08,7.81e+08,3.802e+09,3.802e+09,6.569e+09,6.569e+09,2.521e+09,1.908e+09,5.81e+08,1.48e+10,4.495e+09,1.9091e+10,1.0158e+10,4.186e+09,4.747e+09,2.3586e+10,3.8386e+10,4.027e+09,2.359e+09,1.668e+09,8.091e+09,8.091e+09,1.2268e+10,6.343e+09,1.7571e+10,1.4042e+10,1.2775e+10,3.529e+09,2.3914e+10,3.6182e+10,3.41e+08,1.2727e+10,-1.0864e+10,2.204e+09,2.204e+09,3.8386e+10,7.81e+08,2.33e+08,4.6e+07,-2.15e+08,8.45e+08,-1.75e+08,2.6e+07,-1.49e+08,-3.26e+08,-1.05e+08,1.9e+07,-4.12e+08,2.84e+08,2.84e+08,2.84e+08,1.425e+09,6.493e+09,1.371e+09,0.15778,0.16047,0.10514,0.35436,0.02035,1.75544,1.20639,16.41652,0.16915,2.40678,2.3753,22.8906,6.79199,4.22496,1.00462,7,0.04214,0.05219,0.41741,1.88842,2.25755
