"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q2",17.55,"Down",65621000,-17153000,48468000,-95101000,-71967000,-23134000,-46633000,-591000,-514000,-47224000,-47224000,-59000,-47283000,-47283000,-47283000,-47283000,283976000,179987000,38551000,38551000,48353000,9097000,370880000,59259000,51772000,11657000,34569000,111031000,481911000,49610000,15089000,34521000,115168000,111545000,3623000,165950000,42139000,42833000,30177000,84972000,250922000,808903000,-576676000,-61000,230989000,230989000,481911000,-47283000,9166000,16319000,-10384000,-32182000,-9901000,-113280000,796000,796000,-4215000,-4980000,-150442000,-150442000,-7000,-150449000,-37467000,43311000,-57693000,0.73861,-0.71064,-0.72055,-0.2047,-0.09812,1.22016,2.23489,1.08629,0.08987,-0.39607,-0.39607,0.54969,1.93492,-0.48328,-0.1491,-0.18192,6.42339,5.16083
"2","2015_Q3",14.88984375,"Down",73450000,-20636000,52814000,-102588000,-76135000,-26453000,-49774000,-260000,-229000,-50034000,-50034000,-141000,-50175000,-50175000,-50175000,-50175000,242239000,140119000,54047000,54047000,47063000,9598000,343349000,79629000,57023000,14301000,35886000,136652000,480001000,68176000,22980000,45196000,119376000,118289000,1087000,189467000,43273000,46619000,34559000,89892000,279359000,828761000,-626851000,-91000,200642000,200642000,480001000,-50175000,9865000,18752000,-103000,-21661000,-17943000,-16801000,1618000,1618000,-1972000,-1385000,-39847000,-39847000,-21000,-39868000,-39909000,45188000,-57814000,0.71905,-0.67766,-0.68312,-0.25007,-0.10453,1.15225,1.81218,1.39233,0.09414,-0.41674,-0.41674,0.61005,1.66648,-0.48019,-0.17157,-0.19769,4.93751,3.95891
"3","2015_Q4",13.12109375,"Down",78651000,-23630000,55021000,-110053000,-83729000,-26324000,-55032000,135000,-30000,-54897000,-54897000,-220000,-55117000,-55117000,-55117000,-55117000,214899000,189695000,64368000,64368000,31262000,9606000,310529000,113543000,55914000,14301000,36248000,169457000,479986000,79659000,28906000,50753000,129252000,128589000,663000,211805000,44696000,51598000,39040000,96294000,308099000,855106000,-681968000,-74000,171887000,171887000,479986000,-55117000,9936000,19835000,8003000,-17343000,-19998000,56503000,13016000,13016000,-2105000,10403000,49563000,49563000,13000,49576000,-45096000,47590000,-56871000,0.69956,-0.6997,-0.70078,-0.32066,-0.11483,1.03182,1.46611,1.79245,0.09915,-0.45254,-0.45254,0.64576,1.41127,-0.46694,-0.20333,-0.2098,3.71006,3.04021
"4","2016_Q1",11.3468852459016,"Down",84982000,-25681000,59301000,-108865000,-82276000,-26589000,-49564000,-539000,-384000,-50103000,-50103000,-270000,-50373000,-50373000,-50373000,-50373000,193120000,185741000,99542000,99542000,27332000,12603000,319994000,120492000,57002000,14301000,38806000,177494000,497488000,77419000,9862000,67557000,168349000,168051000,298000,250466000,47316000,61805000,43443000,109121000,359587000,871503000,-732341000,-84000,137901000,137901000,497488000,-50373000,11427000,21503000,22308000,4865000,-25024000,-7283000,1867000,1867000,-2144000,-1525000,-3942999.99999999,-3942999.99999999,-11000,-3954000.00000001,-38137000,52014000,-40583000,0.69781,-0.58323,-0.59275,-0.36528,-0.10125,0.80565,1.27759,2.60757,0.10455,-0.40826,-0.40826,0.68875,1.11764,-0.32891,-0.20012,-0.16122,3.69998,2.84695
"5","2016_Q2",11.956875,"Up",90155000,-27859000,62296000,-100888000,-73981000,-26907000,-38592000,265000,-176000,-38327000,-38327000,-248000,-38575000,-38575000,-38575000,-38575000,183400000,182690000,57615000,57615000,26336000,10977000,267351000,112144000,54698000,14301000,37961000,166842000,434193000,38137000,8538000,29599000,155705000,155415000,290000,200720000,49136000,62762000,45993000,111898000,312618000,893636000,-770916000,32000,121575000,121575000,434193000,-38575000,12084000,20968000,1292000,-4231000,-10972000,-4386000,11262000,11262000,-4768000,5452000,-3165000,-3165000,114000,-3051000,-26508000,56014000,-35940000,0.69099,-0.42806,-0.42787,-0.31729,-0.08884,0.93169,1.33196,2.5714,0.12901,-0.30877,-0.30877,0.72163,0.97313,-0.28768,-0.16049,-0.14953,4.80557,3.30084
"6","2016_Q3",12.664375,"Up",95713000,-27602000,68111000,-106030000,-77765000,-28265000,-37919000,1000,-189000,-37918000,-37918000,-184000,-38102000,-38102000,-38102000,-38102000,173331000,173331000,75170000,75170000,24361000,10591000,272862000,107093000,52197000,14301000,36376000,159290000,432152000,43064000,7557000,35507000,166563000,166377000,186000,217704000,50747000,62882000,46255000,113629000,331333000,911030000,-809018000,-16000,100819000,100819000,432152000,-38102000,10721000,23644000,-1142000,-4879000,-699000,12000,1969000,1969000,-4100000,-4443000,-9310000,-9310000,-49000,-9359000,-27198000,58824000,-28855000,0.71162,-0.39617,-0.39809,-0.37792,-0.08817,0.75731,1.25336,3.28641,0.13612,-0.30055,-0.30055,0.75498,0.79525,-0.22761,-0.17123,-0.12967,4.21013,3.01978
"7","2016_Q4",14.7992063492063,"Up",102811000,-27115000,75696000,-113447000,-83795000,-29652000,-37751000,-244000,-222000,-37995000,-37995000,-238000,-38233000,-38233000,-38233000,-38233000,167800000,167800000,85995000,85995000,23369000,10599000,277164000,113379000,52829000,16293000,35561000,166208000,443372000,49523000,9926000,39597000,179866000,179456000,410000,240158000,54707000,59633000,46491000,114340000,354498000,937330000,-847251000,-28000,88874000,88874000,443372000,-38233000,8710000,24181000,-1487000,-6829000,-1884000,-1884000,10098000,10098000,-4726000,3194000,-5519000,-5519000,-12000,-5531000,-29041000,65476000,-32174000,0.73626,-0.36719,-0.37188,-0.43019,-0.08623,0.84152,1.15409,3.98877,0.14768,-0.29805,-0.29805,0.80149,0.69284,-0.25082,-0.17867,-0.15036,3.52343,2.7105
"8","2017_Q1",16.906935483871,"Up",109926000,-29554000,80372000,-116765000,-85661000,-31104000,-36393000,-240000,-309000,-36633000,-36633000,-244000,-36877000,-36877000,-36877000,-36877000,177391000,177391000,120113000,120113000,24597000,13771000,322101000,117176000,54397000,16293000,37561000,171573000,493674000,54786000,6658000,48128000,229407000,228656000,751000,297941000,61697000,59304000,45976000,121001000,418942000,960157000,-884128000,-120000,74732000,74732000,493674000,-36877000,8639000,27953000,15006000,14721000,-1314000,-1314000,3483000,3483000,-3958000,-3724000,9683000,9683000,-92000,9591000,-27754000,75445000,-13818000,0.73115,-0.33107,-0.33547,-0.49346,-0.0747,0.37471,1.08109,5.60593,0.15282,-0.2839,-0.2839,0.84628,0.57534,-0.10638,-0.17604,-0.06596,3.6732,2.80125
"9","2017_Q2",18.0344444444444,"Up",117222000,-32723000,84499000,-124478000,-90944000,-33534000,-39979000,-263000,-279000,-40242000,-40242000,156000,-40086000,-40086000,-40086000,-40086000,183691000,183691000,82767000,82767000,27612000,12776000,294070000,117568000,52237000,16293000,35804000,169805000,463875000,50192000,13829000,36363000,209699000,208615000,1084000,275554000,64644000,63833000,48133000,128477000,404031000,985326000,-924214000,-91000,59844000,59844000,463875000,-40086000,9572000,27958000,11097000,8541000,-757000,-757000,11337000,11337000,-9114000,-1513000,6271000,6271000,29000,6300000,-30407000,80307000,-20223000,0.72085,-0.34105,-0.34197,-0.66984,-0.08642,0.50449,1.0672,6.7514,0.17312,-0.30491,-0.30491,0.89163,0.45519,-0.15382,-0.19652,-0.09914,3.40001,2.58596
"10","2017_Q3",18.7866666666667,"Up",122941000,-32778000,90163000,-129159000,-95117000,-34042000,-38996000,31000,-236000,-38965000,-38965000,-320000,-39285000,-39285000,-39285000,-39285000,165275000,165275000,107891000,107891000,29918000,13287000,303084000,117083000,53543000,16293000,37149000,170626000,473710000,57073000,13834000,43239000,222747000,220682000,2065000,297086000,66037000,68676000,48519000,134713000,431799000,1006529000,-963499000,58000,41911000,41911000,473710000,-39285000,9765000,29454000,-9695000,-9761000,-1011000,-1011000,2957000,2957000,-6812000,-8031000,-18803000,-18803000,149000,-18654000,-29231000,83303000,-39617000,0.73338,-0.31719,-0.31954,-0.93734,-0.08293,1.00845,1.02019,10.30276,0.17585,-0.29542,-0.29542,0.9245,0.31517,-0.29791,-0.20261,-0.20433,2.80428,2.10206
