"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",4.49380952380952,"Up",185461000,-102876000,82585000,-26093000,-26093000,56492000,560000,-71000,-142000,631000,57052000,57052000,-21782000,35270000,35270000,35270000,35270000,-1094205494.16024,-1094205494.15738,717766131.849457,717766131.849457,54372961.8175578,833109729.146956,339560622.338267,234813559.466007,235626907.645526,511043328.653732,306123233.509992,44869214.6655959,8814615.46241357,-147337018.777934,99220944.6269203,350992448.175587,862035776.82932,-515939788.065769,-706337172.04624,190397383.980471,-456019495.051828,153447276.762916,1012437952.68575,36484393.0863457,3030698.6080093,33453694.4783364,9663874440.22948,10676312392.9152,-808054986.529797,-8753164146.10432,-253057483.451794,-9814276616.08591,-9814276616.08591,862035776.82932,35270000,10614000,-164000,31971000,77691000,-22907000,-22907000,-2506000,1026000,2429000,-77000,54707000,54707000,881000,55588000,67106000,0,97952000,0.4453,0.3046,0.19017,0.408640941369228,-0.105134753738145,2.7772,-13.6846012703592,19.2910023855093,9.809263157279,0.05246,0.0519,0.27584,-15.9097384895286,0.14568,-0.159477427124939,-3.6449140982433,180.173869283439,215.979708425872
"2","2010_Q3",4.36921875,"Down",176602000,-97914000,78688000,-25454000,-25454000,53234000,-60000,42000,-22000,-102000,53174000,53174000,-17439000,35735000,35735000,35735000,35735000,-315641747.080119,-315641747.078689,358081065.924729,358081065.924729,26803480.9087789,404375864.573478,154530811.169133,114445779.733003,125490953.822763,473618664.326866,462171616.754996,146674107.332798,12253307.7312068,39391490.6110329,52780472.3134601,608845724.087794,1082464388.41466,-178222394.032885,-311923586.02312,133701191.990236,-176487247.525914,76041138.3814579,485520976.342875,33944196.5431729,7004849.30400465,26939347.2391682,4134169220.11474,4619690196.45761,-130586493.264898,-3277457073.05216,-129182241.725897,-3537225808.04295,-3537225808.04295,1082464388.41466,35735000,10464000,1575000,-42661000,5113000.00000003,-15229000,-36596000,1441000,1453000,20000,2548000,-28935000,-28935000,-54000,-28989000,63698000,0,23247000,0.44557,0.30143,0.20235,0.193895470684614,-0.0280323768690723,0.65054,-3.13335563517961,8.28629619275466,4.1757215786395,0.05311,0.0526,0.26246,-5.80606424476431,0.03455,-0.0495787135624696,-1.56624704912165,74.2526746417194,89.0134142129359
"3","2010_Q4",4.35328125,"Down",220348000,-119851000,100497000,-28373000,-28373000,72124000,-541000,-12000,-37000,-529000,71583000,71583000,-27194000,44389000,44389000,44389000,44389000,107320084.306627,107320084.307104,172295021.97491,172295021.97491,11399160.3029263,161714954.857826,54026937.0563778,44070259.9110012,60863651.2742544,452729221.442289,543623205.584999,199134702.444266,13381102.5770689,138324163.537011,28045824.1044867,742757908.029265,1195487129.47155,12204535.3223718,-91786195.3410401,103990730.663412,-34822749.1753047,31279712.7938193,207051992.114292,33236065.514391,9051616.43466822,24184449.0797227,1162555073.37158,1369607065.48587,231073168.911701,-344167691.017386,-61025413.9086324,-174119936.014318,-174119936.014318,1195487129.47155,44389000,11013000,4123000,31654000,91179000,-18352000,-18351000,1615000,1615000,517000,2132000,74960000,74960000,2000,74962000,83137000,0,123633000,0.45608,0.32732,0.20145,0.0774251568948713,0.0132858743769759,2.78522,2.31395145494013,2.37206206425155,1.1494638595465,0.06588,0.06516,0.32703,-0.407554748254771,0.18349,0.00929042881251014,-0.424409016373883,17.4760082139065,20.9608347376453
"4","2011_Q1",5.03274193548387,"Up",190468000,-104244000,86224000,-29004000,-29004000,57220000,466000,30000,-15000,436000,57686000,57686000,-21453000,36233000,36233000,36233000,36233000,268188000,268188000,109061000,109061000,4976000,55190000,14342000,10958000,29890000,437415000,573514000,217883000,13016000,175870000,18784000,791397000,1228812000,95054000,1314000,93740000,11796000,10642000,107224000,33753000,9748000,24005000,34354000,141578000,365507000,754468000,-32741000,1087234000,1087234000,1228812000,36233000,11151000,3367000,-25327000,25424000,-16875000,-18171000,-6971000,2191000,2677000,-3337000,3916000.00000001,3916000.00000001,20000,3935999.99999997,68371000,975000.000000004,47622000,0.4527,0.30042,0.19023,0.03333,0.02949,1.31433,4.07945,0.13022,0.00079,0.05374,0.05323,0.28248,1.61248,0.07063,0.03229,0.04245,-3.90828,-4.66992
"5","2011_Q2",5.63126984126984,"Up",212667000,-123813000,88854000,-29260000,-29260000,59594000,569000,65000,-15000,504000,60163000,60163000,-22340000,37823000,37823000,37823000,37823000,260470000,260470000,117032000,117032000,4350000,34864000,11769000,2380000,20715000,416716000,574880000,218551000,11976000,178438000,18762000,793431000,1210147000,110039000,14616000,95423000,6191000,5607000,116230000,34888000,9671000,25217000,34887999.9999999,151118000,361298000,726214000,-28483000,1059029000,1059029000,1210147000,37823000,11722000,5363000,22630000,77538000,-11073000,-11073000,-75036000,674000,110000,-74926000,-8461000,-8461000,743000,-7718000,71316000,0,105213000,0.41781,0.28022,0.17785,0.03571,0.03125,2.78172,3.58527,0.14269,-1.23924308315093e-16,0.05646,0.05601,0.31743,1.58073,0.15704,0.03458,0.09618,-3.65234,-4.37074
"6","2011_Q3",5.25890625,"Down",207380000,-121833000,85547000,-25351000,-25351000,60196000,524000,-283000,-417000,807000,60720000,60720000,-22824000,37896000,37896000,37896000,37896000,203954000,203954000,136972000,136972000,5890000,45537000,19731000,4585000,20148000,392353000,575686000,220372000,10836000,177882000,20750000,796058000,1188411000,103274000,1846000,101428000,6963000,6963000,160893000,35710000,9390000,26320000,386184000,547077000,316482000,354426000,-29574000,641334000,641334000,1188411000,37896000,11367000,1812000,-35290000,15785000,-11046000,-11062000,-461100000,2187000,-1090000,-61113000,-56390000,-56390000,-126000,-56516000,71563000,401130000,48051000,0.41251,0.29027,0.18274,0.05909,0.03189,1.26797,2.4386,0.85303,0.33753,0.05831,0.0578,0.31909,0.9868,0.07393,0.03515,0.04457,2.75528,3.27557
"7","2011_Q4",5.49873015873016,"Up",236757000,-127849000,108908000,-26863000,-26863000,82045000,-1695000,-1674000,-1833000,-21000,80350000,80350000,-30215000,50135000,50135000,50135000,50135000,192148000,192148000,117534000,117534000,6412000,37272000,14521000,4844000,16334000,353366000,598968000,238978000,10414000,200611000,18515000,837946000,1191312000,114472000,10243000,104229000,56934000,6189000,171406000,35612000,9482000,26130000,373564000,544970000,319642000,346868000,-20168000,646342000,646342000,1191312000,50135000,11274000,3004000,42914000,107327000,-1.4e+07,-48566000,-61428000,3017000,1882000,-72046000,-13285000,-13285000,1479000,-11806000,93319000,337952000,152448000,0.46,0.34654,0.21176,0.07757,0.04208,3.04075,2.06157,0.84316,0.28368,0.08977,0.08823,0.42395,1.15738,0.27298,0.04916,0.14947,1.56243,1.77712
"8","2012_Q1",6.11403225806452,"Up",215442000,-125856000,89586000,-26131000,-26131000,63455000,-811000,-1693000,-1813000,882000,62644000,62644000,-22123000,40521000,40521000,40521000,40521000,74009000,74009000,122859000,122859000,8016000,36984000,14813000,5145000,17026000,241868000,600388000,242180000,12748000,198620000,21387000,842568000,1084436000,105251000,3543000,101708000,11005000,5636000,166626000,37252000,10057000,27195000,362638000,529264000,313940000,264457000,-23225000,555172000,555172000,1084436000,40521000,11331000,5334000,-14904000,42282000,-13449000,-13779000,-134992000,1204000,622000,-145990000,-117487000,-117487000,-652000,-118139000,74786000,375756000,68556000,0.41582,0.29453,0.18808,0.07299,0.03737,1.69186,1.45156,0.95333,0.3465,0.0747,0.07308,0.39717,1.02346,0.12638,0.04185,0.07081,4.03481,4.75529
"9","2012_Q2",6.38015873015873,"Up",225626000,-130401000,95225000,-29849000,-29849000,65376000,-1561000,-2125000,-2187000,564000,63815000,63815000,-22666000,41149000,41149000,41149000,41149000,212677000,212677000,136284000,136284000,6433000,28877000,11206000,785000,16886000,384271000,594851000,246762000,11399000,197129000,25834000,841613000,1225884000,123751000,22262000,101489000,9497000,4526000,208635000,37067000,9585000,27482000,462404000,671039000,315428000,266756000,-27339000,554845000,554845000,1225884000,41149000,12027000,426000,10585000,64187000,-7092000,-7092000,-42624000,1359000,-111000,82265000,139360000,139360000,-692000,138668000,77403000,500724000,103562000,0.42205,0.28975,0.18238,0.07416,0.03357,2.51676,1.84183,1.20942,0.40846,0.07827,0.07688,0.42917,1.05538,0.19699,0.03766,0.09478,3.72139,4.40601
"10","2012_Q3",6.40904761904762,"Up",227904000,-128208000,99696000,-27386000,-27386000,72310000,-1323000,-2914000,-3033000,1591000,70987000,62216000,-21613000,40603000,40603000,40603000,40603000,127640000,127640000,151903000,151903000,7247000,41422000,7208000,2977000,16597000,328212000,568816000,242630000,10184000,194954000,19208000,811446000,1139658000,103791000,3350000,100441000,7211000,6331000,186182000,39568000,9063000,30505000,446104000,632286000,317771000,225513000,-35912000,507372000,507372000,1139658000,40603000,12220000,8139000,-34801000,26161000,-7022000,-7202000,-86436000,4976000,902000,-103265000,-84306000,-84306000,-731000,-85037000,84530000,481716000,64320000,0.43745,0.31728,0.17816,0.08003,0.03563,1.58412,1.76286,1.2462,0.42268,0.07911,0.07714,0.44406,0.9886,0.12533,0.03947,0.06253,4.18876,4.89664
