"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.7620634920635,"Up",19350000,-4939000,14411000,-14527000,-5476000,-8882000,-116000,-6915000,-6764000,-6831000,-151000,-7031000,127000,-6904000,-6904000,-7059000,-7059000,-1e+05,-7159000,328547459.487581,184902505.962353,-275975690.01234,-275975690.01234,581543337.381596,-10143457.4667983,81939168.3664061,634115742.076606,231313190.961453,-150139841.102556,-171164640.817926,4644290.97393401,35178775.7056722,81173349.8588968,715289091.935503,-104523622.558576,-104523622.558576,110218230.570514,-145165783.463582,-7078423.91586305,29993970.6303898,298906754.09152,291828330.175657,3180130.99153842,384049890.616912,-171999.932202379,37359567.242837,423460761.783951,423460761.759846,715289091.935503,-7059000,8882000,8576000,-8435000,1964000,-1806000,-4410000,4388000,1238000,-1208000,-1208000,-1208000,8766000,0,0.74475,-0.00599,-0.36997,-183.990656529379,0.887455839960479,14.5723282687677,10936.5683262408,-0.373818135178792,-2.43328,-2.43328,6.5769,123.892147430217,0.938944668405789,-39.8289788134217,254.04365836682
"2","2010_Q3",14.86671875,"Down",11151000,-130000,11021000,-9887000,-2402000,-7370000,1134000,-6746000,-6605000,-6643000,-141000,-5612000,-2878000,-8490000,-8490000,-10835000,-10835000,-105000,-10940000,150698729.74379,84176752.9811764,-117784345.00617,-117784345.00617,290075168.690798,-4142228.73339914,39143584.1832031,322989871.038303,214925095.480726,-52644920.551278,-74129320.4089629,5150145.48696701,24076387.8528361,162280174.929448,485270045.967751,-41806311.2792879,-41806311.2792879,63763115.2852572,-63947891.7317911,31365288.0420685,18567485.3151949,269192377.04576,300557665.087828,3200565.49576921,275699945.308456,-171999.96610119,-93485216.3785815,184712380.891976,184712380.879923,485270045.967751,-10835000,9015000,4008000,6699000,8887000,-3946000,-2762000,-2906000,-2597000,3528000,3528000,3528000,10149000,0,0.98834,0.10169,-0.98108,-85.9038382646893,0.35706791998024,7.13057913438384,4972.1186731204,0.319500932410604,-3.61124,-3.61067,3.68089,53.6055787151083,0.376897334202894,-1.90293940671087,226.05335918341
"3","2010_Q4",14.600625,"Down",12577000,2032000,14609000,-8158000,-788000,-7297000,6451000,-6851000,-6751000,-6786000,-1e+05,-4e+05,-908000,-1308000,-1308000,-4080000,-4080000,-1e+05,-4180000,54454909.9145968,30558917.6603921,-27479115.0020566,-27479115.0020566,118064389.563599,-649409.577799715,16842528.0610677,145040290.346101,212020365.160242,2079693.149574,-19483440.136321,5523715.16232234,18067795.9509454,214100058.309816,359140348.655917,-7122770.42642929,-7122770.42642929,33398038.4284191,-17576630.5772637,48573429.3473562,13057495.105065,256163459.015253,304736888.362609,3224188.49858974,217899315.102819,-171999.988700396,-166293738.79286,54403460.2973252,54403460.2933076,359140348.655917,-4080000,9470000,3268000,-4228000,4430000,-26864000,-25709000,19756000,18901000,-2378000,-2378000,-2378000,15921000,0,1.16156,0.51292,-0.33235,-29.6246660882298,0.0777859733267465,2.99683304479461,1619.10931104013,0.710240310803535,-1.33416,-1.33416,4.01428,15.1505462383694,0.0813424447342981,16.2334935310964,174.008329727803
"4","2011_Q1",16.363064516129,"Up",15361000,-1292000,14069000,-11854000,-3111000,-8700000,2215000,-6758000,-6717000,-6731000,-41000,-4543000,-376000,-4919000,-4919000,-7262000,-7262000,-89000,-7351000,17228000,10748000,13103000,13103000,35175000,962000,9043000,65506000,216562000,25420000,4059000,5765000,15596000,241982000,307488000,7625000,7625000,15672000,3060000,51793000,11659000,253908000,305701000,3250000,196452000,-172000,-197648000,1787000,1787000,307488000,-7262000,9960000,3821000,8275000,14794000,-10735000,-9603000,-3679999.99999999,-3479000,1712000,1712000,1712000,12175000,270745000,0.91589,0.1442,-0.47855,-4.1136,-0.02391,1.26477,171.06939,0.88051,-2.28787,-2.28821,4.78085,-0.45533,-0.02587,20.82275,114.45463
"5","2011_Q2",19.9620634920635,"Up",18041000,-1593000,16448000,-12411000,-3410000,-8946000,4037000,-7274000,-7320000,-7371000,46000,-3237000,-787000,-4024000,-4024000,-6393000,-6393000,-89000,-6482000,16430000,11443000,22125000,22125000,11071000,1319000,9752000,49626000,222513000,28762000,7784000,5874000,15104000,251275000,300901000,10535000,10535000,7134000,7074000,48271000,12567000,256514000,304785000,3277000,197162000,-172000,-204130000,-3884000,-3884000,300901000,-6393000,10218000,4432000,-965000,7292000,-3642000,-2219000,-4285000,-4378000,695000,695000,695000,14255000,274549000,0.9117,0.22377,-0.35929,1.6689,-0.02154,1.02807,-78.47194,0.91242,-1.98636,-1.98636,5.52853,-2.19443,-0.02289,18.10726,63.93832
"6","2011_Q3",15.2078125,"Down",21028000,-1697000,19331000,-13052000,-4071000,-8946000,6279000,-7160000,-7545000,-7569000,385000,-881000,219000,-662000,-662000,-230000.000000001,-229999.999999999,-89000,-319000.000000001,26913000,17832000,20009000,20009000,13478000,1166000,12312000,60400000,222433000,24910000,4455000,5874000,14581000,247343000,307743000,11126000,11126000,4161000,4101000,46342000,13978000,257794000,304136000,3304000,204922000,-172000,-204447000,3607000,3607000,307743000,-230000.000000001,10202000,2732000,-2311000,10393000,-9804000,-8641000,-1855000,4637000,6389000,6389000,6389000,16481000,274871000,0.9193,0.2986,-0.01517,-0.08844,-0.00104,1.30335,84.31827,0.89318,-0.0859499999999995,-0.0859500000000004,5.66558,0.08164,-0.00109,15.04508,39.49005
"7","2011_Q4",13.6033333333333,"Down",19793000,-2104000,17689000,-13455000,-4303000,-9080000,4234000,-7750000,-7582000,-7603000,175000,-3516000,-235000,-3751000,-3751000,-10640000,-10640000,-89000,-10729000,26089000,16614000,24918000,24918000,12060000,1130000,10730000,63067000,210285000,25250000,5358000,5765000,12470000,235535000,298602000,17496000,17496000,3302000,3253000,53253000,14087000,251836000,305089000,3330000,205536000,-172000,-215181000,-6487000,-6487000,298602000,-10640000,9420000,9749000,3537000,12066000,-3505000,-6338000,-7169000,-6946000,-1218000,-1218000,-1218000,13654000,270204000,0.8937,0.21391,-0.54206,1.65392,-0.03593,1.18429,-47.03083,0.9049,-2.85192,-2.85192,5.26126,-2.6095,-0.03862,17.87864,57.65588
"8","2012_Q1",16.8785483870968,"Up",17695000,-1648000,16047000,-13592000,-3933000,-9187000,2455000,-7173000,-7312000,-7356000,306000,-4718000,-808000,-5526000,-5526000,-5777000,-5777000,-89000,-5866000,27320000,17843000,24502000,24502000,11571000,1121000,10236000,63393000,200974000,25770000,5622000,5765000,12893000,226744000,290137000,20854000,20854000,3752000,3677000,60436000,13222000,241174000,301610000,3357000,206386000,-172000,-221044000,-11473000,-11473000,290137000,-5777000,9188000,4832000,1944000,10187000,509000,-117000,-8841000,-8841000,1229000,1229000,1229000,11643000,263782000,0.90687,0.13874,-0.33151,0.51129,-0.02022,1.04893,-26.28868,0.90916,-1.55729,-1.55729,4.69763,-3.93703,-0.02209,20.30937,96.31853
"9","2012_Q2",15.4269841269841,"Down",20904000,-2435000,18469000,-15262000,-5893000,-9255000,3207000,-7229000,-7458000,-7477000,198000,-4022000,-846000,-4868000,151000,-133000,-133000,-89000,-222000,19512000,19512000,31905000,31905000,15763000,4041000,11722000,67180000,194203000,42247000,21063000,7101000,12562000,236450000,303630000,33475000,33475000,3934000,3184000,69788000,15965000,235976000,305764000,3385000,220938000,-172000,-226285000,-2134000,-2134000,303630000,-133000,9255000,-1326000,-5826000,1970000,-2016000,3558000,-13837000,-3859000,1669000,1669000,1669000,12462000,252390000,0.88352,0.15342,-0.01062,0.10403,-0.000730000000000001,0.96263,-143.2821,0.83124,-0.0492,-0.0492,4.633,-1.22319,-0.000829999999999997,18.68705,72.61553
"10","2012_Q3",13.2726984126984,"Down",22609000,-2928000,19681000,-15763000,-6306000,-9343000,3918000,-6454000,-7278000,-7259000,193000,-2536000,-84999.9999999999,-2621000,-2621000,-2611000,-2611000,-89000,-2700000,20270000,20270000,33711000,33711000,16624000,6200000,10424000,70605000,186869000,42570000,21166000,7101000,12151000,229439000,300044000,39150000,39150000,4739000,3989000,77260000,15692000,227188000,304448000,3412000,221341000,-172000,-228985000,-4404000,-4404000,300044000,-2611000,9343000,3040000,3486000,13258000,-1799000,-2389000,-10022000,-10111000,758000,758000,758000,13261000,244867000,0.87049,0.17329,-0.11942,0.61308,-0.009,0.91386,-69.12988,0.8161,-0.55901,-0.55901,4.68098,-1.61823,-0.01054,16.93666,57.3244
