"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",29.4031746031746,"Up",529426000,-159162000,370264000,-280818000,-264140000,-16678000,89446000,-43000,234000,-13000,247000,-277000,89403000,89403000,-32257000,57146000,-1924000,-1924000,55222000,55222000,55222000,422169000,215944000,206225000,58080000,58080000,11320000,76203000,47259000,10833000,567772000,303684000,623893000,177828000,374925000,3799000,43688000,927577000,1495349000,142726000,42203000,53433000,284998000,167677000,102644000,428493000,181906000,128026000,183429000,611922000,251887000,-313540000,944588000,492000,883427000,883427000,1495349000,55222000,16753000,31549000,-50056000,53468000,-19757000,-5846000,-30294000,-88754000,883000,64000,-89439000,-66265000,-66265000,-69122000,106199000,2292000,68643000,0.69937,0.16895,0.10431,0.06251,0.03693,1.24304,1.32504,0.69267,0.00153,0.671,0.6644,6.43304,10.73449,0.83408,7,0.05172,0.0643,-3.95368,-4.6942
"2","2010_Q3",21.1646875,"Down",527739000,-156918000,370821000,-274069000,-256920000,-17149000,96752000,-768000,220000,-32000,252000,-988000,95984000,95984000,-29714000,66270000,-1952000,-1952000,64318000,64318000,64318000,312687000,150326000,162361000,74796000,74796000,12468000,75190000,43879000,13121000,475141000,309902000,629741000,179821000,378732000,4207000,43425000,939643000,1414784000,120735000,48732000,59076000,246225000,137691000,93631000,367699000,168630000,117928000,169978000,537677000,257892000,-379006000,1008955000,-10734000,877107000,877107000,1414784000,64318000,17217000,23580000,-110718000,-5603000,-23399000,43737000,10373000,-64441000,835000,-4148000,-68290000,-63520000,-63520000,-65623000,113969000,2087000,9565999.99999997,0.70266,0.18333,0.12187,0.07333,0.04546,0.14873,1.2922,0.61301,0.00148,0.81011,0.79742,6.64709,11.04752,0.12049,6,0.06138,0.00913,-2.7253,-3.21027
"3","2010_Q4",18.90609375,"Down",524142000,-158112000,366030000,-326169000,-308386000,-17783000,39861000,924000,160000,-30000,190000,764000,40785000,40431000,-12567000,27864000,-1733000,-1733000,26131000,26131000,26131000,442503000,283515000,158988000,64366000,64366000,11078000,75165000,43561000,13324000,593112000,335836000,644172000,182351000,383821000,3984000,50525000,980008000,1573120000,111390000,47613000,62571000,364627000,210618000,134638000,476801000,173673000,130049000,175009000,651810000,263004000,-379140000,1035090000,2356000,921310000,921310000,1573120000,26131000,17843000,37535000,88141000,169650000,-38788000,3373000,-39601000,735000,735000,21000,-879000,129170000,129170000,133188000,57704000,2120000,119624000,0.69834,0.07605,0.04985,0.02836,0.01661,4.57786,1.24394,0.70748,0.00135,0.33108,0.32741,6.64093,11.67309,1.51565,8,0.02382,0.10904,-7.63176,-11.04797
"4","2011_Q1",22.2701612903226,"Up",488246000,-143229000,345017000,-258302000,-241245000,-17057000,86715000,160000,143000,-306000,449000,16999.9999999998,86875000,16800000,-4410000,12390000,-288000,-288000,12102000,12102000,12102000,449153000,289482000,159671000,62287000,62287000,13142000,100862000,52077000,10378000,625444000,366775000,579660000,118763000,381476000,5092000,55274000,946435000,1571879000,129621000,56013000,73608000,325600000,176102000,134398000,456004000,180268000,142539000,181491000,637495000,577665000,-191000,356991000,-81000.0000000009,934384000,934384000,1571879000,12102000,19811000,17442000,5389000,54744000,-45339000,-683000,-33286000,656000,656000,-16845000,-15117000,6341000,6341000,5967000.00000003,106526000,2006000,70986000,0.70665,0.17761,0.02479,0.01295,0.0077,5.86564,1.37158,0.68226,0.00128,0.15321,0.15163,6.18111,11.82914,0.89867,6,0.01084,0.06357,-4.19754,-5.15651
"5","2011_Q2",21.9874603174603,"Down",531700000,-165631000,366069000,-257194000,-237061000,-20133000,108875000,2002000,186000,-37000,223000,1816000,110877000,110877000,-40282000,70595000,2440000,2440000,73035000,73035000,73035000,399092000,239261000,159831000,64147000,64147000,11502000,96555000,34768000,25257000,571296000,359678000,568225000,118499000,384397000,4208000,42146000,927903000,1499199000,106388000,41469000,47665000,284174000,171205000,98061000,391424000,181021000,148045000,181582000,573006000,583318000,-95414000,430042000,8247000,926193000,926193000,1499199000,73035000,20366000,19550000,-53295000,59656000,-17533000,-160000,-21843000,-88623000,1292000,159000,-89105000,-51292000,-51292000,-50221000,129241000,1423000,98695000,0.68849,0.20477,0.13736,0.07886,0.04872,1.35134,1.45953,0.61867,0.00095,0.95923,0.95156,6.98328,12.1645,1.29625,6,0.06588,0.08902,-3.07696,-3.65253
"6","2011_Q3",18.30453125,"Down",484878000,-158012000,326866000,-244879000,-224605000,-20274000,81987000,193000,224000,-39000,263000,-30999.9999999995,82180000,79504000,-26085000,53419000,1934000,1934000,55353000,55353000,55353000,388760000,228821000,159939000,57968000,57968000,11085000,101064000,36634000,27879000,558877000,364757000,565042000,112731000,385325000,4770000,43373000,929799000,1488676000,101842000,47395000,45315000,258794000,159765000,85019000,361514000,175769000,145333000,176233000,537747000,589500000,-135441000,485413000,11457000,950929000,950929000,1488676000,55353000,20507000,16671000,-37435000,55096000,-24094000,-108000,-28515000,-38231000,1733000,162999.999999998,-38171000,-11590000,-11590000,-10440000,102494000,1342000,67050000,0.67412,0.16909,0.11416,0.05821,0.03718,1.21132,1.54593,0.5655,9e-04,0.73927,0.73223,6.47583,12.70022,0.89549,5,0.04907,0.05944,-3.77991,-4.72536
"7","2011_Q4",10.2973015873016,"Down",428411000,-152727000,275684000,-255803000,-233647000,-22156000,19881000,402000,219000,-44000,263000,183000,20283000,20283000,-6215000,14068000,-3434000,-3434000,10634000,10634000,10634000,449072000,289101000,159971000,57471000,57471000,10691000,97846000,36130000,25122000,615080000,360802000,556454000,108664000,381319000,4960000,42728000,917256000,1532336000,100404000,47571000,41292000,312451000,215367000,83650000,413706000,171467000,142404000,171782000,585488000,593753000,-142650000,496055000,-310000,946848000,946848000,1532336000,10634000,22446000,17454000,44131000,94665000,-19558000,-32000,-11087000,-6352000,802000,-12534000,-18997000,64581000,64581000,60280000,42327000,1166000,73115000,0.6435,0.04641,0.02482,0.01123,0.00694,6.87559,1.48676,0.61835,0.00076,0.14456,0.1433,5.82397,12.87178,0.99395,6,0.0095,0.06531,-10.58204,-22.52935
"8","2012_Q1",9.56854838709677,"Down",260592000,-68338000,192254000,-200246000,-186422000,-13824000,-7992000.00000001,-78000.0000000001,-95000,-35000,-60000.0000000001,17000,-8070000,-196918000,30125000,-166793000,46344000,46344000,-120449000,-120449000,-120449000,441199000,280592000,160607000,59960000,59960000,11334000,97985000,62176000,20767000,610478000,349719000,355923000,76286000,212626000,2673000,39433000,705642000,1316120000,90215000,48362000,41853000,238384000,144696000,84794000,329443000,180379000,142399000,180586000,510029000,591785000,-156275000,375717000,-5136000,806091000,806091000,1316120000,-120449000,22048000,112165000,7269000,21033000,-10889000,-636000,-4786000,-12869000,543000,-3767000,-16770000,-523000,-523000,-8509000.00000001,14056000,1051000,-19689000,0.73776,-0.03067,-0.46221,-0.14942,-0.09152,0.16346,1.85306,0.63272,8e-04,-1.80194,-1.79882,3.89851,12.05929,-0.29455,6,-0.12197,-0.01994,-31.31389,55.07357
"9","2012_Q2",6.65190476190476,"Down",431364000,-150739000,280625000,-232686000,-212973000,-19713000,47939000,233000,233000,-37000,270000,-186394.899555899,48172000,48089000,-6430000,41659000,10417000,10417000,52076000,52076000,52076000,389857000,229388000,160469000,61989000,61989000,9830000,119300000,69199000,35894000,580976000,341815000,356469000,76671000,213862000,9524000,39371000,698284000,1279260000,75057000,34174000,40883000,217816000,122496000,87070000,293287000,176788000,141086000,176895000,470182000,595041000,-213943000,427688000,292000,809078000,809078000,1279260000,52076000,20106000,12285000,-67115000,17352000,-12303000,138000,-12177000,-55954000,477000,-3555000,-60056000,-54881000,-54881000,-51204000,68045000,521000,-4943000,0.65055,0.11113,0.12072,0.06436,0.04071,-0.09492,1.98091,0.58113,0.00041,0.77907,0.77772,6.45329,12.10397,-0.07395,5,0.05279,-0.00501,-5.72174,-8.12149
"10","2012_Q3",4.26412698412698,"Down",364216000,-142258000,221958000,-241474000,-222043000,-19431000,-19516000,365000,442000,-28000,470000,-77000,-19151000,-104532000,18360000,-86172000,-14062000,-14062000,-100234000,-100234000,-100234000,369928000,209312000,160616000,55582000,55582000,10003000,95729000,73242000,8265000,531242000,327260000,280588000,74633000,130885000,9525000,48564000,607848000,1139090000,79900000,38380000,41520000,189866000,104557000,74237000,270165000,166592000,136345000,166592000,436757000,598403000,-213974000,327456000,-9552000,702333000,702333000,1139090000,-133380000,40449000,110868000,-2794999.99999999,15142000,-17193000,29547000,7739000,785000,785000,-2581000,-1989999.99999999,20891000,20891000,13440000,20933000,399000,-17415000,0.60941,-0.05358,-0.2752,-0.14272,-0.08799,0.17374,1.96636,0.62187,0.000349999999999999,-1.51792,-1.52059,5.51558,10.63593,-0.26373,5,-0.1153,-0.02003,-17.65294,18.93467
