"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","other_assets","total_assets","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2013_Q2",5.9096875,"Up",17067000,17067000,18135000,-1068000,15545.9713368784,17067000,-4055000,-4055000,13012000,13012000,-1080000,11932000,11932000,11932000,11932000,10072000,225723000,549242000,144072000,923512000,211944000,20383000,232327000,695635000,691185000,691185000,923512000,11932000,1146000,-1160000,11918000,-38369000,-16518000,-13078000,-808000,121704000,117104000,117104000,117104000,211944000,0.76241,0.59014,0.01457,0.01091,0.33613,0.2295,0.33455,0.33044,0.5669,22.95726,0.4344,0.02507,1.29845,-1.05895
"12","2013_Q3",5.4871875,"Down",17249000,17233000,18189000,-956000,16000,17249000,-4037000,-4037000,13212000,13212000,-1423000,11789000,11789000,11789000,11789000,9929000,156797000,591982000,144510000,898119000,191312000,20813000,212125000,695941000,685994000,685994000,898119000,11789000,955000,-1438000,11306000,-66229000,-42520000,-16607000,-473000,-37712000,-68926000,-68926000,-68926000,191312000,0.76596,0.57563,0.01447,0.01106,0.30922,0.21301,0.26922,0.26567,0.4677,18.59955,0.45029,0.02955,1.67258,2.6124
"13","2013_Q4",5.85390625,"Up",18789000,18786000,19671000,-885000,3000,18789000,-4418000,-4418000,14371000,14371000,-1471000,12900000,12900000,12900000,12900000,11040000,86824000,698567000,161687000,952751000,227167000,42697000,269864000,696706000,682887000,682887000,952751000,12900000,270000,-2543000,10627000,-52489000,-84012000,-16611000,-15831000,3412000,-69973000,-69973000,-69973000,227167000,0.76486,0.58758,0.01617,0.01159,0.39518,0.23843,0.29932,0.29535,0.50942,18.514,0.45037,0.02902,1.50462,9.76571
"14","2014_Q1",6.15475409836066,"Up",20022000,20021000,21468000,-1447000,1000,20022000,-5065000,-5065000,14957000,14957000,907000,15864000,15864000,15864000,15864000,14004000,20096000,880158000,1228000,907504000,202033000,22515000,224548000,697979000,682956000,682956000,907504000,15864000,-859000,-2873000,12132000,-99703000,-22769000,-16615000,-14343000,-56091000,-66728000,-66728000,-66728000,202033000,0.74703,0.69943,0.0205,0.01543,0.32879,0.22262,0.3787,0.37359,0.54144,18.46756,0.4493,0.03374,1.18645,12.164
"15","2014_Q2",6.32650793650794,"Up",19403000,19403000,21160000,-1757000,0,19403000,-4007000,-4007000,15396000,15396000,2184000,17580000,17580000,17580000,17580000,15720000,126473000,877233000,5685000,1015611000,166994000,21542000,327699000,702168000,687912000,687912000,1015611000,17580000,-2671000,-3501000,11408000,-8528000,8337000,-17335000,-4744000,86632000,106377000,106377000,106377000,306157000,0.79349,0.81018,0.02285,0.01548,0.47637,0.30145,0.42346,0.42098,0.52267,18.52975,0.46696,0.03255,1.10274,11.67082
"16","2014_Q3",6.4221875,"Up",23788000,23784000,29042000,-5258000,4000,23788000,-4445000,-4445000,19343000,19343000,4616000,23959000,23959000,23959000,23959000,22099000,63335000,1470169000,6063000,1554750000,446224000,119166000,704752000,860889000,849998000,849998000,1554750000,23959000,-4840000,-3395000,15724000,-421354000,-588189000,-16710000,-897000,509327000,-63138000,-63138000,-63138000,585586000,0.81314,0.929,0.026,0.01421,0.82912,0.37664,0.51526,0.51275,0.55464,19.81786,0.38961,0.02496,0.75614,26.99948
"17","2014_Q4",6.5284375,"Up",26592000,26570000,35357000,-8787000,22000,26592000,-4628000,-4628000,21964000,21876000,-2717000,19159000,19159000,19159000,19159000,17299000,58649000,1697825000,9466000,1783012000,537766000,143506000,927326000,868066000,855686000,855686000,1783012000,19159000,1956000,-7783000,13332000,-13881000,-198668000,-20600000,-3513000,180650000,-4686000,-4686000,-4686000,783820000,0.82596,0.65053,0.02022,0.0097,1.08372,0.4396,0.36925,0.36752,0.56761,18.26415,0.43971,0.02126,1.19082,33.01634
"18","2015_Q1",6.8583606557377,"Up",27057000,27049000,37788000,-10739000,8000,27057000,-5031000,-5031000,22026000,21957000,84000,22041000,22041000,22041000,22041000,20181000,40641000,1785033000,8644000,1845147000,622194000,121420000,990078000,868504000,855069000,855069000,1845147000,22041000,-10999.9999999991,4543000,26573000,-59313000,-108168000,-20599000,-241000,63587000,-18008000,-18008000,-18008000,868658000,0.81406,0.74587,0.0236,0.01094,1.15789,0.47078,0.42941,0.42729,0.57572,18.19347,0.43831,0.0221,1.02071,37.59271
"19","2015_Q2",7.1784126984127,"Up",28565000,28554000,40036000,-11482000,11000,28565000,-5696000,-5696000,22869000,22869000,2644000,25513000,25513000,25513000,25513000,23653000,39962000,1960409000,9366000,2022371000,575433000,153575000,975889000,1062648000,1046482000,1046482000,2022371000,25513000,3397000,-11499000,17411000,-212154000,-171565000,-21240000,-2438000,153475000,-679000,-679000,-679000,822314000,0.8006,0.82804,0.0226,0.0117,0.93254,0.40661,0.47722,0.47144,0.57633,21.11312,0.42854,0.0222,0.89798,34.21015
"20","2015_Q3",7.138125,"Down",32822000,32817000,44734000,-11917000,5000,32822000,-5946000,-5946000,26876000,27260000,-2604000,24656000,24656000,24656000,24656000,22796000,48848000,2262293000,9480000,2333438000,878352000,162937000,1288594000,1063441000,1044844000,1044844000,2333438000,24656000,-2408000,836000.000000004,23084000,-284056000,-288491000,-27734000,-671000,274293000,8886000,8886000,8886000,1125657000,0.81884,0.69453,0.02182,0.00977,1.23329,0.4824,0.39015,0.38623,0.56174,17.88164,0.47466,0.02165,1.21662,40.06582
"21","2015_Q4",7.518125,"Up",38926000,38690000,51578000,-12888000,236000,38926000,-6195000,-6195000,32731000,32842000,-6995000,25847000,25847000,25847000,25847000,23544000,20158000,2484329000,8892000,2527803000,735437000,160235000,1143408000,1409119000,1384395000,1384395000,2527803000,25847000,7723000,-11994000,21576000,-229502000,-224290000,-27741000,-747000,174024000,-28690000,-28690000,-28690000,983173000,0.84085,0.60484,0.01701,0.00931,0.82593,0.38894,0.39666,0.39283,0.65581,23.3218,0.46737,0.02029,1.17826,29.42211
"22","2016_Q1",7.27147540983607,"Down",44229000,43242000,55816000,-12574000,987000,44229000,-8274000,-8274000,35955000,38924000,-11684000,27240000,27240000,27240000,27240000,21379000,67415000,2628031000,236000,2712590000,918421000,170572000,1337166000,1410810000,1375424000,1375424000,2712590000,27240000,2792000,-3981000,26051000,-121174000,-106530000,-31574000,-31000.0000000002,127736000,47257000,47257000,47257000,1166594000,0.81293,0.48337,0.01554,0.00788,0.97218,0.43007,0.31744,0.31456,0.65673,20.42106,0.46882,0.01952,1.47687,30.57096
"23","2016_Q2",7.4740625,"Up",46807000,46805000,61447000,-14642000,2000,46807000,-13414000,-13414000,33393000,33461000,-14845000,18616000,18616000,18616000,18616000,12801000,23035000,2809948000,18000,2856496000,1083665000,167164000,1499446000,1410163000,1357050000,1357050000,2856496000,18616000,13064000,-18082000,13598000,-171521000,-183097000,-38668000,-1248000,125119000,-44380000,-44380000,-44380000,1332282000,0.71342,0.27348,0.00943,0.00448,1.10493,0.4664,0.18997,0.18735,0.69462,20.13699,0.57384,0.01802,3.0207,39.20723
"24","2016_Q3",7.87203125,"Up",46941000,46918000,62640000,-15722000,22999.9999999999,31941000,-10161000,-10161000,21780000,21839000,-11499000,10340000,10340000,10340000,10340000,4480000,38631000,2911974000,9297000,2979087000,1217935000,180560000,1647564000,1412094000,1331523000,1331523000,2979087000,10340000,27006000,-5854000,31492000,-120424000,-73915000.0000001,-37301000,-1643000,95329000,52906000,52906000,52906000,1467004000,0.46399,0.09544,0.00336,0.0015,1.23735,0.49243,0.06647,0.0655199999999999,0.69643,19.75315,0.55341,0.01402,8.32612,65.58186
"25","2016_Q4",8.2668253968254,"Up",53624000,53315000,70571000,-17256000,309000,53624000,-14255000,-14255000,39369000,39449000,30444000,69893000,69893000,69893000,69893000,60583000,254643000,2894976000,31303000,3198947000,1013162000,189222000,1451912000,1804475000,1747035000,1747035000,3198947000,69893000,-31617000,-3627000,34649000,-100994000,1676779000,-37302000,-895000,-1500529000,210899000,210899000,210899000,1262690000,0.73417,1.12977,0.03468,0.01894,0.83107,0.39472,0.84237,0.83148,0.74561,24.28896,0.51866,0.0306,0.61572,25.6051
"26","2017_Q1",8.99096774193548,"Up",54339000,53579000,69718000,-16139000,760000,54339000,-10541000,-10541000,43798000,43495000,15532000,59027000,59027000,59027000,59027000,49717000,200996000,3260986000,20995000,3482977000,1139803000,160953000,1550750000,1983924000,1932227000,1932227000,3482977000,59027000,-10086000,-4794000,44147000,-409555000,-353238000,-46898000,-637000,255577000,-53514000,-53514000,-53514000,1389797000,0.80601,0.91494,0.02573,0.01427,0.80257,0.39903,0.6006,0.5943,0.65644,23.33993,0.56655,0.02774,0.943300000000001,27.14281
"27","2017_Q2",9.71063492063492,"Up",57920000,57812000,74842000,-17030000,108000,57920000,-13190000,-13190000,44730000,45188000,1937000,47125000,47125000,47125000,47125000,37815000,142905000,3640256000,3107000,3808565000,1477281000,151840000,1879589000,1985387000,1928976000,1928976000,3808565000,47125000,-3032000,-18519000,25574000,-443292000,-374945000,-52257000,-4452000,283526000,-65845000,-65845000,-65845000,1727749000,0.77227,0.65288,0.0196,0.00993,0.9744,0.45365,0.41277,0.40662,0.63223,21.05382,0.57041,0.02365,1.38191,35.43134
"28","2017_Q3",9.6131746031746,"Down",62468000,62224000,81429000,-19205000,244000,57468000,-12943000,-12943000,44525000,41220000,-4986000,36234000,36234000,36234000,36234000,26924000,214016000,3590483000,40000,3826537000,1330909000,81987000,1663845000,2237748000,2162692000,2162692000,3826537000,36234000,13268000,-3614000,45888000,-106368000,66542000.0000001,-52087000,-1250000,-38357000.0000001,74073000,74073000,74073000,1581858000,0.71276,0.431,0.01245,0.00704,0.76934,0.41339,0.28214,0.27815,0.65461,22.66112,0.54582,0.02065,1.93459,30.72076
"29","2017_Q4",10.0407936507937,"Up",71600000,71242000,91096000,-19854000,358000,71600000,-12938000,-12938000,58662000,58662000,9693000,68355000,68355000,68355000,68355000,57207000,140229000,3750578000,14240000,3932942000,1278631000,84823000,1835365000,2164594000,2097577000,2097577000,3932942000,68355000,-12252000,-14088000,42015000,-257202000,-200369000,-58812000,-3242000,26978000,-131376000,-131376000,-131376000,1750542000,0.8193,0.79898,0.02727,0.01455,0.87499,0.4451,0.54252,0.53558,0.67902,19.89088,0.55774,0.0295,1.02806,27.4507
"30","2018_Q1",10.2145901639344,"Up",69416000,69186000,91154000,-21968000,230000,69416000,-13306000,-13306000,56110000,56110000,-14793000,41317000,41317000,41317000,41317000,34324000,77671000,3982514000,28420000,4088605000,1330847000,84718000,2000462000,2171149000,2088143000,2088143000,4088605000,41317000,-28752000,28831000,41396000,-400642000,-211942000,-56528000,-6234000,107912000,-62634000,-62634000,-62634000,1915744000,0.80832,0.49447,0.01644,0.0084,0.95801,0.46856,0.32094,0.31687,0.64906,19.52332,0.52855,0.02222,1.64689,32.75839
"31","2018_Q2",10.48703125,"Up",63430000,63227000,85967000,-22740000,203000,63430000,-13090000,-13090000,50340000,50340000,-907000,49433000,49433000,49433000,49433000,42598000,98310000,4097775000,46087000,4242172000,1212749000,95921000,1894642000,2445266000,2347530000,2347530000,4242172000,49433000,39467000,-621000,88279000,-139851000,-155071000,-64163000,-2272000,87431000,20639000,20639000,20639000,1798721000,0.79363,0.67157,0.01815,0.01004,0.80708,0.42401,0.38651,0.38078,0.57553,21.29892,0.58218,0.02517,1.50624,33.77853
"32","2018_Q3",11.1957142857143,"Up",71122000,70779000,99216000,-28437000,343000,66122000,-14665000,-14665000,51457000,51457000,3889000,55346000,55346000,55346000,55346000,48512000,76384000,4877032000,27584000,4.981e+09,1960874000,90410000,2638347000,2449203000,2342653000,2342653000,4.981e+09,55346000,20406000,7587000,83339000,-817988000,-797838000,-64161000,-9230000,692573000,-21926000,-21926000,-21926000,2547937000,0.7235,0.6821,0.02071,0.00974,1.12622,0.51153,0.39434,0.38925,0.57813,19.04175,0.52155,0.02262,1.32258,48.03142
"33","2018_Q4",11.0968253968254,"Down",77907000,77480000,108487000,-31007000,427000,77907000,-15358000,-15358000,62549000,62549000,-332000,62217000,62217000,62217000,62217000,55381000,99188000,4843387000,31894000,4974469000,1996871000,89053000,2456098000,2631806000,2518371000,2518371000,4974469000,62217000,-6699000,-6008000,49510000,45525000,45525000,-69101000,-242000,-72231000,22804000,22804000,22804000,2367045000,0.80287,0.71086,0.02199,0.01113,0.97527,0.47584,0.42868,0.35981,0.60305,19.49273,0.53489,0.02502,1.24774,36.25729
"34","2019_Q1",11.1160655737705,"Up",76833000,77806000,110219000,-32413000,-973000,61833000,-12343000,-12343000,49490000,49490000,3500000,52990000,52990000,52990000,52990000,46155000,109806000,4952293000,33720000,5095819000,1879522000,114550000,2586072000,2639780000,2509747000,2509747000,5095819000,52990000,1049000,-9203000,44836000,-111538000,-91538000,-57132000,-4077000,57320000,10618000,10618000,10618000,2471522000,0.64412,0.60072,0.01839,0.00906,1.03041,0.48501,0.34401,0.20525,0.57266,18.70497,0.42582,0.02027,1.23783,47.72107
"35","2019_Q2",11.7847619047619,"Up",82830000,82830000,119125000,-36295000,-9288080.1544505,82830000,-15246000,-15246000,67584000,67584000,174000,67758000,67758000,67758000,67758000,60923000,109343000,5195714000,36540000,5341597000,2141939000,101170000,2801773000,2672463000,2539824000,2539824000,5341597000,67758000,-8088000,-2469000,57201000,-224779000,-242959000,-69597000,-91000,185295000,-463000,-463000,-463000,2700603000,0.81594,0.73552,0.02399,0.01141,1.10314,0.50558,0.4526,0.36994,0.61535,18.86842,0.51704,0.02443,1.14238,38.34132
