"","YQ","p","d","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","derivative_hedging_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","liabilities_from_derivatives_hedging_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2016_Q1",30.2739344262295,"Up",-1.07e+09,-5.73e+08,-1.7e+08,-3.27e+08,-1.07e+09,-5.5e+07,-7.6e+07,3e+06,1.8e+07,-1.125e+09,2.8e+07,7.4e+07,1.02e+08,1.02e+08,1.02e+08,1.02e+08,4.27e+08,1.044e+09,1.044e+09,9.8e+07,9.05e+08,2.85e+08,8.8e+07,5.32e+08,2.474e+09,2.0711e+10,4.49e+08,7.109e+09,5.56e+08,3.115e+09,8.9e+07,3.349e+09,2.8269e+10,3.0743e+10,1.199e+09,5.5e+07,6.1e+07,1.083e+09,2.06e+08,6.3e+08,9.1e+07,5.39e+08,2.035e+09,6.371e+09,7.271e+09,1.202e+09,1.553e+09,2.798e+09,9.4e+07,1.624e+09,1.3642e+10,1.5677e+10,1.3656e+10,1.449e+09,-5.2e+07,1.5053e+10,1.3e+07,1.5066e+10,3.0743e+10,1.02e+08,1.7e+08,1.79e+08,-5.1e+07,4e+08,-4.12e+08,5.4e+07,-9.05e+08,-7e+07,-4.6e+07,-1.16e+08,-6.21e+08,-6.21e+08,-6.21e+08,-9e+08,6.577e+09,-1.437e+09,0.00677,0.00332,-14.08824,1.21572,1.04055,0.21393,0.38879,0.38869,57.37693,-5.47736,0.00353,-0.0497,-6.83333,-5.74766
"2","2016_Q2",32.21515625,"Up",-1.321e+09,-5.51e+08,-2.05e+08,-5.65e+08,-1.321e+09,-3.3e+07,-8.4e+07,2e+06,4.9e+07,-1.354e+09,3.16e+08,-1.04e+08,2.12e+08,2.12e+08,2.12e+08,2.12e+08,4.03e+08,1.028e+09,1.028e+09,1.11e+08,7.81e+08,2.71e+08,9.4e+07,4.16e+08,2.323e+09,2.0698e+10,4.2e+08,7.098e+09,5.48e+08,3.113e+09,7.7e+07,3.36e+09,2.8216e+10,3.0539e+10,1.053e+09,5.4e+07,1.95e+08,8.04e+08,1.66e+08,6.02e+08,8.1e+07,5.21e+08,1.821e+09,6.326e+09,7.268e+09,1.204e+09,1.538e+09,2.854e+09,1.15e+08,1.557e+09,1.3594e+10,1.5415e+10,1.3656e+10,1.527e+09,-7.2e+07,1.5111e+10,1.3e+07,1.5124e+10,3.0539e+10,2.12e+08,2.05e+08,1.8e+08,-2.01e+08,3.96e+08,-2.76e+08,7.5e+07,-2.01e+08,-2.03e+08,-1.7e+07,-2.2e+08,-2.5e+07,-2.5e+07,-2.5e+07,-1.116e+09,6.492e+09,-1.489e+09,0.01402,0.00694,-7.02358,1.27567,1.01924,0.21258,0.68431,0.68431,48.77663,-4.80633,0.00734,-0.05155,-5.45609,-4.60939
"3","2016_Q3",34.47953125,"Up",-1.117e+09,-5.58e+08,-2.13e+08,-3.46e+08,-1.117e+09,-4.8e+07,-6.8e+07,0,2e+07,-1.165e+09,2.74e+08,-1.72e+08,1.02e+08,1.02e+08,1.02e+08,1.02e+08,3.96e+08,9.6e+08,9.6e+08,1.06e+08,7.73e+08,1.79e+08,8.8e+07,5.06e+08,2.235e+09,2.083e+10,4.25e+08,6.921e+09,5.47e+08,3.113e+09,7.3e+07,3.188e+09,2.8176e+10,3.0411e+10,1.135e+09,5e+07,1.93e+08,8.92e+08,1.68e+08,6.19e+08,8.7e+07,5.32e+08,1.922e+09,6.23e+09,7.194e+09,1.19e+09,1.518e+09,2.89e+09,9.8e+07,1.498e+09,1.3424e+10,1.5346e+10,1.3654e+10,1.496e+09,-9.4e+07,1.5052e+10,1.3e+07,1.5065e+10,3.0411e+10,1.02e+08,2.13e+08,2e+08,-5e+06,5.1e+08,-3.55e+08,1.9e+07,-3.36e+08,-6e+06,-3.8e+07,-1.82e+08,-8e+06,-8e+06,-8e+06,-9.04e+08,6.398e+09,-1.092e+09,0.00677,0.00335,-10.70588,1.16285,1.01865,0.21038,0.32924,0.32924,48.58618,-3.52485,0.00824,-0.03811,-6.63938,-5.37332
"4","2016_Q4",30.4349206349206,"Down",-1.201e+09,-5.53e+08,-2.03e+08,-4.45e+08,-1.201e+09,-5.5e+07,-6e+07,2e+06,3e+06,-1.256e+09,1.62e+08,-5.3e+07,1.09e+08,1.09e+08,1.09e+08,1.09e+08,1.82e+08,9.72e+08,9.72e+08,1.07e+08,8.92e+08,3.08e+08,6.9e+07,5.15e+08,2.153e+09,2.1124e+10,4.25e+08,6.907e+09,5.41e+08,3.113e+09,9.3e+07,3.16e+09,2.8456e+10,3.0609e+10,1.368e+09,6.7e+07,1.94e+08,1.107e+09,1.87e+08,5.98e+08,6.7e+07,5.31e+08,2.153e+09,6.161e+09,7.244e+09,1.155e+09,1.5e+09,2.974e+09,1.01e+08,1.514e+09,1.3405e+10,1.5558e+10,1.3655e+10,1.471e+09,-8.4e+07,1.5038e+10,1.3e+07,1.5051e+10,3.0609e+10,1.09e+08,2.03e+08,1.24e+08,-1.28e+08,3.08e+08,-3.55e+08,2.7e+07,-3.28e+08,-3.9e+07,-2.2e+07,-1.94e+08,-2.14e+08,-2.14e+08,-2.14e+08,-9.98e+08,6.348e+09,-1.428e+09,0.00724,0.00356,-13.10092,1,1.03369,0.20739,0.35184,0.35184,48.54099,-4.60943,0.00845,-0.04986,-6.17836,-5.13405
"5","2017_Q1",32.9845161290323,"Up",-1.185e+09,-5.44e+08,-1.83e+08,-4.58e+08,-1.185e+09,-4.9e+07,-5.6e+07,3e+06,4e+06,-1.234e+09,2.57e+08,-4.8e+07,2.09e+08,2.09e+08,2.09e+08,2.09e+08,9.1e+07,1.144e+09,1.144e+09,1.32e+08,8.85e+08,2.55e+08,9.9e+07,5.31e+08,2.252e+09,2.1548e+10,4.42e+08,7.067e+09,5.38e+08,3.124e+09,7.3e+07,3.332e+09,2.9057e+10,3.1309e+10,1.711e+09,5.2e+07,1.94e+08,1.465e+09,3.49e+08,6.52e+08,7.5e+07,5.77e+08,2.712e+09,6.263e+09,7.126e+09,1.106e+09,1.483e+09,2.89e+09,7.8e+07,1.569e+09,1.3389e+10,1.6101e+10,1.3656e+10,1.63e+09,-8.6e+07,1.5195e+10,1.3e+07,1.5208e+10,3.1309e+10,2.09e+08,1.83e+08,-4.1e+07,-4e+06,3.47e+08,-6.71e+08,9e+06,-6.62e+08,3.72e+08,-1.3e+07,2.24e+08,-9.1e+07,-9.1e+07,-9.1e+07,-1.002e+09,6.612e+09,-1.629e+09,0.01374,0.00668,-7.79426,0.83038,1.05872,0.21119,0.67714,0.67448,49.23049,-5.27782,0.01185,-0.05628,-6.50798,-5.50295
"6","2017_Q2",36.1973015873016,"Up",-1.331e+09,-5.22e+08,-1.97e+08,-6.12e+08,-1.331e+09,-8.5e+07,-7.1e+07,2e+06,-1.6e+07,-1.416e+09,3.42e+08,-1.03e+08,2.39e+08,2.39e+08,2.39e+08,2.39e+08,3e+07,1.134e+09,1.134e+09,1.13e+08,8.21e+08,2.81e+08,5.7e+07,4.83e+08,2.098e+09,2.1797e+10,4.41e+08,7.06e+09,5.34e+08,3.124e+09,7.6e+07,3.326e+09,2.9298e+10,3.1396e+10,1.632e+09,6.1e+07,1.99e+08,1.372e+09,3.25e+08,6.31e+08,5e+07,5.81e+08,2.588e+09,6.262e+09,7.294e+09,1.106e+09,1.464e+09,3.068e+09,8e+07,1.576e+09,1.3556e+10,1.6144e+10,1.3656e+10,1.649e+09,-6.1e+07,1.5239e+10,1.3e+07,1.5252e+10,3.1396e+10,2.39e+08,1.97e+08,1.07e+08,-1.02e+08,4.41e+08,-5.24e+08,1e+07,-5.14e+08,1.74e+08,-2.8e+07,12000000.0000001,-6.1e+07,-6.1e+07,-6.1e+07,-1.134e+09,6.587e+09,-1.657e+09,0.01567,0.00761,-6.93305,0.81066,1.05848,0.2098,0.77221,0.77221,49.23748,-5.3538,0.0128,-0.05688,-5.78219,-4.92637
"7","2017_Q3",38.1974603174603,"Up",-1.079e+09,-4.93e+08,-2.06e+08,-3.8e+08,-1.079e+09,-8.8e+07,-6.8e+07,1e+06,-2.1e+07,-1.167e+09,1.64e+08,-4.4e+07,1.2e+08,1.2e+08,1.2e+08,1.2e+08,3.6e+07,9.99e+08,9.99e+08,1.09e+08,7.88e+08,1.97e+08,4.9e+07,5.42e+08,1.932e+09,2.229e+10,4.5e+08,6.813e+09,5.31e+08,3.124e+09,7e+07,3.088e+09,2.9553e+10,3.1485e+10,1.581e+09,5.6e+07,1.94e+08,1.331e+09,3.07e+08,5.84e+08,3.7e+07,5.47e+08,2.472e+09,6.532e+09,7.24e+09,1.074e+09,1.449e+09,3.107e+09,7.2e+07,1.538e+09,1.3772e+10,1.6244e+10,1.3658e+10,1.639e+09,-6.2e+07,1.5227e+10,1.4e+07,1.5241e+10,3.1485e+10,1.2e+08,2.06e+08,8.5e+07,7.3e+07,4.84e+08,-5.42e+08,1.1e+07,-5.31e+08,2.24e+08,-3.3e+07,5.4e+07,7e+06,7e+06,7e+06,-8.73e+08,6.839e+09,-1.298e+09,0.00787,0.00381,-10.81667,0.78155,1.06581,0.21721,0.38772,0.38772,49.19871,-4.19386,0.00866,-0.04427,-7.79267,-6.30491
"8","2017_Q4",41.9565079365079,"Up",-1.123e+09,-5.31e+08,-2.05e+08,-3.87e+08,-1.123e+09,-8.6e+07,-7.1e+07,-1.86264514923096e-09,-1.5e+07,-1.209e+09,1.32e+08,-3.2e+07,1e+08,1e+08,9.9e+07,9.9e+07,2.7e+07,9.6e+08,9.6e+08,1.14e+08,9.2e+08,3.07e+08,4.8e+07,5.65e+08,2.021e+09,2.2682e+10,4.67e+08,6.751e+09,5.24e+08,3.124e+09,7.3e+07,3.03e+09,2.99e+10,3.1921e+10,2.052e+09,6.2e+07,1.97e+08,1.793e+09,2.67e+08,6.15e+08,3.9e+07,5.76e+08,2.934e+09,6.538e+09,7.232e+09,1.076e+09,1.432e+09,3.147e+09,6.8e+07,1.509e+09,1.377e+10,1.6704e+10,1.3659e+10,1.605e+09,-5.4e+07,1.5202e+10,1.5e+07,1.5217e+10,3.1921e+10,1e+08,2.05e+08,5.4e+07,3.8e+07,3.97e+08,-6.29e+08,7e+06,-6.22e+08,3.69e+08,-1.9e+07,2.17e+08,-7999999.99999999,-7999999.99999999,-7999999.99999999,-9.18e+08,6.805e+09,-1.477e+09,0.00651,0.0031,-14.91919,0.68882,1.09772,0.21318,0.31987,0.31987,49.11793,-4.77221,0.00793,-0.05049,-7.38344,-6.03562
"9","2018_Q1",40.7873770491803,"Down",-1.283e+09,-5.45e+08,-2.16e+08,-5.22e+08,-1.283e+09,-1.23e+08,-7e+07,-4.3e+07,-1e+07,-1.406e+09,-5.15e+08,4.38e+08,-7.7e+07,-7.7e+07,-7.7e+07,-7.7e+07,4.1e+07,1.05e+09,1.05e+09,1.15e+08,1.054e+09,2.73e+08,1.8e+07,4.06e+08,2.26e+09,2.2669e+10,4.15e+08,6.327e+09,3.28e+08,3.127e+09,6.3e+07,2.809e+09,2.9411e+10,3.1671e+10,2.197e+09,8.9e+07,1.91e+08,1.917e+09,1.83e+08,7.34e+08,2.2e+07,7.12e+08,3.114e+09,8.435e+09,5.026e+09,1.049e+09,1.446e+09,1.452e+09,9.2e+07,9.87e+08,1.3461e+10,1.6575e+10,1.3656e+10,1.475e+09,-4.6e+07,1.5077e+10,1.9e+07,1.5096e+10,3.1671e+10,-7.7e+07,2.16e+08,3.11e+08,-9e+06,4.41e+08,-7.09e+08,3.5e+07,-6.74e+08,4.08e+08,-2.9e+07,2.45e+08,1.2e+07,1.2e+07,1.2e+07,-1.067e+09,8.618e+09,-2.223e+09,-0.0051,-0.00243,28.87013,0.72575,1.09797,0.27211,-0.24878,-0.24827,48.71225,-7.18229,0.00198,-0.07735,-8.03843,-6.68511
"10","2018_Q2",43.65078125,"Up",-1.457e+09,-5.27e+08,-2.03e+08,-7.27e+08,-1.457e+09,-9.3e+07,-7.4e+07,2e+06,-2.1e+07,-1.55e+09,3.1e+08,-72000000.0000001,2.38e+08,2.38e+08,2.44e+08,2.44e+08,4e+07,1.121e+09,1.121e+09,1.23e+08,7.17e+08,2.32e+08,2e+07,3.66e+08,2.001e+09,2.2757e+10,4.11e+08,6.314e+09,3.27e+08,3.127e+09,6.3e+07,2.797e+09,2.9482e+10,3.1483e+10,1.882e+09,5.9e+07,1.99e+08,1.624e+09,2.14e+08,6.2e+08,2.4e+07,5.96e+08,2.716e+09,8.447e+09,5.001e+09,1.044e+09,1.429e+09,1.51e+09,1.03e+08,9.15e+08,1.3448e+10,1.6164e+10,1.3657e+10,1.579e+09,-5.7e+07,1.5171e+10,1.48e+08,1.5319e+10,3.1483e+10,2.38e+08,2.03e+08,1.06e+08,5e+07,5.97e+08,-3.32e+08,8999999.99999999,-3.23e+08,-1.34e+08,-6999999.99999999,-2.75e+08,-1e+06,-1e+06,-1e+06,-1.254e+09,8.661e+09,-1.464e+09,0.01593,0.00775,-6.00000000000001,0.73675,1.05516,0.2751,0.78833,0.78762,49.01561,-4.73,0.01304,-0.05052,-6.8748,-5.91695
