"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",13.0303174603175,"Down",3.006e+09,-1.802e+09,1.204e+09,-7.28e+08,-1.24e+08,-1.6e+08,4.76e+08,-1.03e+08,-1.11e+08,8e+06,3.73e+08,3.73e+08,-1.26e+08,2.47e+08,2.55e+08,2.5e+08,2.5e+08,1.724e+09,1.724e+09,5.03e+08,5.03e+08,3.39e+08,4.655e+09,1.95e+08,1.112e+09,7.221e+09,1.3058e+10,2.1314e+10,-8.256e+09,4.018e+09,7.54e+08,6.08e+08,2.656e+09,1.7714e+10,2.4935e+10,1.234e+09,7.96e+08,2.66e+08,1.72e+08,5.89e+08,5.89e+08,190771175.468033,3.969e+09,3.969e+09,5.792e+09,7.652e+09,5.28e+09,1.104e+09,1.104e+09,2.313e+09,1.863e+09,1.2932e+10,1.8724e+10,2.314e+09,3.866e+09,-2.88e+08,5.892e+09,6.211e+09,2.4935e+10,2.55e+08,2.55e+08,1.61e+08,-1.1e+08,4.92e+08,7.98e+08,-2.83e+08,-2.2e+07,-3.1e+08,-1.31e+08,5.61e+08,1.4e+07,-1.4e+07,4.3e+08,9.18e+08,9.18e+08,5e+06,9.23e+08,6.37e+08,8.241e+09,9.72e+08,0.40053,0.15835,0.08317,0.04025,0.01003,3.888,1.24672,3.01465,0.3305,0.66187,0.6614,7.95834,15.59898,2.57336,0.34682,0.01931,0.04926,0.524,10.23077,13.69118
"2","2010_Q3",13.5709375,"Up",1.473e+09,-5.5e+08,9.23e+08,-6.97e+08,-1.25e+08,-1.53e+08,2.26e+08,-1.31e+08,-1.31e+08,-3.72529029846191e-09,95000000.0000001,9.2e+07,-6999999.99999999,85000000.0000001,9.2e+07,8.5e+07,8.5e+07,4.505e+09,4.505e+09,4.46e+08,4.46e+08,3.78e+08,3.27e+09,2.56e+08,8.84e+08,8.599e+09,1.3048e+10,2.1293e+10,-8.245e+09,3.669e+09,7.21e+08,6.02e+08,2.346e+09,1.7314e+10,2.5913e+10,1.051e+09,7.3e+08,2.45e+08,7.6e+07,4.66e+08,4.66e+08,346385587.734016,2.678e+09,2.678e+09,4.195e+09,8.711e+09,4.802e+09,7.81e+08,7.81e+08,2.32e+09,1.701e+09,1.3513e+10,1.7708e+10,4.558e+09,3.818e+09,-4.39e+08,7.937e+09,8.205e+09,2.5913e+10,9.2e+07,9.2e+07,1.84e+08,9.3e+07,-5.95e+08,-2.26e+08,-3.41e+08,1.95e+08,-1.48e+08,-1.32e+08,1.028e+09,2.396e+09,-1.27e+08,3.165e+09,2.791e+09,2.791e+09,-1e+07,2.781e+09,4.1e+08,9.177e+09,-5.19e+08,0.62661,0.15343,0.05771,0.01036,0.00328,-6.10588,2.04982,2.1582,0.35415,0.22257,0.22247,3.85707,20.78315,-1.35901,0.34564,0.00978,-0.0234,1.55294,11.39512,20.67257
"3","2010_Q4",13.56375,"Down",2.179e+09,-1.008e+09,1.171e+09,-6.49e+08,-1.27e+08,-1.56e+08,5.22e+08,-1.97e+08,-1.71e+08,-2.6e+07,3.25e+08,3.25e+08,-1.9e+07,3.06e+08,2.53e+08,2.48e+08,2.48e+08,4.853e+09,4.853e+09,4.94e+08,4.94e+08,3.38e+08,3.507e+09,1.49e+08,7.2e+08,9.192e+09,1.2911e+10,2.1221e+10,-8.31e+09,4.001e+09,7.56e+08,6.01e+08,2.644e+09,1.7536e+10,2.6728e+10,1.209e+09,7.33e+08,3.41e+08,1.35e+08,1.81e+08,1.81e+08,450128529.244672,2.955e+09,2.955e+09,4.345e+09,8.839e+09,4.952e+09,7.8e+08,7.8e+08,2.468e+09,1.704e+09,1.3791e+10,1.8136e+10,4.587e+09,3.897e+09,-1.6e+08,8.324e+09,8.592e+09,2.6728e+10,2.53e+08,2.53e+08,1.98e+08,4.05e+08,2.68e+08,1.124e+09,-3.56e+08,-2.3e+07,-3.82e+08,-1.34e+08,-2.82e+08,1.5e+07,-8e+06,-4.09e+08,3.33e+08,3.33e+08,1.5e+07,3.48e+08,7.2e+08,9.02e+09,6.51e+08,0.5374,0.23956,0.11381,0.02886,0.00928,2.625,2.11554,2.1108,0.33747,0.51393,0.51371,4.51558,17.24995,1.34908,0.27769,0.01693,0.02885,0.54032,5.7875,7.98276
"4","2011_Q1",13.1882258064516,"Down",1.863e+09,-3.62e+08,1.501e+09,-8.59e+08,-1.8e+08,-1.52e+08,6.42e+08,-1.93e+08,-1.8e+08,-1.3e+07,4.49e+08,4.49e+08,-1.11e+08,3.38e+08,3.59e+08,3.55e+08,3.55e+08,1.088e+09,9.25e+08,6.52e+08,6.52e+08,6.43e+08,3.805e+09,4.35e+08,1.078e+09,6.188e+09,2.0823e+10,2.93e+10,-8.477e+09,5.133e+09,1.761e+09,9.66e+08,2.406e+09,2.6649e+10,3.2837e+10,1.502e+09,1.028e+09,3.4e+08,1.34e+08,1.196e+09,6.94e+08,5.02e+08,2.516e+09,2.516e+09,5.214e+09,1.2161e+10,6.984e+09,1.496e+09,1.496e+09,2.563e+09,2.925e+09,1.9145e+10,2.4359e+10,4.607e+09,4.082e+09,-4.79e+08,8.21e+09,8.478e+09,3.2837e+10,3.59e+08,3.59e+08,2.37e+08,2.2e+08,-4.79e+08,3.37e+08,-6.17e+08,44000000.0000001,-5.77e+08,-1.69e+08,3.385e+09,1.6e+07,-6.923e+09,-3.691e+09,-3.931e+09,-3.931e+09,3e+06,-3.928e+09,8.79e+08,1.3357e+10,-1.06e+08,0.80569,0.34461,0.19055,0.04187,0.01081,-0.298589999999999,1.1868,2.8732,0.40677,0.73466,0.7343,3.85543,16.99037,-0.21936,0.34974,0.01818,-0.00368,0.47606,13.95791,19.11059
"5","2011_Q2",14.3603174603175,"Up",2.91e+09,-1.128e+09,1.782e+09,-9.77e+08,-2.08e+08,-1.86e+08,8.05e+08,-1.79e+08,-1.74e+08,-5e+06,6.26e+08,6.25e+08,-2.23e+08,4.02e+08,4.05e+08,4.01e+08,4.01e+08,1.245e+09,1.245e+09,7.34e+08,7.34e+08,6.21e+08,3.147e+09,5.23e+08,8.39e+08,5.747e+09,2.1182e+10,2.9837e+10,-8.655e+09,5.092e+09,1.792e+09,9.63e+08,2.337e+09,2.6994e+10,3.2741e+10,1.479e+09,9.41e+08,3.98e+08,1.4e+08,1.383e+09,8.81e+08,5.02e+08,2.04e+09,2.04e+09,4.902e+09,1.2247e+10,6.794e+09,1.094e+09,1.094e+09,2.839e+09,2.861e+09,1.9041e+10,2.3943e+10,4.642e+09,4.312e+09,-4.24e+08,8.53e+09,8.798e+09,3.2741e+10,4.05e+08,4.05e+08,2.55e+08,-8.2e+07,-3.82e+08,1.96e+08,-4.28e+08,5.3e+08,9.8e+07,-1.7e+08,1.87e+08,1.6e+07,-2e+07,1.3e+07,3.07e+08,3.07e+08,1.3e+07,3.2e+08,1.06e+09,1.363e+10,4.73e+08,0.61237,0.27663,0.1378,0.04558,0.01225,1.17955,1.17238,2.72141,0.4163,0.82828,0.82792,6.01068,17.61894,0.97699,0.35114,0.01954,0.01619,0.42394,11.68396,15.38509
"6","2011_Q3",14.8796875,"Up",2.489e+09,-7.39e+08,1.75e+09,-1.155e+09,-2.37e+08,-1.95e+08,5.95e+08,-2.98e+08,-2.64e+08,-3.4e+07,2.97e+08,2.97e+08,-9.6e+07,2.01e+08,2e+08,1.96e+08,1.96e+08,1.269e+09,1.269e+09,7.12e+08,7.12e+08,6.47e+08,2.736e+09,3.44e+08,9.25e+08,5.364e+09,2.6608e+10,3.5433e+10,-8.825e+09,7.839e+09,4.19e+09,1.078e+09,2.571e+09,3.5173e+10,4.0537e+10,1.738e+09,1.246e+09,3.82e+08,1.1e+08,9.33e+08,4.31e+08,5.02e+08,1.922e+09,1.922e+09,4.593e+09,1.7532e+10,7.493e+09,1.015e+09,1.015e+09,3.434e+09,3.044e+09,2.5025e+10,2.9618e+10,6.78e+09,4.306e+09,-4.35e+08,1.0651e+10,1.0919e+10,4.0537e+10,2e+08,2e+08,3.17e+08,3.6e+07,6.5e+07,6.18e+08,-5.75e+08,-56000000.0000001,-6.34e+08,-1.7e+08,3.842e+09,2.25e+09,-5.851e+09,71000000.0000005,5.5e+07,55000000.0000005,-3.1e+07,2.4e+07,9.12e+08,1.8465e+10,4.98e+08,0.70309,0.23905,0.07875,0.01795,0.00484,2.54082,1.16786,2.71252,0.45551,0.34897,0.34874,4.43157,18.9637,0.88667,0.30268,0.00992,0.0135,0.86735,18.85526,28.90084
"7","2011_Q4",15.7334920634921,"Up",3.12e+09,-1.141e+09,1.979e+09,-1.212e+09,-2.52e+08,-2.25e+08,7.67e+08,-2.03e+08,-2.4e+08,3.7e+07,5.64e+08,5.59e+08,-1.1e+08,4.49e+08,4.49e+08,4.44e+08,4.44e+08,1.527e+09,1.511e+09,7.53e+08,7.53e+08,6.33e+08,2.499e+09,1.66e+08,9.4e+08,5.412e+09,2.6922e+10,3.595e+10,-9.028e+09,7.951e+09,4.196e+09,1.074e+09,2.681e+09,3.5544e+10,4.0956e+10,1.73e+09,1.12e+09,5.01e+08,1.09e+08,9.3e+08,4.28e+08,5.02e+08,1.88e+09,1.88e+09,4.54e+09,1.7675e+10,7.625e+09,1.027e+09,1.027e+09,3.451e+09,3.147e+09,2.53e+10,2.984e+10,6.801e+09,4.547e+09,-5e+08,1.0848e+10,1.1116e+10,4.0956e+10,4.49e+08,4.49e+08,3.05e+08,2.05e+08,7.3e+07,1.032e+09,-6.82e+08,-5.5e+07,-7.4e+08,-2.03e+08,1.86e+08,1.5e+07,-4.1e+07,-4.3e+07,2.49e+08,2.49e+08,-7e+06,2.42e+08,1.072e+09,1.8605e+10,5.73e+08,0.63429,0.24583,0.14231,0.03994,0.01084,1.29054,1.19207,2.68442,0.45427,0.76868,0.76807,5.40152,18.78068,0.99201,0.35145,0.01732,0.01534,0.45721,15.93097,22.26597
"8","2012_Q1",15.3827419354839,"Down",4.218e+09,-2.191e+09,2.027e+09,-1.093e+09,-2.63e+08,-2.04e+08,9.34e+08,-2.14e+08,-2.2e+08,6e+06,7.2e+08,7.2e+08,-2.62e+08,4.58e+08,4.58e+08,4.54e+08,4.54e+08,1.218e+09,1.202e+09,7.32e+08,7.32e+08,6.54e+08,3.822e+09,1.6e+08,1.114e+09,6.426e+09,2.7266e+10,3.6476e+10,-9.21e+09,8.238e+09,4.114e+09,1.065e+09,3.059e+09,3.6222e+10,4.2648e+10,1.709e+09,1.15e+09,4.94e+08,6.5e+07,5.78e+08,5.78e+08,0,2.968e+09,2.968e+09,5.255e+09,1.7993e+10,8.304e+09,1.313e+09,1.313e+09,3.326e+09,3.665e+09,2.6297e+10,3.1552e+10,6.819e+09,4.797e+09,-7.88e+08,1.0828e+10,1.1096e+10,4.2648e+10,4.58e+08,4.58e+08,3.38e+08,-3.14e+08,1.79e+08,6.61e+08,-9.04e+08,-6e+06,-9.13e+08,-2.03e+08,1.95e+08,15999999.9999998,-4.5e+07,-3.7e+07,-2.89e+08,-2.89e+08,-2e+07,-3.09e+08,1.272e+09,1.8571e+10,8.09e+08,0.48056,0.22143,0.10763,0.04092,0.01065,1.78194,1.22284,2.84355,0.43545,0.78523,0.78361,7.29537,18.72789,1.39923,0.3511,0.0173,0.02131,0.44714,13.6423,18.57923
"9","2012_Q2",15.1993650793651,"Down",4.112e+09,-1.898e+09,2.214e+09,-1.163e+09,-2.64e+08,-1.93e+08,1.051e+09,-2.47e+08,-2.3e+08,-1.7e+07,8.04e+08,8.04e+08,-2.59e+08,5.45e+08,5.45e+08,5.41e+08,5.41e+08,1.103e+09,1.103e+09,7.23e+08,7.23e+08,6.69e+08,4.567e+09,2.61e+08,1.076e+09,7.062e+09,2.7706e+10,3.7165e+10,-9.459e+09,8.546e+09,4.161e+09,1.064e+09,3.321e+09,3.702e+10,4.4082e+10,1.699e+09,1.027e+09,5.4e+08,1.32e+08,6.74e+08,6.74e+08,-162757531.229765,3.515e+09,3.515e+09,5.888e+09,1.8076e+10,8.583e+09,1.105e+09,1.105e+09,3.589e+09,3.889e+09,2.6659e+10,3.2547e+10,6.868e+09,5.129e+09,-7.3e+08,1.1267e+10,1.1535e+10,4.4082e+10,5.45e+08,5.45e+08,3.19e+08,-6.5e+07,-7.1e+07,7.28e+08,-6.82e+08,-2.5e+07,-7.11e+08,-2.03e+08,9.3e+07,1.6e+07,-3e+07,-1.24e+08,-1.07e+08,-1.07e+08,8e+06,-9.9e+07,1.37e+09,1.875e+10,8.76e+08,0.53842,0.25559,0.13157,0.0469,0.01227,1.61922,1.19939,2.82159,0.42534,0.9343,0.93352,7.1014,19.45803,1.51285,0.35058,0.01914,0.02254,0.37523,12.88102,16.79068
"10","2012_Q3",16.231746031746,"Up",2.549e+09,-7.56e+08,1.793e+09,-1.221e+09,-2.71e+08,-2.11e+08,5.72e+08,-2.06e+08,-2.36e+08,3e+07,3.66e+08,3.65e+08,-8.8e+07,2.77e+08,2.71e+08,2.71e+08,2.71e+08,9.81e+08,9.81e+08,7.5e+08,7.5e+08,7.19e+08,3.701e+09,2.52e+08,9.66e+08,6.151e+09,2.8269e+10,3.7844e+10,-9.575e+09,8.339e+09,4.036e+09,9.09e+08,3.394e+09,3.7357e+10,4.3508e+10,1.542e+09,1.037e+09,4.11e+08,9.4e+07,9.01e+08,8.89e+08,12000000.0000001,2.875e+09,2.875e+09,5.318e+09,1.8698e+10,8.512e+09,1.093e+09,1.093e+09,3.638e+09,3.781e+09,2.721e+10,3.2528e+10,6.892e+09,5.19e+09,-1.12e+09,1.0962e+10,1.098e+10,4.3508e+10,2.71e+08,2.71e+08,3.04e+08,-91999999.9999999,-2.64e+08,2.19e+08,-6.27e+08,7.1e+07,-5.58e+08,-2.1e+08,7.93e+08,1.9e+07,-3.71e+08,2.31e+08,-1.08e+08,-1.08e+08,-1.4e+07,-1.22e+08,8.76e+08,1.9599e+10,7.3e+07,0.70341,0.2244,0.10632,0.02468,0.00623,0.26937,1.15664,2.96248,0.45047,0.46734,0.46676,4.39571,18.90381,0.12589,0.36214,0.0123,0.00187,0.77491,21.25342,32.54895
