"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",7.96953125,"Up",26302000,-7756000,18546000,-16043000,-12592000,-7472000,-5120000,-3345000,-106000,2503000,548000,91000,457000,3051000,3051000,-868000,2183000,2183000,2183000,2183000,50404167.2760538,50404187.8435495,36895474.0101521,36895474.0101521,16784690.154459,7112746.29493586,-222556.567957808,-2283072.70083817,111197077.735601,-480690.714522461,-37073775.0217497,-22943343.1645949,-6025773.66462178,-3259943.52500883,-37554465.7362722,73642611.9993286,6022950.51044848,-453544.176256858,2821459.61300416,3655035.07370118,-4870526.53575669,-9056657.49312189,1152423.97469179,-5803279.62050452,-4389471.3282336,-5803279.62050452,-4650855.64581273,67896974.806907,29728468.6693864,-19331975.8311521,78293467.6451413,78293467.6451413,73642611.9993286,2183000,614000,677000,3331000,6805000,-571000,-68000,-639000,0,6166000,6166000,4273000,10439000,3117000,0,6745000,0.70512,0.09516,0.083,-0.00985987537920822,-0.00453402066319043,3.08978,7.77894372557891,0.0547852119503985,0,0.05832,0.0572,0.70264,2.12234132611694,0.18019,-0.00792646665268657,-0.234925704328834,14.0794753282175,34.7417559270924
"2","2011_Q1",9.08870967741936,"Up",33005000,-9709000,23296000,-15709000,-11970000,-7899000,-4071000,-3625000,-114000,7587000,138000,99000,39000,7725000,7725000,-1071000,6654000,6654000,6654000,6654000,85533000,85533000,21702000,21702000,10710000,4340000,1859000,2481000,122285000,4771000,15885000,1603000,12772000,1141000,20656000,142941000,19301000,8857000,2109000,8335000,6464000,6464000,25765000,683000,180000,683000,26448000,68466000,47524000,503000,116493000,116493000,142941000,6654000,582000,-1e+06,-6380000,-144000,-548000.000000002,0,-548000,3000,-689000,-688999.999999999,-210000.000000001,-899000,8169000,0,2312000,0.70583,0.22987,0.20161,0.05712,0.04655,0.34746,4.74617,0.22704,0,0.17782,0.17366,0.88204,3.1132,0.06179,0.05679,0.01973,-10.47044,-11.27363
"3","2011_Q2",11.8222222222222,"Up",36065000,-13438000,22627000,-18439000,-14125000,-9024000,-5101000,-3821000,-493000,4188000,401000,109000,292000,4589000,4589000,-942000,3647000,2500000,2500000,2500000,92292777.5746487,92292770.7188168,18722841.996616,18722841.996616,10841686.6151803,3927584.56835471,2563352.18931927,3462607.56694605,125784890.7548,6321396.90484082,33844175.0072499,11152447.7215316,18787424.5548739,2404481.17500294,40165571.9120907,165950462.66689,23605183.1631838,9980931.39208562,2260680.12899861,11363571.6420996,10434258.8452522,11459969.164374,34039442.0084361,2755509.87350151,1614490.44274454,2755509.87350151,36794951.8819376,68812841.731031,52973510.4435379,7369158.61038403,129155510.784953,129155510.784953,165950462.66689,3647000,933000,108000,6833000,11521000,-7848000,-202000,-8050000,14000,3485000,-2043000,2532000,489000,5121000,0,5048000,0.62739,0.11612,0.06932,0.0536949584597361,0.0427655068877301,2.0192,3.69692125814036,0.284836596016534,0,0.06663,0.06499,0.96127,3.44103622462769,0.13455,0.0529004888842289,0.071037734776278,-17.7684176094058,-24.9409836423641
"4","2011_Q3",8.54359375,"Down",42104000,-16397000,25707000,-21647000,-16304000,-10956000,-5348000,-4837000,-506000,4060000,456000,131000,325000,4516000,4516000,-1177000,3339000,2621000,2621000,2621000,84630000,84630000,22540000,22540000,14174000,4777000,2419000,2358000,126121000,5697000,31314000,11411000,17204000,2067000,37011000,163132000,22523000,7076000,2670000,12777000,10324000,10324000,32847000,2255000,1204000,2255000,35102000,69229000,52645000,6156000,128030000,128030000,163132000,3339000,1351000,-177000,-3812000,701000,-333000,-55000,-1689000,3000,-985000,-1691000,3e+05,-1391000,5411000,0,2443000,0.61056,0.09643,0.06225,0.02047,0.01607,0.93209,3.83965,0.27417,0,0.06983,0.06763,1.12176,3.41104,0.06509,0.02012,0.01875,-15.64036,-20.84483
"5","2011_Q4",7.15047619047619,"Down",41385000,-13633000,27752000,-20316000,-15043000,-9575000,-5468000,-4787000,-486000,7436000,-195000,164000,-359000,7241000,7241000,-1314000,5927000,2235000,2235000,2235000,77494000,77494000,28758000,28758000,16807000,5550000,1939000,995000,128609000,4565000,24423000,8539000,13556000,2049000,28988000,157597000,19818000,4869000,2779000,12170000,9849000,7982000,29667000,1419000,357000,1419000,31086000,70127000,54881000,1503000,126511000,126511000,157597000,5927000,579000,2060000,-12567000,-4001000,198000,111000,309000,23000,-3669000,-3741000,-3396000,-7137000,8015000,0,-3040000,0.67058,0.17968,0.05401,0.01767,0.01418,-1.36018,4.33509,0.24572,0,0.05953,0.05789,1.10239,3.36994,-0.08098,0.01747,-0.02376,-9.66862,-10.42146
"6","2012_Q1",8.89016129032258,"Up",48528000,-16502000,32026000,-22945000,-17272000,-10739000,-6533000,-5191000,-482000,9081000,381000,139000,242000,9462000,9462000,1876000,11338000,10777000,10777000,10777000,84497000,84497000,31618000,31618000,16033000,5228000,1657000,1026000,137376000,4405000,27142000,8091000,12910000,3759000,31547000,168923000,19019000,7328000,1965000,9726000,12149000,8649000,31168000,1956000,324000,1956000,33124000,71758000,65658000,-1617000,135799000,135799000,168923000,11338000,946000,-206000,-2381000,9697000,-436000,82000,-354000,113000,9456000,8691000,-1688000,7003000,10027000,0,5334000,0.65995,0.18713,0.22208,0.07936,0.0638,0.49494,4.4076,0.24392,0,0.28642,0.28034,1.28971,3.60908,0.14176,0.07823,0.03872,-8.42695,-9.30481
"7","2012_Q2",8.0568253968254,"Down",32258000,-10380000,21878000,-19663000,-14482000,-9407000,-5075000,-4702000,-479000,2215000,309000,77000,232000,2524000,2524000,-530000,1994000,1910000,1910000,1910000,93377000,93377000,22736000,22736000,19568000,6017000,1884000,1579000,141698000,4246000,26648000,7691000,13298000,3216000,30894000,172592000,18665000,7944000,0,10721000,12781000,8082000,31446000,394000,294000,394000,31840000,72715000,67567000,470000,140752000,140752000,172592000,1994000,939000,1836000,3229000,7998000,-305000,14000,-291000,97000,7804000,7468000,1412000,8880000,3154000,0,6608000,0.67822,0.06867,0.05921,0.01357,0.01107,3.45969,4.50607,0.22621,0,0.05068,0.0498,0.85588,3.73447,0.17533,0.01353,0.04682,-29.6059,-42.15666
"8","2012_Q3",9.11253968253968,"Up",46642000,-17191000,29451000,-20454000,-15187000,-9857000,-5330000,-4795000,-472000,8997000,368000,68000,3e+05,9365000,9365000,-1967000,7398000,7163000,7163000,7163000,85145000,85145000,33868000,33868000,17089000,5985000,1636000,1773000,142087000,3996000,24878000,7296000,12539000,3195000,28874000,170961000,14791000,4548000,0,10243000,11104000,7721000,25895000,373000,195000,373000,26268000,73560000,74730000,-3597000,144693000,144693000,170961000,7398000,909000,1464000,-15063000,-5292000,-342000,170000,-172000,0,-5464000,-5748000,-2486000,-8234000,9906000,0,-3532000,0.63143,0.19289,0.15357,0.0495,0.0419,-0.49309,5.48704,0.18154,0,0.18768,0.18441,1.22208,3.79115,-0.09254,0.04938,-0.02435,-8.5953,-9.46370999999999
"9","2012_Q4",7.67822580645161,"Down",36292000,-12437000,23855000,-17579000,-12614000,-8888000,-3726000,-4489000,-476000,6276000,-121000,62000,-183000,6155000,6155000,-1473000,4682000,4508000,4508000,4508000,96141000,96141000,29572000,29572000,17695000,5645000,1819000,1234000,149053000,3930000,25128000,6904000,12820000,4208000,29058000,178111000,15174000,5110000,37000,10027000,11321000,7661000,26495000,262000,168000,262000,26757000,74009000,79239000,-1894000,151354000,151354000,178111000,4682000,888000,244000,4738000,10552000,-424000,-50000,-474000,93000,10171000,10024000,974000,10998000,7164000,0,12951000,0.65731,0.17293,0.12421,0.02978,0.02531,2.87289,5.6257,0.17678,0,0.11821,0.11608,0.95167,3.9689,0.33961,0.02973,0.08542,-13.42002,-15.31883
"10","2013_Q1",8.1215,"Up",38837000,-14456000,24381000,-20842000,-15556000,-9616000,-5940000,-4808000,-478000,3539000,114000,54000,60000,3653000,3653000,-1498000,2155000,2018000,2018000,2018000,106469000,106469000,27574000,27574000,18675000,5003000,1896000,456000,157721000,4052000,24733000,6507000,13176000,3336000,28785000,186506000,18043000,7765000,378000,9900000,11905000,8146000,29948000,238000,141000,238000,30186000,75004000,81256000,59999.9999999995,156320000,156320000,186506000,2155000,908000,1247000,5467000,9777000,-592000,-17000,-609000,251000,9419000,9212000,1115000,10327000,4447000,0,10820000,0.62778,0.09112,0.05196,0.01291,0.01082,5.36174,5.2665,0.1931,0,0.05272,0.05217,1.01452,4.08349,0.28265,0.01289,0.06911,-23.94176,-30.08449
