"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",9.08634920634921,"Down",2.591e+09,-2.114e+09,-1.11e+08,-2.003e+09,4.77e+08,-1.15e+08,-1.47e+08,3.9e+07,-7e+06,3.62e+08,-2.44e+08,9.4e+07,-1.5e+08,-1.48e+08,-4.7e+07,-1.95e+08,-1.95e+08,1.644e+09,1.644e+09,8.31e+08,2.21e+08,8.93e+08,8.93e+08,3.589e+09,1.8714e+10,8.88e+08,1.938e+09,5.51e+08,2.154e+10,2.5129e+10,1.667e+09,9.07e+08,7.6e+08,1e+07,1e+07,2.097e+09,8.615e+09,5.455e+09,3.708e+09,1.443e+09,1.407e+10,1.6167e+10,7.965e+09,6.19e+08,7.346e+09,-1.041e+09,6.46e+08,3e+06,7.573e+09,1.389e+09,8.962e+09,2.5129e+10,-1.46e+08,3.61e+08,6.53e+08,6.53e+08,-2.51e+08,2e+06,-474730039.597893,-1.3e+07,-2.4e+08,6.17e+08,-4.28e+08,-4.28e+08,-4.28e+08,-7e+06,-4.35e+08,-6.4e+07,3.42e+08,3.42e+08,-3.407e+09,3.749e+09,-837276364.945985,-837276364.945985,-6.83e+08,-4.05e+08,-2.23e+08,-2.23e+08,-2.23e+08,8.38e+08,8.625e+09,6.5e+07,0.1841,-0.07526,-0.02176,-0.00776,-0.33333,1.71149,1.80395,0.34323,-0.33394,-0.33394,4.43718,12.96904,0.11131,0.1096,-0.00569,0.00282,-0.32821,8.33055,14.63522
"2","2010_Q3",8.13296875,"Down",2.289e+09,-1.871e+09,-1.23e+08,-1.748e+09,4.18e+08,-8.7e+07,-1.41e+08,5.5e+07,-1e+06,3.31e+08,3.31e+08,-1.04e+08,2.27e+08,2.24e+08,-3.7e+07,1.87e+08,1.87e+08,1.601e+09,1.601e+09,7.22e+08,2.79e+08,7.57e+08,7.57e+08,3.359e+09,1.8831e+10,8.81e+08,1.876e+09,5.56e+08,2.1588e+10,2.4947e+10,1.644e+09,8.06e+08,8.38e+08,1.6e+08,1.6e+08,2.119e+09,8.358e+09,5.444e+09,3.724e+09,1.469e+09,1.3802e+10,1.5921e+10,7.979e+09,6.19e+08,7.36e+09,-1.041e+09,7.58e+08,-6.3e+07,7.633e+09,1.393e+09,9.026e+09,2.4947e+10,2.22e+08,3.66e+08,3.9e+07,3.9e+07,5.3e+07,1.13e+08,-5.7e+07,-7.6e+07,73000000.0000001,6.8e+08,-5.12e+08,-5.12e+08,-5.12e+08,1.4e+07,-4.98e+08,-7.3e+07,-1.08e+08,-1.08e+08,-1.08e+08,0,-357638182.472992,-357638182.472992,-4.4e+07,-2.25e+08,-4.3e+07,-4.3e+07,-4.3e+07,7.84e+08,8.518e+09,4.29e+08,0.18261,0.0816999999999998,0.02072,0.0075,2.29412,1.58518,1.7639,0.34144,0.31998,0.31998,3.91672,13.06088,0.73406,0.12491,0.01131,0.01866,0.39037,8.8227,16.54785
"3","2010_Q4",9.60625,"Up",2.3e+09,-1.909e+09,-1.22e+08,-1.787e+09,3.91e+08,-8.1e+07,-1.45e+08,6.8e+07,-4e+06,3.1e+08,-1.371e+09,1.5e+08,-1.221e+09,-1.226e+09,-3.7e+07,-1.263e+09,-1.263e+09,1.015e+09,1.015e+09,7.44e+08,2.7e+08,7.74e+08,7.74e+08,2.803e+09,1.8909e+10,1.317e+09,8.19e+08,5.61e+08,2.1045e+10,2.3848e+10,1.798e+09,8.69e+08,9.29e+08,5.08e+08,5.08e+08,2.549e+09,8.002e+09,5.121e+09,3.496e+09,1.46e+09,1.3123e+10,1.5672e+10,8.61e+09,6.19e+08,7.991e+09,-1.041e+09,-5.78e+08,3.4e+07,7.025e+09,1.151e+09,8.176e+09,2.3848e+10,-1.226e+09,3.74e+08,1.481e+09,1.481e+09,1.5e+07,-2.3e+07,8e+06,1.7e+07,1.3e+07,6.44e+08,-1.171e+09,-1.171e+09,-1.171e+09,-3.68e+08,-1.539e+09,-7.3e+07,-8e+06,-8e+06,-4.38e+08,4.3e+08,-95212727.4909975,-95212727.4909975,3.9e+08,3.09e+08,-5.86e+08,-5.86e+08,-5.86e+08,7.65e+08,8.51e+09,-5.41e+08,0.17,-0.54913,-0.15448,-0.05296,0.42835,1.09965,1.91683,0.35684,-2.15992,-2.15992,3.93335,12.0138,-0.92519,0.12484,-0.05457,-0.02481,-0.0578,9.79739,19.1688
"4","2011_Q1",12.1446774193548,"Up",-5.42e+08,3.923e+09,-1.48e+08,4.683e+09,1.21e+08,-1.33e+08,-1.59e+08,-1.17e+08,9.31322574615479e-10,-12000000.0000001,1.669e+09,-2.54e+08,1.415e+09,2.28e+08,-5.4e+07,1.74e+08,1.74e+08,7.58e+08,7.58e+08,4.97e+08,2.25e+08,1.05e+09,1.53e+08,2.53e+09,1.1754e+10,1.24e+09,9.448e+09,6.2e+08,2.2442e+10,2.4972e+10,1.17e+09,4.32e+08,7.38e+08,5.08e+08,5.08e+08,2.574e+09,8.6e+09,5.664e+09,2.223e+09,1.262e+09,1.4264e+10,1.6838e+10,8.404e+09,6.2e+08,7.784e+09,-1.041e+09,-4.78e+08,-8.2e+07,6.803e+09,1.331e+09,8.134e+09,2.4972e+10,2.28e+08,4.06e+08,-20999999.9999998,-20999999.9999998,9.7e+07,-1.28e+08,-3.2e+07,5.8e+07,1.99e+08,7.1e+08,-6.31e+08,-6.77e+08,-6.77e+08,-94000000.0000001,-1.824e+09,-7.4e+07,5.98e+08,5.98e+08,-3.52e+08,9.5e+08,1.2e+07,1.2e+07,3.58e+08,8.94e+08,-2.2e+08,-2.2e+08,-2.2e+08,5.27e+08,9.108e+09,2.47e+08,-0.22325,-0.32103,0.02139,0.00697,1.41954,0.98291,2.07008,0.36473,0.29738,0.28538,-0.926310000000001,11.62671,0.42214,0.12647,0.01083,0.01078,0.42529,15.8444,69.00826
"5","2011_Q2",13.1806349206349,"Up",1.871e+09,-1.432e+09,-8.2e+07,-1.35e+09,4.39e+08,-1.01e+08,-1.51e+08,4.4e+07,6e+06,3.38e+08,3.38e+08,2.2e+07,3.6e+08,3.84e+08,-6.3e+07,3.21e+08,3.21e+08,9.23e+08,9.23e+08,8.5e+08,2.64e+08,4.68e+08,4.68e+08,2.505e+09,2.0341e+10,1.381e+09,8.56e+08,6.89e+08,2.2578e+10,2.5083e+10,1.785e+09,9.13e+08,8.72e+08,5.32e+08,5.32e+08,2.458e+09,8.577e+09,5.169e+09,3.448e+09,1.563e+09,1.3746e+10,1.6204e+10,8.924e+09,6.22e+08,8.302e+09,-1.041e+09,-2.3e+08,-1.16e+08,7.537e+09,1.342e+09,8.879e+09,2.5083e+10,3.84e+08,3.81e+08,2.8e+07,2.8e+07,1.8e+07,6e+06,3.8e+07,4.6e+07,-7.2e+07,8.11e+08,-5.15e+08,-5.26e+08,-5.26e+08,-6.4e+07,-5.79e+08,-7.3e+07,0,0,-7.5e+07,7.5e+07,2.6e+07,2.6e+07,-5.7e+07,-1.04e+08,1.28e+08,1.28e+08,1.28e+08,8.2e+08,9.109e+09,3.01e+08,0.23463,0.17157,0.03615,0.0128,0.93769,1.01912,1.82498,0.36315,0.54687,0.53808,3.18752,12.84037,0.5128,0.12437,0.01701,0.013,0.22741,9.98293,18.64692
"6","2011_Q3",12.058125,"Down",1.984e+09,-1.524e+09,-7.6e+07,-1.448e+09,4.6e+08,-1.12e+08,-1.5e+08,4e+07,-2e+06,3.48e+08,3.48e+08,-1.09e+08,2.39e+08,2.97e+08,-7e+07,2.27e+08,2.27e+08,1.166e+09,1.166e+09,9.13e+08,2.82e+08,4.69e+08,2.06e+08,2.83e+09,2.06e+10,1.463e+09,8.12e+08,6.74e+08,2.2875e+10,2.5705e+10,1.903e+09,9.88e+08,9.15e+08,3.83e+08,3.83e+08,2.39e+09,8.927e+09,5.343e+09,3.572e+09,1.659e+09,1.427e+10,1.666e+10,8.974e+09,6.23e+08,8.351e+09,-1.041e+09,-1.22e+08,-9.5e+07,7.716e+09,1.329e+09,9.045e+09,2.5705e+10,2.97e+08,4.03e+08,1.29e+08,1.29e+08,4.4e+07,-6.2e+07,-1.8e+07,6.3e+07,60999999.9999999,8.73e+08,-5.68e+08,-5.68e+08,-5.68e+08,-5.2e+07,-6.2e+08,-1.18e+08,2e+08,2e+08,-1.5e+08,3.5e+08,3e+06,3e+06,-9.5e+07,-1e+07,2.43e+08,2.43e+08,2.43e+08,8.63e+08,9.31e+09,4.48e+08,0.23185,0.11442,0.0251,0.00883,1.97357,1.1841,1.8419,0.36219,0.38585,0.37983,3.37237,13.11553,0.7615,0.20057,0.01456,0.0189,0.51982,9.43685,17.70435
"7","2011_Q4",13.1887301587302,"Up",1.972e+09,-1.515e+09,-7.5e+07,-1.44e+09,4.57e+08,-1.03e+08,-1.46e+08,4.3e+07,0,3.54e+08,3.54e+08,-3.3e+07,3.21e+08,3.42e+08,-7e+07,2.72e+08,2.72e+08,9.96e+08,9.96e+08,1.039e+09,2.87e+08,5.67e+08,1.86e+08,2.889e+09,2.0973e+10,1.492e+09,7.92e+08,6.74e+08,2.3257e+10,2.6146e+10,1.975e+09,1.174e+09,8.01e+08,3.61e+08,3.61e+08,2.439e+09,9.024e+09,5.43e+09,3.609e+09,1.748e+09,1.4454e+10,1.6893e+10,8.991e+09,6.23e+08,8.368e+09,-1.041e+09,3.3e+07,-7.4e+07,7.909e+09,1.344e+09,9.253e+09,2.6146e+10,3.42e+08,4.18e+08,7.9e+07,7.9e+07,-1.71e+08,-1.24e+08,-5e+06,5.6e+07,-9.8e+07,6.68e+08,-7.35e+08,-7.39e+08,-7.39e+08,-1.3e+07,-7.89e+08,-1.18e+08,7.6e+07,7.6e+07,-5.99e+08,6.75e+08,5e+06,5e+06,-1.2e+07,-4.9e+07,-1.7e+08,-1.7e+08,-1.7e+08,8.75e+08,9.385e+09,2e+06,0.23174,0.13793,0.0294,0.0104,0.00735,1.1845,1.82568,0.35895,0.46184,0.45519,3.34833,13.42898,0.0034,0.20036,0.0162,8e-05,0.43382,9.58743,18.35667
"8","2012_Q1",15.8301612903226,"Up",2.103e+09,2.342e+09,-2.44e+08,3.247e+09,5.11e+08,-7.8e+07,-1.26e+08,-1.14e+08,7e+06,4.33e+08,1.62e+08,-4e+06,1.58e+08,-3.62e+08,-8.2e+07,-4.44e+08,-4.44e+08,8.89e+08,8.89e+08,6.37e+08,1.69e+08,1.99e+08,1.47e+08,1.894e+09,1.258e+10,1.391e+09,6.37e+08,5.93e+08,1.4608e+10,1.6502e+10,1.322e+09,6.91e+08,6.31e+08,3.53e+08,3.53e+08,1.675e+09,8.369e+09,3.872e+09,2.157e+09,1.715e+09,1.2241e+10,1.3916e+10,8.546e+09,6.26e+08,7.92e+09,-1.041e+09,-5.82e+09,-3.89e+08,1.296e+09,1.29e+09,2.586e+09,1.6502e+10,-3.62e+08,4.12e+08,7.89e+08,7.89e+08,2.48e+08,-1.7e+07,4.5e+07,8.5e+07,1.35e+08,1.087e+09,-9.62e+08,-9.63e+08,-9.63e+08,-5.3e+07,-1.015e+09,-1.48e+08,8.41e+08,8.41e+08,-1.231e+09,2.072e+09,1.5e+07,1.5e+07,-8.87e+08,-1.79e+08,-1.07e+08,-1.07e+08,-1.07e+08,9.23e+08,8.722e+09,2.13e+08,0.24299,-0.21113,-0.17169,-0.02691,-0.47973,1.13075,5.38128,0.52854,-0.75257,-0.73883,3.56456,2.1967,0.36103,0.25086,-0.0195,0.01403,-0.33333,8.48646,15.32877
"9","2012_Q2",16.8409523809524,"Up",2.019e+09,-5.35e+08,-1.29e+08,-2.38e+08,5.27e+08,-3.5e+07,-1.31e+08,6.9e+07,-4e+06,4.92e+08,4.92e+08,-1.33e+08,3.59e+08,4.95e+08,-7.2e+07,4.23e+08,4.23e+08,1.1e+09,1.1e+09,6.41e+08,1.86e+08,1.92e+08,1.92e+08,2.119e+09,1.2964e+10,1.418e+09,1.289e+09,6.21e+08,1.5671e+10,1.779e+10,1.205e+09,6.76e+08,5.29e+08,3.29e+08,3.29e+08,1.534e+09,8.366e+09,4.166e+09,2.435e+09,1.731e+09,1.2532e+10,1.4066e+10,8.899e+09,6.3e+08,8.269e+09,-1.041e+09,-5.551e+09,-3.67e+08,1.94e+09,1.784e+09,3.724e+09,1.779e+10,4.95e+08,1.68e+08,-1.06e+08,-1.06e+08,-1.23e+08,5.2e+07,-1.7e+07,-6.8e+07,-9e+07,4.34e+08,-2.51e+08,-3.29e+08,-3.29e+08,8.5e+07,-4.91e+08,-1.54e+08,-2.5e+07,-2.5e+07,-2.5e+07,0,26000000.0000001,26000000.0000001,4.21e+08,2.68e+08,2.11e+08,2.11e+08,2.11e+08,6.95e+08,8.695e+09,4.54e+08,0.26102,0.20951,0.11359,0.02378,1.07329,1.38136,3.77712,0.48876,0.71304,0.70439,3.4034,3.27023,0.7653,0.2596,0.03479,0.02737,0.36407,10.92806,14.41176
"10","2012_Q3",17.6587301587302,"Up",1.846e+09,-6.14e+08,-1.49e+08,-2.84e+08,3.32e+08,-9.5e+07,-1.28e+08,2999999.99999997,3e+06,2.37e+08,2.37e+08,-7.1e+07,1.66e+08,1.65e+08,-3.3e+07,1.32e+08,1.32e+08,6.79e+08,6.79e+08,6.36e+08,1.59e+08,2.08e+08,2.08e+08,1.682e+09,1.4056e+10,1.533e+09,2.996e+09,6.1e+08,1.8585e+10,2.0267e+10,1.294e+09,6.95e+08,5.99e+08,4e+06,4e+06,1.298e+09,9.033e+09,4.309e+09,2.555e+09,1.754e+09,1.3342e+10,1.464e+10,9.966e+09,6.61e+08,9.305e+09,-1.041e+09,-5.607e+09,-3.57e+08,2.961e+09,2.666e+09,5.627e+09,2.0267e+10,1.65e+08,1.81e+08,36000000.0000001,36000000.0000001,42000000.0000001,3.6e+07,2.7e+07,-1.06e+08,8.5e+07,4.24e+08,-5.93e+08,-5.93e+08,-5.93e+08,-8.2e+07,-2.399e+09,-1.88e+08,3.45e+08,3.45e+08,-1.55e+08,5e+08,9.02e+08,9.02e+08,4.95e+08,1.554e+09,-4.21e+08,-4.21e+08,-4.21e+08,5.13e+08,9.037e+09,3.3e+07,0.17985,0.0715099999999999,0.02346,0.00651,0.25,1.29584,2.60174,0.4459,0.2124,0.21065,2.97031,4.76441,0.0530999999999999,0.3025,0.01687,0.00174,1.42424,16.2924,25.1747
