"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",12.897619047619,"Up",3000,-4176000,-4077000,-99000,-4173000,-1033000,-1033000,-5206000,-5206000,-1000,-5207000,-5207000,-5207000,-5207000,6175000,6175000,98000,98000,442000,442000,6803000,36819000,4249000,3813000,436000,41068000,47871000,771000,192000,579000,18000,789000,37685000,1261000,1261000,38946000,39735000,278994000,-270858000,8136000,8136000,47871000,-5207000,99000,1035000,1729000,-2344000,-352000,-352000,-7000,-7000,-2703000,-2703000,-2703000,-4074000,37703000,-1391,-1735.66667,-0.64,-0.10877,8.62231,4.88385,0.7876,-0.37683,-0.40929,0.00022,0.5888,-0.11055,-7.73883,-7.55524
"2","2010_Q3",11.1915625,"Down",4000.00000000001,-2098000,-2015000,-83000,-2094000,-1049000,-1049000,-3143000,-3143000,-1000,-3144000,-3144000,-3144000,-3144000,4621000,4621000,45000,45000,327000,327000,5263000,36764000,4240000,3813000,427000,41004000,46267000,730000,117000,613000,16000,746000,38722000,1244000,1244000,39966000,40712000,279557000,-274002000,5555000,5555000,46267000,-3144000,83000,1051000,523000,-1487000,-60000,-60000,-7000.00000000047,-7000,-1554000,-1554000,-1554000,-2011000,38738000,-523.5,-786,-0.56598,-0.06795,7.05496,7.32889,0.83727,-0.22753,-0.23004,0.000290000000000001,0.40201,-0.06904,-16.96519,-16.29274
"3","2010_Q4",11.315,"Up",274000,-2104000,-2023000,-81000,-2086000,-1092000,-1092000,-3178000,-3178000,-1000,-3179000,-3179000,-3179000,-3179000,2992000,2992000,283000,283000,269000,269000,3779000,37014000,4229000,3813000,416000,41243000,45022000,1107000,380000,727000,16000,1123000,39801000,1244000,1244000,41045000,42168000,280035000,-277181000,2854000,2854000,45022000,-3179000,81000,1093000,710000,-1295000,-331000,-331000,-3000,-3000,-1629000,-1629000,-1629000,-2005000,39817000,-7.61314,-11.60219,-1.11388,-0.07061,3.36509,14.77505,0.88439,-0.23245,-0.23245,0.02004,0.20869,-0.07239,-18.36658,-17.6534
"4","2011_Q1",12.1277419354839,"Up",742000,-2767000,-2686000,-81000,-2696000,-1670000,-1560000,-4366000,-4366000,-3000,-4369000,-4369000,-4369000,-4369000,5911000,5911000,277000,277000,299000,299000,6487000,38315000,4134000,3813000,321000,42449000,48936000,1876000,358000,1518000,16000,2343000,44403000,1244000,1244000,45647000,47990000,282496000,-281550000,946000,946000,48936000,-4369000,81000,1563000,1090000,-1635000,-441000,-441000,4995000,4995000,2919000,2919000,2919000,-2615000,44419000,-3.63341999999998,-5.88814000000001,-4.61839,-0.08928,2.76867,50.72939,0.9077,-0.31942,-0.31942,0.05425,0.06916,-0.09374,-14.72581,-14.28338
"5","2011_Q2",11.3844444444444,"Down",457000,-3054000,-2965000,-89000,-3029000,-1222000,-1343000,-4251000,-4251000,-2000,-4253000,-4253000,-4253000,-4253000,2811000,2811000,181000,181000,638000,638000,3630000,38879000,4230000,3813000,417000,43109000,46739000,1505000,855000,650000,16000,1851000,45725000,1244000,1244000,46969000,48820000,283722000,-285803000,-2081000,-2081000,46739000,-4253000,89000,1345000,833000,-1986000,-1110000,-1110000,-4000,-4000,-3100000,-3100000,-3100000,-2940000,45741000,-6.62801,-9.30635,2.04373,-0.09099,1.9611,-23.45988,0.97865,-0.30801,-0.30801,0.0331,-0.15071,-0.09471,-14.60204,-14.17299
"6","2011_Q3",9.78484375,"Down",40000,-2310000,-2218000,-92000,-2288000,-1439000,-1374000,-3727000,-3727000,-1000,-3728000,-3728000,-3728000,-3728000,2980000,2980000,24000,24000,736000,736000,3740000,39990000,4178000,3813000,365000,44168000,47908000,1920000,891000,1029000,12000,1991000,49080000,1744000,1744000,50824000,52815000,284625000,-289532000,-4907000,-4907000,47908000,-3729000,92000,1375000,1434000,-828000,-999000,-999000,1996000,1996000,169000.000000001,169000.000000001,169000.000000001,-2196000,49092000,-57.2,-93.2,0.75973,-0.07782,1.87845,-10.7632,1.02471,-0.2696,-0.2696,0.00289,-0.35486,-0.08117,-20.99818,-20.15385
"7","2011_Q4",9.04063492063492,"Down",121000,-2559000,-2467000,-92000,-2704000,-1399000,-1451000,-4103000,-4103000,-2000,-4105000,-4105000,-4105000,-4105000,3452000,3452000,144000,144000,738000,738000,4334000,40822000,4165000,3813000,352000,44987000,49321000,1781000,863000,918000,8000,1789000,50517000,1744000,1744000,52261000,54050000,288908000,-293637000,-4729000,-4729000,49321000,-4105000,92000,1450000,33000,-2530000,-994000,-994000,-4000,3996000,472000,472000,472000,-2612000,50525000,-22.34711,-33.92562,0.86805,-0.08323,2.42258,-11.42948,1.02441,-0.28978,-0.28978,0.00854,-0.33383,-0.08635,-18.02182,-17.40865
"8","2012_Q1",9.96370967741935,"Up",401000,-2889000,-2797000,-92000,-3213000,-1536000,-1536000,-4749000,-4749000,-2000,-4751000,-4751000,-4751000,-4751000,11370000,11370000,139000,139000,604000,604000,12113000,41886000,3999000,3813000,186000,45885000,57998000,2118000,1069000,1049000,4000,2443000,52032000,1593000,923000,53625000,56068000,300317000,-298387000,1930000,1930000,57998000,-4750000,92000,1535000,953000,-2170000,-1037000,-1037000,-4000,11125000,7918000,7918000,7918000,-3121000,52036000,-8.01247,-11.84788,-2.46166,-0.08192,4.95825,29.05078,0.8972,-0.32707,-0.32707,0.02761,0.13287,-0.08551,-13.0298,-12.65671
"9","2012_Q2",8.02063492063492,"Down",31000,-2916000,-2823000,-93000,-2885000,-1560000,-1560000,-4445000,-4445000,-3000,-4448000,-4448000,-4448000,-4448000,6861000,6861000,137000,137000,1780000,1780000,8778000,42458000,4197000,3813000,384000,46655000,55433000,2261000,855000,1406000,4645.58139645954,2582000,53572000,1651000,923000,55223000,57805000,300463000,-302835000,-2372000,-2372000,55433000,-8061293.34472874,93000,-2887000,-1226000,-4020000,-257000,-485000,-4000,-4000,-4509000,-4509000,-4509000,-2792000,53572000,-93.06452,-143.48387,1.87521,-0.08024,3.39969,-24.36973,0.96643,-0.28816,-0.28816,0.00201,-0.15367,-0.08416,-16.7303,-16.19099
"10","2012_Q3",8.32047619047619,"Up",5999.99999999994,-2990000,-2895000,-95000,-2986000,-1596000,-1596000,-4582000,-4582000,-2000.00000000001,-4584000,-4584000,-4584000,-4584000,4016000,4016000,166000,166000,1514000,1514000,5696000,43667000,4352000,3813000,539000,48019000,53715000,3163000,756000,2407000,8256.6063879813,4407000,55146000,1053000,1016351.81334119,56199000,60606000,300528000,-307419000,-6891000,-6891000,53715000,-9032000,95000,6045000,848000,-2044000,-601000,-801000,-1.45519152283669e-11,0,-2845000,-2845000,-2845000,-2891000,55146000,-497.66667,-764,0.66522,-0.08534,1.29249,-8.79495000000001,1.02664,-0.29693,-0.29693,0.000390000000000004,-0.44637,-0.09297,-17.68592,-17.12324
