"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q3",1.55984375,"Up",21586000,-17143000,4443000,-8556000,-8556000,-4113000,-1969000,-1983000,14000,-6082000,-16438000,-16438000,-16438000,-16438000,-16438000,1502000,1426000,7118000,7118000,12055000,5542000,5542000,26217000,4097000,20172000,10694000,660000,24269000,50486000,22977000,18355000,4622000,14350000,25159000,62486000,1971000,1971000,15641000,78127000,181821000,-209426000,-27641000,-27641000,50486000,-16438000,308000,12771000,3922000,563000,-207000,-207000,-2768000,152000,508000,508000,508000,-3805000,28020000,0.20583,-0.19054,-0.76151,0.5947,-0.3256,0.41957,-2.82649,0.55501,-0.07398,-0.07398,0.09715,-0.12441,-6.99489,-6.96925,-6.44736
"2","2015_Q4",1.65375,"Up",16557000,-14119000,2438000,-6224000,-6224000,-3786000,-1154000,-1566000,412000,-4940000,-9107000,-9107000,-9107000,-9107000,-9107000,1807000,1740000,4940000,4940000,9924000,4330000,4330000,21001000,3463000,20792000,10490000,1484000,24255000,45256000,18300000,13738000,4562000,13384000,13599000,45283000,1930000,1930000,15298000,60581000,203253000,-218533000,-15325000,-15325000,45256000,-9107000,285000,4924000,1284000,-2614000,923000,923000.000000015,-3553000,2004999.99999999,313999.999999999,313999.999999999,313999.999999999,-3501000,26752000,0.14725,-0.22866,-0.55004,0.59426000000001,-0.20123,0.46377,-3.95307999999996,0.59113,-0.04058,-0.04058,0.07378,-0.06829,-0.68181,-7.12511,-6.58875
"3","2016_Q1",1.2483606557377,"Down",21457000,-19267000,2190000,-4343000,-4343000,-2153000,-1661000,-1721000,60000,-3814000,-5242000,-5255000,-5255000,-5255000,-5255000,1240000,1240000,7880000,7880000,13727000,1657000,1657000,24504000,3712000,57984000,32411000,1475000,61696000,86200000,22065000,16753000,5312000,16564000,33091000,71720000,1890000,1890000,14751000,86471000,223517000,-223788000,-271000,-271000,86200000,-5255000,652000,1951000,1818000,-834000,-295000,-39861000,2384000,40195000,-5e+05,-5e+05,-5e+05,-1501000,29425000,0.10206,-0.10034,-0.24491,19.39114,-0.06096,0.34166,-319.08118,0.34136,-0.01765,-0.01765,0.07208,-0.00091,-0.16928,-18.77748,-13.09104
"4","2016_Q2",1.13703125,"Down",20617000,-17195000,3422000,-9922000,-9922000,-6500000,-1958000,-1960000,2000,-8458000,1323000,1319000,1319000,1319000,1319000,13283000,13283000,6521000,6521000,11960000,2588000,2588000,34352000,3565000,57479000,31905000,1476000,61044000,95396000,26245000,15762000,10483000,16271000,18126000,60642000,1849000,1849000,31997000,92639000,225727000,-222469000,2757000,2757000,95396000,1319000,649000,-7279000,942000,-4369000,-37000,-37000,16429000,16449000,12043000,12043000,12043000,-5851000,46419000,0.16598,-0.31527,0.06398,0.478419999999996,0.01383,0.56647,33.6013800000001,0.48659,0.0045,0.00436,0.07041,0.00942000000000001,0.0258500000000001,-5.66331,-5.09785
"5","2016_Q3",0.7865625,"Down",22222000,-16247000,5975000,-8567000,-8567000,-2592000,-2170000,-2147000,-23000,-4762000,-3690000,-3703000,-3703000,-3703000,-3703000,5952000,5952000,8334000,8334000,13863000,2694000,2694000,30843000,3489000,56759000,31310000,1351000,60248000,91091000,24721000,13238000,11483000,21491000,17053000,63265000,1808000,1808000,28647000,91912000,225851000,-226172000,-821000,-821000,91091000,-3703000,703000,-207000,-5406000,-8613000,-73000,-73000,1347000,1355000,-7331000,-7331000,-7331000,-1889000,48330000,0.26888,-0.11664,-0.16664,4.51035,-0.04065,0.48752,-111.95128,0.53057,-0.01477,-0.01477,0.08862,-0.00327,-0.07509,-22.43409,-16.34954
"6","2016_Q4",0.783968253968254,"Down",23046000,-15963000,7083000,-7760000,-7760000,-677000,-2420000,-2423000,2999.99999999999,-3097000,10968000,10968000,10968000,10968000,10968000,3045000,3045000,9906000,9906000,16578000,2770000,2770000,32299000,3265000,56276000,30766000,1412000,59541000,91840000,22156000,11513000,10643000,8874000,2988000,34018000,1768000,1768000,47493000,81511000,226032000,-215203000,10329000,10329000,91840000,10968000,860000,-12838000,-6543000,-7553000,-9000.00000000003,-9000.00000000093,4682000,4655000,-2907000,-2907000,-2907000,183000,54599000,0.30734,-0.02938,0.47592,1.06186,0.11943,0.94947,7.89147,0.5945,0.04373,0.04151,0.09189,0.04118,0.16445,281.71585,-76.1506600000001
"7","2017_Q1",0.76258064516129,"Down",20438000,-15825000,4613000,-7203000,-7203000,-2590000,-2269000,-2318000,49000,-4859000,-8326000,-9268000,-9268000,-9268000,-9268000,5097000,5097000,7768000,7768000,17601000,2870000,2870000,33336000,3528000,55962000,30197000,1667000,59490000,92826000,19300000,7866000,11434000,11631000,6455000,37386000,2686000,1727000,53674000,91060000,226738000,-224472000,1766000,1766000,92826000,-9268000,796000,2772000,905000,-4795000,-1000,-1000,6849000,6848000,2052000,2052000,2052000,-1794000,62619000,0.22571,-0.12672,-0.45347,-5.24802,-0.09984,0.89167,51.56285,0.67458,-0.0367,-0.03368,0.08093,0.00699,-0.13818,-32.06355,-22.20927
"8","2017_Q2",0.731269841269841,"Down",24099000,-17499000,6600000,-6595000,-6595000,5000,-1963000,-1964000,999.999999999993,-1958000,-2956000,-2956000,-2956000,-2956000,-2956000,2699000,2699000,11046000,11046000,20275000,3448000,3448000,37468000,3318000,55452000,29614000,1740000,58770000,96238000,19853000,9258000,10595000,14505000,7453000,41811000,2646000,1687000,55464000,97275000,226891000,-227428000,-1037000,-1037000,96238000,-2956000,810000,1800000,-6166000,-6512000,-18000,-18000,4132000,4132000,-2398000,-2398000,-2398000,815000,67323000,0.27387,0.00020999999999996,-0.12266,2.85053,-0.03072,0.89613,-93.80424,0.69955,-0.01169,-0.01169,0.09527,-0.0041,-0.04288,79.29325,12924.8
"9","2017_Q3",0.732539682539682,"Up",21419000,-15766000,5653000,-7333000,-7333000,-1680000,-2503000,-2478000,-25000,-4183000,-4480000,-4480000,-4480000,-4480000,-4480000,487000,487000,9275000,9275000,21545000,2570000,2570000,33877000,3109000,54897000,29032000,1767000,58006000,91883000,15678000,7648000,8030000,17609000,7750000,41037000,2605000,1646000,56217000,97254000,227038000,-231909000,-5371000,-5371000,91883000,-4480000,802000,1263000,187000,-2228000,-11000,-11000,27000,27000,-2212000,-2212000,-2212000,-878000,71221000,0.26392,-0.07844,-0.20916,0.83411,-0.04876,0.82552,-18.10724,0.77513,-0.01771,-0.01771,0.08467,-0.02123,-0.06544,-80.56264,-42.10357
"10","2017_Q4",0.736296296296296,"Up",20612000,-17103000,3509000,-6646000,-6646000,-3137000,-1888000,-1876000,-12000,-5025000,-5418000,-5418000,-5418000,-5418000,-5418000,2233000,2233000,8737000,8737000,18368000,2238000,2238000,31576000,3240000,54316000,28450000,1768000,57556000,89132000,14873000,4607000,10266000,17091000,8143000,40107000,2565000,1606000,59727000,99834000,227124000,-237326000,-10702000,-10702000,89132000,-5418000,804000,1297000,2914000,-403000,-22000,-22000,2171000,2171000,1746000,1746000,1746000,-2333000,74253000,0.17024,-0.15219,-0.26286,0.50626,-0.06079,0.78729,-9.32854,0.83307,-0.02142,-0.02142,0.08149,-0.04231,-0.08195,-30.87012,-22.9582400000024
