"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",7.14095238095238,"Up",73949000,-30682000,43267000,-31784000,-18929000,-10440000,-2415000,11483000,-498000,-498000,10985000,10985000,-3790000,7195000,7195000,7195000,7195000,69743104.1771407,54519676.2333428,101124023.875039,101124023.875039,-32739922.8823621,138127205.169817,27522059.8327319,120250960.384856,61985395.1214393,69031904.9695341,-11814059.51561,156494799.773134,294622004.942952,285280663.613619,-16031194.0264075,134765444.22488,-24467541.3739554,-24467541.3739554,260813122.239663,-14314491.6870596,4269239.09567983,-14314491.6870596,246498630.552604,4378197.60548233,82149934.4527577,-38404757.667892,48123374.390348,48123374.390348,294622004.942952,-10201648.7055914,49862.9790578713,-37024868.2622434,-81552618.5955013,-128729272.584278,-3625787.41332461,-216597316.148284,-230853606.400234,15686929.9134101,-224530035.836591,-569856624.569153,-569856624.569153,14740670.2928697,-555115954.276284,-46543233.7881342,0,-176067594.767272,0.58509,0.15528,0.0973,0.563877310408868,0.296090935952047,-20.2122079159661,-2.11157111140851,1.9814270489279,0,0.08192,0.07982,0.84194,1.2470428347334,-2.12206338640177,0.540347287424335,1.11361099755206,-34.5367148989047,-47.7208669840249
"2","2010_Q3",6.84421875,"Down",77641000,-32722000,44919000,-32902000,-20250000,-10334000,-2318000,12017000,304000,304000,12321000,12321000,-4132000,8189000,8189000,8189000,8189000,105207455.561142,96550493.9911161,70074146.0666873,70074146.0666873,-5514758.8705931,169766842.757236,21251231.9107903,95265445.5385897,62127344.0647676,35885549.3170848,-4217765.07499201,121808493.212338,291575335.969574,155650153.927263,-3932370.14741734,82901770.2532695,10712311.2672238,10712311.2672238,166362465.194487,-934328.899765136,-116339.148970758,-934328.899765136,165428136.294722,2609505.38959058,142275431.708137,-18737737.4228758,126147199.674852,126147199.674852,291575335.969574,1997783.76480288,1708620.99301929,-8987289.4207478,-22985872.8651671,-28266757.5280927,-2199929.13777487,-74381438.7160948,-80871535.4667446,-4449690.02886328,-79194345.2788636,-181842541.523051,-181842541.523051,5211223.43095655,-176631318.092095,-3019744.59604475,0,-37455864.9224239,0.57855,0.15478,0.10547,0.261521898884729,0.138072499174425,-3.88621930532204,0.264824073915463,1.18028509276155,0,0.09427,0.08989,0.89374,1.80087017852448,-0.454764462133922,0.250642553292979,0.524439198694432,-24.7003412794159,-33.1954763914799
"3","2010_Q4",7.6940625,"Up",74014000,-33224000,40790000,-31178000,-19050000,-9866000,-2262000,9612000,-188000,-188000,9424000,9424000,-3192000,6232000,6232000,6232000,6232000,122068170.835428,116710935.246669,53390554.7750077,53390554.7750077,9809715.42352759,185268441.033963,17174711.9665464,81123292.0769711,62216879.0242879,17055580.9939068,380088.096877996,101332559.954627,286601000.98859,78543682.7227238,3683111.1947185,50659288.8449761,32897991.7252089,32897991.7252089,111441674.447933,6808751.66258807,-16502.1808640342,6808751.66258807,118250426.110521,1422939.52109647,173784036.890552,-6856401.53357841,168350574.87807,168350574.87807,286601000.98859,6232000,2262000,2467000,538000,11499000,-1625000,-10162000,-14604000,-15540000,-14592000,-13255000,-13255000,919000,-12336000,11874000,0,13979000,0.55111,0.12987,0.0842,0.0972869620817735,0.0535221871904095,2.2431,1.6124502777183,0.723459409785581,0,0.07332,0.07065,0.87083,2.08886756694668,0.16447,0.093100957484867,0.201699699510412,-17.0492004797809,-22.151369896805
"4","2011_Q1",7.68661290322581,"Down",71513000,-32164000,39349000,-30534000,-18500000,-9868000,-2166000,8815000,239000,-397000,9054000,9054000,-2609000,6445000,6445000,6445000,6445000,125158000,120744000,47419000,47419000,16403000,188980000,14833000,74940000,62265000,8816000,2673000,91484000,280464000,41408000,7745000,33663000,44974000,44974000,86382000,10282000,2838000,10282000,96664000,704000,184152000,-1056000,183800000,183800000,280464000,6445000,2166000,3453000,2547000,14611000,-1540000,3888000,-3155000,-21142000,-3034000,15465000,15465000,-48000.0000000002,15417000,10981000,0,14597000,0.55024,0.12326,0.09012,0.03507,0.02298,2.26486,2.18772,0.52592,0,0.07649,0.07181,0.84876,2.18145,0.17325,0.03321,0.07521,-11.39769,-14.1983
"5","2011_Q2",8.70730158730159,"Up",71710000,-32497000,39213000,-31660000,-19276000,-10383000,-2001000,7553000,18000,18000,7571000,7571000,-405000,7166000,7166000,7166000,7166000,119309693.054857,114392688.25111,48505231.7416641,48505231.7416641,17434594.8588241,185249519.655345,13766596.0111512,73831069.3076763,62282706.991904,7440806.33536439,3354470.634374,88679813.3484577,273929333.003803,31689855.7590921,9183046.26842717,27537903.7183413,49824836.091597,49824836.091597,81514691.8506891,10852666.1124706,6716417.39362134,10852666.1124706,92367357.9631598,338186.826301178,180855571.036483,368217.17785947,181561975.040643,181561975.040643,273929333.003803,7166000,2001000,1900000,-2963000,8104000,-1338000,-2180000,-16059000,-27581000,-15370000,-9446000,-9446000,345000,-9101000,9554000,0,5658000,0.54683,0.10533,0.09993,0.0387685126394088,0.0269859376031968,0.78956,2.24704574076057,0.502636863404806,0,0.0852,0.08114,0.85259,2.14903247768444,0.06727,0.0364571808383777,0.074787600163196,-7.56020734007302,-8.94601920106501
"6","2011_Q3",8.741875,"Up",88402000,-35743000,52659000,-34446000,-21547000,-10676000,-2223000,18213000,334000,334000,18547000,18547000,-6208000,12339000,12339000,12339000,12339000,109356000,103400000,52995000,52995000,16074000,178425000,13516000,74912000,62281000,9204000,3118000,89337000,267762000,36836000,8927000,27909000,50335000,50335000,87171000,9888000,9888000,9888000,97059000,211000,171371000,-878999.999999999,170703000,170703000,267762000,12339000,2223000,3923000,-2464000,16021000,-658000,-539000,-24420000,-38415000,-23911000,-8429000,-8429000,186000,-8243000,20436000,0,23522000,0.59568,0.20602,0.13958,0.07228,0.04608,1.90631,2.04684,0.56858,0,0.14905,0.14166,1.06786,2.06203,0.28414,0.06833,0.13025,-5.35115,-6.00428
"7","2011_Q4",10.4480952380952,"Up",85602000,-35945000,49657000,-30263000,-17688000,-10877000,-1698000,19394000,862000,862000,20256000,20256000,-5379000,14877000,14877000,14877000,14877000,100803000,94153000,56745000,56745000,15917000,173465000,13508000,74850000,62270000,9800000,2765000,89266000,262731000,43068000,8296000,30218000,49393000,49393000,92461000,8971000,8971000,8971000,101432000,204000,164392000,-3297000,161299000,161299000,262731000,14877000,1698000,-1408000,1703000,16870000,-1676000,-488000,-24825000,-29573000,-24607000,-8225000,-8225000,-1022000,-9247000,21092000,0,26498000,0.58009,0.22656,0.17379,0.09223,0.05662,1.78114,1.87609,0.62884,0,0.18452,0.17606,1.06174,2.00063,0.32866,0.08737,0.15562,-4.77921,-5.19764
"8","2012_Q1",11.3946774193548,"Up",83539000,-34916000,48623000,-32420000,-20622000,-10436000,-1362000,16203000,650000,-422000,16853000,16853000,-6328000,10525000,10525000,10525000,10525000,98259000,92180000,56264000,56264000,19991000,174514000,13321000,70910000,62261000,5696000,2953000,85086000,259600000,38241000,8090000,30151000,49882000,49882000,88123000,9397000,2785000,9397000,97520000,204000,166989000,-5113000,162080000,162080000,259600000,10525000,1362000,10690000,-7748000,14829000,-1402000,-1402000,-15119000,-37575000,-14061000,-633999.999999999,-633999.999999999,-1339000,-1973000,17565000,0,14743000,0.58204,0.19396,0.12599,0.06494,0.04054,1.40076,1.98035,0.60168,0,0.13195,0.12536,1.04733,2.03199,0.18483,0.06138,0.08598,-5.59402,-6.06425
"9","2012_Q2",11.7231746031746,"Up",91481000,-37935000,53546000,-35606000,-22711000,-11551000,-1344000,17940000,-124000,-124000,17816000,17816000,-6414000,11402000,11402000,11402000,11402000,96617000,92277000,57196000,57196000,21616000,175429000,13918000,68122000,62266000,3185000,2671000,82895000,258324000,33400000,5680000,27720000,52462000,52462000,85862000,9120000,9120000,9120000,94982000,203000,167164000,-4025000,163342000,163342000,258324000,11402000,1344000,5253000,-4940000,13059000,-1796000,310000,-17379000,-33487000,-13745000,-376000,-376000,473000,97000,19284000,0,18962000,0.58532,0.19611,0.12464,0.0698,0.04414,1.66304,2.04315,0.58149,0,0.14321,0.13813,1.14903,2.05162,0.23817,0.06611,0.10995,-5.01022,-5.38556
"10","2012_Q3",12.3360317460317,"Up",93567000,-39350000,54217000,-32875000,-20655000,-10802000,-1418000,21342000,802000,802000,22144000,22144000,-7972000,14172000,14172000,14172000,14172000,100890000,95092000,64439000,64439000,15083000,180412000,13769000,67717000,62256000,3207000,2254000,81486000,261898000,37006000,8087000,26686000,52700000,52700000,89706000,8863000,8863000,8863000,98569000,2e+05,168884000,-5755000,163329000,163329000,261898000,14172000,1418000,1934000,3367000,20891000,-1454000,-2337000,-14923000,-16748000,-14495000,4059000,4059000,-1244000,2815000,22760000,0,32645000,0.57945,0.22809,0.15146,0.08677,0.05411,2.30349,2.01115,0.6035,0,0.17926,0.17409,1.18349,2.06589,0.41291,0.0823,0.18958,-4.43278,-4.7273
