"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2017_Q2",2.09380952380952,"Up",15235000,-19714000,-4479000,-15143000,-9145000,-5998000,-19622000,-2137000,-2137000,-21759000,-2280000,-24039000,-24039000,-24039000,-24039000,-24065000,-1228913988.32407,-1228914281.45258,364618251.102,364618251.102,-193694205.240258,-122303968.995899,-98884868.0013205,-23419100.9945786,-1180293911.45823,-105913079.428982,-10373285.04013,21420346.4808507,-8863360.23077027,-22930271.2902105,-116286340.574719,-1296580252.03294,2148205.30790329,-149891177.266394,152039382.574297,-1274072.87111315,8544187.2279224,29964233.6960982,-21420046.4681758,9418319.66471252,-1518600461.33777,157704967.755435,118006453.527262,39698522.0161612,-1360895493.58233,-1351477173.91762,817283091.516371,527797701.719589,-1286720276.08863,-25575591.9644589,54896921.8846771,54896921.8846771,-1296580252.03294,-24039000,2145000,4889000,-6854000,-23859000,-9639000,-9639000,-9639000,-9639000,-50000,155081324.982833,155081324.982833,-1520000,-35018000,-35018000,35000,-34983000,-17477000,0,-0.29399,-1.28796,-1.57959,-12.0482162855914,-1.42289777877192,-9.4528226481244,-53.5831355142573,-2.29562066170195,-0.12587,-0.12587,0.07969,0.332568077857253,-1.89632983818737,141.333836482858,99.3251218761598
"2","2017_Q3",2.22793650793651,"Up",20784000,-24327000,-3543000,-24529000,-17904000,-6625000,-28072000,-2251000,-2251000,-30323000,-12296000,-42619000,-42619000,-42619000,-42619000,-45654000,-528871994.162035,-528872140.726292,169968125.551,169968125.551,-51913102.620129,-45252984.4979495,-43772934.0006602,-1480050.49728928,-456069955.729113,16223460.2855089,27918357.479935,11328173.2404254,1380319.88461486,15209864.3548948,44141829.7126407,-411928126.016472,33014602.6539516,-39702088.6331969,72716691.2871485,34493463.5644434,8650593.6139612,17458116.8480491,-8807523.2340879,76158659.8323563,-661865730.668884,86224983.8777173,65845726.7636308,20379261.0080806,-575640746.791167,-499482086.958811,1047423545.75819,248667850.859794,-1209905138.04431,-10042795.9822294,87553960.9423386,87553960.9423386,-411928126.016472,-42619000,2328000,23288000,-17473000,-34476000,-10906000,-10906000,-10906000,-10906000,-4928000,37273000,37273000,33728000,-11654000,-11654000,123000,-11531000,-25744000,-7.45058059692383e-09,-0.17047,-1.35065,-2.19659,-5.15009314279568,-0.645518889385958,-3.6830313240622,-22.1896527571286,-0.880610330850976,-0.20723,-0.20723,0.09434,0.412504038928627,-0.861389919093683,56.1168182414289,39.1823459380799
"3","2017_Q4",2.56396825396825,"Up",33038000,-52448000,-19410000,-16971000,-9535000,-7436000,-36381000,-2724000,-2724000,-39105000,-1878000,-40983000,-40983000,-40983000,-40983000,-41008000,-139001331.387345,-139001380.242097,64830708.517,64830708.517,22299632.459957,22671.8340168335,-9857311.33355341,9879983.16757024,-51848318.576371,76953486.7618363,47195119.1599783,5884724.41347512,7075106.62820495,34235288.1182982,124148609.904214,72300291.3278426,48489867.5513172,19653637.1222677,28836230.4290495,49982487.8548145,8987531.20465373,10884038.9493497,-1896507.74469597,107459886.610785,-172271910.222961,46689327.9592391,37254908.9212103,9434420.33602686,-125582582.263722,-18122695.6529369,1184866515.25273,80844616.9532648,-1178160046.01477,-1404265.32740981,90422986.9807795,90422986.9807795,72300291.3278426,-40983000,2566000,30631000,-15173000,-22959000,-7746000,-7746000,-7746000,-7746000,9248000,1066999.99999999,1066999.99999999,32982000,2277000,2277000,128000,2405000,-33815000,0,-0.58751,-1.10119,-1.24124,-1.53386438093189,-0.229992963128653,-0.4048337746874,-4.92487091904288,-0.0379801102836586,-0.18164,-0.18164,0.14634,0.398461346309542,-0.306503306364561,11.382262747143,7.49227864602664
"4","2018_Q1",2.01426229508197,"Down",31096000,-31753000,-656999.999999996,-17060000,-8426000,-8634000,-17717000,-2988000,-2988000,-20705000,1266000,-19439000,-19439000,-19439000,-19439000,-19451000,24828000,24828000,24179000,24179000,48776000,21824000,7926000,13898000,119607000,97479000,53724000,3785000,9445000,40494000,151203000,270810000,52957000,42362000,10595000,53268000,9496000,8630000,866000,115721000,50440000,30294000,25809000,4485000,80734000,196455000,1253190000,-3102000,-1178636000,2194000,74355000,74355000,270810000,-19439000,2744000,2969000,34838000,21112000,-16072000,-16072000,-16072000,-16072000,-15047000,2385000,2385000,6426000,11466000,11466000,62000,11528000,-14973000,103708000,-0.0211300000000001,-0.56975,-0.62551,-0.2616,-0.07183,1.03358,2.64212,0.38295,-0.08527,-0.08527,0.13632,0.32284,-0.09335,-5.26815,-4.45222
"5","2018_Q2",1.94453125,"Down",26418000,-30402000,-3984000,-16957000,-8309000,-8648000,-20941000,-3105000,-3105000,-24046000,1258000,-22788000,-19835000,-19835000,-19835000,-19848000,46746000,46746000,22986000,22986000,47348000,28452000,14641000,13811000,145532000,99002000,53772000,3724000,9714000,40334000,152774000,298306000,50799000,42609000,8190000,52425000,10117000,9084000,1033000,113341000,106529000,28235000,25083000,3152000,134764000,248105000,1275972000,-30602000,-1198484000,2606000,50201000,50201000,298306000,-19835000,2938000,3011000,-10142000,-24028000,-4303000,-4303000,-4303000,-4303000,91408000,50000.0000000009,50000.0000000009,49199000,20868000,20868000,46000,20914000,-18003000,158954000,-0.15081,-0.79268,-0.75131,-0.39537,-0.06654,1.28402,4.94223,0.53286,-0.08744,-0.08744,0.11639,0.21804,-0.08361,-6.23274,-5.35829
"6","2018_Q3",1.94730158730159,"Up",35229000,-37539000,-2310000,-20668000,-12241000,-8427000,-22978000,-6136000,-6136000,-29114000,334000,-28780000,-25868000,-25868000,-25868000,-25881000,15035000,15035000,31509000,31509000,42288000,29028000,15661000,13367000,117860000,107165000,51202000,4250000,9210000,37742000,158367000,276227000,46905000,36128000,10777000,52042000,10719000,10410000,309000,109666000,108777000,30947000,28130000,2817000,139724000,249390000,1279286000,-30637000,-1224365000,1844000,26837000,26837000,276227000,-25868000,3192000,7966000,-6440999.99999999,-21151000,-12057000,-12057000,-11178000,-12057000,-19033000,17000,17000,-257000,-33465000,-33465000,-82000,-33547000,-19786000,160819000,-0.06557,-0.65225,-0.73465,-0.96438,-0.09369,1.07472,9.29277,0.5822,-0.12076,-0.12076,0.16438,0.12191,-0.11839,-7.36804,-6.3445
"7","2018_Q4",1.69857142857143,"Down",53165000,-48756000,4409000,-17054000,-8652000,-8402000,-12645000,-6352000,-6352000,-18997000,1716000,-17281000,-15565000,-15565000,-15565000,-15578000,13825000,13825000,24721000,24721000,53428000,31853000,16050000,15803000,123827000,143170000,52281000,4058000,9157000,39066000,195451000,319278000,45658000,37105000,8553000,60194000,11243000,10996000,247000,117095000,157443000,29626000,28525000,1101000,187069000,304164000,1286710000,-30637000,-1243430000,1762000,15114000,15114000,319278000,-15565000,2973000,5218000,10911000,3537000,-1168000,-1168000,-1168000,-1168000,-13601000,4937000,4937000,4274000,6643000,6643000,-13000,6630000,-9672000,217637000,0.08293,-0.23784,-0.29301,-1.0307,-0.04879,1.05749,20.12465,0.68165,-0.07229,-0.07229,0.24671,0.06685,-0.05937,-21.07237,-16.11799
"8","2019_Q1",1.74459016393443,"Up",59403000,-83522000,-24119000,4244000,-8483000,12727000,-19875000,-7157000,-7157000,-27032000,978000,-26054000,-24340000,-24340000,-24340000,-24353000,38602000,38602000,37347000,37347000,47910000,31756000,14357000,17399000,155615000,159620000,75091000,3890000,9023000,62178000,234711000,390326000,42688000,34824000,7864000,91067000,12615000,12055000,560000,146370000,181456000,28144000,28021000,123000,209600000,355970000,1292056000,-30637000,-1260290000,1584000,34356000,34356000,390326000,-24340000,3422000,2503000,1707000,-16708000,-2044000,-2044000,-1994000,-2044000,66536000,33263000,33263000,66861000,48109000,48109000,-8000,48101000,-16453000,272523000,-0.40602,-0.33458,-0.40996,-0.70884,-0.06239,1.06316,10.36122,0.69819,-0.11133,-0.11133,0.27157,0.0124,-0.07269,-14.21753,-11.76961
"9","2019_Q2",2.48174603174603,"Up",21579000,-25363000,-3784000,-16697000,-9324000,-7373000,-20481000,-8345000,-8345000,-28826000,-2126000,-30952000,-30952000,-30952000,-30952000,-31004000,39336000,39336000,32062000,32062000,65474000,29593000,10296000,19297000,166465000,155504000,74230000,3677000,8886000,61667000,229734000,396199000,38197000,31688000,6509000,36556000,14007000,11736000,2271000,88760000,248896000,28083000,25835000,2248000,276979000,365739000,1322324000,-30637000,-1294241000,1374000,30460000,30460000,396199000,-30952000,2951000,8592000,-16854000,-36263000,-2274000,-2274000,-2274000,-2274000,14074000,23576000,23576000,37650000,-887000,-887000,-35000,-922000,-17530000,285452000,-0.17536,-0.94912,-1.43677,-1.01786,-0.07825,1.87545,12.00719,0.72048,-0.14054,-0.14054,0.09782,-0.00535,-0.09013,-14.0397,-12.0168
"10","2019_Q3",2.31765625,"Down",57535000,-46914000,10621000,-22560000,-13627000,-8933000,-11939000,-7861000,-7861000,-19800000,1706000,-18094000,-18094000,-18094000,-18094000,-18068000,19845000,19845000,26592000,26592000,73190000,33401000,14001000,19400000,153028000,184683000,119283000,5398000,8961000,104924000,303966000,456994000,41468000,36946000,4522000,46591000,14747000,11730000,3017000,102806000,308151000,25057000,24519000,538000,333208000,436014000,1331381000,-30681000,-1312815000,1460000,20980000,20980000,456994000,-18094000,2883000,4619000,-1633000,-12225000,-4042000,-4417000,-2557000,-4042000,37490000,4886000,4886000,42376000,26109000,26109000,-13000,26096000,-9056000,354742000,0.1846,-0.20751,-0.31403,-0.8612,-0.03954,1.48851,20.78236,0.77625,-0.07815,-0.07815,0.24886,-0.04609,-0.04508,-36.98068,-28.05067
"11","2019_Q4",3.0403125,"Up",59461000,-51114000,8347000,-18428000,-10400000,-8028000,-10081000,-7972000,-7972000,-18053000,-91000,-18144000,-18144000,-18144000,-18144000,-18157000,43275000,43275000,24392000,24392000,80601000,48524000,12804000,35720000,196792000,217024000,142193000,5113000,8606000,128474000,359217000,556009000,46308000,36851000,9457000,58314000,21718000,11480000,10238000,126340000,395065000,22555000,22444000,111000,417620000,543960000,1349938000,-31216000,-1334057000,929000,12049000,12049000,556009000,-18144000,3628000,6137000,5066000,-3313000,-2655000,-2655000,-2655000,-2655000,63586000,9483000,9483000,69029000,63061000,63061000,-71000,62990000,-6453000,453379000,0.14038,-0.16954,-0.30536,-1.50693,-0.03266,1.55764,45.14566,0.81542,-0.07669,-0.07669,0.25115,-0.06085,-0.03721,-63.55246,-40.68088
"12","2020_Q1",4.07322580645161,"Up",91400000,-95936000,-4536000,-576000,-9851000,9275000,-5112000,-11513000,-11353000,-16625000,72000,-16553000,-16553000,-16553000,-16553000,-18326000,139496000,139496000,25768000,25768000,72391000,76005000,21192000,54813000,313660000,14959000,330894000,5539000,8842000,316513000,345853000,659513000,54785000,40376000,14409000,51354000,27823000,11691000,16132000,133962000,317572000,76925000,23170000,53755000,394497000,528459000,1510139000,-31216000,-1350307000,1288000,131054000,131054000,659513000,-16553000,3174000,8050000,3806000,-1523000,1259000,1259000,1803000,-5273000,42215000,135704000,135704000,177919000,171123000,171123000,60000,171183000,-1938000,368926000,-0.04963,-0.0559300000000001,-0.2005,-0.13984,-0.02779,2.34141,4.03238,0.55939,-0.07047,-0.07047,0.35147,0.49953,-0.03177,-118.38493,-44.88067
"13","2020_Q2",4.68079365079365,"Up",40819000,-50522000,-9703000,-15883000,-11109000,-4774000,-25586000,-11846000,-11789000,-37432000,10362454.2203537,-37432000,-37432000,-37432000,-37432000,-37445000,74340000,74340000,24437000,24437000,92972000,85304000,28500000,56804000,277053000,269393000,202098000,5296000,8673000,188129000,471491000,748544000,49776000,35503000,14273000,79866000,21980000,11557000,10423000,151622000,464168000,22925000,22912000,13000,487093000,638715000,1522479000,-31224000,-1383299000,1164000,109829000,109829000,748544000,-37432000,3166000,8199000,-34335000,-60402000,-2507000,-2507000,-2507000,-6355000,-1634000,6104000,6104000,4470000,-62287000,-62287000,1000,-62286000,-22420000,544034000,-0.23771,-0.62682,-0.91734,-0.34094,-0.05002,1.82726,5.81554,0.72679,-0.12269,-0.12269,0.13375,0.35755,-0.05533,-20.94978,-18.35746
"14","2020_Q3",11.02046875,"Up",67995000,-68010000,-15000,-26517000,-21644000,-4873000,-26532000,-13462000,-13368000,-39994000,13222000,-26772000,-9400999.99999999,-9400999.99999999,-9400999.99999999,-9414000,152492000,152492000,45522000,45522000,114571000,82070000,31436000,50634000,394655000,334739000,300920000,38574000,70402000,191944000,635659000,1030314000,63132000,39812000,23320000,108628000,36594000,14902000,21692000,208354000,545201000,36794000,25038000,11756000,581995000,790349000,1662014000,-31359000,-1391961000,1271000,239965000,239965000,1030314000,-9400999.99999999,3301000,-17816000,-27573000,-51489000,-2502000,-2502000,-2502000,-50196000,160419000,9694000,9694000,177749000,76063999.9999999,76063999.9999999,-25000,76039000,-23231000,653829000,-0.000220000000000053,-0.39021,-0.13845,-0.03923,-0.00914,1.89416,3.2936,0.63459,-0.02973,-0.02973,0.21474,0.75784,-0.01012,-21.58052,-18.89556
