"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2016_Q1",10.0286885245902,"Up",119172000,-68100000,51072000,-48084000,-26184000,-21900000,2988000,180000,180000,3168000,3168000,7932000,11100000,11100000,11100000,11100000,498614000,498614000,108596000,79096000,21063000,16937000,707369000,53234000,143863000,57471000,81272000,5120000,197097000,904466000,73934000,25521000,2442000,45971000,73934000,61283000,33958000,27325000,61283000,135217000,492339000,-124856000,402863000,-1097000,769249000,769249000,904466000,11100000,11100000,4994000,-9432000,32867000,39529000,-3190000,-1630000,-3190000,-122000,-15040000,-14622000,21717000,21717000,972000,22689000,7982000,0,29727000,0.42856,0.02507,0.09314,0.01443,0.01227,2.67811,9.56757,0.17578,0,0.15305,0.15472,1.64314,10.60638,0.40987,0.01336,0.03579,-62.4673,-166.87216
"22","2016_Q2",10.7103125,"Up",108534000,-58113000,50421000,-52126000,-27932000,-24194000,-1705000,349000,349000,-1356000,-1356000,1265000,-91000,-91000,-91000,-91000,492935000,492935000,108628000,69648000,17340000,17340000,688551000,52076000,143465000,55805000,81272000,6388000,195541000,884092000,71904000,33741000,1353000,36810000,71904000,57182000,29455000,27727000,57182000,129086000,492226000,-137696000,402772000,-2296000,755006000,755006000,884092000,-91000,-91000,4051000,-2480000,6214000,7693999.99999999,-1612000,-10749625.0255583,-1612000,-125000,-12663000,-12425000,-6342999.99999999,-6342999.99999999,664000,-5679000,2346000,2.91038304567337e-11,5683000,0.46456,-0.01571,-0.000840000000000007,-0.00012,-9.99999999999994e-05,-62.45055,9.57598,0.17097,0,-0.00129000000000001,-0.00129000000000001,1.53431,10.67327,0.08034,-0.000110000000000001,0.00699999999999999,-210.11722,289.11144
"23","2016_Q3",11.5428125,"Up",156400000,-86753000,69647000,-57938000,-35499000,-22439000,11709000,425000,425000,12134000,12134000,-7045000,5089000,5089000,5089000,5089000,481993000,481993000,162546000,79780000,16463000,16463000,740782000,51312000,142884000,54140000,81272000,7472000,194196000,934978000,115701000,59817000,10272000,45612000,115701000,56371000,28473000,27898000,56371000,172072000,494022000,-139407000,407861000,430000,762906000,762906000,934978000,5089000,5089000,4151000,4252000,-22165000,-8673000,-180000,3.72529029846191e-09,-180000,-134000,-1711000,-1668000,-10521000,-10521000,-421000,-10942000,15860000,0,560000,0.44531,0.07487,0.03254,0.00667,0.00544,0.11004,6.40255,0.22555,0,0.0723,0.07205,2.22194,10.83843,0.00796,0.00621,0.00068,-30.39048,-41.16432
"24","2016_Q4",13.4242857142857,"Up",216414000,-116374000,100040000,-61418000,-38458000,-22960000,38622000,682000,682000,39304000,39304000,-7519000,31785000,31785000,31785000,31785000,516128000,516128000,171809000,89556000,17830000,17830000,795323000,50195000,141189000,52475000,81272000,7442000,191384000,986707000,131870000,71116000,6945000,53809000,131870000,59165000,30908000,28257000,59165000,191035000,495961000,-139407000,439646000,-528000,795672000,795672000,986707000,31785000,31785000,4019000,5282000,-5649000,35437000,-1847000,0,-1847000,-140000,37999.9999999991,-102000.000000001,33488000,33488000,647000,34135000,42641000,0,42664000,0.46226,0.17846,0.14687,0.03995,0.03221,1.34226999999999,6.03111,0.24009,-1.6940658945086e-21,0.45163,0.44867,3.07498,11.30553,0.6062,0.03718,0.04991,-12.10403,-13.36358
"25","2017_Q1",17.6972580645161,"Up",145844000,-84916000,60928000,-55601000,-32820000,-22781000,5327000,755000,755000,6082000,6082000,5590000,11672000,11672000,11672000,11672000,547907000,423907000,130455000,87295000,15285000,15285000,780942000,50342000,151160000,50810000,81272000,2256000,201502000,982444000,125959000,41813000,12830000,71316000,125959000,56961000,27329000,29632000,56961000,182920000,498676000,-139407000,442981000,-2726000,799524000,799524000,982444000,11672000,11672000,4009000,-9156000,27424000,33949000,-1526000,-1.24e+08,-125526000,-143000,195000,-291000,-91868000,-91868000,-353000,-92221000,9336000,0,29644000,0.41776,0.03653,0.08003,0.0146,0.01188,2.53975,6.19997,0.22879,0,0.16579,0.16405,2.07159,11.35655,0.42107,0.01363,0.03461,-58.68755,-102.8547
"26","2017_Q2",19.3807936507937,"Up",149639000,-81212000,68427000,-49368000,-27863000,-21505000,19059000,910000,910000,19969000,19969000,-2573000,17396000,17396000,17396000,17396000,577426000,577426000,118095000,83792000,14348000,14348000,793661000,49635000,149464000,49287000,81272000,18905000,199099000,992760000,115210000,46349000,12996000,55865000,115210000,57081000,28434000,28647000,57081000,172291000,502561000,-139407000,465558000,-8243000,820469000,820469000,992760000,17396000,17396000,3944000,-1565000,10274000,30049000,-2659000,0,-2658999.99999996,-142000,284000,142000,27532000,27532000,1987000,29519000,23003000,0,33191000,0.45728,0.12737,0.11625,0.0212,0.01752,1.90797,6.88882,0.20999,2.11758236813575e-22,0.24552,0.24241,2.11193,11.57971,0.46844,0.01982,0.03782,-25.1022,-30.29676
"27","2017_Q3",18.4590476190476,"Down",199613000,-107350000,92263000,-55760000,-30740000,-25020000,36503000,1318000,1318000,37821000,37821000,-5151000,32670000,32670000,32670000,32670000,574203000,435203000,169748000,98685000,16672000,16672000,859308000,65725000,147729000,47766000,81272000,2010000,214766000,1074074000,156426000,80570000,9006000,66850000,156426000,63003000,32936000,30067000,63003000,219429000,505003000,-139407000,494599000,-5550000,854645000,854645000,1074074000,32670000,32670000,3831000,11274000,-34846000,12929000,-13428000,1.24e+08,-29740000,-148000,105000,-785000,-17596000,-17596000,-627000,-18223000,40334000,0,-2789000,0.46221,0.18287,0.16367,0.03823,0.03042,-0.08537,5.49338,0.25675,0,0.46037,0.45205,2.81288,12.04336,-0.0393,0.0356,-0.00304,-14.2362,-15.7303
"28","2017_Q4",21.9436507936508,"Up",243897000,-129894000,114003000,-63124000,-37144000,-25980000,50879000,1487000,1487000,52366000,17159000,17657000,34809000,34809000,34809000,34809000,565357000,455357000,214147000,126382000,53599000,25027000,959485000,66233000,121893000,46244000,46065000,1991000,189431000,1148916000,198593000,87151000,10181000,101261000,198593000,62552000,32324000,30228000,62552000,261145000,504155000,-139594000,525410000,-2200000,887771000,887771000,1148916000,34809000,34809000,3964000,28226000,-41811000,25188000,-4613000,6e+07,24387000,-154000,-8000,-161999.999999998,49413000,49413000,-687000,48726000,54843000,1.13686837721616e-13,-9238000,0.46742,0.20861,0.14272,0.03921,0.0303,-0.26539,4.83141,0.29416,-5.29395592033938e-23,0.48983,0.48024,3.43212,12.49273,-0.13,0.03663,-0.00972,-10.30864,-11.11179
"29","2018_Q1",22.1734426229508,"Up",215892000,-115539000,100353000,-73333000,-45635000,-27698000,27020000,1717000,1717000,28737000,28737000,-1798000,27136000,27136000,27136000,27136000,608410000,392410000,198480000,122023000,24469000,23939000,953382000,67762000,148461000,62316000,56318000,2056000,217725000,1171107000,192981000,51354000,16780000,124847000,192981000,58096000,33590000,24506000,58096000,251077000,506515000,-157604000,569080000,2039000,920030000,920030000,1171107000,41224000,41224000,4518000,7590000,14812000,68144000,-3538000,-2.76e+08,-136657000,-160000,-18069000,-21879000,-90392000,-90392000,-597000,-90989000,31538000,0,44610000,0.46483,0.12516,0.12569,0.02949,0.02317,1.64394,4.94029,0.2729,0,0.38359,0.37828,3.05178,13.00524,0.63059,0.02774,0.04561,-19.29133,-22.51702
"30","2018_Q2",21.84796875,"Down",213691000,-114652000,99039000,-60468000,-30218000,-30250000,38571000,1709000,1709000,40280000,40280000,-109633000,-69337000,-69337000,-69337000,-69337000,649661000,390661000,173777000,106683000,23214000,22686000,953335000,71720000,132013000,60586000,57063000,2088000,205251000,1158586000,166654000,68370000,18137000,80147000,166654000,141561000,116431000,25130000,141561000,308215000,510736000,-160884000,496655000,3864000,850371000,850371000,1158586000,-69337000,-69337000,4468000,27652000,87550000,50333000,-5183000,9e+07,-48183000,-166000,-3225000,-3391000,-1241000.00000003,-1241000.00000003,-510000,-1751000.00000003,43039000,9.09494701772928e-13,235039000,0.46347,0.1805,-0.32447,-0.08154,-0.05985,-3.38981,5.72044,0.36245,0,-0.98243,-0.98243,3.02777,12.04884,3.33025,-0.0699,0.23695,-15.0947,-16.84325
"31","2018_Q3",24.0015873015873,"Up",221772000,-124162000,97610000,-58586000,-29929000,-28657000,39024000,2716000,2716000,41740000,41740000,-5579000,36122000,36122000,36122000,36122000,628151000,340151000,224484000,118831000,24289000,23754000,995755000,75619000,131157000,60180000,57478000,2577000,208255000,1204010000,187189000,82716000,19340000,85133000,187189000,136894000,111426000,25468000,136894000,324083000,513315000,-182354000,539871000,9095000,879927000,879927000,1204010000,36122000,36122000,4744000,9596000,-43722000,6740000,-6273000,1.63e+08,-35273000,-180000,-20670000,-20850000,-49383000,-49383000,-1120000,-50503000,43768000,0,-648000,0.44014,0.17596,0.16288,0.04105,0.03,-0.01794,5.31952,0.36831,0,0.51338,0.50573,3.15192,12.50589,-0.00921,0.03552,-0.00064,-14.35183,-16.09653
"32","2018_Q4",19.2668253968254,"Down",268834000,-141865000,126969000,-62506000,-32532000,-29974000,64463000,3196000,3196000,67659000,67659000,-7282000,60256000,60256000,60256000,60256000,620686000,362686000,256694000,123293000,21769000,21255000,1022442000,76064000,126061000,55131000,56649000,2500000,203483000,1225925000,203578000,78777000,18608000,106193000,203578000,140265000,115887000,24378000,140265000,343843000,516208000,-224938000,591951000,-1139000,882082000,882082000,1225925000,60256000,60256000,4951000,-3171000,-25266000,36770000,-4071000,1.92e+08,25929000,-180000,-41384000,-41564000,21135000,21135000,1379000,22514000,69414000,1.45519152283669e-11,47359000,0.4723,0.23979,0.22414,0.06831,0.04915,0.78596,5.02236,0.38981,-1.35525271560688e-20,0.8717,0.8571,3.8891,12.76068,0.68512,0.05894,0.04632,-8.9418,-9.62856
"33","2019_Q1",20.7001639344262,"Up",184824000,-99001000,85823000,-61249000,-30509000,-30740000,24574000,3296000,3296000,27870000,27870000,1750000,29635000,29635000,29635000,29635000,613630000,320630000,243373000,115191000,15079000,14561000,987273000,76067000,121027000,52871000,56550000,2589000,198467000,1185740000,174076000,48527000,19571000,105978000,174076000,131457000,107082000,24375000,131457000,305533000,519244000,-248664000,613529000,-3902000,880207000,880207000,1185740000,29635000,29635000,4852000,2808000,-7639000,29656000,-4344000,-5.22e+08,-39344000,-178000,-24976000,-33330000,-43018000,-43018000,966000,-42052000,29426000,0,15693000,0.46435,0.13296,0.16034,0.03367,0.02499,0.52954,5.67151,0.34711,0,0.43932,0.42719,2.73988,13.04842,0.23264,0.03738,0.01551,-20.85333,-24.9707
"34","2019_Q2",20.667619047619,"Down",157208000,-82409000,74799000,-60244000,-30441000,-29803000,14555000,3575000,3575000,18130000,18130000,-10570000,7517000,7517000,7517000,7517000,632426000,277426000,187240000,109731000,14183000,13667000,943580000,77320000,118556000,50252000,56340000,2508000,197206000,1140786000,143457000,46437000,21115000,75905000,143457000,138920000,25359000,113561000,138920000,282377000,523117000,-274149000,613525000,-4084000,858409000,858409000,1140786000,7517000,7517000,4769000,3079000,40636000,56001000,-3273000,-6.2e+07,-65273000,-183000,-25676000,-33916000,-43188000,-43188000,-18000,-43206000,19324000,0,67257000,0.4758,0.09258,0.04782,0.00876,0.00659,8.94732,6.57744,0.32895,-2.16840434497101e-19,0.1119,0.11079,2.34024,12.77851,1.00121,0.01562,0.06744,-32.72749,-43.45077
"35","2019_Q3",20.7815625,"Up",115908000,-60335000,55573000,-58038000,-28461000,-29577000,-2465000,3611000,3611000,1146000,1146000,-4672000,-3555000,-3555000,-3555000,-3555000,626872000,418872000,138844000,102549000,14103000,13638000,882368000,76343000,115133000,47421000,56050000,2430000,197777000,1080145000,112744000,33378000,14553000,64813000,122748000,134183000,25263000,108920000,134183000,256931000,526419000,-301071000,601913000,-4047000,823214000,823214000,1080145000,-3555000,-3555000,5237000,4556000,21096000,27334000,-3038000,1.47e+08,138962000,9809000,-26930000,-25176000,141120000,141120000,275000,141395000,2772000,10004000,25502000,0.47946,-0.02127,-0.03067,-0.00432,-0.00329,-7.17356,7.18845,0.31211,0.00926,-0.05396,-0.05319,1.75927,12.4949,0.38707,0.00465,0.02636,-222.53535,250.25071
"36","2019_Q4",23.45328125,"Up",127109000,-68329000,58780000,-56953000,-28724000,-28229000,1827000,3324000,3324000,5151000,5151000,-3864000,1287000,1287000,1287000,1287000,643538000,395538000,151246000,98049000,25607000,25133000,918440000,74851000,112977000,46198000,56248000,2372000,194129000,1112569000,118060000,42337000,12258000,63465000,189254000,135880000,27154000,108726000,135880000,325134000,530016000,-334248000,595803000,-4136000.00000001,787435000,787435000,1112569000,1287000,1287000,4995000,7431000,-13867000,-154000,-3315000,-4e+07,-43315000,60994000,-32863000,20341000,-23128000,-23128000,-197000,-23325000,6822000,71194000,-6496000,0.46244,0.01437,0.01013,0.00163,0.00116,-5.0474,4.85295,0.4129,0.06399,0.0199,0.01977,1.96514,12.17394,-0.10043,0.00913,-0.00653,-83.8968,-313.26984
"37","2020_Q1",23.4177419354839,"Down",139827000,-74389000,65438000,-57745000,-29185000,-28560000,7693000,2567000,2567000,10260000,10260000,-3804000,6404000,6404000,6404000,6404000,593184000,364184000,195830000,89308000,15429000,15429000,893751000,72370000,107245000,42651000,55691000,2494000,185865000,1079616000,113738000,36711000,12494000,64533000,174642000,135911000,32054000,103857000,135911000,310553000,529825221.167991,-349212000,594625000,523650000,769063000,769063000,1079616000,6404000,6404000,5303000,7779000,-36700000,-17214000,-1906000,1.9e+07,17094000,-10489000,-14414000,-32567000,-32687000,-32687000,859000,-31828000,12996000,60904000,-21806000,0.46799,0.05502,0.0458,0.00833,0.00593,-3.40506,5.11762,0.40381,0.05641,0.10101,0.10006,2.2054,12.12995,-0.34393,0.01456,-0.02258,-40.95722,-69.19017
"38","2020_Q2",21.725873015873,"Down",144297000,-73933000,70364000,-56950000,-28658000,-28292000,13414000,2256000,2256000,15670000,15670000,-2133000,13477000,13477000,13477000,13477000,616374000,497374000,198842000,95209000,16182000,16182000,926607000,56826000,127172000,41728000,55995000,22900000,191475000,1118082000,120809000,44903000,13384000,62522000,202203000,123021000,33169000,89852000,140226000,342429000,529487000,-346869000,599682000,-6647000.00000012,775653000,775653000,1118082000,13477000,13477000,4759000,7183000,-391000,25028000,-2225000,1.1e+08,106487000,15053000,-5319000,2152000,133667000,133667000,-477000,133190000,18173000,98599000,17690000,0.48763,0.09296,0.0934,0.01738,0.01205,1.31261,4.58256,0.44147,0.08819,0.21205,0.21012,2.27036,12.20405,0.27833,0.02112,0.01774,-28.49144,-38.5996
"39","2020_Q3",22.81140625,"Up",150741000,-81438000,69303000,-58227000,-29160000,-29067000,11076000,2014000,2014000,13090000,13090000,-1162000,11888000,11888000,11888000,11888000,640307000,392307000,199793000,106178000,24149000,24149000,970427000,55647000,127397000,39757000,55946000,24719000,190471000,1160898000,141184000,50530000,12358000,78296000,262037000,117913000,33690000,84223000,136463000,398500000,532912000,-365095000,604013000,-9432000,762398000,762398000,1160898000,11888000,11888000,4769000,5059000,-7661000,14055000,-2466000,-1.29e+08,-131466000,39632000,-19875000,12106000,-105305000,-105305000,238000,-105067000,15845000,139403000,6880000,0.45975,0.07348,0.07886,0.01559,0.01024,0.57873,3.7034,0.52269,0.12008,0.18635,0.18462,2.36297,11.95112,0.10785,0.01916,0.00675,-31.61275,-45.22427
"40","2020_Q4",28.26234375,"Up",150450000,-81027000,69423000,-58452000,-27905000,-30547000,10971000,928000,928000,11899000,11899000,-690000,11151000,11151000,11151000,11151000,515775000,321775000,195489000,114194000,13735000,13735000,839193000,55826000,127079000,38207000,56053000,24304000,190272000,1029465000,137333000,49659000,13050000,74624000,142804000,118893000,34508000,84385000,137017000,279821000,536487000,-387302000,607733000,-7274000.00000003,749644000,749644000,1029465000,11151000,11151000,5069000,5007000,2371000,23598000,-3158000,5.4e+07,50842000.0000001,-115656000,-21657000,-144876000,-70436000,-70436000,-96000.0000000001,-70532000,16040000,23595000,15943000,0.46144,0.07292,0.07412,0.01488,0.01083,1.42974,5.87654,0.37327,0.02292,0.17913,0.17775,2.41687,12.04247,0.25611,0.02098,0.01787,-30.68454,-44.86191
"41","2021_Q1",42.2934426229508,"Up",177688000,-88803000,88885000,-65837000,-30284000,-35553000,23048000,627000,627000,23675000,23675000,-8013000,15784000,15784000,15784000,15784000,530127000,188127000,198640000,111809000,19620000,19620000,860196000,59147000,127688000,37972000,56695000,24874000,194370000,1054566000,151990000,57688000,17540000,76762000,157893000,138679000,33005000,105674000,138679000,296572000,539213000,-394817000,616119000,-2521000,757994000,757994000,1054566000,15784000,25997459.679982,5142000,-2070000,12875000,31731000,-3820000,-1.48e+08,-151820000,-56000,-7698000,-15191000,-135280000,-135280000,1632000,-133648000,28190000,0,45258000,0.50023,0.12971,0.08883,0.02082,0.01497,2.86733,5.44797,0.39126,0,0.25577,0.25388,2.87931,12.28277,0.73337,0.0259,0.05047,-18.8055,-23.001
"42","2021_Q2",52.6477777777778,"Up",267857000,-146371000,121486000,-67444000,-35900000,-31544000,54042000,619000,619000,54661000,54661000,-6298000,48363000,48363000,48363000,48363000,576670000,239670000,226665000,125082000,21194000,21194000,949611000,60935000,128631000,37577000,57339000,24990000,197159000,1146770000,194311000,89362000,21472000,83477000,200690000,138464000,33015000,105449000,138464000,339154000,540383857.224136,-391870000,655795000,543691000,807616000,807616000,1146770000,48363000,48363000,5147000,5022000,103000.000000004,58635000,-4776000,5e+06,224000,-77000,-1731000,-9206999.99999999,49651999.9999999,49651999.9999999,1891000,51543000,59189000,9.31322574615479e-10,60814000,0.45355,0.20176,0.18056,0.05988,0.04217,1.25745,4.73173,0.41994,4.33680868994202e-19,0.78049,0.77085,4.32271,13.03342,0.98142,0.05894,0.06428,-9.74286,-10.67077
"43","2021_Q3",61.036875,"Up",340163000,-191673000,148490000,-65376000,-30508000,-34868000,83114000,512000,512000,83626000,83626000,-12212000,71320000,71320000,71320000,71320000,564333000,257333000,307934000,139999000,23471000,23471000,1035737000,61965000,152900000,46046000,73548000,23638000,221236000,1256973000,253401000,123832000,25183000,104386000,259572000,130541000,33395000,97146000,130541000,390113000,542112000,-392680000,718427000,-999000,866860000,866860000,1256973000,71320000,71320000,4601000,-482000,-48354000,27085000,-4002000,3e+07,1775000,-87000,-1135000,-9910000,18950000,18950000,-1287000,17663000,87715000,0,47571000,0.43653,0.24434,0.20966,0.08227,0.05674,0.66701,3.99017,0.45003,0,1.14882,1.12322,5.47934,13.96337,0.76627,0.08022,0.04769,-6.43371,-6.78987
"44","2021_Q4",56.19859375,"Down",424318000,-228623000,195695000,-75240000,-39103000,-36137000,120455000,524000,524000,120979000,120979000,-7212000,113767000,113767000,113767000,113767000,634999000,387999000,369346000,153325000,21923000,21923000,1179593000,66232000,157645000,45031000,73683000,22291000,230268000,1409861000,302029000,144269000,22971000,134789000,308260000,128259000,32949000,95310000,128259000,436519000,546175000,-396688000,823515000,340000.00000006,973342000,973342000,1409861000,113767000,113767000,4804000,-4760000,-22875000,90936000,-7778000,6e+07,52222000,-89000,-4087000,-12865000,130293000,130293000,373000,130666000,125259000,5.82076609134674e-11,101818000,0.4612,0.28388,0.26812,0.11688,0.08069,0.89497,3.82662,0.44847,0,1.83427,1.80245,6.8413,15.69324,1.64162,0.11116,0.09243,-5.06949,-5.27167
"45","2022_Q1",54.3948387096774,"Down",485326000,-254011000,231315000,-76479000,-41550000,-34929000,154836000,448000,448000,155284000,155284000,-21573000,133711000,133711000,133711000,133711000,739788000,362788000,421193000,167323000,23586000,23586000,1351890000,67982000,175371000,42752000,72949000,43955000,249741000,1601631000,346972000,154636000,30766000,161570000,351875000,154519000,32828000,121691000,154519000,506394000,550117000,-400412000,948554000,-3022000,1095237000,1095237000,1601631000,133711000,190864543.292639,5258000,1609000,-17202000,123376000,-5928000,-127885000,-135928000,-126000,-3473000,-12276000,-24828000,-24828000,-383000,-25211000,160094000,0,158537000,0.47662,0.31904,0.27551,0.12208,0.08348,1.18567,3.84196,0.46236,0,2.15632,2.10519,7.8267,17.66255,2.55668,0.11393,0.12685,-4.62096,-4.77788
"46","2022_Q2",48.9483870967742,"Down",460888000,-237650000,223238000,-72128000,-38959000,-33169000,151110000,431000,431000,151541000,151541000,-17935000,133606000,133606000,133606000,133606000,808490000,441490000,431574000,197234000,25765000,25765000,1463063000,67109000,167947000,40702000,72353000,41560000,241468000,1704531000,338749000,148769000,43828000,146152000,343805000,153550000,33371000,120179000,153550000,497355000,548425000,-408788000,1071550000,-4011000,1207176000,1207176000,1704531000,133606000,315054629.877918,5339000,9343000,-52414000,95874000,-2711000,1e+07,7288999.99999997,-118000,-15286000,-24077000,79086000,79086000,-384000,78702000,156449000,-3.63797880709171e-12,119259000,0.48436,0.32787,0.28989,0.11068,0.07838,0.89262,4.2555,0.412,3.3881317890172e-21,2.15612,2.10036,7.43776,19.48126,1.92459,0.10456,0.08764,-5.16775,-5.35034
"47","2022_Q3",43.9103125,"Down",384282000,-182572000,201710000,-72369000,-35088000,-37281000,129341000,373000,373000,129714000,129714000,-13713000,116001000,116001000,116001000,116001000,690453000,460453000,368101000,211877000,51431000,51431000,1321862000,67044000,163684000,38440000,71468000,40457000,237145000,1559007000,269957000,100213000,33101000,136643000,274889000,146866000,34016000,112850000,146866000,421755000,522864000,-554684000,1177441000,-8369000,1137252000,1137252000,1559007000,116001000,498779259.755835,5224000,2354000,-50444000,73135000,-2828000,1.37e+08,134172000,-124000,-176253000,-186987000,20320000,20320000,-1357000,18963000,134565000,0,95006000,0.5249,0.33658,0.30186,0.102,0.07441,0.81901,4.80871,0.37085,0,1.85944,1.8321,6.15985,18.22957,1.5229,0.0986,0.07399,-5.131,-5.33824
