"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",10.46640625,"Up",106110000,-57290000,48820000,-40630000,-28423000,-12207000,8190000,187000,187000,8377000,8377000,-1041000,7336000,7336000,7336000,7336000,498619000,498619000,117232000,45594000,21978000,18467000,683423000,26592000,68383000,15798000,41546000,11039000,94975000,778398000,70082000,26385000,5558000,38139000,70082000,47116000,38085000,9031000,47116000,117198000,461154000,-46356000,243460000,2942000,661200000,661200000,778398000,7336000,7336000,4702000,1067000,-14767000,-1662000,3523000,2900000,6423000,0,381000,381000,5142000,5142000,-693000,4449000,12892000,0,2689000,0.46009,0.07718,0.06914,0.01109,0.00942,0.36655,9.75176,0.17725,0,0.0976,0.09583,1.41168,8.79653,0.03577,0.01036,0.0038,-38.67662,-60.88144
"12","2013_Q4",11.5484375,"Up",141181000,-75267000,65914000,-47047000,-31264000,-15783000,18867000,267000,267000,19134000,19134000,-247000,18887000,18887000,18887000,18887000,508493000,508493000,147038000,48087000,25377000,21565000,728995000,32881000,64672000,13504000,41546000,9622000,97553000,826548000,97729000,46246000,2974000,48509000,97729000,45581000,36481000,9100000,45581000,143310000,464078000,-46356000,262347000,3169000,683238000,683238000,826548000,18887000,18887000,4798000,724000,-13061000,11348000,-2554000,0,-2554000,0,328000,328000.000000001,9122000,9122000,752000,9874000,23665000,-2.3283064365387e-10,8297000.00000001,0.46688,0.13364,0.13378,0.02764,0.02285,0.439299999999999,7.45935,0.20975,-2.16840434497101e-19,0.25105,0.24698,1.87663,9.08187,0.11029,0.02591,0.01138,-21.48713,-26.95145
"13","2014_Q1",10.9322950819672,"Down",173608000,-92922000,80686000,-46142000,-30765000,-15377000,34544000,234000,234000,34778000,34778000,-5247000,29531000,29531000,29531000,29531000,525040000,521788000,162714000,38135000,28499000,24012000,754388000,47541000,61065000,11209000,41546000,8310000,108606000,862994000,77402000,37030000,1504000,38868000,77402000,68927000,40709000,28218000,68927000,146329000,467525000,-46356000,291878000,3618000,716665000,716665000,862994000,29531000,29531000,4187000,10236000,-17310000,26644000,-11215000,-3252000,-14467000,0,40000,865000,13042000,13042000,253000,13295000,38731000,0,15453000,0.46476,0.19898,0.1701,0.04121,0.03422,0.52328,9.74636,0.20418,0,0.39229,0.39101,2.30619,9.52012,0.20528,0.03759,0.01967,-13.55607,-15.19917
"14","2014_Q2",12.6174603174603,"Up",79113000,-40748000,38365000,-40573000,-23102000,-17471000,-2208000,160000,160000,-2048000.00000001,-2048000,91000.0000000009,-1957000.00000001,-1957000.00000001,-1957000.00000001,-1957000.00000001,557150000,550598000,113246000,36262000,21292000,16818000,727950000,52531000,59719000,9880000,41546000,8293000,112250000,840200000,52451000,22093000,2006000,28352000,52451000,69288000,40573000,28715000,69288000,121739000,471388000,-46356000,289921000,3508000,718461000,718461000,840200000,-1957000,-1957000,2992000,4219000,31995000,37249000,-5429000,-2825167.03744318,-8729000,-209000,467000,258000,28778000,28778000,32000.0000000001,28810000,784000,1.45519152283669e-11,27259000,0.48494,-0.02791,-0.02474,-0.00272,-0.00233,-13.92897,13.87867,0.16944,0,-0.02578,-0.0257800000000001,1.04217,9.46439,0.35909,-0.00248,0.0346,-710.65051,252.33243
"15","2014_Q3",13.19125,"Up",114206000,-56534000,57672000,-47561000,-28235000,-19326000,10111000,46000,46000,10157000,10157000,-1087000,9070000,9070000,9070000,9070000,596262000,587110000,97342000,43617000,22963000,18488000,760184000,53432000,58417000,8550000,41546000,8321000,111849000,872033000,72246000,38288000,1771000,32187000,72246000,69665000,41220000,28445000,69665000,141911000,474195000,-46356000,298991000,3292000,730122000,730122000,872033000,9070000,9070000,3494000,3586000,24871000,41021000,-1988000,3261000,-4600000,1e+05,121000,221000,36642000,36642000,-130000,36512000,13605000,0,37575000,0.50498,0.08853,0.07942,0.01242,0.0104,4.14278,10.52216,0.19437,0,0.11871,0.11776,1.49476,9.55607,0.49179,0.01134,0.04698,-43.82668,-58.97162
"16","2014_Q4",12.74015625,"Down",180517000,-95360000,85157000,-53573000,-30093000,-23480000,31584000,-60000,-60000,31524000,31524000,-4908000,26616000,26616000,26616000,26616000,600057000,597457000,154410000,53922000,23216000,19153000,831605000,52231000,56027000,7221000,41546000,7260000,108258000,939863000,111704000,66222000,4076000,41406000,111704000,68690000,40115000,28575000,68690000,180394000,476547000,-46356000,325607000,3671000,759469000,759469000,939863000,26616000,26616000,3509000,3227000,-27433000,5919000,-1877000,6534000,4657000,109000,442000,-274000,10302000,10302000,45000,10347000,35093000,0,10691000,0.47174,0.17496,0.14744,0.03505,0.02832,0.401679999999999,7.44472,0.23753,3.3881317890172e-21,0.34749,0.34297,2.35674,9.91526,0.13958,0.03214,0.01291,-17.09905,-18.99877
"17","2015_Q1",14.2945901639344,"Up",194733000,-102373000,92360000,-54863000,-32084000,-22779000,37497000,3000,3000,37500000,37500000,-8241000,29259000,29259000,29259000,29259000,597086000,587981000,171530000,49694000,19381000,15090000,837691000,52755000,54002000,5891000,41546000,6565000,106757000,944448000,81351000,35132000,2488000,43731000,81351000,73855000,44963000,28892000,73855000,155206000,479116000,-46984000,354866000,2244000,789242000,789242000,944448000,29259000,29259000,3525000,7887000,-42400000,-1729000,-8e+05,-15675000,-7302000,0,-369000,-369000,-9400000,-9400000,-76000,-9476000,41022000,0,6063000,0.47429,0.19256,0.15025,0.03707,0.03098,0.20722,10.29724,0.19665,0,0.38161,0.37211,2.53982,10.29374,0.07908,0.0339,0.00702,-14.55526,-15.92357
"18","2015_Q2",12.7906349206349,"Down",107438000,-52704000,54734000,-45008000,-25427000,-19581000,9726000,-41000,-41000,9685000,9685000,-1843000,7842000,7842000,7842000,7842000,633377000,622590000,121854000,51930000,15388000,11143000,822549000,52793000,52500000,4562000,41546000,6392000,105293000,927842000,62651000,27425000,2682000,32544000,62651000,73188000,45261000,27927000,73188000,135839000,482744000,-54622000,362708000,1173000,792003000,792003000,927842000,7842000,7842000,3556000,2529000,32515000,46442000,-2546000,-7059083.32649997,-4176000,-81000,-7540000,-7621000,34645000,34645000,-36000,34609000,13282000,0,45094000,0.50945,0.09053,0.07299,0.0099,0.00845,5.75032,13.12906,0.17151,-2.71050543121376e-20,0.10199,0.10128,1.39733,10.30074,0.58649,0.00906,0.05212,-47.68687,-65.12204
"19","2015_Q3",9.4728125,"Down",145227000,-76657000,68570000,-58779000,-35607000,-23172000,9791000,137000,137000,9928000,9928000,-1997000,7931000,7931000,7931000,7931000,528775000,527146000,149378000,76529000,19292000,14997000,773974000,52152000,151150000,63279000,81272000,6599000,203302000,977276000,95939000,50692000,1953000,43294000,96776000,80261000,51459000,28802000,80261000,177037000,485811000,-57209000,370639000,998000,800239000,800239000,977276000,7931000,7931000,5007000,4153000,-14973000,2118000,-2357000,9129000.00000001,-86381000,-8814000,-2157000,-10971000,-95234000,-95234000,-210000,-95444000,14798000,837000,-535000,0.47216,0.06742,0.05461,0.00991,0.00812,-0.06746,7.99758,0.22123,0.00086,0.10324,0.10224,1.89046,10.41693,-0.00696,0.009,-0.00061,-35.67631,-53.92074
"20","2015_Q4",10.019375,"Up",164634000,-87063000,77571000,-61485000,-36105000,-25380000,16086000,178000,178000,16264000,16264000,8775000,25039000,25039000,25039000,25039000,475925000,475925000,172411000,78312000,21955000,16354000,748603000,51923000,146948000,60322000,81272000,5354000,198871000,947474000,95974000,47907000,636000,47431000,95974000,73930000,44567000,29363000,73930000,169904000,488495000,-107659000,395678000,1056000,777570000,777570000,947474000,25039000,25039000,5415000,-4718000,-25950000,-214000,-1996000,1634000,-362000.000000015,-961000,-50284000,-51245000,-51821000,-51821000,6e+05,-51221000,21501000,-1.16415321826935e-10,-15220000,0.47117,0.09771,0.15209,0.0322,0.02643,-0.60785,7.80006,0.21851,2.16840434497101e-19,0.33199,0.32993,2.1829,10.30986,-0.2018,0.02941,-0.01787,-22.13502,-29.58629
