"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2011_Q2",0.53984126984127,"Down",4854050,-3570866,1283184,-1076541,-1076541,206643,6297,6297,212940,212940,-80988,131952,131952,131952,131952,2740311.61853745,2740311.61853745,-43309609.8524762,-24353103.3245105,8085155.69848712,3790302.65987949,-56837245.8599621,351435.902917078,-367174.061142588,89270.6371861027,-15738.1582255101,-56852984.0181876,-17430874.0180551,-26274244.9018089,8843370.88375377,-32990879.1753431,-28695383.860309,-50421753.1933735,-50421753.1932254,2271707.00077841,-3937.9999998187,-8698999.82574084,-6431230.82496225,-6431230.82496225,-56852984.0181876,131952,14748,-23969,758145,880876,-1926,-1926,878950,878950,878950,221391,0,1058598,0.26435,0.04257,0.02718,-0.569210035255099,-0.367505361585728,8.0226,41.8285996259142,-5.47530446361923,2.85052822085728e-12,0.01876,0.01876,0.69011,-0.914228381362958,0.1505,1.17410168076243,-0.600685865910176,-5906.61976424352,-9471.18587643586
"2","2011_Q3",0.5346875,"Down",5264209,-4054065,1210144,-1082547,-1082547,127597,5769,5769,133366,133366,-51252,82114,82114,82114,82114,5179293.30926872,5179293.30926872,-18400209.9262381,-9150097.16225523,3541837.84924356,1644581.32993975,-18829175.929981,249306.951458539,-63564.5305712941,85951.3185930514,185742.420887245,-18643433.5090938,-6168337.00902756,-10605394.4509044,4437057.44187688,-14190825.5876715,-12324157.9301545,-20359162.5966867,-20359162.5966127,2271707.0003892,-3937.99999990935,-552039.912870418,1715729.08751887,1715729.08751887,-18643433.5090938,82114,15615,6014,-45282.9999999998,58460,0,0,58460,58460,58460,143212,0,149181,0.22988,0.02424,0.0156,-0.211525017627549,-0.132762680792864,1.81675,20.2805798129571,-2.18179723180962,1.42526411042864e-12,0.01167,0.01167,0.74842,0.243985809318521,0.02121,0.528820840381213,-0.313087932955088,-2498.91657212176,-4003.23401321793
"3","2011_Q4",0.576984126984127,"Up",4764570,-3599500,1165070,-1022099,-1022099,142971,4506,4506,147477,147477,-55636,91841,91841,91841,91841,6468962.76975624,6468962.76975624,-4566289.9754127,-925593.720751743,1137871.61641452,525828.109979915,2114950.69000632,187560.983819513,99108.4898095686,82619.7728643505,286669.473629082,2401620.1636354,-351510.336342522,-2200006.15030148,1848495.81395896,-3491975.86255718,-2976405.97671817,-3843486.19889558,-3843486.19887089,2271707.00012973,-3937.99999996978,3977337.36237653,6245106.36250629,6245106.36250629,2401620.1636354,91841,12829,-3717,302908,403861,0,0,403861,403861,403861,155800,0,514344,0.24453,0.03001,0.01928,-0.0263916725425164,-0.0124808935976214,5.60037,8.4863932709857,-0.377069077269872,4.75088036809546e-13,0.01306,0.01306,0.67739,0.887901936439507,0.07313,0.176620280127071,-0.124219310985029,-687.985040707254,-1096.92066107264
"4","2012_Q1",0.591129032258064,"Up",6442898,-4791461,1651437,-1175171,-1175171,476266,5056,5056,481322,481322,-183456,297866,297866,297866,297866,6907020,6907020,1227491,2290904,252199,127768,10677614,156792,161095,79279,317887,10995501,1642536,1021054,621482,1216302,1168755,2858838,2858838,2271707,-3938,5868894,8136663,8136663,10995501,297866,12680,17577,-802323,-474200,-21429,-21429,-495629,-495629,-495629,488946,0,-151350,0.25632,0.07392,0.04623,0.03661,0.02709,-0.50811,3.73495,0.35135,0,0.04235,0.04235,0.916,1.15681,-0.02152,0.03661,-0.0186,-14.12635,-14.50244
"5","2012_Q2",0.558095238095238,"Down",6307871,-4787981,1519890,-1147485,-1147485,372405,3877,3877,376282,376282,-142784,233498,233498,233498,233498,6791165,6791165,2016474,2469893,263762,144126,11541294,147594,162645,75932,310239,11851533,1436732,1136920,299812,2044640,1932208,3481372,3481372,2271707,-3938,6102392,8370161,8370161,11851533,233498,12545,4685,-366583,-115855,0,0,-115855,-115855,-115855,384950,0,161151,0.24095,0.05904,0.03702,0.0279,0.0197,0.69016,3.31516,0.41593,0,0.0332,0.0332,0.8968,1.19,0.02291,0.0279,0.01925,-17.64168,-18.23597
"6","2012_Q3",0.597619047619048,"Up",4982250,-3748613,1233637,-1209766,-1209766,23871,3407,3407,27278,27278,-11882,15396,15396,15396,15396,6665791,6665791,1351020,1818911,510574,250535,10346296,143659,158580,72584,302239,10648535,1109683,749530,360153,1504981,1504981,2614664,2614664,2271707,-3938,5766102,8033871,8033871,10648535,15396,12331,477.000000000002,203158,231362,-5050,-5050,-125374,-125374,-125374,36202,0,246192,0.24761,0.00479000000000001,0.00309,0.00192,0.00145,15.99065,3.95703,0.32546,0,0.00219,0.00219,0.70834,1.14219,0.035,0.04569,0.03064,-184.1277,-279.24222
"7","2012_Q4",0.892096774193548,"Up",5119488,-3862445,1257043,-1142810,-1142810,114233,5087,5087,119320,119320,-45636,73684,73684,73684,73684,6828598,6828598,2266470,2308455,371577,140720,11775100,135581,189150,69238,324731,12099831,2284319,1938018,346301,1707957,1707957,3992276,3992276,2271707,-3938,5839786,8107555,8107555,12099831,73684,12491,-2713,80410,163872,-1065,-1065,162807,162807,162807,126724,0,251705,0.24554,0.02231,0.01439,0.00909,0.00609,3.41601,2.94947,0.49241,0,0.01048,0.01048,0.72785,1.15267,0.03579,0.00909,0.03105,-53.88559,-59.77781
"8","2013_Q1",1.19683333333333,"Up",6047480,-4528646,1518834,-1220605,-1220605,298229,7086,7086,305315,305315,-116204,189111,189111,189111,189111,6527940,6527940,1400773,2371444,255461,117298,10555618,185703,131276,65890,316979,10872597,1487105,922371,564734,1088827,1068827,2575932,2575932,2271707,-3938,6028896,8296665,8296665,10872597,189111,12557,50091,-493085,-241326,-59331,-59331,-300658,-300658,-300658,310786,5.42101086242752e-20,-125426,0.25115,0.04931,0.03127,0.02279,0.01739,-0.66324,4.09779,0.31048,0,0.02689,0.02689,0.85978,1.17955,-0.01783,0.02279,-0.01512,-21.00461,-21.88902
"9","2013_Q2",1.2746875,"Up",6513114,-5115426,1397688,-1155264,-1155264,242424,4599,4599,247023,247023,-95184,151839,151839,151839,151839,10397999,10397999,2425975,2570904,764054,647646,16158932,197767,139707,62595,337474,16496406,2950044,2639366,310678,5097858,4997704,8047902,8047902,2271707,-3938,6180735,8448504,8448504,16496406,151839,14771,-8671,3735660,3893599,-23540,-23540,3870059,3870059,3870059,257195,0,4064499,0.2146,0.03722,0.02331,0.01797,0.0092,26.76848,2.00784,0.95258,-1.61558713389263e-27,0.02159,0.02159,0.92598,1.20114,0.57786,0.01797,0.48109,-40.42846,-42.89179
"10","2013_Q3",1.40609375,"Up",6445709,-4929170,1516539,-1319575,-1319575,196964,5052,5052,202016,202016,-76861,125155,125155,125155,125155,5775499,5775499,689689,2681469,790959,650447,9937616,186346,130948,59299,317294,10254910,1544437,1106557,437880,4357052,4347052,5901489,5901489,2271707,-3938,2085652,4353421,4353421,10254910,125155,14718,9325,-551459.000000002,-402261,0,3.63797880709171e-12,-4622500,-4622500,-4622500,211682,4.33680868994202e-19,-262915.999999998,0.23528,0.03056,0.01942,0.02875,0.0122,-2.10072,1.68392,1.3556,0,0.01779,0.01779,0.9164,0.61893,-0.03738,0.99816,-0.06039,-27.28385,-29.32261
