"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",5.93921875,"Up",50812000,-35687000,15125000,-9074000,-6484000,-2590000,6051000,194000,-242000,436000,6245000,6245000,-281000,5964000,4498000,28000,4526000,4526000,8188532.45128846,8188532.45128846,62988017.4911419,62988017.4911419,15736132.470173,3955181.39314958,3426731.33346778,90867863.8057529,13833601.272058,25227655.2309989,18299948.2727781,6314125.57592753,287421.137463761,326160.24482953,39061256.503057,129929120.30881,17074813.6171695,15995695.7855095,41431226.3892611,4789928.35903482,3833690.44045923,956237.918575591,5415546.31747966,46846772.7067408,172717731.908459,-7642922.22609933,-80284876.9103987,-1766570.67670635,83023362.0952542,58985.5068148846,83082347.6020691,129929120.30881,5964000,174000,1003000,-1711000,5519000,-323000,-369000,-114408.672606065,-114408.672606065,-627000,-673000,4477000,4477000,505000,4982000,6225000,0,4472000,0.29767,0.11909,0.08907,-0.350843422489654,-0.224432537374025,0.98807,2.35072510506399,0.56614720202858,0.13772355711366,0.26276,0.25938,2.9499,4.87946134604953,0.25962,-0.296789647931167,-0.0889824365493608,2.12832635495605,2.06616425853742
"2","2011_Q1",6.04193548387097,"Up",45891000,-33205000,12686000,-9649000,-7074000,-2575000,3037000,-394000,-186000,-208000,2643000,2643000,740000,3383000,-11020000,8000,-11012000,-11012000,4641000,4641000,34270000,34270000,33122000,3413000,1949000,75446000,14485000,24904000,18276000,6150000,208000,270000,39389000,114835000,18774000,16338000,36345000,4444000,3906000,538000,4695000,41040000,172885000,-7652000,-90200000,-1262000,73771000,24000,73795000,114835000,3383000,177000,1854000,-3331000,2067000,-905000,-902000,55000,55000,-92000,-3474000,-2309000,-2309000,-143000,-2452000,3214000,8968000,-1762000,0.27644,0.0661799999999999,-0.23996,-0.14922,-0.09589,0.16001,2.07583,0.55614,0.07809,-0.64184,-0.6415,2.67477,4.29976,-0.1027,-0.12627,-0.0202,1.3463,1.42476
"3","2011_Q2",4.62619047619048,"Down",27915000,-23501000,4414000,-8350000,-5845000,-2505000,-3936000,144000,-155000,299000,-3792000,-3792000,-58000,-3850000,-5703000,13000,-5690000,-5690000,3371739.18290385,3371739.18290385,24499077.5029527,24499077.5029527,36207039.176609,3303189.53561681,1557506.22217741,67381045.3980824,14301049.5759807,24700531.589667,18289683.909074,5994541.47469082,193276.28751208,223029.918390156,39001581.1656477,106382626.56373,17097062.1276102,15505268.0714968,31815507.8702463,4727607.21365506,3974436.51984692,753170.693808136,4790817.89417345,36606325.7644197,173144756.030514,-7656525.92463356,-94685207.6965338,-1032226.44109788,69770795.9682486,5504.83106170512,69776300.7993103,106382626.56373,-3850000,157000,971000,4757000,2066000,-492000,-527000,53000,53000,1654000,1665000,3204000,3204000,301000,3505000,-3779000,0,544000,0.15812,-0.141,-0.20383,-0.0391546925034488,-0.0253008208753251,-0.09561,2.093818298312,0.523861765990473,0.0489079809621133,-0.32936,-0.32936,1.61583,4.04436871798349,0.03149,-0.0330826173562776,0.00871247884978693,0.641282048347985,0.729210247154194
"4","2011_Q3",4.83359375,"Up",43112000,-31552000,11560000,-8523000,-6409000,-2114000,3037000,-170000,-161000,-9000.00000000006,2867000,2867000,-118000,2749000,424000,15000,439000.000000001,439000.000000001,3551000,3551000,25162000,25162000,32056000,3468000,1761000,64237000,13649000,24553000,18318000,5844000,208000,183000,38202000,102439000,14127000,14097000,27870000,5186000,4040000,1146000,5187000,33057000,173470000,-7658000,-95451000,-975000,69386000,-3999.99999999999,69382000,102439000,2749000,157000,1217000,-1385000,2797000,-1033000,-957000,0,0,-6538000,-6606000,-4766000,-4766000,171000,-4595000,3194000,3758000,894000,0.26814,0.07044,0.01018,0.00633000000000003,0.00428999999999999,2.03645,2.30488,0.47645,0.03669,0.02538,0.02536,2.4926,4.01168,0.05169,0.00559999999999999,0.01141,0.06481,0.06816
"5","2011_Q4",4.46746031746032,"Down",35204000,-25844000,9360000,-7815000,-5521000,-2294000,1545000,-75000,-124000,49000,1470000,1470000,-122000,1348000,1352000,11000,1363000,1363000,4493000,4493000,26308000,26308000,29482000,3709000,1985000,63992000,12963000,24392000,18349000,5691000,208000,144000,37355000,101347000,13423000,13393000,25030000,5223000,4105000,1118000,5223000,30253000,173824000,-7658000,-94063000,-994000,71109000,-15000,71094000,101347000,1348000,155000,1392000,-936000,1955000,-346000,133000,4000,4000,-1176000,-1196000,892000,892000,50000,942000,1700000,2483000,540000,0.26588,0.04389,0.03872,0.01917,0.01345,0.39618,2.55661,0.42554,0.0245,0.07873,0.0786,2.03339,4.10726,0.03119,0.0173,0.00685,-1.18235,-1.30097
"6","2012_Q1",4.71306451612903,"Up",29506000,-20649000,8857000,-7091000,-5411000,-1680000,1766000,-282000,-114000,-168000,1484000,1484000,-182000,1302000,1789000,19000,1808000,1808000,5320000,5320000,19903000,19903000,34967000,3882000,1766000,64072000,12588000,24155000,18356000,5533000,161000,105000,36743000,100815000,16576000,13766000,23158000,4431000,4170000,261000,4431000,27589000,174183000,-7658000,-92280000,-985000,73260000,-34000,73226000,100815000,1302000,158000,3837000,-1091000,4144000,-478000,-648000,16000,16000,-2481000,-2467000,1029000,1029000,-202000,826999.999999999,1924000,0,537000,0.30018,0.05985,0.06128,0.02469,0.01793,0.29701,2.76673,0.37677,0,0.10432,0.10379,1.7025,4.22711,0.03098,0.02328,0.00692,-2.76507,-3.01246
"7","2012_Q2",4.43825396825397,"Down",27501000,-20908000,6593000,-7882000,-5743000,-2139000,-1289000,-51000,-103000,52000,-1340000,-1340000,-91000,-1431000,-1502000,23072.8176983825,-1502000,-1502000,4136000,4136000,18469000,18469000,31788000,4022000,1916000,58415000,12200000,24049000,18378000,5412000,161000,98000,36249000,94664000,9005000,8994000,17922000,4430000,4237000,193000,4430000,22352000,174623000,-7658000,-93782000,-837000,72346000,-34000,72312000,94664000,-1431000,125000,1193000,-1087000,-1200000,-209000,-209000,99000,99000,19000,118000,-1291000,-1291000,107000,-1184000,-1164000,19000,-2369000,0.23974,-0.04687,-0.05462,-0.02077,-0.01587,1.57723,3.2594,0.3091,2e-04,-0.08653,-0.08653,1.58434,4.16788,-0.13648,-0.01957,-0.03086,3.53694,3.19395
"8","2012_Q3",3.25206349206349,"Down",18706000,-14239000,4467000,-7399000,-5429000,-1970000,-2932000,-133000,-113000,-20000,-3065000,-3065000,-171000,-3236000,-3187000,20000,-3167000,-3167000,4016000,4016000,15611000,15611000,33692000,3026000,2020000,56345000,12714000,23932000,18379000,5290000,161000,102000,36646000,92991000,10750000,10748000,19029000,4517000,4303000,214000,4517000,23546000,174968000,-7658000,-96949000,-862000,69499000,-54000,69445000,92991000,-3236000,125000,1172000,2847000,908000.000000001,-1337000,-1337000,16000,16000,338000,354000,-75000,-75000,-45000,-120000,-2807000,357000,-1126000,0.2388,-0.15674,-0.1693,-0.0456,-0.03406,0.35554,2.96101,0.33906,0.00384,-0.18205,-0.18205,1.0753,3.99511,-0.06473,-0.04261,-0.01515,1.30353,1.24795
"9","2012_Q4",2.9858064516129,"Down",26181000,-17962000,8219000,-6466000,-4869000,-1597000,1753000,-111000,-96000,-15000,1642000,1642000,-175000,1467000,1667000,11000,1678000,1678000,4959000,4959000,20254000,20254000,33092000,2895000,1645000,61200000,12375000,21754000,16337000,5164000,155000,98000,34129000,95329000,11932000,11930000,19659000,4431000,4156000,275000,4431000,24090000,175299000,-7658000,-95271000,-1066000,71304000,-65000,71239000,95329000,1467000,122000,1286000,-679000,63000,-465000,1418000,-1.45519152283669e-11,7.27595761418343e-12,-357000,-357000,1124000,1124000,-181000,943000,1875000,0,906000,0.31393,0.06696,0.06409,0.02355,0.0176,0.53993,3.11308,0.33816,0,0.09634,0.09634,1.5031,4.0937,0.05202,0.02218,0.01197,-2.6448,-2.82886
"10","2013_Q1",3.57116666666667,"Up",29269000,-19818000,9451000,-7097000,-5587000,-1510000,2354000,-165000,-124000,-41000,2189000,2189000,-117000,2072000,1393000,0,1393000,1393000,9656000,9656000,20913000,20913000,30370000,2763000,1590000,63702000,12415000,21601000,16344000,5039000,120000,98000.0000000001,34016000,97718000,14011000,11357000,19892000,4370000,4160000,210000,4370000,24262000,175677000,-7658000,-93878000,-620000,73521000,-65000,73456000,97718000,2072000,125000,2020000,-258000,4997000,-674000,-684000,0,0,-310896.593593738,0,4313000,4313000,384000,4697000,2479000,-2.91038304567337e-11,1664000,0.3229,0.08043,0.04759,0.01896,0.01426,1.19454,3.20239,0.33029,4.33680868994202e-19,0.07987,0.07987,1.67827,4.21565,0.09541,0.0179,0.02138,-3.89512,-4.10195
"11","2013_Q2",3.9015625,"Up",21019000,-14640000,6379000,-6004000,-4635000,-1369000,375000,-113000,-88000,-25000,262000,262000,-98000,164000,428000,6000,434000,434000,8486000,8486000,17280000,17280000,28281000,2811000,1575000,56858000,11778000,23606000,16357000,4942000,181000,2126000,35384000,92242000,8712000,8710000,13782000,4506000,4297000,209000,4506000,18288000,175879000,-7658000,-93449000,-747000,74025000,-71000,73954000,92242000,164000,957000,361000,-1185000,-701000,-332000,-332000,12000,12000,0,12000,-1021000,-1021000,-149000,-1170000,1332000,0,-87000,0.30349,0.01784,0.02065,0.00587,0.00471,-0.20046,4.12553,0.24729,0,0.02486,0.02483,1.20404,4.24042,-0.00498,0.00553,-0.00111,-6.37087,-22.62933
