"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",19.3130158730159,"Up",4.157e+09,-1.772e+09,2.385e+09,-1.463e+09,-3.43e+08,-1.12e+09,9.22e+08,-1.75e+08,-2.22e+08,4.7e+07,7.47e+08,15062493.5559674,7.47e+08,-2.36e+08,5.11e+08,5.11e+08,-1.6e+07,4.95e+08,4.95e+08,339050000,339050000,798024000,4083057000,439414000,3643643000,5220131000,39998396000,59369747000,-19371351000,7361518000,1133674000,6227844000,47359914000,52580045000,2214365000,1229108000,274580000,710677000,2013563000,769967000,1243596000,1287975000,1287975000,5515903000,18097952000,12689519000,2299778000,7331065000,3058676000,30787471000,36303374000,374496000,7267085000,4125133000,15569343000,16276671000,52580045000,5.11e+08,4.22e+08,6e+06,1.07e+08,-1.01e+08,-2.01e+08,4.3e+07,-1e+08,-1.44e+08,7.38e+08,-1.054e+09,-1.054e+09,-1.054e+09,-3.4e+07,-1.088e+09,-3.59e+08,2.26e+08,1.32e+08,9.4e+07,1.47e+08,1.47e+08,-1.5e+07,-1e+06,-3.51e+08,-3.51e+08,-3.51e+08,1.344e+09,20111515000,3.25e+08,0.57373,0.22179,0.11908,0.03041,0.00941,0.65657,0.94638,2.23039,0.38249,0.6018,0.60015,5.05394,18.47339,0.39512,0.43646,0.0174,0.00662,0.72525,14.71166,21.44519
"2","2010_Q3",20.9278125,"Up",4.208e+09,-1.757e+09,2.451e+09,-1.5e+09,-3.67e+08,-1.133e+09,9.51e+08,-1.78e+08,-2.19e+08,4.1e+07,7.73e+08,8368051.97553742,7.73e+08,-2.47e+08,5.26e+08,5.26e+08,-1.6e+07,5.1e+08,5.1e+08,266278000,266278000,805205000,4452779000,479878000,3972901000,5524262000,40630494000,60278202000,-19647708000,7219734000,1167278000,6052456000,47850228000,53374490000,2419512000,1282523000,344985000,792004000,2396103000,881638000,1514465000,1119835000,1119835000,5935450000,18134554000,12689701000,2287633000,7424689000,2977379000,30824255000,36759705000,374496000,7465998000,4155676000,15907457000,16614785000,53374490000,5.26e+08,4.46e+08,-24000000.0000001,1.08e+08,-1.32e+08,-2.71e+08,-2.98e+08,4.8e+07,-2.1e+07,6.77e+08,-8.82e+08,-8.82e+08,-8.82e+08,-6.6e+07,-9.48e+08,-3.76e+08,4.1e+08,1.12e+08,2.98e+08,1.94e+08,1.94e+08,-3e+07,1.98e+08,-72999999.9999998,-72999999.9999998,-72999999.9999998,1.397e+09,20530657000,4.91e+08,0.58246,0.226,0.1212,0.0307,0.00956,0.96275,0.93072,2.21247,0.38465,0.61633,0.61209,5.08536,18.77154,0.59337,0.45439,0.01778,0.00985,0.73725,14.50564,21.3085
"3","2010_Q4",22.28296875,"Up",5.32e+09,-2.179e+09,3.141e+09,-1.682e+09,-4.27e+08,-1.255e+09,1.459e+09,-1.83e+08,-2.25e+08,4.2e+07,1.276e+09,3347220.79021497,1.276e+09,-4.42e+08,8.34e+08,8.34e+08,-1.7e+07,8.17e+08,8.17e+08,1258735000,1258735000,808446000,4542271000,529823000,4012448000,6609452000,41199709000,61147590000,-19947881000,7085619000,1182050000,5903569000,48285328000,54894780000,2650053000,1160993000,537834000,951226000,2331992000,348399000,1983593000,1012367000,1012367000,5994412000,18198225000,13365371000,2336393000,7780426000,3248552000,31563596000,37558008000,374496000,7745796000,4195666000,16629444000,17336772000,54894780000,8.34e+08,5.09e+08,4.02e+08,3.58e+08,4.4e+07,3.67e+08,-6.4e+07,-3e+07,4.61e+08,2.112e+09,-9.51e+08,-9.58e+08,-9.58e+08,-1.9e+07,-9.7e+08,-3.79e+08,0,-5.33e+08,5.33e+08,2.69e+08,2.69e+08,-3.9e+07,-1.49e+08,9.93e+08,9.93e+08,9.93e+08,1.968e+09,20530217000,1.826e+09,0.59041,0.27425,0.15357,0.04713,0.01488,2.23501,1.1026,2.16638,0.37399,0.97611,0.97146,6.35603,19.42049,2.1816,0.45281,0.02334,0.03564,0.46389,9.79242,13.20869
"4","2011_Q1",22.4779032258065,"Up",3.771e+09,-1.554e+09,2.217e+09,-1.747e+09,-3.76e+08,-1.371e+09,4.7e+08,-2e+08,-2.05e+08,5e+06,2.7e+08,0,2.7e+08,-1.01e+08,1.69e+08,1.69e+08,-1.6e+07,1.53e+08,1.53e+08,4.47e+08,4.47e+08,8.27e+08,4.609e+09,7.84e+08,3.825e+09,5.883e+09,4.2002e+10,6.2176e+10,-2.0174e+10,7.147e+09,1.28e+09,5.779e+09,4.9149e+10,5.5032e+10,2.767e+09,1.275e+09,4.48e+08,1.044e+09,2.598e+09,1.297e+09,1.301e+09,1.107e+09,1.107e+09,6.472e+09,1.8154e+10,1.3122e+10,1.58e+09,8.298e+09,3.244e+09,3.1276e+10,3.7748e+10,3.75e+08,7.921e+09,4.219e+09,1.6577e+10,1.7284e+10,5.5032e+10,1.69e+08,4.54e+08,-2.05e+08,4.65e+08,-6.7e+08,4.6e+07,3.99e+08,8.6e+07,-4.09e+08,4.64e+08,-1.199e+09,-1.192e+09,-1.192e+09,-5.1e+07,-1.25e+09,-3.82e+08,2.08e+08,9.48e+08,-7.4e+08,1.62e+08,1.62e+08,-1.4e+07,-2.6e+07,-8.12e+08,-8.12e+08,-8.12e+08,9.24e+08,2.0752e+10,-1.28e+08,0.58791,0.12464,0.04057,0.00885,0.00278,-0.836600000000001,0.90899,2.18399,0.37709,0.18193,0.18021,4.48395,19.26516,-0.1522,0.45422,0.01046,-0.00250000000000001,2.49673,21.97511,43.20213
"5","2011_Q2",23.66,"Up",4.012e+09,-1.576e+09,2.436e+09,-1.582e+09,-4.18e+08,-1.164e+09,8.54e+08,-1.85e+08,-2.22e+08,3.7e+07,6.69e+08,-1673610.39510748,6.69e+08,-2.31e+08,4.38e+08,4.38e+08,-1.6e+07,4.22e+08,4.22e+08,4.1e+08,4.1e+08,8.28e+08,4.002e+09,4.35e+08,3.567e+09,5.24e+09,4.2701e+10,6.3085e+10,-2.0384e+10,7.078e+09,1.263e+09,5.711e+09,4.9779e+10,5.5019e+10,2.317e+09,1.315e+09,2.05e+08,7.97e+08,2.678e+09,1.243e+09,1.435e+09,1.042e+09,1.042e+09,6.037e+09,1.8133e+10,1.3302e+10,1.575e+09,8.431e+09,3.296e+09,3.1435e+10,3.7472e+10,3.75e+08,8.142e+09,4.248e+09,1.684e+10,1.7547e+10,5.5019e+10,4.38e+08,5.01e+08,1.33e+08,1.74e+08,-4.1e+07,-7.4e+07,2.76e+08,-1.08e+08,-2.42e+08,9.98e+08,-1.072e+09,-1.086e+09,-1.086e+09,1.88e+08,-8.84e+08,-3.85e+08,5.9e+07,-5.4e+07,1.13e+08,1.93e+08,1.93e+08,-1.8e+07,-1.51e+08,-3.7e+07,-3.7e+07,-3.7e+07,1.355e+09,2.0811e+10,4.4e+08,0.60718,0.21286,0.10518,0.02405,0.00767,1.04265,0.86798,2.13552,0.37825,0.49764,0.49415,4.73113,19.41627,0.51887,0.45401,0.01562,0.00852,0.91232,15.05609,23.88876
"6","2011_Q3",24.7725,"Up",4.521e+09,-1.818e+09,2.703e+09,-1.567e+09,-4.3e+08,-1.137e+09,1.136e+09,-1.67e+08,-1.99e+08,3.2e+07,9.69e+08,-1673610.39510748,9.69e+08,-3.49e+08,6.2e+08,6.2e+08,-1.6e+07,6.04e+08,6.04e+08,4.37e+08,4.37e+08,8.41e+08,4.224e+09,3.6e+08,3.864e+09,5.502e+09,4.3279e+10,6.3936e+10,-2.0657e+10,7.242e+09,1.349e+09,5.772e+09,5.0521e+10,5.6023e+10,2.522e+09,1.423e+09,3.44e+08,7.55e+08,2.211e+09,8.57e+08,1.354e+09,9.66e+08,9.66e+08,5.699e+09,1.8554e+10,1.3706e+10,1.563e+09,8.884e+09,3.259e+09,3.226e+10,3.7959e+10,3.75e+08,8.454e+09,4.291e+09,1.7357e+10,1.8064e+10,5.6023e+10,6.2e+08,5.1e+08,2.06e+08,2.53e+08,-4.7e+07,5.5e+07,-4.32e+08,1.66e+08,3.21e+08,1.391e+09,-1.037e+09,-1.04e+09,-1.04e+09,-1.43e+08,-1.18e+09,-4.02e+08,-5.3e+07,-3.86e+08,3.33e+08,2.89e+08,2.89e+08,-1.8e+07,-1.84e+08,2.7e+07,2.7e+07,2.7e+07,1.646e+09,2.0765e+10,1.013e+09,0.59788,0.25127,0.1336,0.03344,0.01078,1.67715,0.96543,2.10136,0.37065,0.70726,0.7007,5.29391,19.88525,1.18618,0.47073,0.01915,0.01928,0.66556,12.34994,17.89437
"7","2011_Q4",26.8365079365079,"Up",5.428e+09,-2.123e+09,3.305e+09,-1.653e+09,-4.31e+08,-1.222e+09,1.652e+09,-1.76e+08,-2.17e+08,4.1e+07,1.476e+09,0,1.476e+09,-5.43e+08,9.33e+08,9.33e+08,-1.7e+07,9.16e+08,9.16e+08,1.516e+09,1.516e+09,8.54e+08,4.125e+09,3.19e+08,3.806e+09,6.495e+09,4.3797e+10,6.4688e+10,-2.0891e+10,7.051e+09,1.361e+09,5.553e+09,5.0848e+10,5.7343e+10,2.666e+09,1.355e+09,5.04e+08,8.07e+08,2.028e+09,1.37e+08,1.891e+09,9.63e+08,9.63e+08,5.657e+09,1.8733e+10,1.4238e+10,1.608e+09,9.415e+09,3.215e+09,3.2971e+10,3.8628e+10,3.75e+08,8.614e+09,4.312e+09,1.8008e+10,1.8715e+10,5.7343e+10,9.33e+08,5.19e+08,5.07e+08,4.87e+08,2e+07,2.5e+08,3.8e+07,-2.13e+08,4.25e+08,2.209e+09,-9.85e+08,-9.89e+08,-9.89e+08,1.51e+08,-8.34e+08,-4.06e+08,-9e+06,-7.2e+08,7.11e+08,1.38e+08,1.38e+08,-1.9e+07,-2.96e+08,1.079e+09,1.079e+09,1.079e+09,2.171e+09,2.0761e+10,1.979e+09,0.60888,0.30435,0.16875,0.04894,0.01597,2.16048,1.14814,2.06401,0.36205,1.06512,1.05652,6.31163,20.50349,2.30116,0.47209,0.02461,0.03684,0.44323,8.86458,11.64952
"8","2012_Q1",27.7685483870968,"Up",3.696e+09,-1.353e+09,2.343e+09,-1.754e+09,-4.38e+08,-1.316e+09,5.89e+08,-2.16e+08,-1.98e+08,-1.8e+07,3.73e+08,0,3.73e+08,-9.6e+07,2.77e+08,2.77e+08,-1.6e+07,2.61e+08,2.61e+08,1.315e+09,1.315e+09,9.03e+08,4.054e+09,3.85e+08,3.669e+09,6.272e+09,4.501e+10,6.6164e+10,-2.1154e+10,7.985e+09,1.365e+09,6.62e+09,5.2995e+10,5.9267e+10,2.894e+09,1.553e+09,4.38e+08,9.03e+08,2.576e+09,8.59e+08,1.717e+09,1.107e+09,1.107e+09,6.577e+09,1.8647e+10,1.5383e+10,2.442e+09,9.644e+09,3.297e+09,3.403e+10,4.0607e+10,3.75e+08,8.738e+09,4.328e+09,1.7953e+10,1.866e+10,5.9267e+10,2.77e+08,5.18e+08,1.68e+08,2.41e+08,-7.3e+07,3.42e+08,4.8e+08,1.5e+08,-2.28e+08,1.305e+09,-1.431e+09,-1.41e+09,-1.41e+09,1.46e+08,-1.285e+09,-4.08e+08,1.14e+08,7.22e+08,-6.08e+08,1.03e+08,1.03e+08,-3e+07,-2.21e+08,-2.01e+08,-2.01e+08,-2.01e+08,1.107e+09,2.1223e+10,1.14e+08,0.63393,0.15936,0.07062,0.01399,0.0044,0.43678,0.95363,2.17615,0.35809,0.30139,0.29897,4.2679,20.29792,0.13164,0.47113,0.01211,0.00205999999999999,1.56322,17.98374,33.79966
"9","2012_Q2",28.8433333333333,"Up",3.604e+09,-1.205e+09,2.399e+09,-1.633e+09,-4.41e+08,-1.192e+09,7.66e+08,-1.82e+08,-2.11e+08,2.9e+07,5.84e+08,0,5.84e+08,-2e+08,3.84e+08,3.84e+08,-1.6e+07,3.68e+08,3.68e+08,1.044e+09,1.044e+09,8.98e+08,4.099e+09,5.19e+08,3.58e+09,6.041e+09,4.5855e+10,6.7182e+10,-2.1327e+10,7.978e+09,1.381e+09,6.597e+09,5.3833e+10,5.9874e+10,2.134e+09,1.262e+09,2.49e+08,6.23e+08,2.91e+09,1.029e+09,1.881e+09,1.273e+09,1.273e+09,6.317e+09,1.9051e+10,1.5725e+10,2.432e+09,9.872e+09,3.421e+09,3.4776e+10,4.1093e+10,3.75e+08,8.896e+09,4.346e+09,1.8074e+10,1.8781e+10,5.9874e+10,3.84e+08,5.29e+08,1.16e+08,1.04e+08,1.2e+07,-4.61e+08,3.72e+08,-1.36e+08,-7.01e+08,5.68e+08,-1.231e+09,-1.231e+09,-1.231e+09,-1.96e+08,-1.427e+09,-4.1e+08,7.47e+08,1.74e+08,5.73e+08,1.16e+08,1.16e+08,1.35e+08,5.88e+08,-2.71e+08,-2.71e+08,-2.71e+08,1.295e+09,2.1961e+10,-1.97e+08,0.66565,0.21254,0.10211,0.01959,0.00615,-0.53533,0.95631,2.18801,0.36679,0.42396,0.41961,4.15207,20.39055,-0.22696,0.47235,0.01378,-0.00349,1.11413,16.15212,27.30679
"10","2012_Q3",29.4884126984127,"Up",4.181e+09,-1.44e+09,2.741e+09,-1.617e+09,-4.45e+08,-1.172e+09,1.124e+09,-1.75e+08,-2.2e+08,4.5e+07,9.49e+08,1.9e+07,9.68e+08,-3.29e+08,6.39e+08,6.39e+08,-1.6e+07,6.23e+08,6.23e+08,6.59e+08,6.59e+08,9.19e+08,4.795e+09,5.77e+08,4.218e+09,6.373e+09,4.6566e+10,6.8182e+10,-2.1616e+10,7.958e+09,1.39e+09,6.568e+09,5.4524e+10,6.0897e+10,2.3e+09,1.253e+09,3.54e+08,6.93e+08,2.528e+09,4.53e+08,2.075e+09,1.26e+09,1.26e+09,6.088e+09,1.9459e+10,1.6144e+10,2.409e+09,1.0272e+10,3.463e+09,3.5603e+10,4.1691e+10,3.75e+08,9.132e+09,4.377e+09,1.8499e+10,1.9206e+10,6.0897e+10,6.39e+08,5.35e+08,2.23e+08,2.23e+08,0,-2.08e+08,-4.27e+08,-3.1e+07,2.71e+08,1.189e+09,-1.125e+09,-1.125e+09,-1.125e+09,-2.39e+08,-1.364e+09,-4.27e+08,1.5e+07,-5.8e+08,5.95e+08,2e+08,2e+08,2e+06,-2.1e+08,-3.85e+08,-3.85e+08,-3.85e+08,1.659e+09,2.1987e+10,6.55e+08,0.65558,0.26884,0.14901,0.03244,0.01023,1.05136,1.04681,2.17073,0.36105,0.71445,0.70795,4.79472,20.7844,0.75115,0.48968,0.01831,0.01142,0.68539,12.85594,18.97509
