"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q2",359.842222222222,"Up",536719000,412135000,68402000,56182000,15743000,40439000,-260170000,-156668000,-39355000,80526000,-17959000,-17959000,62567000,62567000,-19361000,43206000,43206000,-637000,42569000,42569000,6554510494.28824,178080638.280011,161189071.942566,167856344.878822,3045935682.07983,10107572231.4695,5839312247.0467,-65846685.2034345,1099585765.66221,720252456.805907,7593303784.31138,905988588.352636,1842151844.50863,-192529773.714175,2555610659.14709,-41342211.9889942,2514268447.1581,10107572231.4695,43206000,-38887000,4319000,-157650879.691387,-341681000,111128000,-230553000,22158000,-4387000,0,17771000,-208463000,-208463000,-4359000,-212822000,0,0.15003,0.07931,0.0921434411627995,0.0271462797421119,2.96165453650549,0.10825086553202,4.33714,4.33228,54.68355,258.962024132,0.027189688861199,10.1872127846571
"2","2010_Q3",337.3325,"Down",515414000,416688000,64384000,34342000,-2429000,36771000,-251235000,-179106000,-36825000,48248000,-18334000,-18334000,29914000,29914000,-8997000,20917000,20917000,-86000,20831000,20831000,7192988000,686675000,332587000,172479000,1939732000,10324461000,6112277000,66837000,1003576000,275328000,7458018000,871887000,1553547000,424559000,2849993000,16450000,2866443000,10324461000,20917000,38330000,59247000,-72552959.897129,54943000,-33691000.0000001,21252000,6990000,-19864000,-14295000,-27169000,53330000,53330000,-4327000,49003000,1003576000,0.09361,0.04042,0.00727,0.00202,2.60184,0.0972,2.12496,2.12258,52.57717,290.72661,0.00203,6.56817
"3","2010_Q4",357.51203125,"Up",561354000,435355000,68652000,57347000,8782000,48565000,-224840000,-181640000,-44977000,109897000,-18598000,-18598000,91299000,91299000,-28142000,63157000,63157000,93000,63250000,63250000,7422215000,817954000,340107000,179413000,1821433000,10581122000,6192594000,72629000,996663000,245076000,7506962000,872452000,1598968000,586637000,3058057000,16103000,3074160000,10581122000,63157000,46101000,109258000,-28748000,5790000,59762000,36804000,-6148000,-17829000,-254000,-24231000,121831000,121831000,9448000,131279000,996663000,0.19577,0.11267,0.02057,0.00598,2.44196,0.09419,6.48784,6.48253,57.58067,313.67904,0.00602,1.62615
"4","2011_Q1",404.273870967742,"Up",611906000,466743000,71092000,74071000,14266000,59805000,-209984000,-207462000,-63957000,130503000,-18772000,-18772000,111731000,111731000,28718000,140449000,140449000,-306000,140143000,140143000,7478537000,745259000,318507000,188783000,2094503000,10825589000,6237943000,50715000,1015947000,333292000,7637897000,884457000,1735973000,551093000,3171523000,16169000,3187692000,10825589000,140449000,-146293000,50467000,-13355000,47919000,-145410000,-110846000,-10124000,-3138000,1281000,-11981000,-72360000,-72360000,-334999.999999998,-72695000,1015947000,0.21327,0.22903,0.04396,0.01295,2.39606,0.09385,14.42246,14.36627,62.97273,326.38911,0.01301,2.07419
"5","2011_Q2",409.884761904762,"Up",621594000,463111000,70099000,88384000,11240000,77144000,-314328000,-202350000,-74503000,30413000,-18962000,-18962000,11451000,11451000,-1590000,9861000,9861000,-1589000,8272000,8272000,7611137000,649947000,388244000,199921000,2192287000,11041536000,6385997000,87849000,1027711000,276910000,7778467000,886574000,1744245000,567559000,3198378000,64691000,3263069000,11041536000,9861000,-19064000,-9203000,-12839000,40587000,-119276000,-91528000,1844000,0,-103000,1741000,-98990000,-98990000,3678000,-95312000,1027711000,0.04893,0.01331,0.00253999999999999,0.000750000000000001,2.38379,0.09308,0.85129,0.8478,63.96974,329.15282,0.00076,12.42114
"6","2011_Q3",384.28078125,"Down",647168000,490201000,64253000,92714000,1344000,91370000,-306683000,-196845000,-85028000,58612000,-21898000,-21898000,36714000,36714000,-5065000,31649000,31649000,-1335000,30314000,30314000,7917401000,767954000,422667000,203940000,2152575000,11464537000,6461852000,89545000,1268444000,296617000,8116458000,888616000,1761067000,633290000,3282973000,65106000,3348079000,11464537000,31649000,77897000,109546000,-14319000,-43360000,-161433000,-219112000,240470000,-13492000,-914000,226064000,116498000,116498000,1509000,118007000,1268444000,0.09057,0.04684,0.00905,0.00264,2.42421,0.11064,3.11776,3.1069,66.56053,337.65021,0.00266,8.53904
"7","2011_Q4",390.010952380952,"Up",676088000,509203000,62199000,104686000,12839000,91847000,-306632000,-202316000,-76325000,90815000,-23656000,-23656000,67159000,67159000,-12490000,54669000,54669000,-1405000,53264000,53264000,7677539000,920193000,364483000,206534000,2203005000,11371754000,6432710000,83401000,1271810000,305741000,8093662000,890393000,1794387000,527400000,3212180000,65912000,3278092000,11371754000,54669000,106096000,160765000,-16353000,-62513000,95023000,16157000,3122000,-19944000,-167000,-16989000,159933000,159933000,-7694000,152239000,1271810000,0.13432,0.07878,0.01625,0.00468,2.46902,0.11184,5.50248,5.48096,69.8438,331.83678,0.00472,3.87179
"8","2012_Q1",412.385806451613,"Up",685100000,516825000,67125000,101150000,10434000,90716000,-282343000,-208668000,-97481000,96608000,-21736000,-21736000,74872000,74872000,-22565000,52307000,52307000,-2131000,50176000,50176000,7953115000,775032000,350237000,194674000,2259045000,11532103000,6314799000,64327000,1293520000,397111000,8069757000,891507000,1835086000,660920000,3387513000,74833000,3462346000,11532103000,52307000,-78525000,50210000,-16621000,-16268000,-163734000,-196623000,188000.00000003,-8295000,-8120000,-16227000,-162640000,-162640000,684000,-161956000,1293520000,0.14101,0.07324,0.01449,0.00435,2.33072,0.11217,5.21363,5.18776,71.18662,351.98597,0.00438,5.36693
"9","2012_Q2",438.663968253968,"Up",733135000,529596000,79794000,123745000,11909000,111836000,-288521000,-238697000,-109208000,96709000,-22167000,-22167000,74542000,74542000,-16829000,57713000,57713000,-460000,57253000,57253000,8138199000,691797000,459978000,181686000,2387624000,11859284000,6332983000,127913000,1305573000,416847000,8183316000,902441000,1890040000,809612000,3602093000,73875000,3675968000,11859284000,57713000,-122105000,-64392000,-12917000,-17572000,-161000,-30650000,4449000,-2299000,6953000,9103000,-85939000,-85939000,2704000,-83235000,1305573000,0.13191,0.07809,0.01557,0.00483,2.22617,0.11009,5.93788,5.92007,76.03557,373.58359,0.00488,6.34663
"10","2012_Q3",435.940793650794,"Down",693247000,513056000,63602000,116589000,8216000,108373000,-221094000,-224784000,-106034000,141335000,-22209000,-22209000,119126000,119126000,-28358000,90768000,90768000,-1081000,89687000,89687000,7972314000,837208000,476462000,174274000,2504975000,11965233000,6309719000,139858000,1309530000,463222000,8222329000,904047000,1957778000,793341000,3655166000,87738000,3742904000,11965233000,90768000,78371000,169139000,-9968000,131516000,-148552000,-27004000,-2273000.00000001,-5350000,-26611000,-34234000,107901000,107901000,-3363000,104538000,1309530000,0.20387,0.12937,0.02396,0.0075,2.19678,0.10944,9.29399,9.26902,71.83907,378.77368,0.00758,3.34186
"11","2012_Q4",472.269032258064,"Up",765775000,530537000,64438000,170800000,5231000,165569000,-303459000,-231841000,-153298000,77177000,-24692000,-24692000,52485000,52485000,-811000,51674000,51674000,-2021000,49653000,49653000,8350844000,834828000,446773000,167185000,2583787000,12383417000,6359180000,100079000,1510598000,519903000,8489760000,905841000,2009133000,891142000,3806116000,87541000,3893657000,12383417000,51674000,83124000,134798000,-10604000,43132000,-352134000,-319606000,196064000,390000,-696000,195758000,10950000,10950000,4272000,15222000,1510598000,0.10078,0.06484,0.01275,0.00401,2.18041,0.12199,5.15554,5.14326,79.51147,395.19427,0.00404,8.75611
