"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","trading_account_profits_losses","investment_income_loss","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","trading_securities","intangible_assets","goodwill","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","short_term_debt","securities_sold_under_repo","trading_account_liabilities","short_term_borrowings","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","other_share_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",21.7447619047619,"Down",9.072e+09,3.68e+08,1.736e+09,-1.368e+09,8.704e+09,3.758e+09,3.69e+08,4.283e+09,2.94e+08,9.072e+09,-6.557e+09,-7.43e+08,-5.814e+09,2.515e+09,2.515e+09,2.515e+09,-4.36e+08,2.079e+09,2.011e+09,-2.35e+08,1.776e+09,-3.65e+08,1.411e+09,5.979e+09,5.24277e+11,3.20684e+11,4.998e+09,7.169e+09,2.5949e+10,1.4083e+10,8.19719e+11,6.3926e+10,3.61579e+11,2.05963e+11,1.25842e+11,1.2883e+10,1.89203e+11,1.49832e+11,7.6454e+11,9.597e+09,2.993e+09,1.5e+07,6.75e+09,-3.772e+09,-3.06e+08,3.6539e+10,-5.59e+08,4.8264e+10,6.915e+09,5.5179e+10,8.19719e+11,2.011e+09,1.54e+08,1.215e+09,1.7721e+10,2.1101e+10,-1.38e+08,-1.8674e+10,139324289316.891,-1.8812e+10,-2.93e+08,4.65e+08,-2.61e+08,1.711e+09,-4.4e+07,1.578e+09,3.867e+09,3.867e+09,-3.8e+08,3.487e+09,2.669e+09,5.50782e+11,2.0688e+10,0.27723,0.15553,0.02557,0.00172,14.66194,13.85563,0.67192,1.07332,0.86766,6.90092,29.41333,15.73701,0.22288,0.00208,0.02524,0.20765,204.12252,216.62147
"2","2010_Q3",20.289375,"Down",7.963e+09,1.41e+08,1.747e+09,-1.606e+09,7.822e+09,3.353e+09,-51999999.9999998,4.362e+09,1.59e+08,7.963e+09,-6.26e+09,-8.67e+08,-5.393e+09,1.703e+09,1.703e+09,1.703e+09,-2.4e+08,1.463e+09,1.984e+09,-23999999.9999999,1.96e+09,-3.81e+08,1.579e+09,8.77e+09,5.06457e+11,3.0263e+11,4.924e+09,6.749e+09,2.7738e+10,1.3059e+10,8.09456e+11,6.1368e+10,3.63198e+11,2.11658e+11,1.25189e+11,1.157e+10,1.8281e+11,1.42921e+11,7.50297e+11,9.597e+09,3.998e+09,1.5e+07,7.649e+09,-3.666e+09,-4.38e+08,3.821e+10,-3.54e+08,5.1013e+10,8.146e+09,5.9159e+10,8.09456e+11,1.984e+09,1.037e+09,-1.197e+09,6.468e+09,8.292e+09,-2.98e+08,-558999999.999996,70323105176.0508,-8.02e+08,-2.89e+08,-3.188e+09,-11999999.9999981,-2.558e+09,-3.1e+07,-6.078e+09,1.412e+09,1.412e+09,-5.43e+08,8.69e+08,2.74e+09,5.46008e+11,9.15e+09,0.21386,0.19829,0.02669,0.00195,5.79481000000014,12.68272,0.67454,1.19831,0.90288,6.04317,31.43085,6.94399,0.21932,0.00231,0.0113,0.183029999999998,196.07226,315.46565
"3","2010_Q4",20.23765625,"Down",6.78e+09,1.03e+08,1.851e+09,-1.748e+09,6.677e+09,1.441e+09,8.2e+08,4.229e+09,1.87e+08,6.78e+09,-5.979e+09,-7.92e+08,-5.187e+09,8.01e+08,8.01e+08,8.01e+08,2.3e+07,8.24e+08,6.41e+08,-5.1e+08,1.31e+08,-1.5e+08,-1.9e+07,6.936e+09,5.24119e+11,3.31719e+11,4.808e+09,6.766e+09,3.314e+10,1.2712e+10,8.41372e+11,6.1202e+10,3.72355e+11,1.98234e+11,1.42584e+11,1.4475e+10,1.96491e+11,1.45742e+11,7.7579e+11,9.597e+09,9.856e+09,1.6e+07,1.3389e+10,-3.549e+09,-5.17e+08,3.8056e+10,-1.16e+08,5.6876e+10,8.706e+09,6.5582e+10,8.41372e+11,6.41e+08,6.46e+08,4.19e+08,-1.1847e+10,-1.0141e+10,-3.64e+08,-4.11e+09,25322242070.4203,-4.51e+09,-2.85e+08,1.0571e+10,5.556e+09,-1.66e+08,-5.596e+09,1.008e+10,-4.571e+09,-4.571e+09,1.339e+09,-3.232e+09,1.447e+09,5.68846e+11,-1.0787e+10,0.11814,-0.0028,-0.00029,-2e-05,567.73684,11.82931,0.67609,-0.0138,-0.01317,4.92292,34.32904,-7.83239,0.20694,0.00032,-0.01282,-15,388.32757,701.51061
"4","2011_Q1",22.7279032258065,"Up",7.415e+09,2.86e+08,1.971e+09,-1.685e+09,7.129e+09,8.41e+08,6.88e+08,5.004e+09,5.96e+08,7.415e+09,-6.236e+09,-8.22e+08,-5.414e+09,1.179e+09,1.179e+09,1.179e+09,-9e+07,1.089e+09,1.066e+09,-2.3e+08,8.36e+08,-2.13e+08,6.23e+08,7.341e+09,4.80537e+11,3.06746e+11,4.667e+09,6.739e+09,3.5258e+10,1.329e+10,8.07698e+11,6.3812e+10,3.4032e+11,1.76692e+11,1.28756e+11,1.3709e+10,1.92457e+11,1.45702e+11,7.42291e+11,9.597e+09,1.0072e+10,1.6e+07,1.3521e+10,-3.465e+09,-5.94e+08,3.8603e+10,-4.67e+08,5.7211e+10,8.196e+09,6.5407e+10,8.07698e+11,1.066e+09,-4.18e+08,-5.11e+08,2.1225e+10,2.1362e+10,-4.01e+08,-5.647e+09,-3.07e+08,-5.34e+09,-2.89e+08,-3.399e+09,-1.9e+07,2.61e+09,-320000000.000001,-1.417e+09,1.4605e+10,1.4605e+10,-1.05e+08,1.45e+10,7.61e+08,5.32777e+11,2.1675e+10,0.159,0.08402,0.00952,0.00077,34.79133,11.3488,0.65962,0.43349,0.7534,5.15949,33.13064,15.08184,0.20109,0.00113,0.02684,0.46388,690.45466,445.66243
"5","2011_Q2",19.3457142857143,"Down",7.574e+09,6e+06,1.859e+09,-1.853e+09,7.568e+09,2.977e+09,3.29e+08,4.736e+09,-4.74e+08,7.574e+09,-6.673e+09,-8.04e+08,-5.869e+09,9.01e+08,9.01e+08,9.01e+08,2.44e+08,1.145e+09,1.13e+09,-1.62e+08,9.68e+08,-2.32e+08,7.36e+08,8.12e+09,4.83501e+11,3.08112e+11,4.581e+09,6.743e+09,4.3959e+10,1.3558e+10,8.36185e+11,6.3495e+10,3.63574e+11,1.92975e+11,1.3627e+11,1.626e+10,1.96136e+11,1.46472e+11,7.69677e+11,9.597e+09,8.733e+09,1.6e+07,1.2185e+10,-3.468e+09,1.013e+09,3.9269e+10,-4.26e+08,5.8186e+10,8.322e+09,6.6508e+10,8.36185e+11,1.13e+09,3.79e+08,1.014e+09,-3.845e+09,-1.322e+09,-4.09e+08,2.954e+09,-11193321035.2102,2.545e+09,-3.02e+08,3.597e+09,-2.73e+08,-3.17e+08,1.11e+08,2.816e+09,4.039e+09,4.039e+09,9.54e+08,4.993e+09,1.28e+09,5.5971e+11,-3.218e+09,0.11896,0.09717,0.01107,0.00088,-4.37228,11.5727,0.66936,0.50549,0.4999,5.20187,33.3712,-2.21014,0.20742,0.00124,-0.00385,0.41033,430.92969,612.19756
"6","2011_Q3",14.4878125,"Down",9.207e+09,-6.8e+07,1.961e+09,-2.029e+09,9.275e+09,3.484e+09,4.02e+08,5.152e+09,2.37e+08,9.207e+09,-7.237e+09,-8.77e+08,-6.36e+09,1.97e+09,1.97e+09,1.97e+09,-5.38e+08,1.432e+09,1.406e+09,-2.13e+08,1.193e+09,-1.741e+09,-5.48e+08,9.066e+09,4.56027e+11,2.94798e+11,4.474e+09,6.744e+09,3.9142e+10,1.3032e+10,8.30747e+11,6.5525e+10,3.43761e+11,1.69082e+11,1.27896e+11,2.6042e+10,1.96106e+11,1.57212e+11,7.62604e+11,1.508e+09,1.8981e+10,2e+07,2.2346e+10,-3.385e+09,9.01e+08,3.8637e+10,-3.2e+08,5.9707e+10,8.436e+09,6.8143e+10,8.30747e+11,1.406e+09,3.8e+08,3.79e+08,-6.017e+09,-3.852e+09,-3.16e+08,2.659e+09,-11965421035.2102,2.343e+09,-2.92e+08,-1.707e+09,-9999999.99999988,2.03e+09,-89000000.0000002,-6.8e+07,-1.577e+09,-1.577e+09,-2.84e+08,-1.861e+09,2.35e+09,5.39867e+11,-3.445e+09,0.21397,-0.05952,-0.00804,-0.00066,6.28649999999998,11.19123,0.64986,-0.37424,-0.36956,6.28766,39.74538,-2.35267,0.19941,-0.00031,-0.00415000000000001,-0.53285,225.87277,269.44213
"7","2011_Q4",12.3211111111111,"Down",9.81e+09,1.45e+08,1.753e+09,-1.608e+09,9.665e+09,4.96e+09,-2.98e+08,4.656e+09,3.47e+08,9.81e+09,-6.125e+09,-8.83e+08,-5.242e+09,3.685e+09,3.685e+09,3.685e+09,-1.415e+09,2.27e+09,2.293e+09,-9.4e+07,2.199e+09,-5.2e+07,2.147e+09,1.2255e+10,4.30663e+11,2.74251e+11,4.37e+09,6.709e+09,3.4175e+10,1.3109e+10,7.94939e+11,6.6184e+10,2.99874e+11,1.37838e+11,1.21964e+11,2.5037e+10,1.89093e+11,1.69694e+11,7.24845e+11,1.508e+09,1.9305e+10,2e+07,2.2501e+10,-3.216e+09,7.18e+08,4.071e+10,-4.13e+08,6.1828e+10,8.266e+09,7.0094e+10,7.94939e+11,2.293e+09,4.28e+08,2.58e+08,1.3085e+10,1.6064e+10,-3.63e+08,-2.772e+09,-7251999999.99999,-1.0387e+10,-1.2e+08,-2.433e+09,-2.8e+07,6.59e+08,-4.27e+08,-2.349e+09,3.328e+09,3.328e+09,-1.68e+08,3.16e+09,4.113e+09,4.88967e+11,1.825e+10,0.37564,0.21886,0.03063,0.0027,8.50023,10.34104,0.6151,1.16164,1.1489,5.30773,32.63634,9.87422,0.06493,0.00285,0.02296,0.05589,115.90372,129.36554
"8","2012_Q1",14.8564516129032,"Up",5.636e+09,2.68e+08,1.661e+09,-1.393e+09,5.368e+09,9.63e+08,1.4e+08,4.199e+09,6.6e+07,5.636e+09,-6.082e+09,-8.62e+08,-5.22e+09,-4.46e+08,-4.46e+08,-4.46e+08,2.95e+08,-1.51e+08,-1.84e+08,-6.6e+07,-2.5e+08,-18000000.0000002,-2.68e+08,1.3165e+10,4.37754e+11,2.75353e+11,4.285e+09,6.686e+09,3.3977e+10,1.2106e+10,7.49898e+11,6.5662e+10,2.90365e+11,1.35262e+11,1.16147e+11,2.3562e+10,1.84234e+11,1.39559e+11,6.7982e+11,1.508e+09,1.969e+10,2e+07,2.2836e+10,-3.166e+09,6.67e+08,4.0341e+10,-1.57e+08,6.2049e+10,8.029e+09,7.0078e+10,7.49898e+11,-1.84e+08,2.17e+08,8.05e+08,3.654e+09,4.492e+09,-2.16e+08,-3.573e+09,-1.956e+09,-5.235e+09,-1.2e+08,-4.51e+09,-6e+06,-5.22e+08,-3.89e+08,-5.547e+09,-6.29e+09,-6.29e+09,-3.05e+08,-6.595e+09,-2.29e+08,4.74599e+11,2.914e+09,-0.07913,-0.04755,-0.00381999999999999,-0.00036,-10.87313,9.7009,0.63288,-0.14484,-0.14277,3.04603,32.71998,1.5749,0.06486,-2e-04,0.00389,-0.44776,-2014.99563,-1034.60538
"9","2012_Q2",12.1911111111111,"Down",6.924e+09,-5.9e+07,1.542e+09,-1.601e+09,6.983e+09,2.402e+09,8.5e+07,4.392e+09,1.04e+08,6.924e+09,-6.722e+09,-8.15e+08,-5.907e+09,2.02e+08,2.02e+08,2.02e+08,-5.4e+07,1.48e+08,1.34e+08,-2.28e+08,-9.4e+07,-2.5e+07,-1.19e+08,1.0133e+10,4.5725e+11,2.78424e+11,4.17e+09,6.7e+09,3.8962e+10,1.1772e+10,7.8103e+11,6.6441e+10,3.19559e+11,1.41761e+11,1.3098e+11,2.3452e+10,1.76723e+11,1.47715e+11,7.10438e+11,1.508e+09,1.9698e+10,2e+07,2.293e+10,-3.252e+09,1.06e+09,4.0118e+10,-6e+07,6.2324e+10,8.268e+09,7.0592e+10,7.8103e+11,1.34e+08,3.75e+08,3.99e+08,7.092e+09,8e+09,-2.12e+08,-2.484e+09,-5.69e+08,-3.265e+09,-1.12e+08,-1.3223e+10,-1.83e+08,7.79e+08,-1.42e+08,-1.2881e+10,-8.146e+09,-8.146e+09,-4.41e+08,-8.587e+09,5.77e+08,4.96282e+11,7.511e+09,0.02917,-0.01719,-0.00169,-0.00015,-63.11765,10.064,0.63542,-0.0634,-0.0634,3.68894,32.4013,4.00168,0.05967,-1e-05,0.00962,-0.94118,842.54593,2406.67822
"10","2012_Q3",11.9839682539683,"Down",6.942e+09,-1.6e+08,1.323e+09,-1.483e+09,7.102e+09,2.469e+09,6.3e+07,4.412e+09,1.58e+08,6.942e+09,-6.005e+09,-8.82e+08,-5.123e+09,9.37e+08,9.37e+08,9.37e+08,-2.24e+08,7.13e+08,7.5e+08,-1.59e+08,5.91e+08,-2.6e+07,5.65e+08,1.2408e+10,4.11017e+11,2.40582e+11,3.987e+09,6.61e+09,3.7666e+10,1.0623e+10,7.48517e+11,6.8252e+10,2.99304e+11,1.3944e+11,1.23475e+11,1.9311e+10,1.67828e+11,1.41496e+11,6.7688e+11,1.508e+09,1.9973e+10,2e+07,2.3151e+10,-3.198e+09,9.94e+08,4.0586e+10,-2.2e+08,6.2841e+10,8.796e+09,7.1637e+10,7.48517e+11,7.5e+08,4.18e+08,1.97e+08,8.101e+09,9.466e+09,-2.24e+08,1.505e+09,-1.101e+09,1.786e+09,-1.18e+08,-9.477e+09,-8e+06,1.811e+09,1.34e+08,-7.658e+09,3.594e+09,3.594e+09,-3.13e+08,3.281e+09,1.355e+09,4.67132e+11,9.456e+09,0.13498,0.08139,0.00789,0.00075,16.73628,9.44875,0.62408,0.29971,0.29165,3.68241,32.53431,5.01597,0.06259,0.00091,0.01263,0.20885,335.58967,485.29776
