"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",17.6765625,"Up",871435,-5228799,-2567122,-2628457,-4357364,-906190,-906190,-5263554,-4962294,-4962294,-4962294,-4962294,-4962294,50501659,9718974,40782685,764429,764429,412405,398528,51678493,434967,9124626,8982000,142626,13413950,65092443,3318861,2167255,1151606,3632888,1388406,1388406,31211507,34844395,784592063,-753466843,30248048,30248048,65092443,-4962294,34158,919271,-319221,-4328086,1284164,1263125,297701,297701,36226,-3028735,-3028735,-3028735,-4323206,30137128,-5.00022,-5.69439,-0.16405,-0.07623,14.22518,1.15196,0.46299,-0.30977,-0.30977,0.0544,1.88822,-0.08033,4.71052,4.67359
"12","2013_Q3",20.1984375,"Up",5404377,-6110573,-2903669,-3166639,-706196,-920793,-920793,-1626989,-1293848,-1293848,-1293848,-1293848,-1293848,57133947,9742938,47391009,863187,863187,427407,413530,58424541,500891,9111777,8982000,129777,9779155,68203696,3997475,2578308,1419167,5365093,1052868,1052868,30081963,35447056,789032441,-754760691,32756640,32756640,68203696,-1293848,33576,821142,462967,23837.0000000009,-2891525,-2891525,2891652,2891652,2891652,23964,23964,23964,-672620,30396713,-0.130670000000001,-0.23941,-0.0395,-0.01897,10.88975,1.08213,0.44568,-0.07974,-0.07974,0.33308,2.01881,-0.02015,39.75088,37.86093
"13","2013_Q4",17.14390625,"Down",7202083,-7071715,-2846950,-4170751,130368,-925519,-925519,-795151,-1867838,-1867838,-1867838,-1867838,-1867838,63216984,13778686,49438298,1156469,1156469,518961,505084,64892414,467489,9098914,8982000,116914,13654562,78546976,4267606,2290679,1976927,5717537,2124377,2124377,31256101,36973638,799711770,-756628529,41573338,41573338,78546976,-1867838,36625,2190794,-82184,277397,-5961514,-6061014,9819365,9819365,9819365,4035748,4035748,4035748,166993,30581655,0.0181,-0.25935,-0.04493,-0.02378,11.34971,0.88936,0.38934,-0.11326,-0.11326,0.43672,2.52092,-0.02515,-195.42932,-250.33236
"14","2014_Q1",15.0204918032787,"Down",1524137,-6007354,-2976070,-2960987,-4483217,-924494,-924494,-5407711,-4198032,-4198032,-4198032,-4198032,-4198032,58179622,9591487,48588135,1477188,1477188,509137,495260,60165947,445655,9086034,8982000,104034,20424861,80590808,3948343,2036864,1911479,6558517,913520,913520,28858706,35417223,807531159,-760826561,45173585,45173585,80590808,-4198032,37163,-1500320,148464,-5512725,-5909571,-5928123,7253649,7253649,7253649,-4187199,-4187199,-4187199,-4446054,30555360,-2.94148,-2.75437,-0.09293,-0.05209,9.17371,0.78403,0.37914,-0.24499,-0.24499,0.08895,2.6363,-0.05477,6.21321000000006,6.16171000000003
"15","2014_Q2",10.1820634920635,"Down",1284633,-6037976,-2826898,-3145930,-4753343,-902216,-902216,-5655559,-5563936,-5563936,-5563936,-5563936,-5563936,57763818,7907869,49855949,1368920,1368920,515569,501692,59648307,408636,9073173,8982000,91173,15715666,75363973,3791216,2545041,1246175,7808814,194731,194731,27017401,34826215,808455034,-766390497,40537758,40537758,75363973,-5563936,37019,278313,-57282,-5305886,3427960,3441837,180431,180431,180431,-1683618,-1683618,-1683618,-4716324,30215105,-3.70016,-4.33115,-0.13725,-0.07383,7.63859,0.85911,0.40092,-0.32379,-0.32379,0.07476,2.35911,-0.07842,5.84114,5.79565
"16","2014_Q3",8.408125,"Down",4801285,-6346072,-2925259,-3328976,-1544787,-908251,-908251,-2453038,-1895785,-1895785,-1895785,-1895785,-1895785,55770810,10156360,45614450,4843412,4843412,377252,363375,60991474,439357,9060312,8982000,78312,12909488,73900962,4358884,2849252,1509632,9925464,191076,191076,24563141,34488605,809215267,-768286282,39412357,39412357,73900962,-1895785,37818,-89804,-2781829,-4729600,6960540,6901679,76412,76412,76412,2248491,2248491,2248491,-1506969,29870735,-0.32174,-0.39485,-0.0481,-0.02565,6.14495,0.87507,0.4042,-0.11027,-0.11027,0.27926,2.29238,-0.02729,17.18687,16.76611
"17","2014_Q4",6.5703125,"Down",1764864,-6517895,-2723235,-3705365,-4753031,-895022,-895022,-5648053,-5580143,-5580143,-5580143,-5580143,-5580143,54598940,7933470,46665470,1839319,1839319,669642,655765,57107901,407361,9059558,8982000,77558,11101211,68209112,4313131,2371237,1941894,9834654,187420,187420,23727881,33562535,810033567,-773866425,34646577,34646577,68209112,-5580143,39221,801779,2654111,-2085032,681105,675952,0,0,-813810,-2222890,-2222890,-2222890,-4713810,29061984,-2.69314,-3.1618,-0.16106,-0.08181,5.8068,0.96871,0.42607,-0.32441,-0.32441,0.1026,2.01422,-0.08733,5.41748,5.37277
"18","2015_Q1",12.0667213114754,"Up",1992218,-6803057,-3231608,-3478729,-4810839,-878511,-878511,-5689350,-5689136,-5689136,-5689136,-5689136,-5689136,49750193,7747411,42002782,1960995,1960995,503721,489844,52214909,407738,9049544,8982000,67544,10398660,62613569,4356882,2349183,2007699,10066867,174018,174018,22763076,32829943,810873947,-779555295,29783626,29783626,62613569,-5689136,40942,1609712,-654000,-4692482,5280395,5253532,26157.0000000019,26157.0000000019,-747033.000000004,-185983,-185983,-185983,-4769897,28299043,-2.41482,-2.85568,-0.19102,-0.09086,5.18681,1.10228,0.45196,-0.33072,-0.33072,0.11581,1.73137,-0.09766,4.49719,4.45892
"19","2015_Q2",15.0206349206349,"Up",1658332,-8332066,-3529002,-4718972,-6673734,-826674,-826674,-7500408,-31848223,-31848223,-31848223,-31848223,-31848223,99956408,23467545,76488863,1769344,1769344,828252,828252,102554004,364005,9042872,8982000,60872,16756405,119310409,4146991,2782399,1364592,9731127,168319,168319,21963422,31694549,900545809,-811403518,87615860,87615860,119310409,-31848223,41493,24633470,-585936,-7759196,-40578876,-40579956,64988625,64988625,64059286,15720134,15720134,15720134,-6632241,27379239,-4.02437,-19.20497,-0.3635,-0.26694,10.53876,0.36174,0.22948,-1.47535,-1.47535,0.07682,4.05875,-0.27655,10.94308,10.87505
"20","2015_Q3",14.1596875,"Down",2082668,-9451934,-3410998,-5938028,-7369266,-759326,-759326,-8128592,-8128777,-8128777,-8128777,-8128777,-8128777,99186298,31485243,67701055,2093094,2093094,777401,777401,102056793,323101,9043715,8982000,61715,9519426,111576219,4203454,2385382,1818072,9049792,158533,158533,21949426,30999218,901634818,-819532211,80577001,80577001,111576219,-8128777,40507,1276530,25935.9999999999,-6785804,15725876,15725956,-174625,-174625,-922286,8017866,8017866,8017866,-7328759,26637231,-3.53838,-3.90306,-0.10088,-0.07285,11.27725,0.38472,0.23874,-0.31666,-0.31666,0.08113,3.13892,-0.07571,9.89923,9.84482
