"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",2.56109375,"Down",2468000,-12376000,-3981000,-8266000,-9908000,-839000,-839000,-10747000,-10747000,-10747000,-10747000,-10747000,-10747000,48453000,24736000,23717000,2491000,2491000,909000,909000,51853000,390000,8985000,8982000,3000,9528000,61381000,7102000,5119000,1983000,14391000,63000,63000,32523000,46914000,977485000,-963012000,14467000,14467000,61381000,-10747000,53000,1154000,-424000,-9964000,-1696000,-1773000,0,0,-1815000,-13552000,-13552000,-13552000,-9855000,39749000,-4.01459,-4.35454,-0.74286,-0.17509,3.60315,3.24283,0.64758,-0.32514,-0.32514,0.07467,0.43768,-0.198,0.88321,0.87848
"32","2018_Q3",1.62873015873016,"Down",2358000,-10218000,-3633000,-6451000,-7860000,-804000,-804000,-8664000,-8664000,-8664000,-8664000,-8664000,-8664000,40420000,30465000,9955000,2505000,2505000,776000,776000,43701000,352000,8985000,8982000,3000,9490000,53191000,7538000,4275000,3263000,14503000,45999.9999999998,45999.9999999998,31578000,46081000,978787000,-971676000,7110000,7110000,53191000,-8664000,46000,1149000,531000,-6938000,13814000,13814000,112000.000000001,112000.000000001,-1147000,5729000,5729000,5729000,-7814000,38497000,-3.33333,-3.6743,-1.21857,-0.16288,3.01324,6.48115,0.72375,-0.26147,-0.26147,0.07116,0.21457,-0.18978,0.2461,0.24466
"33","2018_Q4",1.36761904761905,"Down",2847000,-9264000,-4127000,-4983000,-6417000,-806000,-806000,-7223000,-7223000,-7223000,-7223000,-7223000,-7223000,30833000,25561000,5272000,2855000,2855000,1127000,1127000,34815000,312000,8985000,8982000,3000,9450000,44265000,6308000,3008000,3300000,13233000,29000,29000,30250000,43483000,979681000,-978899000,782000,782000,44265000,-7223000,40000,9e+05,-1940000,-8223000,4687000,4679000,0,0,-1360000,-4904000,-4904000,-4904000,-6377000,37146000,-2.25395,-2.53706,-9.23657,-0.16318,2.63092,55.60486,0.83917,-0.21781,-0.21781,0.08585,0.02358,-0.19029,-0.98996,-0.98379
"34","2019_Q1",1.19639344262295,"Down",2755000,-7903000,-3044000,-4713000,-5148000,-793000,-793000,-5941000,-5941000,-5941000,-5941000,-5941000,-5941000,24270000,23636000,634000,2864000,2864000,827000,827000,27961000,267000,8984000,8982000,2000,9404000,37365000,6366000,2909000,3457000,13250000,11000.0000000019,11000.0000000019,28611000,41861000,980344000,-984840000,-4496000,-4496000,37365000,-5941000,38000,632000,331000,-4940000,4654000,4654000,31000,31000,-1639000,-1925000,-1925000,-1925000,-5110000,35484000,-1.8686,-2.15644,1.3214,-0.159,2.11026,-9.31072,0.94966,-0.17936,-0.17936,0.08318,-0.13574,-0.19165,-2.19452,-2.17832
"35","2019_Q2",1.75269841269841,"Up",1767000,-7325000,-3143000,-4074000,-5558000,-4326000,-742028.750243242,-9884000,-9884000,-9884000,-9884000,-9884000,-9884000,42796000,42766000,30000,1786000,1786000,834000,681000,45416000,226000,9807000,8982000,825000,10033000,55449000,3753000,2333000,1420000,4631000,64547000,64547000,64547000,69178000,980995000,-994724000,-13729000,-13729000,55449000,-9884000,35000,1163000,-1918000,-10604000,6e+05,6e+05,15330.0802569645,15330.0802569645,29134000,19130000,19130000,19130000,-5523000,0,-3.14544,-5.59366,0.71994,-0.17825,9.80695,-5.03882,0,-0.29815,-0.29815,0.0533,-0.41414,-0.1945,7.74869,7.69989
"36","2019_Q3",2.11734375,"Up",2094000,-8235000,-2526000,-5620000,-6141000,-1072000,-594269.066543326,-7213000,-7213000,-7213000,-7213000,-7213000,-7213000,35318000,27219000,8099000,2134000,2134000,972000,819000,38424000,234000,9582000,8982000,6e+05,9816000,48240000,3736000,2163000,1573000,4382000,64127000,64127000,64127000,68509000,981668000,-1001937000,-20269000,-20269000,48240000,-7213000,32000,5482000,-421000,-2120000,-8017000,-8058000,42000.0000000001,42000.0000000001,-5369000.00000001,-15547000,-15547000,-15547000,-6109000,0,-2.93266,-3.4446,0.35586,-0.14952,8.7686,-3.37999,-1.11022302462516e-16,-0.21748,-0.21748,0.06314,-0.61115,-0.16446,5.78131,5.75118
"37","2019_Q4",1.81328125,"Down",2856000,-8179000,-2888000,-5146000,-5323000,5103000,-278000,-220000,-6436000,-6436000,-6436000,-6436000,-6436000,28009000,21357000,6652000,2897000,2897000,1777000,1624000,32683000,203000,9358000,8982000,376000,9561000,42244000,4309000,2478000,1831000,4718000,63544000,63544000,63544000,68262000,982352000,-1008373000,-26018000,-26018000,42244000,-6436000,30000,-978000,-498000,-7882000,1453000,1453000,0,0,567000,-5862000,-5862000,-5862000,-5293000,0,-1.8638,-2.2535,0.24737,-0.15235,6.9273,-2.62365,0,-0.19388,-0.19388,0.08603,-0.78377,-0.17151,5.29171,5.26188
"38","2020_Q1",1.32693548387097,"Down",3287000,-10118000,-2998000,-7462000,-7334000,60000,101000,-7274000,-8608000,-8608000,-8608000,-8608000,-8608000,20543000,15430000,5113000,3244000,3244000,1216000,1063000,25003000,154000,9950000,8982000,968000,10104000,35107000,6375000,4465000,1910000,6541000,62477000,62477000,62477000,69018000,983070000,-1016981000,-33911000,-33911000,35107000,-8608000,28000,1702000,1279000,-5599000,1549000,1549000,26000,26000,-1061000,-5111000,-5111000,-5111000,-7306000,0,-2.23121,-2.6188,0.25384,-0.24519,3.8225,-2.03527,0,-0.2592,-0.2592,0.09898,-1.02112,-0.30134,2.8118,2.80106
"39","2020_Q2",0.922539682539683,"Down",2709000,-11191000,-3593000,-7473000,-8482000,71000,50000,-8411000,-9709000,-9709000,-9709000,-9709000,-9709000,12538000,12532000,6000,2507000,2507000,1464000,1311000,16509000,396000,9801000,8982000,819000,10197000,26706000,5986000,4267000,1719000,5986000,60989000,60989000,60989000,66975000,986421000,-1026690000,-40269000,-40269000,26706000,-9709000,25000,1034000,-366000,-9016000,5082000,4841000,-475532.323906941,-475532.323906941,1277000,-2898000,-2898000,-2898000,-8457000,0,-3.13104,-3.58398,0.2411,-0.36355,2.75794,-1.66319,0,-0.2818,-0.2818,0.07863,-1.1688,-0.46858,1.48256,1.47819
"40","2020_Q3",1.1790625,"Up",2359000,-7790000,-2387000,-5281000,-5431000,6000,5000,-5425000,-6708000,-6708000,-6708000,-6708000,-6708000,23622000,23621000,1000,2486000,2486000,1156000,1003000,27264000,737000,16133000,8982000,7151000,17686000,44950000,7054000,4957000,2097000,9351000,65534000,65534000,65979000,75330000,1003018000,-1033398000,-30380000,-30380000,44950000,-6708000,39000,476000,1062000,-5131000,0,-258000.000000002,47000,47000,16478000,11089000,11089000,11089000,-5392000,890000,-2.30225,-2.84358,0.2208,-0.14923,2.91562,-2.47959,0.0198,-0.16975,-0.16975,0.0597,-0.76878,-0.18611,4.21588,4.1856
"41","2020_Q4",3.00171875,"Up",2743000,-7453000,-2613000,-4705000,-4710000,3000,3000,-4707000,-5974000,-5974000,-5974000,-5974000,-5974000,23555000,23555000,20284195.2449313,2744000,2744000,2003000,2003000,28302000,696000,15900000,8982000,6918000,17412000,45714000,7059000,4323000,2736000,9123000,64531000,64531000,65199000,74322000,1010764000,-1039372000,-28608000,-28608000,45714000,-5974000,52000,824000,-779000,-5877000,-4000,-162000,3229000,3229000,5820000,-219000,-219000,-219000,-4658000,890000,-1.7171,-2.17791,0.20882,-0.13068,3.10227,-2.59794,0.01947,-0.10925,-0.10925,0.05016,-0.52317,-0.16228,4.86582,4.8121
"42","2021_Q1",10.4555737704918,"Up",3024000,-8765000,-3538000,-5609000,-6275000,5000.00000000003,5000,-6270000,-7517000,-7517000,-7517000,-7517000,-7517000,168494000,129610000,38884000,3043000,3043000,1215000,1215000,172752000,663000,16379000,8982000,7397000,31606000,204358000,7791000,4166000,3625000,10079000,63275000,63275000,63609000,73688000,1177562000,-1046889000,130670000,130670000,204358000,-7517000,28000,1071000,703000,-5715000,-53449000,-53469000,5685000,5685000,165239000,106055000,106055000,106055000,-6247000,891000,-2.07507,-2.48578,-0.05753,-0.03678,17.1398,0.56392,0.00436,-0.11384,-0.11384,0.0458,1.97898,-0.03858,26.82936,26.70964
"43","2021_Q2",11.2957142857143,"Up",2189000,-10880000,-4123000,-6757000,-8800000,46000,46000,-8754000,-9927000,-9927000,-9927000,-9927000,-9927000,156413000,111031000,45382000,2183000,2183000,3266000,3266000,161862000,620000,16174000,8982000,7192000,28731000,190593000,5491000,3429000,2062000,6991000,61687000,61687000,61687000,68678000,1178740000,-1056816000,121915000,121915000,190593000,-9927000,43000,1476000,-4771000,-13179000,-4071000,-4071000,79000,79000,-1329000,-18579000,-18579000,-18579000,-8757000,891000,-4.0201,-4.53495,-0.08143,-0.05208,23.15291,0.56333,0.00467,-0.10848,-0.10848,0.02392,1.33229,-0.05381,17.75974,17.67295
"44","2021_Q3",7.8075,"Down",2286000,-12820000,-4067000,-8753000,-10650000,948000,58000,-9702000,-10838000,-10838000,-10838000,-10838000,-10838000,152570000,75026000,77544000,2379000,2379000,1583000,1583000,156532000,580000,15969000,8982000,6987000,24661000,181193000,7234000,4051000,3183000,7866000,60853000,60853000,60853000,68719000,1180131000,-1067654000,112474000,112474000,181193000,-10838000,41000,1052000,3086000,-6659000,-28771000,-28771000,116000,116000,-575000,-36005000,-36005000,-36005000,-10609000,1.16415321826935e-10,-4.65879,-4.74103,-0.09636,-0.05981,19.89982,0.61098,0,-0.11844,-0.11844,0.02498,1.22912,-0.06253,14.38119,14.32582
"45","2021_Q4",5.94546875,"Down",3039000,-12936000,-4334000,-8602000,-10048000,54000,54000,-9994000,-11051000,-11051000,-11051000,-11051000,-11051000,128904000,53020000,75884000,2959000,2959000,3088000,3088000,134951000,543000,15670000,8982000,6688000,37135000,172086000,8816000,3506000,5310000,9473000,59704000,59704000,59704000,69177000,1181617000,-1078705000,102909000,102909000,172086000,-11051000,36000,2058000,-653000,-9610000,-11530000,-11530000,22000,22000,-956000,-22096000,-22096000,-22096000,-10012000,0,-3.30635,-3.63639,-0.10739,-0.06422,14.24586,0.67222,0,-0.12071,-0.12071,0.03319,1.12404,-0.06796,12.87495,12.82882
"46","2022_Q1",3.19145161290323,"Down",3135000,-15545000,-4773000,-10772000,-12567000,52999.9999999999,53000,-12514000,-13620000,-13620000,-13620000,-13620000,-13620000,115884000,40014000,75870000,3224000,3224000,3267000,3267000,122375000,505000,15457000,8982000,6475000,39926000,162301000,12756000,6417000,6339000,13438000,58156000,58156000,58156000,71594000,1183141000,-1092325000,90707000,90707000,162301000,-13620000,38000,2069000,3342000,-8171000,-3523000,-3523000,83000.0000000001,83000.0000000001,-1312000,-13006000,-13006000,-13006000,-12529000,-2.91038304567337e-11,-4.00861,-4.3445,-0.15015,-0.08392,9.10664,0.78929,0,-0.14845,-0.14845,0.03417,0.98865,-0.09149,9.24926,9.22129
"47","2022_Q2",1.04241935483871,"Down",2057000,-17108000,-5673000,-11435000,-15133000,80000,80000,-15053000,-16109000,-16109000,-16109000,-16109000,-16109000,120653000,18468000,102185000,2060000,2060000,3426000,3426000,126139000,479000,14121000,8982000,5139000,14600000,140739000,8867000,4281000,4586000,9691000,55074000,55074000,55074000,64765000,1184859000,-1108434000,75974000,75974000,140739000,-16109000,36000,2319000,-3061000,-16815000,-3072000,-3083000,235580.3549536,235580.3549536,-1648000,-21546000,-21546000,-21546000,-15097000,0,-7.35683,-7.83131,-0.21203,-0.11446,13.0161,0.85246,0,-0.17578,-0.17578,0.02245,0.829,-0.12292,7.99185,7.97284
"48","2022_Q3",1.008125,"Down",2393000,-17412000,-5089000,-12323000,-15061000,162000,162000,-14899000,-15940000,-15940000,-15940000,-15940000,-15940000,107200000,34008000,73192000,2395000,2395000,3801000,3801000,113396000,789000,14649000,8982000,5667000,15438000,128834000,11086000,5511000,5575000,12151000,54638000,54638000,54638000,66789000,1186974000,-1124374000,62045000,62045000,128834000,-15940000,44000,2475000,1289000,-12132000,28693000,28340000,149000,149000,-759000,15449000,15449000,15449000,-15017000,-1.81898940354586e-12,-6.29377,-6.66109,-0.25691,-0.12373,9.33224,1.07646,0,-0.17392,-0.17392,0.02611,0.67697,-0.13661,7.13858,7.11772
