"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q2",16.001746031746,"Up",4.799e+09,-2.583e+09,2.216e+09,-1.546e+09,-1.546e+09,6.7e+08,1.1e+07,-1e+06,1.2e+07,6.81e+08,6.81e+08,-1.68e+08,5.13e+08,5.13e+08,5.13e+08,5.13e+08,3629800000,2260600000,1369200000,2835300000,2835300000,2288400000,853400000,639300000,9606900000,1980800000,1602900000,471200000,194900000,936800000,3583700000,13190600000,2.751e+09,961900000,145700000,1643400000,101800000,94700000,7100000,2852800000,443200000,803600000,803600000,1246800000,4099600000,3018400000,5827700000,244300000,9090700000,9090700000,13190300000,5.13e+08,7.9e+07,7.5e+07,4.2e+07,7.09e+08,-8e+07,-2.21e+08,-3.1e+07,-3.32e+08,-1.21e+08,-2.7e+07,3.2e+07,-2.42e+08,-3.58e+08,1.9e+07,1.9e+07,-4.9e+07,-3e+07,7.49e+08,5.45e+08,8.79e+08,0.46176,0.13961,0.1069,0.05643,0.03889,1.71345,3.36753,0.45097,0.04132,0.264,0.26088,2.46964,4.67806,0.45235,0.06227,0.06073,0.0842,0.23587,-4.11856,-4.60418
"2","2010_Q3",15.8928125,"Down",4.405e+09,-2.445e+09,1.96e+09,-1.479e+09,-1.479e+09,4.81e+08,1e+07,-2e+06,1.2e+07,4.91e+08,4.91e+08,-1.16e+08,3.75e+08,3.75e+08,3.75e+08,3.75e+08,4.01e+09,2035200000,1974800000,2716500000,2716500000,2176300000,862800000,642800000,9765600000,2023900000,1568900000,472500000,196200000,900200000,3592800000,13358400000,2687600000,1008700000,81200000,1597700000,110700000,103100000,7600000,2798300000,459600000,876100000,876100000,1335700000,4.134e+09,3188600000,5879200000,1.56e+08,9224100000,9224100000,13358100000,3.75e+08,8e+07,7.5e+07,1.38e+08,6.68e+08,-8.4e+07,-6.1e+08,-3.9e+07,-7.33e+08,-1.22e+08,-2e+06,-4.6e+07,2.2e+07,-1.48e+08,-2.13e+08,-2.13e+08,-1.3e+07,-2.26e+08,5.61e+08,570300000,7.31e+08,0.44495,0.10919,0.08513,0.04065,0.02807,1.94933,3.48983,0.44817,0.04269,0.19243,0.18924,2.26037,4.73307,0.3751,0.0626,0.04658,0.0685,0.32533,-6.13137,-7.15114
"3","2010_Q4",18.435625,"Up",4.733e+09,-2.515e+09,2.218e+09,-1.563e+09,-1.563e+09,6.55e+08,7e+06,-1e+06,8e+06,6.62e+08,6.62e+08,-1.65e+08,4.97e+08,4.97e+08,4.97e+08,4.97e+08,4038900000,2225200000,1813700000,2833800000,2833800000,2150300000,1.065e+09,843300000,1.0088e+10,1962600000,1525700000,4.68e+08,190700000,8.67e+08,3488300000,13576300000,2730400000,994700000,8.8e+07,1647700000,116300000,108800000,7500000,2846700000,451900000,848500000,848500000,1300400000,4147100000,3275100000,5919100000,234400000,9428900000,9428900000,1.3576e+10,4.97e+08,8.1e+07,8.4e+07,-1.5e+08,5.12e+08,-6.6e+07,1.53e+08,1.4e+07,1.01e+08,-1.32e+08,-2e+06,-2.89e+08,2e+07,-4.03e+08,2.1e+08,2.1e+08,-2e+07,1.9e+08,7.36e+08,568200000,6.85e+08,0.46862,0.13839,0.10501,0.05271,0.03661,1.37827,3.54375,0.43983,0.04185,0.2565,0.25208,2.44271,4.86612,0.35353,0.06813,0.05799,0.06316,0.26559,-4.71562,-5.29878
"4","2011_Q1",18.4474193548387,"Up",5.077e+09,-2.671e+09,2.406e+09,-1.738e+09,-1.738e+09,6.68e+08,1.5e+07,-2e+06,1.7e+07,6.83e+08,6.83e+08,-1.61e+08,5.22e+08,5.22e+08,5.22e+08,5.22e+08,5.146e+09,3.079e+09,2.067e+09,2.65e+09,2.65e+09,2.041e+09,1.122e+09,8.73e+08,1.0959e+10,1.932e+09,1.528e+09,4.67e+08,1.88e+08,8.73e+08,3.46e+09,1.4419e+10,3.218e+09,1.255e+09,5.9e+07,1.904e+09,1.46e+08,1.39e+08,7e+06,3.364e+09,4.46e+08,8.55e+08,8.55e+08,1.301e+09,4.665e+09,3.441e+09,6.095e+09,2.15e+08,9.751e+09,9.751e+09,1.4416e+10,5.22e+08,8.4e+07,5e+06,6.64e+08,1.275e+09,-9.5e+07,-2.59e+08,5e+07,-3.04e+08,-1.3e+08,-1e+06,-73999999.9999999,5.3e+07,-1.52e+08,8.19e+08,8.19e+08,3.5e+07,8.54e+08,7.52e+08,5.92e+08,1.482e+09,0.4739,0.13157,0.10282,0.05353,0.0362,2.83908,3.25773,0.47841,0.04106,0.26929,0.26326,2.61917,5.03044,0.76455,0.06707,0.05821,0.13231,0.24904,-6.05585,-6.81737
"5","2011_Q2",18.0319047619048,"Down",5.175e+09,-2.741e+09,2.434e+09,-1.673e+09,-1.673e+09,7.61e+08,-6e+06,1e+06,-7e+06,7.55e+08,7.55e+08,-1.96e+08,5.59e+08,5.59e+08,5.59e+08,5.59e+08,4.688e+09,2.01e+09,2.678e+09,2.791e+09,2.791e+09,2.21e+09,8.42e+08,5.83e+08,1.0531e+10,1.975e+09,1.545e+09,4.7e+08,1.92e+08,8.83e+08,3.52e+09,1.4051e+10,2.901e+09,1.101e+09,1.04e+08,1.696e+09,2.41e+08,1.09e+08,1.32e+08,3.142e+09,3.42e+08,9.07e+08,9.07e+08,1.249e+09,4.391e+09,3.508e+09,6.011e+09,1.38e+08,9.657e+09,9.657e+09,1.4048e+10,5.59e+08,7.8e+07,5e+06,-4.3e+08,2.12e+08,-8.9e+07,-6.14e+08,1.9e+07,-6.84e+08,-1.31e+08,-2e+06,-4.41e+08,-2.6e+07,-6e+08,-1.072e+09,-1.072e+09,3e+06,-1.069e+09,8.39e+08,5.83e+08,5.16e+08,0.47034,0.14705,0.10802,0.05789,0.03978,0.92308,3.35169,0.4547,0.04149,0.29139,0.28602,2.69756,5.03388,0.26897,0.06829,0.06188,0.04628,0.23435,-4.89273,-5.39422
"6","2011_Q3",19.25328125,"Up",4.842e+09,-2.649e+09,2.193e+09,-1.611e+09,-1.611e+09,5.82e+08,2.7e+07,-1e+06,2.8e+07,6.09e+08,6.09e+08,-1.52e+08,4.57e+08,4.57e+08,4.57e+08,4.57e+08,4.789e+09,1.768e+09,3.021e+09,2.792e+09,2.792e+09,2.348e+09,9.87e+08,7.2e+08,1.0916e+10,2.003e+09,1.545e+09,4.69e+08,1.92e+08,8.84e+08,3.548e+09,1.4464e+10,2.988e+09,1.225e+09,7.8e+07,1.685e+09,2.6e+08,1.28e+08,1.32e+08,3.248e+09,3.38e+08,9.29e+08,9.29e+08,1.267e+09,4.515e+09,3.752e+09,6.043e+09,1.51e+08,9.946e+09,9.946e+09,1.4461e+10,4.57e+08,8.3e+07,5.6e+07,-1.61e+08,4.35e+08,-1.02e+08,-3.5e+08,-3.5e+07,-4.87e+08,-1.29e+08,-2e+06,-1.16e+08,5.1e+07,-1.96e+08,-2.48e+08,-2.48e+08,6e+06,-2.42e+08,6.65e+08,5.98e+08,5.54e+08,0.45291,0.1202,0.09438,0.04595,0.0316,1.21225,3.36084,0.45395,0.04134,0.23902,0.23402,2.53243,5.20188,0.28975,0.06747,0.05106,0.04827,0.28228,-6.30226,-7.20103
"7","2011_Q4",20.7844444444444,"Up",5.079e+09,-2.752e+09,2.327e+09,-1.637e+09,-1.637e+09,6.9e+08,1.7e+07,0,1.7e+07,7.07e+08,7.07e+08,-1.84e+08,5.23e+08,5.23e+08,5.23e+08,5.23e+08,4.465e+09,2.132e+09,2.333e+09,2.985e+09,2.985e+09,2.536e+09,7.99e+08,5.13e+08,1.0785e+10,2.057e+09,1.636e+09,4.72e+08,1.94e+08,9.7e+08,3.693e+09,1.4478e+10,3.005e+09,1.147e+09,1.13e+08,1.745e+09,3.37e+08,1.39e+08,1.98e+08,3.342e+09,2.76e+08,9.58e+08,9.58e+08,1.234e+09,4.576e+09,3.839e+09,5.954e+09,1.06e+08,9.899e+09,9.899e+09,1.4475e+10,5.23e+08,8.8e+07,-4.2e+07,-2.46e+08,3.23e+08,-1.11e+08,6.82e+08,-2e+06,5.69e+08,-1.48e+08,-2e+06,-4.16e+08,2.4e+07,-5.42e+08,3.5e+08,3.5e+08,1.4e+07,3.64e+08,7.78e+08,6.13e+08,6.05e+08,0.45816,0.13585,0.10297,0.05283,0.03612,1.15679,3.22711,0.46227,0.04234,0.27515,0.26887,2.67203,5.20781,0.31829,0.07786,0.05849,0.05273,0.28298,-4.95116,-5.58261
"8","2012_Q1",23.4151612903226,"Up",5.021e+09,-2.773e+09,2.248e+09,-1.44e+09,-1.44e+09,8.08e+08,-1.7e+07,-4e+06,-1.3e+07,7.91e+08,7.91e+08,-1.58e+08,6.33e+08,5.94e+08,5.94e+08,5.94e+08,4.538e+09,1.955e+09,2.583e+09,3.138e+09,3.138e+09,2.715e+09,9.06e+08,5.94e+08,1.1297e+10,2.115e+09,1.586e+09,4.87e+08,2.05e+08,8.94e+08,3.701e+09,1.4998e+10,3.571e+09,1.469e+09,1.17e+08,1.985e+09,3.87e+08,1.87e+08,2e+08,3.958e+09,2.76e+08,9.21e+08,9.21e+08,1.197e+09,5.155e+09,3.944e+09,5.801e+09,9.5e+07,9.84e+09,9.84e+09,1.4995e+10,5.94e+08,8.6e+07,3.3e+07,1.29e+08,8.42e+08,-1.29e+08,-2.55e+08,-3.5e+07,-4.19e+08,-1.47e+08,-2e+06,-5.41e+08,5.6e+07,-6.34e+08,-2.11e+08,-2.11e+08,3.4e+07,-1.77e+08,8.94e+08,6.63e+08,1.052e+09,0.44772,0.16092,0.1183,0.06037,0.03961,1.77104,2.85422,0.52388,0.04421,0.31636,0.3097,2.67416,5.24073,0.56029,0.07829,0.06485,0.09206,0.24747,-4.33445,-4.79579
"9","2012_Q2",23.828253968254,"Up",6.081e+09,-3.388e+09,2.693e+09,-1.823e+09,-1.823e+09,8.7e+08,-1.8e+07,0,-1.8e+07,8.52e+08,8.52e+08,-2.07e+08,6.45e+08,6.45e+08,6.45e+08,6.45e+08,3.7e+09,1.608e+09,2.092e+09,3.279e+09,3.279e+09,3.107e+09,9.53e+08,6.38e+08,1.1039e+10,2.166e+09,1.598e+09,5.36e+08,2.04e+08,8.58e+08,3.764e+09,1.4803e+10,3.48e+09,1.421e+09,9.1e+07,1.968e+09,2.8e+08,1.64e+08,1.16e+08,3.76e+09,2.38e+08,9.06e+08,9.06e+08,1.144e+09,4.904e+09,4.138e+09,5.653e+09,1.05e+08,9.896e+09,9.896e+09,1.48e+10,6.45e+08,8.6e+07,5.4e+07,-6.98e+08,8.7e+07,-1.13e+08,4.84e+08,-5.4e+07,3.17e+08,-1.45e+08,-1.32e+08,-4.79e+08,1.2e+07,-7.44e+08,-3.4e+08,-3.4e+08,-7e+06,-3.47e+08,9.56e+08,5.18e+08,3.52e+08,0.44285,0.14307,0.10607,0.06518,0.04357,0.54574,2.9359,0.49555,0.03499,0.34677,0.33997,3.26935,5.32043,0.18925,0.07796,0.06977,0.03109,0.22481,-3.32845,-3.65747
"10","2012_Q3",21.371746031746,"Down",5.358e+09,-3.057e+09,2.301e+09,-1.638e+09,-1.638e+09,6.63e+08,-1.2e+07,-3e+06,-9e+06,6.51e+08,6.51e+08,-1.55e+08,4.96e+08,4.69e+08,4.69e+08,4.69e+08,3.365e+09,1.929e+09,1.436e+09,3.103e+09,3.103e+09,3.164e+09,1.093e+09,7.95e+08,1.0725e+10,2.177e+09,1.663e+09,5.32e+08,2.01e+08,9.3e+08,3.84e+09,1.4565e+10,3.326e+09,1.411e+09,8.1e+07,1.834e+09,2.37e+08,1.23e+08,1.14e+08,3.563e+09,2.34e+08,9.25e+08,9.25e+08,1.159e+09,4.722e+09,4.335e+09,5.29e+09,2.15e+08,9.84e+09,9.84e+09,1.4562e+10,4.69e+08,9.2e+07,2.6e+07,-7.7e+07,5.1e+08,-1.45e+08,6.51e+08,8999999.99999999,5.15e+08,-1.44e+08,-2000000.00000001,-5.62e+08,-2000000.00000001,-7.1e+08,3.15e+08,3.15e+08,6e+06,3.21e+08,7.55e+08,4.71e+08,6.88e+08,0.42945,0.12374,0.08753,0.04766,0.0322,1.46695,3.0101,0.47988,0.03234,0.25534,0.25021,2.91703,5.35714,0.37456,0.0784,0.05454,0.06122,0.30704,-3.83311,-4.36501
