"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"1","2010_Q2",35.6292063492063,"Up",1.904e+09,-1.163e+09,7.41e+08,-4.68e+08,2.73e+08,-2.6e+07,-3.3e+07,7e+06,2.47e+08,2.47e+08,-6.1e+07,1.86e+08,1.86e+08,-8e+06,1.78e+08,1.78e+08,7.34e+08,4.22e+08,3.12e+08,1.983e+09,1.983e+09,1.1551e+10,1.1551e+10,1.4268e+10,4.52e+08,4.52e+08,7.931e+09,7.7e+08,5.887e+09,1.274e+09,8.691e+09,2.2959e+10,1.2358e+10,1.1089e+10,8.4e+07,3.34e+08,3.34e+08,1.2776e+10,2.013e+09,2.713e+09,1.77e+09,9.43e+08,4.726e+09,1.7502e+10,5.402e+09,5.5e+07,5.457e+09,2.2959e+10,1.86e+08,1.06e+08,6.6e+07,-1.2e+07,5.2e+07,1.75e+08,1.75e+08,4.67e+08,-3.3e+07,-3.3e+07,-4.7e+07,-2.43e+08,-3.23e+08,-4.1e+07,2.5e+07,3.5e+07,3.5e+07,-5e+06,1.4e+07,1.58e+08,1.58e+08,4.7e+07,2.05e+08,2.097e+09,0.38918,0.14338,0.09349,0.03262,0.00775,1.11678,3.20726,0.09134,0.64516,0.62809,6.90105,19.57956,0.1486,-82.2589200702581,0.02133,0.23034,4.99267
"2","2010_Q3",32.7265625,"Down",1.898e+09,-1.169e+09,7.29e+08,-4.61e+08,2.68e+08,-2.4e+07,-2.9e+07,5e+06,2.44e+08,2.44e+08,-6e+07,1.84e+08,1.58e+08,-5e+06,1.53e+08,1.53e+08,7.34e+08,2.6e+08,4.74e+08,1.994e+09,1.994e+09,1.2769e+10,1.2769e+10,1.5497e+10,4.5e+08,4.5e+08,7.708e+09,7.53e+08,5.71e+09,1.245e+09,8.459e+09,2.3956e+10,1.3418e+10,1.2226e+10,3.7e+08,3.5e+08,3.5e+08,1.4138e+10,1.601e+09,2.739e+09,1.716e+09,1.023e+09,4.34e+09,1.8478e+10,5.428e+09,5e+07,5.478e+09,2.3956e+10,1.58e+08,1.52e+08,5.7e+07,-4e+06,9.9e+07,1.06e+08,1.06e+08,4.16e+08,-3.8e+07,-3.8e+07,-8000000.00000012,-4.07e+08,-4.53e+08,-4.1e+07,-1.27e+08,4.6e+07,4.6e+07,-6e+06,-1.28e+08,-1.65e+08,-1.65e+08,3e+06,-1.62e+08,1.971e+09,0.38409,0.1412,0.08061,0.02793,0.00639,1.09612,3.37313,0.08228,0.54957,0.5414,6.81753,19.49713,0.14727,-37.271424037471,0.01904,0.26797,4.61567
"3","2010_Q4",36.57359375,"Up",1.801e+09,-1.05e+09,7.51e+08,-4.88e+08,2.63e+08,-5.5e+07,-4.6e+07,-9e+06,2.08e+08,2.08e+08,-6.1e+07,1.47e+08,1.47e+08,-3e+06,1.44e+08,1.44e+08,2.449e+09,3.35e+08,2.114e+09,2.086e+09,2.086e+09,1.0077e+10,1.0077e+10,1.4612e+10,4.68e+08,4.68e+08,7.977e+09,7.54e+08,5.976e+09,1.247e+09,8.746e+09,2.3358e+10,1.0826e+10,9.545e+09,6.1e+08,3.83e+08,3.83e+08,1.1819e+10,3.146e+09,2.549e+09,1.673e+09,8.76e+08,5.695e+09,1.7514e+10,5.792e+09,5.2e+07,5.844e+09,2.3358e+10,1.47e+08,1.4e+08,4.3e+07,2.9e+07,6.8e+07,-3.76e+08,-3.76e+08,-8.9e+07,-4.4e+07,-4.4e+07,-2.5e+07,-1.443e+09,-1.512e+09,-4.1e+07,1.726e+09,1.7e+07,1.7e+07,-1e+07,1.692e+09,9.1e+07,9.1e+07,-1.6e+07,7.5e+07,3.756e+09,0.41699,0.14603,0.07996,0.02464,0.00616,1.23631,2.99692,0.1608,0.51668,0.51028,6.46215,20.7822,0.14711,-9.85178401405162,0.01523,0.28472,4.96958
"4","2011_Q1",43.1582258064516,"Up",2.909e+09,-1.715e+09,1.194e+09,-7.54e+08,4.4e+08,-8e+07,-5.9e+07,-2.1e+07,3.6e+08,3.6e+08,-1.18e+08,2.42e+08,2.41e+08,-1e+07,2.31e+08,2.31e+08,1.131e+09,3.46e+08,7.85e+08,2.701e+09,2.701e+09,1.0687e+10,1.0687e+10,1.4519e+10,7.81e+08,7.81e+08,1.337e+10,3.611e+09,8.647e+09,8.07e+08,1.4463e+10,2.8982e+10,1.1873e+10,1.0063e+10,4.92e+08,5.84e+08,5.84e+08,1.2949e+10,4.014e+09,3.713e+09,1.896e+09,1.154e+09,7.727e+09,2.0676e+10,8.251e+09,5.5e+07,8.306e+09,2.8982e+10,2.41e+08,2.47e+08,5.5e+07,6.3e+07,1.29e+08,-4.99e+08,-4.99e+08,-1.1e+07,-6.5e+07,-6.5e+07,-1.998e+09,1.812e+09,-2.51e+08,-5.2e+07,2.15e+08,9.6e+07,9.6e+07,-1.4e+07,2.45e+08,-1.7e+07,-1.7e+07,2.8e+07,11000000.0000001,4.506e+09,0.41045,0.15125,0.07941,0.02781,0.00797,1.12124,2.48928,0.15548,0.67821,0.67112,8.54081,24.2249,0.15267,4,0.01713,0.22511,7.67045
"5","2011_Q2",45.6836507936508,"Up",2.759e+09,-1.597e+09,1.162e+09,-7.64e+08,3.98e+08,-4.2e+07,-5.7e+07,1.5e+07,3.56e+08,3.56e+08,-1.03e+08,2.53e+08,2.55e+08,-9e+06,2.46e+08,2.46e+08,1.271e+09,6.82e+08,5.89e+08,2.65e+09,2.65e+09,1.129e+10,1.129e+10,1.5211e+10,7.91e+08,7.91e+08,1.3482e+10,3.547e+09,8.895e+09,1.04e+09,1.4591e+10,2.9802e+10,1.2153e+10,1.0609e+10,5.02e+08,6.04e+08,6.04e+08,1.3259e+10,4.409e+09,3.647e+09,1.849e+09,1.798e+09,8.056e+09,2.1315e+10,8.423e+09,6.4e+07,8.487e+09,2.9802e+10,2.55e+08,2.29e+08,7.4e+07,1.1e+07,1.44e+08,-3.29e+08,-3.29e+08,1.55e+08,-5.6e+07,-5.6e+07,-3e+06,2.29e+08,1.7e+08,-5.1e+07,0,8.5e+07,8.5e+07,-798224.304135276,3.4e+07,3.59e+08,3.59e+08,-2.3e+07,3.36e+08,4.911e+09,0.42117,0.14426,0.08916,0.02899,0.00825,1.14722,2.51149,0.16479,0.72481,0.71222,8.12905,24.81732,0.15027,8.28392800468387,0.01742,0.20732,9.14573
"6","2011_Q3",40.8634375,"Down",2.811e+09,-1.612e+09,1.199e+09,-7.59e+08,4.4e+08,-8.8e+07,-5.9e+07,-2.9e+07,3.52e+08,3.52e+08,-8.7e+07,2.65e+08,2.67e+08,-9e+06,2.58e+08,2.58e+08,8.15e+08,3e+08,5.15e+08,2.785e+09,2.785e+09,1.2331e+10,1.2331e+10,1.5931e+10,7.98e+08,7.98e+08,1.3518e+10,3.484e+09,8.975e+09,1.059e+09,1.4565e+10,3.0496e+10,1.3317e+10,1.176e+10,5.2e+07,6.18e+08,6.18e+08,1.3987e+10,4.479e+09,3.565e+09,1.773e+09,1.792e+09,8.044e+09,2.2031e+10,8.398e+09,6.7e+07,8.465e+09,3.0496e+10,2.67e+08,1.98e+08,4.7e+07,6000000.00000001,1.45e+08,-2.01e+08,-2.01e+08,2.64e+08,-4.3e+07,-4.3e+07,-83999999.9999998,1.37e+08,1e+07,-4.9e+07,-6.88e+08,7.7e+07,7.7e+07,-6e+06,-6.66e+08,-3.92e+08,-3.92e+08,9999999.99999999,-3.82e+08,4.531e+09,0.42654,0.15653,0.09178,0.03048,0.00846,1.13899,2.6026,0.14858,0.76399,0.75285,8.32396,24.86823,0.1451,7,0.01854,0.18992,8.44545
"7","2011_Q4",40.8550793650794,"Down",2.723e+09,-1.634e+09,1.089e+09,-7.61e+08,3.28e+08,-3.6e+07,-5.6e+07,2e+07,2.92e+08,2.92e+08,-8.4e+07,2.08e+08,2.08e+08,-1e+07,1.98e+08,1.98e+08,9.02e+08,2.95e+08,6.07e+08,2.745e+09,2.745e+09,1.0853e+10,1.0853e+10,1.45e+10,7.73e+08,7.73e+08,1.3218e+10,3.361e+09,8.835e+09,1.022e+09,1.4245e+10,2.8745e+10,1.1926e+10,1.0315e+10,1.63e+08,6.76e+08,6.76e+08,1.2765e+10,4.415e+09,3.286e+09,1.543e+09,1.743e+09,7.701e+09,2.0466e+10,8.233e+09,4.6e+07,8.279e+09,2.8745e+10,2.08e+08,1.88e+08,5.8e+07,-1.4e+07,1.44e+08,-2.8e+07,-2.8e+07,3.68e+08,-5.2e+07,-5.2e+07,-6e+06,-1.15e+08,-1.73e+08,-5e+07,-9.1e+07,3e+06,3e+06,-3.9e+07,-1.77e+08,1.8e+07,1.8e+07,-2.3e+07,-5e+06,4.578e+09,0.39993,0.12046,0.07271,0.02392,0.00689,1.13592,2.47204,0.15926,0.59531,0.58771,8.18701,24.75346,0.15033,5,0.01536,0.25253,11.20732
"8","2012_Q1",42.5698387096774,"Up",2.994e+09,-1.724e+09,1.27e+09,-8.4e+08,4.3e+08,-4.2e+07,-5.5e+07,1.3e+07,3.88e+08,3.88e+08,-1.04e+08,2.84e+08,2.8e+08,-3e+06,2.77e+08,2.77e+08,1.057e+09,2.72e+08,7.85e+08,3.183e+09,3.183e+09,1.1265e+10,1.1265e+10,1.5505e+10,7.83e+08,7.83e+08,1.3025e+10,3.276e+09,8.77e+09,7.21e+08,1.4047e+10,2.9552e+10,1.267e+10,1.0838e+10,3.37e+08,7.53e+08,7.53e+08,1.376e+10,4.155e+09,3.517e+09,2.192e+09,1.024e+09,7.672e+09,2.1432e+10,8.078e+09,4.2e+07,8.12e+09,2.9552e+10,2.8e+08,3.42e+08,5.6e+07,1.43e+08,1.43e+08,-3.91e+08,-3.91e+08,2.31e+08,-9e+07,-9e+07,-4e+06,-9.9e+07,-1.93e+08,-5e+07,-6.4e+07,3.6e+07,3.6e+07,-9e+06,-86999999.9999999,-4.9e+07,-4.9e+07,2.6e+07,-22999999.9999999,4.492e+09,0.42418,0.14362,0.09252,0.03411,0.00937,1.12682,2.63941,0.152,0.83358,0.81807,9.00993,24.30936,0.15047,6,0.02027,0.18051,7.98837
"9","2012_Q2",42.6965079365079,"Up",2.841e+09,-1.661e+09,1.18e+09,-7.78e+08,4.02e+08,-5.6e+07,-5.6e+07,0,3.46e+08,3.46e+08,-9.7e+07,2.49e+08,2.49e+08,-1.1e+07,2.38e+08,2.38e+08,8.33e+08,3.23e+08,5.1e+08,3.164e+09,3.164e+09,1.221e+10,1.221e+10,1.6207e+10,8.08e+08,8.08e+08,1.3045e+10,3.203e+09,8.896e+09,9.46e+08,1.4064e+10,3.0271e+10,1.3227e+10,1.1795e+10,2.86e+08,7.39e+08,7.39e+08,1.4252e+10,4.168e+09,3.435e+09,2.072e+09,1.363e+09,7.603e+09,2.1855e+10,8.358e+09,5.8e+07,8.416e+09,3.0271e+10,2.49e+08,2.3e+08,5.5e+07,1.6e+07,1.59e+08,-4.94e+08,-4.94e+08,-1.5e+07,-7.1e+07,-7.1e+07,-2.3e+07,3.16e+08,2.22e+08,-4.9e+07,-1.65e+08,4.9e+07,4.9e+07,-1e+06,-1.66e+08,4.1e+07,4.1e+07,1e+07,5.1e+07,4.454e+09,0.41535,0.1415,0.08377,0.02828,0.00786,1.13717,2.59684,0.14714,0.716,0.70707,8.54693,25.1444,0.14741,3,0.0176,0.20588,9.00746
"10","2012_Q3",45.2171428571429,"Up",2.821e+09,-1.639e+09,1.182e+09,-7.88e+08,3.94e+08,-4.3e+07,-5.5e+07,1.2e+07,3.51e+08,3.51e+08,-9.6e+07,2.55e+08,2.54e+08,-8e+06,2.46e+08,2.46e+08,8.02e+08,2.86e+08,5.16e+08,3.075e+09,3.075e+09,1.3179e+10,1.3179e+10,1.7056e+10,7.97e+08,7.97e+08,1.2754e+10,3.106e+09,8.713e+09,9.35e+08,1.3751e+10,3.0807e+10,1.4075e+10,1.2736e+10,3.92e+08,7.33e+08,7.33e+08,1.52e+10,4.098e+09,3.299e+09,1.967e+09,1.332e+09,7.397e+09,2.2597e+10,8.152e+09,5.8e+07,8.21e+09,3.0807e+10,2.54e+08,2.18e+08,5e+07,7000000.00000001,1.61e+08,-1.88e+08,-1.88e+08,2.84e+08,-5.8e+07,-5.8e+07,-5.8e+07,-13000000.0000001,-1.29e+08,-5.3e+07,-1.58e+08,1.5e+07,1.5e+07,-4e+06,-2e+08,-4.5e+07,-4.5e+07,8e+06,-3.7e+07,4.49e+09,0.419,0.13967,0.0872,0.02996,0.00799,1.12211,2.75238,0.14575,0.74096,0.73302,8.49699,24.55422,0.15964,5,0.01869,0.21545,9.36041
