"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","prepaid_pension_costs","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",29.3878125,"Up",739800000,-567800000,1.72e+08,-125200000,-125200000,46800000,13300000,-3900000,13200000,4e+06,60100000,45100000,-20500000,24600000,24600000,24600000,24600000,455373815.221745,455373815.221745,183134564.908561,386403222.35139,-67486274.2440464,4044856.22283823,-9846554.20250441,957425328.23765,829726470.341134,1331306088.6909,561841407.107296,326976034.342637,273385279.918904,159271466.051436,2161032559.03203,3118457887.26968,363357576.770863,289324366.032658,19404179.5910603,82317815.13157,436671755.311431,852751173.207684,627715961.07193,420158907.191513,145055267.277696,129739761.218389,77819269.948061,1480467134.27961,1917138889.59105,1398364048.63078,60218949.9356458,-251340435.288765,1201318997.67864,1201318997.67864,3118457887.26968,24600000,48500000,2800000,9200000,85100000,-20100000,13500000,-6600000,-12700000,3400000,0,-9300000,69200000,69200000,13100000,82300000,95300000,0,104900000,0.2325,0.06326,0.03325,0.00452313854400037,0.00335312615354291,4.26423,2.30254318361257,1.73279120922273,0.302466424172049,0.42708,0.42341,12.84375,19.0025034407967,1.82118,0.775511323183954,0.0502491936237144,15.2642267813193,-1812.10189363787
"2","2011_Q1",35.1761290322581,"Up",504300000,-406400000,97900000,-98700000,-98700000,-8e+05,-1400000,-9400000,6400000,1600000,-2200000,-31600000,14700000,-16900000,-2.1e+07,-2.1e+07,-2.1e+07,315800000,315800000,229500000,398500000,76900000,20700000,35300000,1020700000,854900000,1046800000,556100000,130700000,188600000,126400000,1901700000,2922400000,345200000,340300000,4900000,35300000,382900000,839600000,609100000,4.8e+08,202100000,58800000,70300000,1448700000,1831600000,1451800000,-35300000,-325700000,1090800000,1090800000,2922400000,-2.1e+07,38400000,-37300000,70400000,50500000,-25500000,-1.3e+07,-38500000,428800000,6300000,-1.8e+07,-381500000,-369500000,-369500000,3100000,-366400000,37600000,874900000,67800000,0.19413,-0.00158999999999999,-0.04164,-0.01925,-0.00719,-3.22857,2.66571,1.67913,0.29938,-0.36207,-0.35897,8.69483,18.8069,1.16897,0.302,0.02633,14.86968,-698.875
"3","2011_Q2",37.205873015873,"Up",685200000,-524500000,160700000,-120100000,-120100000,40600000,1900000,-14800000,16400000,3e+05,42500000,37600000,-24100000,13500000,13500000,13500000,13500000,270675394.926085,270675394.926085,276913478.363813,420365592.549537,114137091.414682,26076714.5923873,51565518.0675015,1082091557.25412,858991176.552955,1003572970.43637,553444530.964235,104982988.552454,175754906.693699,117559511.316188,1862564146.98932,2944655704.24344,351755807.743046,372125211.322447,-1947507.75463621,13027394.9561433,369384414.89619,833624608.930772,630103012.976023,497388697.602829,219498244.240768,62128412.9272035,70585243.3506463,1463727621.9068,1833112036.80298,1472653650.45641,-34539649.9785486,-328544854.903745,1111543667.44045,1111543667.44045,2944655704.24344,13500000,31900000,-1700000,-79800000,-36100000,-19100000,11300000,-7800000,-26500000,1300000,-7700000,-32900000,-76800000,-76800000,5400000,-71400000,72500000,0,-2300000,0.23453,0.05925,0.0197,-0.000756879514666787,-0.000446875384514302,-0.17037,2.85710643879581,1.60707459692576,0.287549525275984,0.23236,0.22959,11.79346,19.5408430197344,-0.03959,0.0782587256053487,0.0263352687920952,10.7525402395602,-156.745266287376
"4","2011_Q3",31.82546875,"Down",748600000,-563900000,184700000,-122200000,-122200000,62500000,1100000,-11500000,12600000,0,63600000,61200000,-23300000,37900000,37900000,37900000,37900000,304600000,304600000,309100000,437900000,9.6e+07,24900000,50200000,1147600000,855600000,1067900000,551900000,156700000,194700000,119600000,1923500000,3071100000,385400000,385400000,-3083343.67284827,8099999.99999999,395900000,838200000,664800000,490200000,214100000,99800000,74800000,1.503e+09,1898900000,1462300000,16100000,-306200000,1172200000,1172200000,3071100000,37900000,29900000,-7200000,7600000.00000001,68200000,-30200000,15300000,-14900000,-2200000.00000006,5500000,-1e+05,3200000,56500000,56500000,3700000,60199999.9999999,92400000,846300000,93100000,0.24673,0.08349,0.05063,0.03233,0.01234,2.45646,2.89871,1.61995,0.27557,0.65458,0.66259,12.92919,20.24525,1.60794,0.01412,0.0347,5.86255,8.66720000000009
"5","2011_Q4",33.1014285714286,"Up",666300000,-489500000,176800000,-100400000,-100400000,76400000,5700000,-11300000,15400000,1600000,82100000,81400000,-29800000,51600000,52500000,52500000,52500000,376900000,376900000,294300000,426700000,85700000,22500000,41900000,1183600000,8.61e+08,1073500000,548500000,169500000,195400000,114900000,1934500000,3118100000,378700000,378700000,-452507.754636204,12900000,3.94e+08,830600000,681200000,478300000,204400000,124100000,78800000,1511800000,1905800000,1465100000,68600000,-321400000,1212300000,1212300000,3118100000,52500000,2.7e+07,13100000,5200000,97800000,-39100000,19400000,-19700000,-2800000,4e+05,-1e+05,-2500000,75600000,75600000,-3300000,72300000,103400000,843500000,99300000,0.26535,0.11466,0.07879,0.04331,0.01684,1.89143,3.00406,1.57205,0.27052,0.89134,0.86921,11.31239,20.58234,1.68591,0.01918,0.03628,4.51257,6.10733
"6","2012_Q1",41.3898387096774,"Up",6.23e+08,-497300000,125700000,-111300000,-111300000,14400000,2e+05,-10900000,10500000,6e+05,14600000,13600000,-3800000,9800000,8500000,8500000,8500000,480600000,480600000,221400000,376100000,131200000,23400000,38100000,1209300000,887900000,897500000,541600000,5.8e+07,1.41e+08,91800000,1785400000,2994700000,357300000,353300000,4e+06,20100000,386200000,822900000,655400000,478900000,206700000,97700000,78800000,1478300000,1864500000,1468100000,77100000,-4.15e+08,1130200000,1130200000,2994700000,8500000,2.5e+07,-17600000,53900000,69800000,-56700000,89600000,32900000,3200000,5e+05,0,3400000,106100000,106100000,-2400000,103700000,39400000,8.43e+08,40400000,0.20177,0.02311,0.01364,0.00752,0.00284,4.75294,3.13128,1.64971,0.2815,0.1458,0.14456,10.68611,19.38593,0.69297,0.00335,0.01537,9.19797,25.16667
"7","2012_Q2",44.1852380952381,"Up",6.36e+08,-4.96e+08,1.4e+08,-110700000,-110700000,29300000,3200000,-11200000,13600000,8e+05,32500000,32300000,-13300000,1.9e+07,18200000,18200000,18200000,683300000,683300000,269800000,403300000,111900000,23400000,48600000,1468300000,906900000,886900000,541700000,67100000,1.37e+08,97800000,1793800000,3262100000,858900000,342700000,8500000,29300000,890600000,1062800000,651700000,4.74e+08,206400000,98300000,79400000,1714500000,2605100000,1066600000,44012349.3779089,-409600000,6.57e+08,6.57e+08,3262100000,18200000,34200000,1300000,-86600000,-32900000,-34400000,18700000,-15700000,2.49e+08,8300000,-7600000,249600000,2.01e+08,2.01e+08,1700000,202700000,63500000,1092100000,-44200000,0.22013,0.04607,0.02862,0.0277,0.00558,-2.42857,1.64866,3.96514,0.33478,0.31058,0.30795,10.85324,11.2116,-0.75427,0.00762,-0.01841,6.4378,13.95222
"8","2012_Q3",42.8679365079365,"Down",675400000,-504800000,170600000,-107900000,-107900000,62700000,899999.999999999,-14400000,14900000,4e+05,63600000,63600000,-21400000,42200000,41800000,41800000,41800000,217300000,217300000,281300000,403400000,91500000,23400000,46800000,993500000,918400000,891500000,5.38e+08,76100000,135900000,98200000,1809900000,2803400000,363800000,347900000,1.1e+07,41100000,407300000,1054500000,646100000,460100000,1.95e+08,96900000,89100000,1700600000,2107900000,1071400000,41800000,-417700000,695500000,695500000,2803400000,41800000,26100000,2600000,-7600000,62900000,-4.3e+07,16100000,-26900000,3900000.00000003,1e+06,-500000.000000001,-498700000,-462700000,-462700000,-3300000,-4.66e+08,88800000,1095600000,59600000,0.25259,0.09283,0.06189,0.0601,0.01491,1.42584,2.43923,3.03077,0.39081,0.71088,0.70252,11.48639,11.82823,1.01361,0.22358,0.02445,9.89077,14.00797
"9","2012_Q4",47.0766129032258,"Up",694700000,-507800000,186900000,-9.4e+07,-9.4e+07,92900000,1800000,-14100000,15500000,4e+05,94700000,94900000,-20900000,7.4e+07,62900000,62900000,62900000,298600000,298600000,2.55e+08,380700000,115900000,15100000,40900000,1050200000,937600000,897400000,532100000,85200000,136700000,100100000,1.835e+09,2885200000,357900000,3.45e+08,8100000,36200000,404700000,1046300000,661500000,461600000,198400000,109600000,90300000,1707800000,2112500000,1075500000,104700000,-407500000,772700000,772700000,2885200000,62900000,25400000,-24500000,47300000,111100000,-33900000,14800000,-19100000,-13400000,1e+05,0,-13600000,78400000,78400000,2900000,81300000,118300000,1082500000,152600000,0.26904,0.13373,0.09054,0.0814,0.0218,2.42607,2.59501,2.73392,0.37519,1.0661,1.05537,11.77458,13.09661,2.58644,0.02511,0.06063,6.62637,8.43811
"10","2013_Q1",51.9485,"Up",422600000,-326200000,96400000,-52300000,-52300000,44100000,-299999.999999999,-13900000,11900000,1700000,43800000,43800000,-20400000,23400000,8400000,8400000,8400000,336400000,336400000,204600000,369800000,109100000,16900000,42300000,1019900000,1.005e+09,829400000,527700000,39600000,133500000,93500000,1834400000,2854300000,350400000,346300000,4100000,3.3e+07,384700000,1.038e+09,712500000,496400000,247900000,129500000,86600000,1750500000,2135200000,1077400000,113100000,-471400000,719100000,719100000,2854300000,8400000,2.7e+07,1.6e+07,27500000,78900000,-70900000,40700000,-30200000,-10200000,2800000,-4.65661287307739e-10,-1.1e+07,37700000,37700000,99999.9999999991,37800000,71100000,1.071e+09,48100000,0.22811,0.10435,0.01988,0.01168,0.00294,5.72619,2.65116,2.96927,0.37522,0.14189,0.14047,7.13851,12.14696,0.8125,0.00480000000000001,0.01922,10.33193,16.6576
