"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",8.18453125,"Up",3411000,-16789000,-3364000,-13425000,-13378000,490000,490000,-12888000,-12888000,-12888000,-12888000,-12888000,-12888000,1012990661.98379,1012990661.98379,-40447197.7744231,-40447197.7744231,-10082910.805038,-8518468.58103976,-1564442.22399823,957513830.076347,22765970.3226118,-2366960.36879261,-2366960.36879261,20399009.9538192,977912840.030166,11477029.7801061,13821697.7817836,-2344668.00167751,-11841283.9342195,-11861974.3421798,-364254.154113363,-85935638.7577335,-85935638.7577336,-85923242.9221992,-86287497.0763125,1665942135.93921,-601741798.832729,1064200337.10648,1064200337.10648,977912840.030166,0,-3.92202,-3.77836,-0.327219731997376,-0.616072668947216,77.4987535901136,-6.51928229069295,4.22895712652393e-05,-0.18969,-0.18969,0.0502,12.1490914233284,-0.62994289085489,-730.062479360247
"2","2011_Q2",12.1139682539683,"Up",5211000,-20313000,-4550000,-15763000,-15102000,99000,99000,-15003000,-15003000,-15003000,-15003000,-15003000,-15003000,409433887.327928,409433887.327928,-11566065.9248077,-11566065.9248077,-1604970.268346,-2139822.86034659,534852.592000589,395866610.025449,16037656.7742039,1247346.5437358,1247346.5437358,17285003.3179397,413151613.343389,8789009.92670204,5955565.92726121,2833443.99944083,-55761.3114064969,-62658.1140599456,8733248.61529555,10858120.4140888,10858120.4140888,10862252.3592669,19595500.9745625,871060711.979736,-477504599.61091,393556112.368826,393556112.368826,413151613.343389,0,-2.8981,-2.8791,-0.180426577332459,-0.236254222982405,32.0802311967045,-1.52830409689765,1.40965237550798e-05,-0.22042,-0.22042,0.07656,4.66692380777615,-0.244350963618297,-187.839356453416
"3","2011_Q4",12.2142857142857,"Up",2536000,-22002000,-4841000,-17161000,-19466000,-17000,-17000,-19483000,-19483000,-19483000,-19483000,-19483000,-19483000,179765000,179765000,1000,1000,2696000,1279000,1417000,183609000,12805000,2690000,2690000,15495000,199104000,9371000,2850000,6521000,3848000,3848000,13219000,62114000,62114000,62114000,75333000,573891000,-450120000,123771000,123771000,199104000,0,-7.67587,-7.68257,-0.15741,-0.09785,13.88978,0.60865,0,-0.25513,-0.25513,0.03321,1.6208,-0.10481,9.23482
"4","2012_Q2",13.9080952380952,"Up",3252000,-21954000,-5021000,-16933000,-18702000,33000,33000,-18669000,-18669000,-18669000,-18669000,-18669000,-18669000,175260000,175260000,1430000,1430000,4191000,2588000,1603000,181812000,11751000,2765000,2765000,14516000,196328000,11601000,2635000,8966000,3197000,3197000,14798000,80600000,80600000,80600000,95398000,582472000,-481542000,100930000,100930000,196328000,0,-5.75092,-5.74077,-0.18497,-0.09509,12.28625,0.94519,0,-0.24258,-0.24258,0.04226,1.31144,-0.10284,9.37119
"5","2012_Q4",12.8472580645161,"Down",4091000,-29339000,-5639000,-23700000,-25248000,56000,56000,-25192000,-25192000,-25192000,-25192000,-25192000,-25192000,233614000,233614000,853000,853000,4184000,2419000,1765000,238821000,11442000,2405000,2405000,13847000,252668000,14052000,3216000,10836000,1376000,1376000,15428000,79928000,79928000,79928000,95356000,686460000,-529148000,157312000,157312000,252668000,0,-6.1716,-6.15791,-0.16014,-0.0997,15.47971,0.60616,0,-0.30224,-0.30224,0.04908,1.88737,-0.10619,9.25277
"6","2013_Q2",16.20609375,"Up",25001000,-26313000,-4995000,-21318000,-1312000,-39000,-39000,-1351000,-1351000,-1351000,-1351000,-1351000,-1351000,206103000,206103000,5446000,5446000,4046000,1622000,2424000,215707000,10561000,2414000,2414000,12975000,228682000,15102000,2723000,12379000,1712000,1712000,16814000,72866000,72866000,72866000,89680000,693894000,-554892000,139002000,139002000,228682000,-9.09494701772928e-13,-0.0524799999999992,-0.0540399999999996,-0.00972000000000001,-0.00591,12.82901,0.64517,0,-0.01603,-0.01603,0.29665,1.64931,-0.00638000000000001,157.0907
"7","2013_Q4",15.36828125,"Down",17218000,-28555000,-6526000,-22029000,-11337000,111000,111000,-11226000,-11226000,-11226000,-11226000,-11226000,-11226000,174838000,174838000,5789000,5789000,5438000,3140000,2298000,187736000,10173000,2115000,2115000,12288000,200024000,14281000,3122000,11159000,2260000,2260000,16541000,64042000,64042000,64042000,80583000,707434000,-587993000,119441000,119441000,200024000,0,-0.65844,-0.65199,-0.09399,-0.05612,11.34974,0.67467,0,-0.13206,-0.13206,0.20254,1.40502,-0.06118,15.42189
"8","2014_Q2",12.551746031746,"Down",6875000,-44320000,-6040000,-38280000,-37445000,-7000,-7000,-37452000,-37452000,-37452000,-37452000,-37452000,-37452000,164076000,164076000,36000,36000,5748000,3442000,2306000,172344000,12046000,2304000,2304000,14350000,186694000,19376000,4743000,14633000,1821000,1821000,21197000,67563000,67563000,67563000,88760000,719566000,-621632000,97934000,97934000,186694000,-1.45519152283669e-11,-5.44655,-5.44756,-0.38242,-0.20061,8.13058,0.90632,1.0842021724855e-19,-0.43709,-0.43709,0.08024,1.14297,-0.2263,4.38179
"9","2014_Q4",9.144375,"Down",13203000,-35113000,-7095000,-28018000,-21910000,-372000,-380000,-22282000,-22282000,-22282000,-22282000,-22282000,-22282000,121798000,121798000,1838000,1838000,2579000,1795000,784000,128330000,14668000,108000,108000,14776000,143106000,16075000,4957000,11118000,23699000,23699000,39774000,44361000,44361000,44361000,84135000,729384000,-670413000,58971000,58971000,143106000,0,-1.65947,-1.68765,-0.37785,-0.1557,3.22648,1.42672,0,-0.25948,-0.25948,0.15375,0.68673,-0.21564,5.55901
"10","2015_Q2",10.9831746031746,"Up",11427000,-32666000,-7e+06,-25666000,-21239000,-379000,-393000,-21618000,-21618000,-21618000,-21618000,-21618000,-21618000,111827000,111827000,754000,754000,3845000,3309000,536000,119128000,14631000,43000,43000,14674000,133802000,21832000,6322000,15510000,979999.999999993,980000,22812000,51320000,51320000,51320000,74132000,738066000,-678396000,59670000,59670000,133802000,0,-1.85867,-1.89184,-0.36229,-0.16157,5.22216,1.24237,-8.67361737988404e-19,-0.25114,-0.25114,0.13275,0.69319,-0.19477,5.26517
