"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2017_Q2",19.074126984127,"Down",2055000,-40263000,-7462000,-32801000,-38208000,553000,553000,-37655000,-37655000,-37655000,-37655000,-37655000,-37655000,243103000,40518000,2093000,2093000,5811000,5018000,251007000,17376000,1360000,1360000,23714000,274721000,19472000,1515000,17957000,7080000,4261000,2819000,26552000,13531000,8979000,4552000,13531000,40083000,565116000,-330370000,234638000,234638000,274721000,-37655000,1978000,3461000,-3115000.00000001,-35331000,-1492000,-1492000,-1492000,-8357000,108000.000000002,107999.999999998,107999.999999998,-43580000,-43580000,-43580000,-36230000,0,-18.5927,-18.3236,-0.16048,-0.13707,9.45341,0.17083,0,-1.07714,-1.07714,0.05878,6.71195,-0.15173,6.70999,6.36262
"15","2017_Q3",17.3212698412698,"Down",1665000,-42845000,-8384000,-34461000,-41180000,525000,525000,-40655000,-40655000,-40655000,-40655000,-40655000,-40655000,243660000,116627000,1991000,1991000,4463000,4008000,250114000,23179000,1553000,1553000,24732000,274846000,24407000,2088000,22319000,5482000,3202000,2280000,29889000,13609000,9238000,4371000,13609000,43498000,602452000,-371024000,231348000,231348000,274846000,-40655000,2003000,3602000,4295000,-30755000,-7303000,-7303000,-7303000,73130000,33734000,33734000,33734000,76109000,76109000,76109000,-39177000,0,-24.73273,-24.41742,-0.17573,-0.14792,8.3681,0.18802,0,-1.1361,-1.1361,0.04653,6.46498,-0.16597,6.21947,5.91695
"16","2017_Q4",18.6669841269841,"Up",1663000,-49387000,-8403000,-40984000,-47724000,681000,681000,-47043000,-47043000,-47043000,-47043000,-47043000,-47043000,203647000,90884000,2194000,2194000,3625000,3261000,209466000,30838000,1541000,1541000,32379000,241845000,27181000,1680000,25501000,5257000,3202000,2055000,32438000,19942000,8438000,11504000,19942000,52380000,607559000,-418067000,189465000,189465000,241845000,-47043000,1905000,4001000,9783000,-31354000,-9850000,-9850000,-9850000,4464000,1146999.99999999,1147000,1147000,-25743000,-25743000,-25743000,-45819000,0,-28.69753,-28.28803,-0.24829,-0.19452,6.45743,0.27646,0,-1.27906,-1.27906,0.04522,5.1514,-0.22465,4.4446,4.26718
"17","2018_Q1",24.2891803278689,"Up",152359000,-47390000,-8404000,-38986000,104969000,758000,758000,105727000,105727000,105727000,105727000,105727000,105727000,305121000,211727000,13643000,13643000,3534000,3151000,322298000,49983000,1602000,1602000,51585000,373883000,41032000,2451000,38581000,8723000,7202000,1521000,49755000,24890000,13637000,11253000,24890000,74645000,611639000,-312340000,299238000,299238000,373883000,105727000,1342000,3680000,1096000,111845000,-10758000,-10758000,-10758000,8639000,359000,399000,359000,120843000,120843000,120843000,106311000,0,0.68896,0.69393,0.35332,0.28278,6.4777,0.24945,0,2.8685,2.8685,4.13368,8.11868,0.32619,-2.87008,-2.90677
"18","2018_Q2",22.5240625,"Down",4695000.00000006,-54905000,-9235000,-45670000,-50210000,674000,674000,-49536000,-49536000,-49536000,-49536000,-49536000,-49536000,260081000,200448000,7281000,7281000,3677000,3328000,271039000,53443000,1596000,1596000,55039000,326078000,40755000,10266000,30489000,9201000,8121000,1080000,49956000,28846000,17762000,11084000,28846000,78802000,615654000,-368355000,247276000,247276000,326078000,-49536000,1338000,3432000,13471000,-31295000,-14519000,-14519000,-14519000,19387000,628999.999999996,629000,628999.999999996,-11279000,-11279000,-11279000,-48872000,0,-10.69436,-10.5508,-0.20033,-0.15191,5.42555,0.31868,0,-1.34111,-1.34111,0.127109999999999,6.69461,-0.1794,5.32168,5.17986
"19","2018_Q3",21.3180952380952,"Down",18834000,-63148000,-11134000,-52014000,-44314000,1070000,1070000,-43244000,-43244000,-43244000,-43244000,-43244000,-43244000,300894000,238661000,17836000,17836000,3324000,3173000,322054000,57491000,7346000,7346000,64837000,386891000,38948000,1767000,37181000,9079000,7999000,1080000,48027000,26828000,15948000,10880000,26828000,74855000,723618000,-411599000,312036000,312036000,386891000,-43244000,1202000,4163000,-19852000,-57731000,-5504000,-5504000,-5504000,-7811000,103755000,103755000,103755000,38213000,38213000,38213000,-43112000,0,-2.35287,-2.29606,-0.13859,-0.11177,6.70569,0.23989,0,-1.02586,-1.02586,0.44679,7.40232,-0.12761,6.97936,6.79004
"20","2018_Q4",16.7706349206349,"Down",20798000,-55802000,-9584000,-46218000,-35004000,975000,975000,-34029000,-34029000,-34029000,-34029000,-34029000,-34029000,260143000,201807000,20970000,20970000,4529000,4315000,285642000,58649000,11065000,11065000,69714000,355356000,39463000,986000,38477000,8562000,7377000,1185000,48025000,24687000,14134000,10553000,24687000,72712000,728271000,-445627000,282644000,282644000,355356000,-34029000,2728000,4573000,-10252000,-36980000,-4216000,-4216000,-4216000,-6000,131999.999999985,131999.99999997,132000.000000015,-36854000,-36854000,-36854000,-32276000,0,-1.68305,-1.63617,-0.1204,-0.09576,5.94778,0.25726,0,-0.80562,-0.80562,0.49238,6.69149,-0.11072,8.05995,7.43181
"21","2019_Q1",17.2852459016393,"Up",15794000,-57472000,-10547000,-46925000,-41678000,-2966000,-2966000,-44644000,-44644000,-44644000,-44644000,-44644000,-44644000,232863000,220128000,29583000,29583000,6678000,6678000,269124000,56712000,6294000,6294000,63006000,332130000,37201000,4005000,33196000,22739000,21721000,1018000,59940000,29313000,19001000,10312000,29313000,89253000,733151000,-490271000,242877000,242877000,332130000,-44644000,3892000,3471000,10053000,-27228000,-715000,-715000,-715000,45074000,475000,735000,475000,18321000,18321000,18321000,-37786000,0,-2.63885,-2.82664,-0.18381,-0.13442,4.48989,0.36748,0,-1.05363,-1.05363,0.37275,5.73207,-0.16402,6.16268,5.58719
"22","2019_Q2",17.1760317460317,"Down",9662000,-57279000,-10219000,-47060000,-47617000,2600000,2600000,-45017000,-45017000,-45017000,-45017000,-45017000,-45017000,320391000,238641000,6115000,6115000,8527000,8309000,335033000,54818000,24787000,24787000,79605000,414638000,29777000,925000,28852000,21994000,18085000,3909000,51771000,42250000,17207000,25043000,42250000,94021000,855905000,-535288000,320617000,320617000,414638000,-45017000,2903000,3799000,8315000,-3e+07,-1675000,-1675000,-1675000,-70492000,119005000,119005000,119005000,18513000,18513000,18513000,-44714000,0,-4.92828,-4.65918,-0.14041,-0.10857,6.47144,0.29325,0,-0.98707,-0.98707,0.21186,7.03005,-0.12406,7.16534,6.7285
"23","2019_Q3",14.40234375,"Down",10593000,-63562000,-12122000,-51440000,-52969000,21202000,21202000,-31767000,-31767000,-31767000,-31767000,-31767000,-31767000,272136000,180316000,5613000,5613000,9848000,9616000,287597000,52295000,43785000,43785000,96080000,383677000,31267000,857000,30410000,18268000,14449000,3819000,49535000,39691000,15413000,24278000,39691000,89226000,861472000,-567055000,294451000,294451000,383677000,-31767000,3278000,4186000,-24535000,-48838000,-587000,-587000,-587000,-10120000,633000,633000,633000,-58325000,-58325000,-58325000,-49691000,0,-5.00038,-2.99887,-0.10789,-0.0828,5.80594,0.30302,0,-0.65012,-0.65012,0.21679,6.02604,-0.09507,5.47657,5.13765
"24","2019_Q4",9.89921875,"Down",18741000,-56685000,-11833000,-44852000,-37944000,-6687000,-6687000,-44631000,-44631000,-44631000,-44631000,-44631000,-44631000,254416000,156593000,9503000,9503000,12314000,12019000,276233000,49966000,25252000,25252000,75218000,351451000,30932000,2543000,28389000,26702000,23571000,3131000,57634000,38619000,10037000,28582000,38619000,96253000,866861000,-611686000,255198000,255198000,351451000,-44631000,3057000,4977000,19209000,-17388000,-780000,-780000,-780000,-6371999.99999999,37000,36999.9999999851,37000.0000000149,-23723000,-23723000,-23723000,-34887000,0,-2.02465,-2.38146,-0.17489,-0.12699,4.79288,0.37717,0,-0.91231,-0.91231,0.38309,5.21652,-0.1519,7.29257,6.70504
