"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",3.34609375,"Down",516428.370773179,-85906.5902183955,430521.780554783,-66944,-66944,-222726.605184697,-66944,-55587,0,-122531,-122531,-122531,29951,29951,29951,1355071.54724794,1355071.54724794,-1693816.8409639,-1693816.8409639,14425945.003283,27099895.4618206,14618032.3330801,-842983.624697016,2739901.48371735,-95170.0486508003,2771118.60703348,17389150.9401136,30307206.1951082,1860922.17309958,33151935.1452728,23158713.9222624,109451829.444868,-115221392.427016,-5769562.98214878,-5769562.98214878,17389150.9401136,29951,29909,0,351666,411526,45143.6639584504,0,0,-4701630.10334443,-4701630.10334443,0,411526,20269,20269,-37035,0,0.839889291697755,-0.54547375550035,15.4109160357381,37.5225064863678,2146.61506831467,4.23422506969129,-15.2918838303498,-7.25215564741351,0.02688,0.02688,0.628235167229594,-3.36970519271324,-11.1353746816115,4.29522556878911,4.27195547754269
"2","2011_Q2",1.72238095238095,"Down",485856,-203756,282100,-1053541,-985119,-54711,-771441,-2923.99999999999,-2924,-774365,-774365,-774365,-774365,-774365,-774365,395455.182415979,395455.182415979,-708335.42048195,-708335.42048195,7986686.20196978,14432329.2770924,4071130.77769337,-512066.77481821,778080.827905782,-71215.0291904802,791041.535677828,4862172.3133712,8435329.3983694,528170.057699859,9305454.04842428,6711508.97408746,32416729.1482892,-34266065.8090055,-1849336.66071626,-1849336.66071626,4862172.3133712,-774365,13711,55191.9999999999,-55275,-760737,-10913,-10913,267244,1e+05,1e+05,367244,-404406,-404406,-404406,-757730,0,0.58062,-1.5878,-1.59382,12.5602921621226,453.758652771556,1.1980916898971,-5.09321127678325,-1.9219852158045,-0.695,-0.695,0.43606,-1.13805506423775,-1.09754822720382,1.14152518959637,1.13528849251423
"3","2011_Q3",0.90375,"Down",508303,-238976,269327,-1320141,-1200411,-106019,-1050814,-11977,-11745,-1062791,-1066381,-1066381,-1066381,-1066381,-1066381,3456,3456,-192974.14016065,-192974.14016065,3844406.60098489,6462848.6385462,3456,-263379.887409105,1997,-39273.5145952401,1997,5453,146631,2500,356631,356631,1677896,-2029074,-351178,-351178,5453,-1066381,13711,61303,189585,-801782,-15040,-275707,530211,607000,607000,1137211,59722,59722,59722,-1037103,0,0.52986,-2.0673,-2.09792,3.03658,-195.55859,0.00969,-1.01553,0,-0.92421,-0.92421,0.44054,-0.30436,3.03658,0.00333,0.00329
"4","2011_Q4",40.8888888888889,"Up",539572,-241688,297884,-1742114,-1633180,-95223,-1444230,-28175,-11670,-1472405,-1486765,-1486765,-1486765,-1486765,-1486765,4238.00000000003,4238.00000000003,2100,2100,1533428.2003283,2160932.54618206,6338,-87060.9624697016,999,-3500.50486508003,999,7337.00000000023,72046,15182,437046,437046,1677896,-2107605,-429709,-429709,7337.00000000023,-1486765,13711,80692.9999999998,-127109,-1519470,-2813,247773,1347386,0,0,1347386,75688.9999999999,75689,75689,-1430519,0,0.55207,-2.67662,-2.75545,3.45993,-202.63936,0.0145,-1.01707,0,-1.27235,-1.27235,0.46176,-0.36774,3.45993,0.00296000000000002,0.00293000000000003
"5","2012_Q1",107.548387096774,"Up",554446,-262692,291754,-2452487,-2587487,148712,-2160733,-53071,-5428,-2213804,-9585854,-9585854,-9585854,-9585854,-9585854,126421,126421,26720,26720,588073,496060,1237274,26752,174695,31949,201447,1438721,2484832,306511,3150579,3150579,15281220,-16993078,-1711858,-1711858,1438721,-9585854,13712,7244560,442975,-1884607,-8870,1211,838623,1017250,1017250,1855873,-27523,-27523,-27523,-2147021,0,0.52621,-3.8971,-17.28907,5.59968,-6.66276,0.39271,-1.84044,0,-6.12605,-6.12605,0.35433,-1.094,5.59968,0.05888,0.05851
"6","2012_Q2",132.333333333333,"Up",721692,-336124,385568,-3253589,-2827050,-411961,-2868021,-113718,-11745,-2981739,-13289603,-13289603,-13289603,-13289603,-13289603,195169,195169,112052,112052,542663,437710,1287594,87921,112434,62920,200355,1487949,2015924,607757,2628810,4840196,26930434,-30282681,-3352247,-3352247,1487949,-13289603,14578,10516857,306183,-2451985,-44487,-44487,2399221,165999,165999,2565220,68748,68748,68748,-2853443,2211386,0.53426,-3.97402,-18.41451,3.96439,-8.93149000000002,0.4898,-1.44387,1.4862,-7.85844,-7.85844,0.42675,-1.98226,11.64875,-0.70659,-0.703
"7","2012_Q3",164.607142857143,"Up",819150,-372370,446780,-4421362,-3573485,-833342,-3974582,-1158952,-10191,-5133534,-11850038,-11850038,-11850038,-11850038,-11850038,1327013,1327013,407929,407929,820241,899810,3454993,107405,1315343,100003,1422748,4877741,1004870,692132,2487943,5582146,41428314,-42132719,-704405,-704405,4877741,-11850038,14535,8304549,333500,-3197454,-71101,-71101,4400399,0,0,4400399,1131844,1131844,1131844,-3960047,3094203,0.54542,-4.85208,-14.46626,16.82276,-2.42941,1.38869,-7.92463,0.63435,-6.87761,-6.87761,0.47542,-0.40883,-4.95859,-0.44625,-0.44462
"8","2012_Q4",131.790322580645,"Down",1036456,-306843,729613,-4640201,-2739359,-1886003,-3910588,-145288,-10813,-4055876,-4253259,-4253259,-4253259,-4253259,-4253259,154247,154247,270262,270262,955129,851839,2231477,95066,1187995,139043,1283061,3514538,3147259,1031053,4427566,7848363,42052153,-46385978,-4333825,-4333825,3514538,-4253259,14839,892946,264246,-3081228,-41539,-41539,1800000,150001,150001,1950001,-1172766,-1172766,-1172766,-3895749,3341686,0.70395,-3.77304,-4.10366,0.98141,-1.21019,0.504,-1.81096,0.95082,-2.21587,-2.21587,0.53997,-2.25784,4.65841,-0.81818,-0.81508
"9","2013_Q1",153.134,"Up",1240715,-332776,907939,-6303171,-4929807,-1361056,-5395232,-529486,-9286,-5924718,-5727335,-5727335,-5727335,-5727335,-5727335,1553474,1553474,714425,714425,1615210,751938,4635047,65673,1225159,31949,1290832,5925879,1641366,1641366,3619772,7359007,50680185,-52113313,-1433128,-1433128,5925879,-5727335,12308,1206642,501726,-4006659,-115379,-115379,-2249220,7770485,7770485,5521265,1399227,1399227,1399227,-5382924,3589167,0.73179,-4.34849,-4.61616,3.99639,-0.9665,1.28048,-5.13493,0.60568,-2.86813,-2.86813,0.62132,-0.71768,-2.48355,-0.37818,-0.37731
"10","2013_Q2",127.6953125,"Down",1537195,-380346,1156849,-6099740,-4526582,-1565201,-4942891,-1168775,-2944,-6111666,-6375653,-6375653,-6375653,-6375653,-6375653,38779563,38779563,602824,602824,1337870,2175520,42895777,83875,1212722,31949,1296597,44192374,1862406,1840811,4249697,4249697,98431643,-58488966,39942677,39942677,44192374,-6375653,7957,2112742,746272,-3508682,-103854,-103854,-4591847,45430472,45430472,40838625,37226089,37226089,37226089,-4934934,0,0.75257,-3.21553,-4.14759,-0.15962,-0.14427,10.09384,0.10639,0,-3.09339,-3.09339,0.74583,19.37969,-0.159619999999999,7.85817,7.84552
