"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q4",12.55765625,"Down",521554000,-399932000,121622000,-107277000,-94694000,-12583000,14345000,-30000,-30000,14315000,0,14315000,-5665000,8650000,8650000,8650000,8650000,174620000,174620000,188477000,188477000,531788000,30309000,3438000,925194000,104733000,509371000,200753000,274070000,34548000,614104000,1539298000,682994000,492200000,190794000,682994000,71463000,784841000,784841000,856304000,1539298000,0,0,0,0,0,1539298000,8650000,12583000,-4215000,-84080000,-67062000,-10501000,1545000,-8956000,48387000,0,0,-2278000,-78296000,-78296000,-78296000,26928000,71463000,-61988000,0.23319,0.0275,0.01659,1.54511860466873,0.00562,-7.16624,1.35462,-27.7761435950051,0.04643,0.22223,0.22187,13.39964,0,-1.59258,0.0101,-0.07239,-3.83085,-7.19115
"2","2016_Q1",10.0162295081967,"Down",274001000,-172871000,101130000,-100825000,-87951000,-12874000,305000,-161000,-161000,144000,0,144000,-400000.000000007,-256000,-256000,-256000,-256000,44816000,44816000,76551000,76551000,344974000,4625000,4625000,470966000,107557000,512145000,198190000,274070000,39885000,619702000,1090668000,252778000,155203000,97575000,252778000,41733000,796157000,796157000,837890000,1090668000,0,0,0,0,0,1090668000,-256000,12874000,4888000,-120300000,-102794000,-13345000,-5337000,-18682000,0,0,0,3824000,-117652000,-117652000,-117652000,13179000,41733000,-120066000,0.36909,0.00110999999999998,-0.00092999999999998,0.730574302334363,-0.000230000000000001,469.00781,1.86316,-11.5574267975026,0.03826,-0.00640999999999994,-0.00639999999999996,6.8598,-8.88178419700125e-16,-3.00593,-0.000310000000000003,-0.1433,-0.233930000000001,-10.1082
"3","2016_Q2",9.4909375,"Down",238983000,-187439000,51544000,-99784000,-86684000,-13100000,-48240000,-3000,-3000,-48243000,0,-48243000,21325000,-26918000,-26918000,-26918000,-26918000,8887000,8887000,35461000,35461000,774407000,7623000,7623000,826378000,108783000,514435000,195627000,274070000,44738000,623218000,1449596000,658433000,596786000,61647000,658433000,49772000,741391000,741391000,791163000,1449596000,0,0,0,0,0,1449596000,-26918000,13100000,9059000,14314000,9555000,-11763000,-4853000,-16616000,0,0,0,-28868000,-35929000,-35929000,-35929000,-35140000,49772000,-53914000,0.21568,-0.20186,-0.11264,0.260878100778121,-0.01857,2.0029,1.25507,-2.71623226583419,0.03434,-0.64979,-0.64979,5.76891,0,-1.30145,-0.03402,-0.06815,-1.16349,-0.84753
"4","2016_Q3",11.03234375,"Up",755864000,-580743000,175121000,-115608000,-102439000,-13169000,59513000,-554000,-554000,58959000,0,58959000,-25558000,33401000,33401000,33401000,33401000,88649000,88649000,91383000,91383000,514869000,6304000,6304000,701205000,110949000,513518000,193113000,274070000,46335000,624467000,1325672000,486852000,349440000,137412000,486852000,39557000,69585000,69585000,109142000,595994000,696298000,-20999.9999999998,33401000,729678000,729678000,1325672000,33401000,13169000,-8005000,33361000,71926000,-12778000,1441000,-11337000,4.65661287307739e-10,-21000.0000000002,-21000,19173000,79762000,79762000,79762000,72682000,39557000,118823000,0.23168,0.07874,0.04419,0.04577,0.0252,3.55747000000001,1.44028,0.81679,0.02984,0.69288,0.68698,15.67987,15.13666,2.4649,0.03982,0.14165,-0.67544,-0.8249
"5","2016_Q4",10.5587301587302,"Down",518423000,-397783000,120640000,-110317000,-96434000,-13081000,10323000,-711000,-711000,9612000,-12761000,-3149000,-454000,-3603000,-3603000,-3603000,-3603000,108162000,108162000,183133000,183133000,608246000,5754000,5754000,905295000,113504000,498254000,190549000,274070000,33635000,611758000,1517053000,688639000,488984000,199655000,688639000,39831000,69937000,69937000,109768000,798407000,698145000,-9297000,29798000,718646000,718646000,1517053000,-3603000,13081000,14622000,16514000,40614000,-13122000,1297000,-11825000,0,-9276000,-9276000,-9276000,19513000,19513000,19513000,23404000,39831000,27250000,0.23271,0.01991,-0.00695,-0.00500999999999999,-0.00237,-7.56314,1.31461,1.11099,0.02626,-0.07492,-0.07433,10.78049,14.94408,0.56666,-0.00435,0.03289,-2.91963,-6.6193
"6","2017_Q1",10.1795161290323,"Down",294759000,-187365000,107394000,-103550000,-88614000,-13340000,3844000,-604000,-604000,3240000.00000001,-8056000,-4815999.99999999,2020000,-2796000,-2796000,-2796000,-2796000,28568000,28568000,50924000,50924000,360507000,6453000,6453000,446452000,111185000,514046000,199663000,280911000,33472000,625231000,1071683000,258052000,152175000,105877000,258052000,29865000,75380000,75380000,105245000,363297000,699999000,-18615000,27002000,708386000,708386000,1071683000,-2796000,13340000,-2507000,-47049000,-39012000,-13127000,-15839000,-28966000,9.31322574615479e-10,-9318000,-9318000,-9318000,-77296000,-77296000,-77296000,17184000,29865000,-45012000,0.36435,0.01304,-0.00948999999999999,-0.00395,-0.00261,16.09871,1.73009,0.51285,0.02787,-0.0592,-0.0589900000000002,6.2408,14.99833,-0.95302,-0.00343999999999999,-0.05532,0.0754800000000011,0.337409999999998
"7","2017_Q2",10.0190476190476,"Down",239237000,-191824000,47413000,-98385000,-83937000,-12921000,-50972000,-666000,-666000,-51638000,-1790000,-53428000,25512000,-27916000,-27916000,-27916000,-27916000,8906000,8906000,38898000,38898000,731856000,8614000,8614000,788274000,107347000,517848000,197508000,281337000,39003000,625195000,1413469000,602112000,560163000,41949000,602112000,60636000,74976000,74976000,135612000,737724000,701880000,-25221000,-914000,675745000,675745000,1413469000,-27916000,12921000,7415000,-17628000,-25208000,-6183000,-6665000,-12848000,2.5e+07,-6606000,-6606000,18394000,-19662000,-19662000,-19662000,-38051000,60636000,-87374000,0.19818,-0.21306,-0.11669,-0.04131,-0.01975,3.12989,1.30918,1.09172,0.0429,-0.6023,-0.6023,5.16164,14.57949,-1.88513,-0.03441,-0.10769,-1.35949,-1.01487
"8","2017_Q3",7.07079365079365,"Down",770671000,-599157000,171514000,-114754000,-101123000,-12987000,56760000,-630000,-630000,56130000,0,56130000,-26841000,29289000,29289000,29289000,29289000,176578000,176578000,93250000,93250000,488042000,8083000,8083000,765953000,108499000,514138000,194562000,281350000,38226000,622637000,1388590000,580525000,439746000,140779000,580525000,25743000,75962000,75962000,101705000,682230000,704456000,-26471000,28375000,706360000,706360000,1388590000,29289000,12987000,-6172000,168433000,204537000,-11287000,672000.000000002,-10615000,-2.5e+07,-1250000,-1250000,-26250000,167672000,167672000,167672000,69747000,25743000,253734000,0.22255,0.07365,0.038,0.04146,0.02109,8.66311999999999,1.31941,0.96584,0.01854,0.63439,0.62377,16.69239,15.29944,5.49577,0.03625,0.314,-2.1626,-2.65742
"9","2017_Q4",6.61063492063492,"Down",521624000,-405699000,115925000,-110727000,-97111000,-13149000,5198000,-679000,-679000,4519000,0,4519000,-758000,3761000,3761000,3761000,3761000,132061000,132061000,178825000,178825000,561404000,8134000,8134000,880424000,107272000,512207000,191628000,281346000,39233000,619479000,1499903000,688109000,480378000,207731000,688109000,22709000,76196000,76196000,98905000,787014000,707226000,-26473000,32136000,712889000,712889000,1499903000,3761000,13149000,131000,-51368000,-34327000,-9018000,-1170000,-10188000,0,-2000,-2000,-2000,-44517000,-44517000,-44517000,18347000,22709000,-41281000,0.22224,0.00997,0.00721,0.00528,0.00251,-10.97607,1.27948,1.10398,0.01514,0.08127,0.08029,11.27178,15.40482,-0.89204,0.00463,-0.05085,-5.96021,-21.03732
"10","2018_Q1",7.04311475409836,"Up",342830000,-218621000,124209000,-119850000,-98622000,-14261000,4358999.99999999,-1489000,-1489000,2870000.00000001,0,2870000.00000001,-2643000.00000001,227000.000000007,227000.000000007,227000.000000007,227000.000000007,19003000,19003000,86040000,86040000,486890000,10698000,10698000,602631000,116613000,580588000,209885000,329467000,41236000,697201000,1299832000,313220000,192742000,120478000,413220000,76471000,96433000,96433000,172904000,586124000,709365000,-28020000,32363000,713708000,713708000,1299832000,227000.000000007,14261000,11058000,-102562000,-77016000,-8182000,-182605000,-190787000,159600000,-1547000,-1547000,155141000,-112662000,-112662000,-112662000,18620000,176471000,-89481000,0.3623,0.01271,0.000660000000000014,0.00032,0.00017,-394.18943,1.45838,0.82124,0.13576,0.00487999999999987,0.00483999999999987,7.37697,15.35748,-1.92544,0.000229999999999991,-0.0907,8.45693,36.1248
