"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"1","2010_Q4",11.5453125,"Up",8.95e+09,-6.344e+09,2.606e+09,-1.397e+09,-3.75e+08,-6.18e+08,1.209e+09,-2.77e+08,-1.32e+08,-1.45e+08,9.32e+08,3.66e+08,-3e+06,3.63e+08,3.63e+08,3.63e+08,3.63e+08,3.61e+09,2.892e+09,1.456e+09,1.456e+09,3.18e+08,1.923e+09,1.159e+09,7.307e+09,2.0307e+10,1.5574e+10,4.749e+09,9.794e+09,1.031e+09,3.5881e+10,4.3188e+10,3.737e+09,1.713e+09,2.024e+09,2.073e+09,5.575e+09,1.69e+09,3.306e+09,1.1385e+10,1.3179e+10,1.7727e+10,1.1493e+10,4.31e+09,3.0906e+10,4.2291e+10,1.3926e+10,1.3926e+10,-1.99e+08,-9.252e+09,-3.578e+09,8.97e+08,8.97e+08,4.3188e+10,5.14e+08,-9.3e+07,-8.07e+08,-9e+08,-7.01e+08,-7.01e+08,8.9e+07,-6.12e+08,-9.98e+08,-9.98e+08,-9.98e+08,1.5252e+10,0.29117,0.13508,0.04056,0.40468,0.00841,0.64181,47.14716,0.35315,0.43525,0.43112,10.73141,1.07554,0.01072,9.62945
"2","2011_Q1",10.0304838709677,"Down",7.789e+09,-6.179e+09,1.61e+09,-1.208e+09,-3.72e+08,-4.72e+08,4.02e+08,-2.43e+08,-2.19e+08,-2.4e+07,1.59e+08,2e+07,-1000000.00000001,1.9e+07,1.9e+07,1.9e+07,1.9e+07,3.61e+09,2.892e+09,1.456e+09,1.456e+09,3.18e+08,1.923e+09,1.159e+09,7.307e+09,2.0307e+10,1.5574e+10,4.749e+09,9.794e+09,1.031e+09,3.5881e+10,4.3188e+10,3.737e+09,1.713e+09,2.024e+09,2.073e+09,5.575e+09,1.69e+09,3.306e+09,1.1385e+10,1.3179e+10,1.7727e+10,1.1493e+10,4.31e+09,3.0906e+10,4.2291e+10,1.3926e+10,1.3926e+10,-1.99e+08,-9.252e+09,-3.578e+09,8.97e+08,8.97e+08,4.3188e+10,3.18e+08,-1.19e+08,-5.5e+08,-6.69e+08,-2.69e+08,-2.69e+08,7.6e+07,-1.93e+08,-5.44e+08,-5.44e+08,-5.44e+08,1.5252e+10,0.2067,0.05161,0.00244,0.02118,0.000439999999999999,0.64181,47.14716,0.35315,0.02278,0.02246,9.33933,1.07554,0.000559999999999998,28.9602
"3","2011_Q2",8.82492063492064,"Down",7.747e+09,-6.658e+09,1.089e+09,-1.174e+09,-3.76e+08,-4.29e+08,-8.5e+07,-2.97e+08,-2.21e+08,-7.6e+07,-3.82e+08,-3.89e+08,7.1e+07,-3.18e+08,-3.18e+08,-3.18e+08,-3.18e+08,3723657220.4453,3071955125.52036,1334228900.23866,1334228900.23866,315403404.549642,1946286847.95169,1194940674.10581,7319576373.18529,20318152348.3411,15615103674.8059,4767439413.83589,9.794e+09,1053654875.21563,35933256023.147,43252832396.3323,3815958460.45225,1723143187.52482,2092815272.92744,2141289946.98665,5292595256.0259,1698825358.08789,3021859462.11699,11249843663.4648,13305504549.3623,18085024740.2817,11773022827.5996,4393677319.71655,31390529289.644,42640372953.1088,13911151795.071,13911151795.071,-195997940.564519,-9345085717.84178,-3757608693.44118,612459443.223546,612459443.223546,43252832396.3323,7.88e+08,-6.6e+07,-5.1e+08,-5.76e+08,-2.15e+08,-2.15e+08,-8e+06,-2.23e+08,-1.1e+07,-1.1e+07,-1.1e+07,0,0.14057,-0.01097,-0.04105,-0.00639965509466395,-0.00087640784479501,0.650230510090478,47.8200362602421,0.357150482071649,-0.37993,-0.37993,9.25568,0.733312463537285,-0.00122905434693363,27.4862974506462
"4","2011_Q3",6.953125,"Down",9.153e+09,-7.287e+09,1.866e+09,-1.241e+09,-3.81e+08,-4.2e+08,6.25e+08,-2.54e+08,-2.33e+08,-2.1e+07,3.71e+08,1.94e+08,4e+06,1.98e+08,1.98e+08,1.98e+08,1.98e+08,3.61e+09,2.892e+09,1.456e+09,1.456e+09,3.18e+08,1.923e+09,1.159e+09,7.307e+09,2.0307e+10,1.5574e+10,4.749e+09,9.794e+09,1.031e+09,3.5881e+10,4.3188e+10,3.737e+09,1.713e+09,2.024e+09,2.073e+09,5.575e+09,1.69e+09,3.306e+09,1.1385e+10,1.3179e+10,1.7727e+10,1.1493e+10,4.31e+09,3.0906e+10,4.2291e+10,1.3926e+10,1.3926e+10,-1.99e+08,-9.252e+09,-3.578e+09,8.97e+08,8.97e+08,4.3188e+10,9.86e+08,-1.06e+08,-2.76e+08,-3.82e+08,-5.8e+08,-5.8e+08,-5e+07,-6.3e+08,-2.6e+07,-2.6e+07,-2.6e+07,1.5252e+10,0.20387,0.06828,0.02163,0.22074,0.00458,0.64181,47.14716,0.35315,0.23628,0.2346,10.92243,1.07041,0.00584,18.6272
"5","2011_Q4",7.24095238095238,"Up",9.816e+09,-7.498e+09,2.318e+09,-1.455e+09,-3.84e+08,-5.91e+08,8.63e+08,-3.08e+08,-2.29e+08,-7.9e+07,5.55e+08,5.47e+08,2e+06,5.49e+08,5.49e+08,5.49e+08,5.49e+08,3.265e+09,2.307e+09,1.816e+09,1.816e+09,3.8e+08,1.868e+09,1.067e+09,7.329e+09,2.0256e+10,1.5451e+10,4.697e+09,9.794e+09,9.6e+08,3.5707e+10,4.3036e+10,3.705e+09,1.641e+09,2.064e+09,1.937e+09,6.37e+09,1.701e+09,4.072e+09,1.2012e+10,1.2557e+10,1.7245e+10,1.125e+10,4.028e+09,2.9802e+10,4.1814e+10,1.3983e+10,1.3983e+10,-2.14e+08,-8.823e+09,-3.724e+09,1.222e+09,1.222e+09,4.3036e+10,-9.8e+07,-3.8e+07,-1.74e+08,-2.12e+08,-2.51e+08,-2.51e+08,1.3e+07,-2.38e+08,-5.48e+08,-5.48e+08,-5.48e+08,1.4494e+10,0.23615,0.08792,0.05593,0.44926,0.01276,0.61014,34.21768,0.33679,0.65513,0.65047,11.7136,1.45823,0.01666,13.01159
"6","2012_Q1",8.66516129032258,"Up",8.399e+09,-6.358e+09,2.041e+09,-1.227e+09,-3.82e+08,-4.52e+08,8.14e+08,-2.79e+08,-2.18e+08,-6.1e+07,5.35e+08,4.17e+08,8e+06,4.25e+08,4.25e+08,4.25e+08,4.25e+08,3.615e+09,2.657e+09,1.563e+09,1.563e+09,5.35e+08,2.016e+09,1.25e+09,7.729e+09,2.0223e+10,1.5547e+10,4.751e+09,9.794e+09,1.002e+09,3.577e+10,4.3499e+10,4.516e+09,1.6e+09,2.916e+09,2.262e+09,5.923e+09,1.849e+09,3.48e+09,1.2701e+10,1.1847e+10,2.0347e+10,1.42e+10,4.119e+09,3.2194e+10,4.4895e+10,1.3999e+10,1.3999e+10,-2.31e+08,-8.398e+09,-6.766e+09,-1.396e+09,-1.396e+09,4.3499e+10,1.158e+09,-1.37e+08,-1.91e+08,-3.28e+08,-7.31e+08,-7.31e+08,2.51e+08,-4.8e+08,3.5e+08,3.5e+08,3.5e+08,1.4109e+10,0.24301,0.09692,0.0506,-0.30444,0.00977,0.60853,-32.15974,0.32435,0.50656,0.49941,10.01073,-1.66389,0.01286,12.89189
"7","2012_Q2",9.54349206349206,"Up",8.413e+09,-6.861e+09,1.552e+09,-1.182e+09,-3.86e+08,-4.16e+08,3.7e+08,-2.55e+08,-2.21e+08,-3.4e+07,1.15e+08,1.27e+08,-3e+06,1.24e+08,1.24e+08,1.24e+08,1.24e+08,3.87e+09,2.911e+09,1.807e+09,1.807e+09,3.64e+08,2.258e+09,1.475e+09,8.299e+09,2.0332e+10,1.5558e+10,4.733e+09,9.794e+09,1.031e+09,3.589e+10,4.4189e+10,4.11e+09,1.998e+09,2.112e+09,1.855e+09,7.681e+09,1.759e+09,5.218e+09,1.3646e+10,1.1521e+10,2.0033e+10,1.3905e+10,4.169e+09,3.1554e+10,4.52e+10,1.4015e+10,1.4015e+10,-2.34e+08,-8.274e+09,-6.518e+09,-1.011e+09,-1.011e+09,4.4189e+10,8.31e+08,-9.9e+07,-2.5e+08,-3.49e+08,-3.67e+08,-3.67e+08,1.39e+08,-2.28e+08,2.54e+08,2.54e+08,2.54e+08,1.3376e+10,0.18448,0.04398,0.01474,-0.12265,0.00281,0.60816,-44.70821,0.3027,0.14709,0.1464,9.97983,-1.19929,0.00383,25.69189
"8","2012_Q3",8.47698412698413,"Down",9.732e+09,-8.093e+09,1.639e+09,-1.312e+09,-3.88e+08,-5.31e+08,3.27e+08,-2.98e+08,-2.07e+08,-9.1e+07,28999999.9999999,-1.64e+08,-4e+06,-1.68e+08,-1.68e+08,-1.68e+08,-1.68e+08,3.498e+09,2.539e+09,1.828e+09,1.828e+09,3.93e+08,2.738e+09,1.882e+09,8.457e+09,2.0609e+10,1.5654e+10,4.716e+09,9.794e+09,1.144e+09,3.6263e+10,4.472e+10,5.045e+09,2.175e+09,2.87e+09,1.779e+09,7.869e+09,1.665e+09,5.482e+09,1.4693e+10,1.1221e+10,1.9941e+10,1.3613e+10,4.257e+09,3.1162e+10,4.5855e+10,1.4031e+10,1.4031e+10,-2.34e+08,-8.442e+09,-6.49e+09,-1.135e+09,-1.135e+09,4.472e+10,6.32e+08,-2.96e+08,-3.56e+08,-6.52e+08,-3.74e+08,-3.74e+08,2.2e+07,-3.52e+08,-3.72e+08,-3.72e+08,-3.72e+08,1.3e+10,0.16841,0.0336,-0.01726,0.148020000000001,-0.00376,0.57558,-40.4008799999999,0.2907,-0.19882,-0.19882,11.51716,-1.3432,-0.00528,29.0581
"9","2012_Q4",9.11548387096774,"Up",9.923e+09,-7.039e+09,2.884e+09,-1.427e+09,-3.92e+08,-5.95e+08,1.457e+09,-2.45e+08,-1.95e+08,-5e+07,1.212e+09,1.051e+09,-4e+06,1.047e+09,1.047e+09,1.047e+09,1.047e+09,3.233e+09,2.274e+09,1.785e+09,1.785e+09,4.03e+08,2.742e+09,1.876e+09,8.163e+09,2.0599e+10,1.559e+10,4.697e+09,9.794e+09,1.099e+09,3.6189e+10,4.4352e+10,4.801e+09,2.325e+09,2.476e+09,1.546e+09,6.877e+09,1.584e+09,4.655e+09,1.3224e+10,1.1111e+10,2.0065e+10,1.3688e+10,4.328e+09,3.1176e+10,4.44e+10,1.4045e+10,1.4045e+10,-2.34e+08,-7.395e+09,-6.464e+09,-4.8e+07,-4.8e+07,4.4352e+10,4.63e+08,-1.5e+08,-2.78e+08,-4.28e+08,-1.89e+08,-1.89e+08,-1.11e+08,-3e+08,-2.65e+08,-2.65e+08,-2.65e+08,1.2657e+10,0.29064,0.14683,0.10551,-21.8125,0.02361,0.61729,-925,0.28538,1.23613,1.23176,11.71547,-0.05667,0.03204,6.46809
"10","2013_Q1",12.998,"Up",8.602e+09,-6.931e+09,1.671e+09,-1.198e+09,-3.99e+08,-4.22e+08,4.73e+08,-2.34e+08,-3.82e+08,1.48e+08,2.39e+08,10999999.9999998,-4999999.99999999,6000000.00000048,6000000.00000048,6000000.00000048,6000000.00000048,3.374e+09,2.416e+09,1.693e+09,1.693e+09,1.023e+09,2.182e+09,1.344e+09,8.272e+09,2.0713e+10,1.5565e+10,4.679e+09,9.794e+09,1.092e+09,3.6278e+10,4.455e+10,5.101e+09,2.293e+09,2.808e+09,2.082e+09,6.087e+09,1.806e+09,3.696e+09,1.327e+10,1.1082e+10,2.2329e+10,1.6005e+10,4.277e+09,3.3411e+10,4.6681e+10,1.4069e+10,1.4069e+10,-2.34e+08,-7.389e+09,-8.577e+09,-2.131e+09,-2.131e+09,4.455e+10,5.5e+08,-2.27e+08,-3.06e+08,-5.33e+08,3.1e+07,3.1e+07,9.4e+07,1.25e+08,1.42e+08,1.42e+08,1.42e+08,1.3164e+10,0.19426,0.05499,0.000700000000000006,-0.00281999999999982,0.000130000000000005,0.62336,-21.90568,0.29549,0.00710000000000033,0.00698999999999983,10.17988,-2.52189,0.00018,20.69767
