"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2018_Q2",30.51640625,"Up",39861000,-8271000,31590000,-42867000,-34058000,-8809000,-11277000,168000,195000,-27000,-11109000,-11109000,-289000,-11398000,-11398000,-11398000,-13928000,247291838.633544,486097492.696526,-2192665299.2407,-425609148.579909,-425609148.579909,-11162205.8144598,1514837.15179643,-12677042.9662562,-189479515.760825,70988022.6569165,-23102330.5883447,-21586355.6433073,47885692.0685718,-141593823.692253,-33629017.0278694,6623553.41616168,-40252570.444031,-256175956.197757,-256175956.197757,-289804973.225626,-145009221.139917,-145009221.139917,-145420036.343853,-435225009.569479,471055707.380471,-196944507.524803,19520066.5981843,293631185.877226,293631185.877226,-141593823.692253,-11398000,1921000,4601000,524000,-4352000,-4010000,-4010000,-4010000,-534000,-4544000,-1879000,1211000,-1443000,-3322000,-12218000,-12218000,-12218000,-9356000,0,-12553000,0.7925,-0.28291,-0.34941,-0.258786558589742,-0.17197030851139,0.90128,4.9597267835767,-1.93436585010934,-0.000223832929976994,-0.45231,-0.45231,1.29448,15.2249415683175,-0.40766,-0.255617834801886,-0.785592464459822,-525.614838238329,-190.821702830836
"2","2018_Q3",40.395873015873,"Up",44976000,-8679000,36297000,-42696000,-33513000,-9183000,-6399000,241000,213000,28000.0000000005,-6158000,-6158000,-357000,-6515000,-6515000,-6515000,-9094000,272359612.877848,423750164.232175,-937863649.620349,-98057049.5266363,-98057049.5266363,11344598.0618467,6011945.71726548,5332652.34458125,185647161.413058,34922007.5523055,15722556.4705518,16227881.4522309,50644564.0228573,236291725.435916,11005660.9907102,5347184.47205389,5658476.51865632,-1419652.06591892,-1419652.06591892,9586008.92479128,-33499407.046639,-33499407.046639,-33636345.4479509,-24050336.5231597,444413902.460157,-188066502.508268,3994688.86606144,260342061.959075,260342061.959075,236291725.435916,-6515000,1989000,5128000,-1718000,-1116000,-3035000,-3035000,-3035000,-416000,-3451000,1829000,1829000,-1453000,375999.99999994,-4191000,-4191000,-4191000,-4410000,0,-8806000,0.80703,-0.14228,-0.2022,-0.107168852863247,-0.0698434361704633,0.96833,3.2300289278589,-0.150368616703113,-7.46109766589981e-05,-0.2893,-0.2893,1.43081,7.27297718943918,-0.28014,-0.104692611600629,-0.235687488153274,-118.316349412776,-31.6387376102788
"3","2018_Q4",37.7696825396825,"Down",49163000,-9424000,39739000,-48763000,-38856000,-9907000,-9024000,610000,-408000,1018000,-8414000,-8414000,-357000,-8771000,-8771000,-8771000,-9994000,287443000,287443000,-196367216.540116,40215000,40215000,22789000,9036000,13753000,350447000,20441000,34650000,34650000,55091000,405538000,33531000,4944000,28587000,113660000,113660000,147191000,15155000,15155000,15155000,162346000,434369000,-189138000,-2039000,243192000,243192000,405538000,-8771000,1932000,6731000,8225000,8117000,-3963000,-3963000,-3963000,-474000,-4437000,207518000,207518000,-670000,212194000,215874000,215874000,215874000,-7092000,0,-2473000,0.80831,-0.18355,-0.20328,-0.0411,-0.02464,0.24745,2.3809,0.66756,0,-0.13539,-0.13539,0.666,3.29448,-0.0335,-0.03868,-0.00957,40.5306,31.85317
"4","2019_Q1",53.1227868852459,"Up",56174000,-11501000,44673000,-52597000,-41117000,-11480000,-7924000,1296000,2236000,-940000,-6628000,-6628000,-334000,-6962000,-6962000,-6962000,-6962000,298539000,135579000,162960000,61611000,61611000,27014000,10878000,16136000,387164000,19765000,40852000,40852000,60617000,447781000,40601000,4895000,35706000,142231000,142231000,182832000,24713000,24713000,24713000,207545000,438511000,-196100000,-2175000,240236000,240236000,447781000,-6962000,2146000,7945000,11529000,14658000,-2389000,-2389000,-2389000,-163282000,-165671000,-81000,640000.00000006,-770000,-851000,-151864000,-151864000,-151864000,-5778000,3.63797880709171e-12,3696000,0.79526,-0.14106,-0.12394,-0.02898,-0.01555,-0.53088,2.11759,0.86392,0,-0.05827,-0.05827,0.47016,2.0107,0.03093,-0.02628,0.01395,51.66822,37.67529
"5","2019_Q2",71.2339682539683,"Up",63298000,-12099000,51199000,-59862000,-46676000,-13186000,-8663000,1402000,1590000,-188000,-7261000,-7261000,-327000,-7588000,-7588000,-7588000,-7588000,314040000,42786000,271254000,49228000,49228000,28336000,11949000,16387000,391604000,24132000,42358000,42358000,66490000,458094000,38184000,4573000,33611000,145721000,145721000,183905000,22011000,22011000,22011000,205916000,455883000,-203388000,-317000,252178000,252178000,458094000,-7588000,2265000,11417000,4920000,11014000,-6894000,-6894000,-5414000,-108452000,-115346000,9774000,9796000,-230000,11449000,-92883000,-92883000,-92883000,-6398000,0,-8045000,0.80886,-0.13686,-0.11988,-0.03009,-0.01656,1.06023,2.12938,0.81655,0,-0.06293,-0.06293,0.52492,2.09125,-0.06672,-0.02767,-0.02934,49.08409,36.25072
"6","2019_Q3",72.021875,"Up",74302000,-15271000,59031000,-64213000,-49142000,-15071000,-5182000,2174000,1924000,250000,-3008000,-3008000,-547000,-3555000,-3555000,-3555000,-3555000,339943000,67467000,272476000,75470000,75470000,30598000,12540000,18058000,446011000,25762000,46340000,46340000,72102000,518113000,32934000,3459000,29475000,177298000,177298000,210232000,30808000,30808000,30808000,241040000,484075000,-206943000,-58999.9999999998,277073000,277073000,518113000,-3555000,2636000,17052000,-426000,15707000,-3193000,-3193000,-3193000,-744000,-3936999.99999999,14388000,14388000,-1567000,12821000,24591000,24591000,24591000,-2546000,0,-5618000,0.79447,-0.06974,-0.04785,-0.01283,-0.00686,1.58031,2.12152,0.86995,2.71050543121376e-20,-0.02896,-0.02896,0.60536,2.25738,-0.04577,-0.01155,-0.01825,133.52042,65.60073
"7","2019_Q4",46.40609375,"Down",79128000,-14960000,64168000,-77705000,-61206000,-16499000,-13537000,1937000,2081000,-144000,-11600000,-11600000,-636000,-12236000,-12236000,-12236000,-12236000,352736000,54974000,297762000,71151000,71151000,32156000,12765000,19391000,456043000,31976000,49517000,49517000,81493000,537536000,37245000,3585000,33660000,184317000,184317000,221562000,29395000,29395000,29395000,250957000,505657000,-219179000,101000,286579000,286579000,537536000,-12236000,2835000,17422000,5462000,13483000,-8091000,-8091000,-8091000,-25480000,-34394000,8030000,8030000,0,8030000,-12881000,-12881000,-12881000,-10702000,0,-12695000,0.81094,-0.17108,-0.15464,-0.0427,-0.02276,1.03751,2.05831,0.8757,0,-0.0982,-0.0982,0.63504,2.29992,-0.10188,-0.03872,-0.04018,32.95982,26.05718
"8","2020_Q1",55.0446774193548,"Up",86108000,-17339000,68769000,-76700000,-59487000,-17213000,-7931000,1888000,2135000,-247000,-6043000,-6043000,767000,-5276000,-5276000,-5276000,-5276000,364646000,78484000,286162000,93341000,93341000,38099000,16880000,21219000,496086000,41046000,67030000,50843000,108076000,604162000,40562000,6208000,34354000,221387000,221387000,261949000,33655000,33655000,33655000,295604000,532745000,-224455000,268000,308558000,308558000,604162000,-5276000,3570000,15894000,3635000,17823000,-8822000,-8822000,-8822000,11034000,-8397000,14084000,14084000,0,14084000,23510000,23510000,23510000,-4361000,4.65661287307739e-10,-10315000,0.79864,-0.09211,-0.06127,-0.0171,-0.00873,1.95508,1.89383,0.95802,-2.16840434497101e-19,-0.04176,-0.04176,0.6816,2.44244,-0.08165,-0.01542,-0.03014,83.61523,45.9773
"9","2020_Q2",83.1074603174603,"Up",93590000,-19558000,74032000,-92307000,-72036000,-20271000,-18275000,1993000,2022000,-29000,-16282000,-16282000,-794000,-17076000,-17076000,-17076000,-17076000,377631000,69346000,308285000,70482000,70482000,40773000,18713000,22060000,488886000,48361000,98981000,83573000,147342000,636228000,38713000,3784000,34929000,227604000,227604000,266317000,55859000,55859000,55859000,322176000,555147000,-241531000,436000,314052000,314052000,636228000,-17076000,4361000,26158000,7986000,21429000,-10210000,-10210000,-10210000,-23416000,-33626000,3059000,3059000,-41220088.1467579,3059000,-9138000,-9138000,-9138000,-13914000,0,-15344000,0.79102,-0.19527,-0.18246,-0.05437,-0.02684,0.89857,1.83573,1.02587,0,-0.13388,-0.13388,0.73376,2.46223,-0.1203,-0.04616,-0.04148,27.14036,20.6638
"10","2020_Q3",129.78984375,"Up",101268000,-20238000,81030000,-111310000,-90604000,-20706000,-30280000,1842000,1855000,-13000,-28438000,-28438000,-716000,-29154000,-29154000,-29154000,-29154000,384914000,76534000,308380000,94784000,94784000,43444000,19917000,23527000,523142000,52355000,100928000,86162000,153283000,676425000,41300000,2675000,38625000,262363000,262363000,303663000,53598000,53598000,53598000,357261000,589358000,-270685000,491000,319164000,319164000,676425000,-29154000,4568000,33598000,-3581000,5431000,-4889000,-4889000,-4889000,-2387000,-7276000.00000001,9033000,9033000,-104219757.30579,9032999.99999999,7188000,7188000,7188000,-25712000,-7.45058059692383e-09,-33466000,0.80015,-0.29901,-0.28789,-0.09134,-0.0431,1.1479,1.72277,1.11936,3.46944695195361e-18,-0.22704,-0.22704,0.78864,2.48555,-0.26062,-0.07821,-0.08978,14.97021,12.71182
