"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"1","2010_Q4",38.63390625,"Up",93942000,-62271000,31671000,-18714000,-17534000,-1180000,12957000,927000,-78000,1005000,13884000,13884000,-4002000,9882000,9882000,9879000,9879000,7180658.15662414,7180658.15662414,6422580.10172924,6422580.10172924,63543583.2765886,7044275.73754082,-4943584.9240168,3113865.94131871,84191097.2724828,57987668.954444,21885682.4507514,9453661.07438096,1618775.89212065,92325.337655073,79873351.4051954,164064448.677678,48942282.8837479,27858221.6083848,1062458.56448087,20021602.7108822,-17583466.7741958,9885743.07271678,9885743.07271678,41244559.1822689,-24745210.1001549,1450798.82447992,-2190467.8306728,2735909.67619907,905356.978953637,-23294411.2756749,17950147.9065939,20028866.8820948,172967703.827421,-45186001.3005917,147810572.653347,146114300.771084,164064448.677678,9882000,2441000,2369000,-3869000,10823000,-2046000,-16389000,-1092000,7576000,-1055000,5000,-1060000,5429000,-137000,-137000,364000,227000,15398000,0,13485000,0.33713,0.13793,0.10516,-0.0266105023275412,-0.0134067407469908,1.36502,2.32170746027343,0.225483241694054,-0.108228497255875,1.88603,1.83284,17.93471,28.6240857837377,2.57446,0.20848,-0.00707530699455529,0.240421782211124,0.11054,-4.64276726593091,-6.26546709939422
"2","2011_Q1",54.8283870967742,"Up",93318000,-64253000,29065000,-21789000,-19167000,-2622000,7276000,135000,-78000,213000,7411000,7411000,-1415000,5996000,5996000,6006000,6006000,22655000,22655000,56102000,56102000,73121000,15464000,9069000,1611000,167342000,76266000,37371000,12346000,3615000,8675000,113637000,280979000,49572000,27001000,1087000,21484000,2522000,4464000,4464000,56558000,9374000,19582000,9473000,3606000,6503000,28956000,85514000,18090000,184060000,-6010000,196140000,195465000,280979000,5996000,2911000,-73999.9999999995,2320000,11153000,-3090000,-3071000,-1085000,-5913000,196000,196000,0,-6729000,1353000,1353000,-1035000,318000,10187000,11896000,10832000,0.31146,0.07797,0.06436,0.03073,0.02138,1.80353,2.95877,0.43749,0.04234,1.14575,1.12577,17.80198,37.41702,2.06639,0.20698,0.03125,0.04773,0.18065,-1.05615,-1.4787
"3","2011_Q2",59.0069841269841,"Up",95088000,-62697000,32391000,-22266000,-18998000,-3268000,10125000,124000,-60000,184000,10249000,10249000,-3395000,6854000,6854000,6998000,6998000,26015697.2811253,26015697.2811253,74876723.2994236,74876723.2994236,78842638.9078038,19372074.7541531,13829444.9746723,1349211.35289376,199107134.242506,81718777.0151853,41650189.1830829,13175196.3085397,4036408.03595978,11375474.8874483,123368966.198268,322476100.440774,55395405.7054174,27165009.4638717,1096680.47850638,27133715.7630393,8931738.92473193,2843585.64242774,2843585.64242774,67170730.272577,17961653.3667183,23269233.7251734,11799739.2768909,3811113.44126698,7658381.00701545,41230887.0918916,108401617.364469,18806794.3726351,190213932.057526,5219583.76686391,214240309.115551,214074483.076305,322476100.440774,6854000,2521000,840000,-13157000,-2942000,-2245000,-2443000,-1087000,7648000,79000,79000,-1289618.72713823,6687000,1302000,1302000,189000,1491000,12646000,0,639000,0.34064,0.10648,0.07359,0.0462435007758471,0.0306730802489969,0.09131,2.98577584657552,0.505752252768649,0.0830686657519584,1.32739,1.29593,18.03642,40.7101772387541,0.12121,0.20618,0.0418126023315184,0.0033394059296252,0.15533,0.0799699219769716,0.078109866464739
"4","2011_Q3",49.845,"Down",114530000,-77824000,36706000,-23573000,-21052000,-2521000,13133000,-83000,-126000,43000,13050000,13050000,-4520000,8530000,8530000,8386000,8386000,23617000,23617000,74970000,74970000,82280000,19944000,12834000,1769000,200811000,80571000,39914000,12880000,3792000,10697000,120485000,321296000,61975000,27623000,1098000,33254000,7187000,3386000,3386000,72548000,14189000,20165000,9774000,3666000,6725000,34354000,106902000,20563000,194075000,-244000,214394000,214394000,321296000,8530000,2555000,1222000,-7231000,5076000,-4091000,-4223000,-1102000,1418000,-1639000,879000,-2518000,-1180000,-327000,-327000,-202000,-529000,15688000,21376000,8886000,0.32049,0.11467,0.07322,0.03911,0.0261,1.05962,2.76797,0.49862,0.06653,1.59309,1.55874,21.75722,40.72834,1.68807,0.20935,0.03707,0.03472,0.13141,-0.14285,-0.17064
"5","2011_Q4",46.97,"Down",108690000,-71130000,37560000,-27480000,-21782000,-5698000,10080000,148000,-46000,194000,10228000,10228000,-3568000,6660000,6660000,6660000,6660000,23751000,23751000,68959000,68959000,85014000,18363000,9839000,2262000,196087000,78855000,37293000,12222000,4032000,9385000,116148000,312235000,62947000,27317000,1095000,34535000,3291000,4558000,4558000,70796000,13381000,19529000,9574000,3362000,6593000,32910000,103706000,21309000,198668000,-11448000,208529000,208529000,312235000,6660000,2588000,21000,3442000,12711000,-5939000,-5939000,-1097000,-3917000,-939000,65000,-1004000,-5940000,832000,832000,-698000,134000,12668000,16672000,13739000,0.34557,0.09274,0.06128,0.03194,0.02133,2.06291,2.76975,0.49732,0.0534,1.26785,1.23838,20.69103,39.69713,2.61546,0.20883,0.0317,0.05614,0.16471,-0.55881,-0.70228
"6","2012_Q1",55.5796774193548,"Up",106096000,-71904000,34192000,-22176000,-18389000,-3787000,12016000,451000,-20000,471000,12467000,12467000,-3527000,8940000,8940000,8940000,8940000,32126000,32126000,68949000,68949000,88613000,15802000,8254000,2285000,205490000,82860000,38998000,12199000,5585000,9862000,121858000,327348000,54516000,25630000,1095000,27791000,2631000,4686000,4686000,61833000,27991000,28478000,15786000,3255000,9437000,56469000,118302000,19573000,206512000,-17039000,209046000,209046000,327348000,8940000,2861000,2776000,-12373000,2204000,-6173000,-6171000,-1095000,13911000,2940000,41000,2899000,12857000,8890000,8890000,-515000,8375000,14877000,30622000,-142000,0.32227,0.11326,0.08426,0.04277,0.02731,-0.0158800000000006,3.32331,0.56591,0.09355,1.70383,1.69511,20.22032,39.84105,-0.0270600000000001,0.20869,0.03742,-0.000530000000000003,0.12248,-0.1011,-0.12517
"7","2012_Q2",49.1633333333333,"Down",108846000,-72834000,36012000,-23907000,-20903000,-3004000,12105000,86000,-59000,145000,12191000,12191000,-4058000,8133000,8133000,8133000,8133000,29186000,29186000,74534000,74534000,91862000,14489000,7394000,2341000,210071000,93102000,45815000,14776000,5813000,10097000,138917000,348988000,58594000,26256000,1104000,31234000,2084000,2699000,2699000,63377000,33652000,30068000,15866000,4548000,9654000,63720000,127097000,20097000,213451000,-11657000,221891000,221891000,348988000,8133000,2684000,3155000,-5778000,8194000,-9439000,-15615000,-1095000,5005000,-69000,24000,-93000,3841000,-3580000,-3580000,640000,-2940000,14789000,35736000,3630000,0.33085,0.11121,0.07472,0.03665,0.0233,0.44633,3.31463,0.57279,0.1024,1.52475,1.49559,20.40607,41.59936,0.68054,0.20529,0.03208,0.01262,0.13464,0.4429,0.5411
"8","2012_Q3",48.4544444444444,"Down",111940000,-74974000,36966000,-27292000,-21655000,-5637000,9674000,239000,30000,209000,9913000,9913000,-3317000,6596000,6596000,6596000,6596000,30398000,30398000,73343000,73343000,88685000,17159000,8224000,2824000,209585000,88360000,45013000,15116000,5975000,9613000,133373000,342958000,61560000,26342000,1104000,34114000,734000,4231000,4231000,66525000,25464000,29808000,15877000,4290000,9641000,55272000,121797000,21009000,218844000,-18692000,221161000,221161000,342958000,6596000,2739000,-805000,5723000,14253000,-1552000,-549000,-1105000,-9413000,18999.9999999998,121000,-102000,-11647000,2057000,2057000,-845000,1212000,12413000,26198000,19901000,0.33023,0.08642,0.05892,0.02982,0.01923,3.01713,3.15047,0.55072,0.07639,1.23706,1.21205,20.994,41.47806,3.73237,0.20724,0.02778,0.0718,0.16753,-0.33835,-0.43415
"9","2012_Q4",48.5946774193548,"Up",114206000,-75699000,38507000,-25348000,-22132000,-3216000,13159000,251000,16000,235000,13410000,13410000,-4126000,9284000,9284000,9284000,9284000,28115000,28115000,75805000,75805000,87789000,16027000,7822000,2563000,207736000,90017000,46315000,15441000,6236000,10373000,136332000,344068000,62022000,24981000,1099000,35942000,1084000,5211000,5211000,68317000,14940000,29465000,15186000,4270000,10009000,44405000,112722000,22062000,225199000,-15915000,231346000,231346000,344068000,9284000,2810000,1723000,-957000,12860000,-2639000,-2639000,-1105000,-10132000,-1720000,179000,-1899000,-12841000,-2620000,-2620000,337000,-2283000,15969000,16024000,16499000,0.33717,0.11522,0.08129,0.04013,0.02698,1.77714,3.04077,0.48724,0.04657,1.74577,1.71418,21.47537,43.50244,3.10248,0.20778,0.03753,0.0596,0.11902,-0.75715,-0.91884
"10","2013_Q1",58.9515,"Up",104200000,-71247000,32953000,-23769000,-18625000,-5144000,9184000,129000,64000,65000,9313000,9313000,-4040000,5273000,5273000,5273000,5273000,28120000,28120000,61695000,61695000,86916000,17370000,8381000,2432000,194101000,93326000,45637000,15537000,6069000,9993000,138963000,333064000,52388000,21822000,0,30566000,468000,5387000,5387000,58243000,9322000,30952000,13184000,4485000,13283000,40274000,98517000,20589000,227622000,-13664000,234547000,234547000,333064000,5273000,3331000,-860000,7334000,15078000,-5448000,-5448000,-3187000,-6196000,1986000,225000,1761000,-9773000,-143000,-143000,148000,5000.00000000047,12515000,9790000,18441000,0.31625,0.08814,0.0506,0.02248,0.01583,3.49725,3.33261,0.42003,0.02939,0.99266,1.01638,19.61596,44.15418,3.47157,0.59996,0.03073,0.06699,0.6044,-1.46464,-1.99586
