"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2013_Q3",2,"Up",1700388,-1185886,514502,-1266049,-1262054,-3995,-751547,-1525,-1525,-753072,-753072,-753072,-753072,-753072,-753072,184254,184254,1545467,1630203,330711,330711,680711,680711,5665985,949492,949492,1630203,-753072,6492,33587,-556889,-77037,150000,150000,-483926,-483926,-483926,-745055,0,0.30258,-0.44199,-0.44288,-0.79313,-0.46195,2.27037,0.71692,0,-0.03611,-0.03611,0.08153,0.04553,-0.79313,0.2473,0.24517
"2","2013_Q4",2.0234375,"Up",2167517,-1543029,624488,-1113284,-1108072,-5212,-488796,-4772,-4772,-493568,-493568,-493568,-493568,-493568,-493568,1918221,1918221,3961080,4403247,407419,407419,407419,407419,9205889,3995828,3995828,4403247,-493568,10910,-526364,-1008593,-476915,-320000,3219475,1733967,1733967,1733967,-477886,0,0.28811,-0.22551,-0.22771,-0.12352,-0.11209,9.72237,0.10196,0,-0.02199,-0.02199,0.09658,0.17804,-0.12352,4.01397,3.92438
"3","2014_Q1",3.10377049180328,"Up",-1057224,780428,-276796,139001,195023,-56022,-137795,-3800,-3800,-141595,-141595,-141595,-141595,-141595,-141595,1741935,1741935,4194615,5124111,823044,823044,823044,823044,10600708,4301067,4301067,5124111,-141595,-8098,793475,487249,860664,-130000,733683,2081596,2081596,2081596,-145893,0,0.26181,0.13034,0.13393,-0.03292,-0.02763,5.09647,0.19136,0,-0.00587,-0.00587,-0.04385,0.17838,-0.03292,11.93981,12.6415
"4","2015_Q2",1.09968253968254,"Down",2583149,-1780225,802924,-1487179,-1468278,-18901,-684255,-16634,-16634,-700889,-700889,-700889,-700889,-700889,-700889,1079688,1079688,4303017,5394432,583878,583878,787611,787611,11850995,4606821,4606821,5394432,-700889,14737,-531741,-1209630,-81466.9999999998,-18971,829145,-461952,-461952,-461952,-669518,0,0.31083,-0.26489,-0.27133,-0.15214,-0.12993,5.46338,0.17097,-4.33680868994202e-19,-0.02836,-0.02836,0.10453,0.18642,-0.15214,1.61263,1.5779
"5","2015_Q3",0.7575,"Down",2249768,-1590904,658864,-1425552,-1401461,-24091,-766688,-26710,-26710,-793398,-793398,-793398,-793398,-793398,-793398,114774,114774,3780123,4974735,417853,417853,711194,711194,12301113,4263541,4263541,4974735,-793398,44736,-608044,-1180438,-142274,89608,357798,-964914,-964914,-964914,-721952,0,0.29286,-0.34079,-0.35266,-0.18609,-0.15949,5.31518,0.16681,0,-0.03115,-0.03115,0.08833,0.16739,-0.18609,0.15898,0.1497
"6","2015_Q4",0.545,"Down",4497342,-3383851,1113491,-1644863,-1610420,-34443,-531372,-349970,-349970,-881342,-1576097,-1576097,-1576097,-1576097,-1607056,216075,216075,4963544,6132197,730616,730616,2097595,2567595,12375983,3564602,3564602,6132197,-1576097,150411,2301712,1500754,19717,282564,-561626,958845,958845,958845,-380961,470000,0.24759,-0.11815,-0.35733,-0.45084,-0.26207,2.3663,0.7203,0.07664,-0.06226,-0.06226,0.17423,0.13809,-0.39832,-0.666540000000001,-0.47787
"7","2016_Q1",0.483114754098361,"Down",3273188,-2251240,1021948,-1298950,-1268753,-30197,-277002,-161757,-161757,-438759,-441234,-441234,-441234,-441234,-477267,587422,587422,4719995,5767450,894551,769551,4754360,5144127,14955194,623323,623323,5767450,-441234,75632,-148882,-370945,-4202,-285938,575595,200448,200448,200448,-201370,3196575,0.31222,-0.08463,-0.14581,-0.76568,-0.08275,0.99277,8.25275,0.55424,-0.01839,-0.01839,0.12611,0.02401,-0.12494,-12.95701,-9.41926
"8","2016_Q2",0.6015625,"Up",3923977,-2448778,1475199,-1530419,-1499857,-30562,-55220,-161762,-161762,-216982,-226107,-226107,-226107,-226107,-290628,399967,399967,4462263,5675354,992653,992653,2058972,4565652,12808019,1109702,1109702,5675354,-226107,76703,-476791,-437862,-18650,371549,371549,-84963,-84963,-84963,21483,2056680,0.37594,-0.01407,-0.07406,-0.2619,-0.05121,2.16723,4.1143,0.36239,-0.01115,-0.01115,0.15059,0.04259,-0.08036,77.1174,-30.00205
"9","2016_Q3",0.59859375,"Down",4138280,-2772966,1365314,-1474481,-1437256,-37225,-109167,-157949,-157949,-267116,-276810,-276810,-276810,-276810,-323610,396936,396936,4293581,5448438,1169173,1169173,4119799,4499799,13658221,948639,948639,5448438,-276810,83000,425646,414459,-185433,-467039,-467039,-238013,-238013,-238013,-26167,2110117,0.32992,-0.02638,-0.0782,-0.34113,-0.0594,1.04218,4.74343,0.38729,-0.01241,-0.01241,0.15864,0.03637,-0.1058,-65.47105,-15.69321
"10","2016_Q4",0.536031746031746,"Down",4576225,-2892012,1684213,-1440650,-1402121,-38529,243563,-153159,-153159,90404,80603,80603,80603,80603,33803,655030,655030,5324796,6346846,3232090,383567,3466840,5583305,15675847,763541,763541,6346846,80603.0000000001,91494,-441016,-123216,-21709,585509,535509,390584,390584,390584,335057,2093555,0.36804,0.05322,0.00738999999999999,0.0442699999999999,0.00532999999999999,1.53592,7.31238,0.32986,0.00129,0.00129,0.17502,0.0292,0.01136,4.29337,5.90617
"11","2017_Q1",0.662258064516129,"Up",5410310,-2716348,2693962,-2317155,-2270175,-46980,376807,-255667,-255667,121140,121234,121234,121234,121234,74434,670807,670807,3495687,5059068,2124880,2124880,5029935,7741738,15825308,-2682670,-2682670,5059068,121234,190388,82164,503853,-327077,-366786,-366786,-190010,-190010,-190010,567195,3464053,0.49793,0.06965,0.01376,-0.02775,0.01471,0.69498,-2.88583,0.68472,0.00283,0.00283,0.20571,-0.102,0.05201,4.92467,7.41294
"12","2017_Q2",0.943015873015873,"Up",5357301,-3414807,1942494,-1744715,-1710717,-33998,197779,-181159,-181159,16620,-4233,-4233,-4233,-4233,-51033,436447,436447,5438228,6750005,770071,770071,4185216,5532254,15962258,1217751,1217751,6750005,128225,107081,183819,526555,-666733,-89955,-89955,-230133,-230133,-230133,304860,2896332,0.36259,0.03692,-0.00953,-0.04191,-0.00756,1.29939,4.54301,0.42909,-0.00193,-0.00193,0.2021,0.04594,-0.01206,8.0689,12.43754
"13","2017_Q3",1.06174603174603,"Up",7005434,-4652820,2352614,-1987294,-1953961,-33333,365320,-191803,-191803,173517,168360,168360,168360,168360,123595,639454,639454,6173798,7472981,891609,891609,5612500,6173482,16064372,1299499,1299499,7472981,35902,133124,-433493,-198388,-99007,510959,510959,213564,213564,213564,498444,2570062,0.33583,0.05215,0.01764,0.09511,0.01654,1.10001,4.75066,0.34391,0.00457,0.00457,0.25903,0.04805,0.031,3.87327,5.2847
