"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"1","2015_Q1",13.8849180327869,"Up",30129000,-9961000,20168000,-31771000,-19860000,-11911000,-11603000,-1022000,-763000,-259000,-12625000,-12625000,-32000,-12657000,-12657000,-12657000,-12657000,101131000,101131000,11120000,11120000,4290000,3143000,1147000,116541000,46265000,1745000,549000,1196000,48010000,164551000,19776000,3011000,16765000,2025000,44929000,42605000,66730000,22838000,19164000,13671000,5493000,42002000,108732000,189207000,-133535000,147000,55819000,55819000,164551000,-12657000,1125000,2258000,4667000,-4607000,-679000,0,-679000,-3724000,91986000,91986000,-2160000,86102000,80816000,80816000,40000,80856000,-10478000,24863000,-6458000,0.66939,-0.38511,-0.42009,-0.22675,-0.07692,0.51023,1.74646,1.94794,0.1511,-0.38219,-0.38219,0.90978,1.68553,-0.19501,-0.12677,-0.06468,7.27887,6.57313
"2","2015_Q2",14.0160317460317,"Up",35154000,-9662000,25492000,-32447000,-20439000,-12008000,-6955000,-576000,-510000,-65999.9999999999,-7531000,-7531000,84000,-7447000,-7447000,-7447000,-7447000,89893000,89893000,11913000,11913000,4259000,2998000,1261000,106065000,46838000,1361000,625000,736000,48199000,154264000,14816000,2621000,12195000,2020000,45479000,42976000,62315000,22324000,18993000,12539000,6454000,41317000,103632000,191398000,-140982000,216000,50632000,50632000,154264000,-7447000,1169000,2210000,-5161000,-9229000,-954000,-9.31322574615479e-10,-954000.000000001,-390000,79999.9999999851,79999.9999999851,-773000,-1083000.00000001,-11266000,-11266000,28000,-11238000,-5786000,24344000,-11985000,0.72515,-0.19784,-0.21184,-0.14708,-0.04827,1.60937,1.70208,2.04677,0.15781,-0.18809,-0.18809,0.88787,1.27879,-0.3027,-0.07925,-0.12754,11.3289,9.42473
"3","2015_Q3",14.4534375,"Up",33968000,-9753000,24215000,-34816000,-22620000,-12196000,-10601000,-322000,-513000,191000,-10923000,-10923000,-106000,-11029000,-11029000,-11029000,-11029000,86432000,86432000,12452000,12452000,4709000,3064000,1645000,103593000,46226000,1511000,812000,699000,47737000,151330000,17705000,3875000,13830000,2107000,50428000,47786000,70240000,22055000,16458000,10262000,6196000,38513000,108753000,194396000,-152011000,192000,42577000,42577000,151330000,-11029000,1127000,2539000,4755000,-2608000,-354000,0,-354000,-525000,353000,353000,-308000,-480000,-3442000,-3442000,-19000,-3461000,-9474000,24162000,-4967000,0.71288,-0.31209,-0.32469,-0.25904,-0.07288,0.45036,1.47484,2.55427,0.15966,-0.27831,-0.27831,0.85718,1.07442,-0.12534,-0.13256,-0.0597,6.57273,5.87397
"4","2015_Q4",17.2746875,"Up",36268000,-9776000,26492000,-40822000,-28056000,-12766000,-14330000,-331000,-494000,163000,-14661000,-14661000,31000,-14630000,-14630000,-14630000,-14630000,81753000,69094000,12133000,12133000,5186000,3282000,1904000,99072000,45754000,1494000,868000,626000,47248000,146320000,21958000,4730000,17228000,2003000,53684000,51047000,77645000,21578000,14943000,8584000,6359000,36521000,114166000,198540000,-166641000,255000,32154000,32154000,146320000,-14630000,1058000,3093000,5761000,-4718000,-695000,-12680000,-13375000,-304000,1062000,1062000,0,758000,-17335000,-17335000,-3000,-17338000,-13272000,23581000,-8237000,0.73045,-0.39511,-0.40339,-0.455,-0.09999,0.56302,1.27596,3.5506,0.16116,-0.36593,-0.36593,0.90715,0.80425,-0.20603,-0.207,-0.11654,4.38306,4.05946
"5","2016_Q1",13.1826229508197,"Down",39882000,-11013000,28869000,-40666000,-27170000,-13496000,-11797000,1506000,-508000,2014000,-10291000,-10291000,-2000,-10293000,-10293000,-10293000,-10293000,76170000,58750000,15647000,15647000,6061000,3875000,2186000,97878000,44410000,1607000,896000,711000,46017000,143895000,25532000,5138000,20394000,1826000,56726000,55741000,84084000,21156000,12936000,7597000,5339000,34092000,118176000,202412000,-176934000,241000,25719000,25719000,143895000,-10293000,1056000,1313000,2887000,-5037000,-226000,-4868000,-5094000,-599000,749000,749000,-447000,-297000,-10428000,-10428000,84000,-10344000,-10741000,22982000,-8078000,0.72386,-0.2958,-0.25809,-0.40021,-0.07153,0.78481,1.16405,4.59489,0.15971,-0.25599,-0.25599,0.99188,0.63964,-0.2009,-0.16699,-0.13106,4.95187,4.5086
"6","2016_Q2",12.6765625,"Down",44551000,-13106000,31445000,-43557000,-29041000,-14516000,-12112000,85999.9999999998,-490000,576000,-12026000,-12026000,-19000,-12045000,-12045000,-12045000,-12045000,55891000,43226000,16470000,16470000,6488000,4063000,2425000,78849000,43747000,1710000,936000,774000,45457000,124306000,18734000,4156000,14578000,1750000,54124000,53101000,74608000,20800000,12337000,7138000,5199000,33137000,107745000,205325000,-188979000,215000,16561000,16561000,124306000,-12045000,997000,3116000,-11146000,-19078000,-467000,4793000,4326000,-249000,284000,284000,-761000,-726000,-15478000,-15478000,-46000,-15524000,-11115000,22550000,-22709000,0.70582,-0.27187,-0.27036,-0.72731,-0.0969,1.88535,1.05684,6.50595,0.18141,-0.29776,-0.29776,1.10134,0.4094,-0.56139,-0.23412,-0.4414,2.99964,2.75272
"7","2016_Q3",16.2140625,"Up",43011000,-12577000,30434000,-41757000,-27710000,-14047000,-11323000,-190000,-468000,278000,-11513000,-11513000,-12000,-11525000,-11525000,-11525000,-11525000,50929000,39885000,18260000,18260000,7784000,5387000,2397000,76973000,43619000,2104000,978000,1126000,45723000,122696000,19662000,4965000,14697000,1645000,58294000,57291000,79601000,20411000,13863000,8340000,5523000,34274000,113875000,209063000,-200504000,262000,8821000,8821000,122696000,-11525000,975000,3340000,3174000,-4036000,-656000,1602000,946000,-494000,236000,236000,-33000,-291000,-3381000,-3381000,40000,-3341000,-10348000,22056000,-7818000,0.70759,-0.26326,-0.26795,-1.30654,-0.09393,0.67835,0.96699,12.90953,0.17976,-0.28391,-0.28391,1.05954,0.2173,-0.19259,-0.2576,-0.17474,2.7902,2.54994
"8","2016_Q4",15.3311111111111,"Down",44710000,-12734000,31976000,-44711000,-30369000,-14342000,-12735000,-164000,-462000,298000,-12899000,-12899000,8000,-12891000,-12891000,-12891000,-12891000,53837000,42842000,22353000,22353000,7867000,4972000,2895000,84057000,43287000,2578000,995000,1583000,45865000,129922000,22814000,5637000,17177000,1452000,64793000,63629000,89059000,20066000,20369000,15216000,5153000,40435000,129494000,213573000,-213395000,250000,428000,428000,129922000,-12891000,944000,3372000,11368000,2793000,-129000,0,-129000,-538000,840000,840000,-1.16415321826935e-10,302000,2966000,2966000,-9000,2957000,-11791000,21518000,-560000,0.71519,-0.28484,-0.28832,-30.11916,-0.09922,0.0434399999999999,0.94383,302.55607,0.16562,-0.31624,-0.31624,1.09683,0.0105,-0.01374,-0.30464,-0.01323,2.74099,2.53781
"9","2017_Q1",14.0520967741935,"Down",46374000,-13208000,33166000,-40574000,-26041000,-14533000,-7408000,-107000,-455000,348000,-7515000,-7515000,-1000,-7516000,-7516000,-7516000,-7516000,62716000,51281000,22535000,22535000,12791000,9382000,3409000,98042000,42590000,2511000,1012000,1499000,45101000,143143000,21544000,849000,20695000,1305000,77038000,76016000,99887000,19796000,26585000,21485000,5100000,46381000,146268000,217495000,-220911000,291000,-3125000,-3125000,143143000,-7516000,904000,3572000,12992000,9952000,-839000,-499000,-1338000,-417000,237000,237000,0,-180000,8434000,8434000,5000,8439000,-6504000,21101000,5650000,0.71519,-0.15974,-0.16207,2.40512,-0.05251,-0.75173,0.98153,-46.80576,0.14741,-0.18387,-0.18387,1.1345,-0.07645,0.13822,-0.16867,0.12679,6.39837,5.61758
"10","2017_Q2",17.681746031746,"Up",51904000,-14218000,37686000,-43670000,-28134000,-15536000,-5984000,157000,-455000,612000,-5827000,-5827000,-9000,-5836000,-5836000,-5836000,-5836000,64702000,52204000,19580000,19580000,11152000,8580000,2572000,95434000,41949000,2439000,1021000,1418000,44388000,139822000,16765000,1867000,14898000,1278000,79919000,79087000,97962000,19526000,27318000,22573000,4745000,46844000,144806000,221504000,-226747000,259000,-4984000,-4984000,139822000,-5836000,891000,3918000,3607000,2580000,-152000,-1090000,-1242000,-297000,806000,806000,-936000,-427000,911000.000000001,911000.000000001,12000,923000,-5093000,20804000,-1629000,0.72607,-0.11529,-0.11244,1.17095,-0.04174,0.27913,0.97419,-29.0541699999999,0.14879,-0.14197,-0.14197,1.26261,-0.12124,-0.03963,-0.13529,-0.03776,8.61928,7.3359
